"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4"
"Label","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps"
"3.026907178/487.2190999"," 2.2103879"," 1.7631061"," 1.2014304"," 1.7034005"," 2.0369383"," 1.0042220"," 0.9530731"," 2.1069043"," 1.4307823"," 0.9189678"," 1.7759566"," 2.3276195"," 2.0651983"," 1.8409292"," 1.9930820"," 1.6939932"," 1.9013289","16.8098555","17.6794046","16.6809495","30.1482801","31.9370339","32.9234125","17.2906017","31.7416851","35.2360461","34.2535124","21.0604048","36.0106885","38.8100578","36.5463423","38.9894150","48.8247935","39.2569962","41.7613697","43.1681128","40.6471624"," 1.3463974"," 1.6556073"," 2.4347223"," 2.4312961"," 1.6459354"," 2.1970892"," 1.6100769"," 1.7337395"," 2.3644794"," 1.4697432"," 1.0611442"," 1.2453997"," 3.5060310"," 2.0322059"," 2.4025225"," 1.8583838"," 2.1498451"
"5.191131245/426.9670562","13.12258","13.03287","13.42178","21.78684","13.78242","12.94967","20.21072","13.60670","13.24184","20.76672","13.09385","13.51321","21.67116","13.89532","13.58796","20.67912","13.74630","12.86906","13.17369","13.07409","19.77144","20.43574","13.12297","18.29186","19.96256","19.85273","12.97142","18.67688","19.91382","20.82739","13.33151","20.83496","20.41950","13.02912","21.06686","20.03840","13.08500","13.09159","12.99835","20.99528","21.00230","13.20100","20.51918","20.65332","14.28566","21.76380","21.38162","13.66723","20.14596","12.86629","14.21547","19.97552","21.17437","13.93448"
"3.274579021/529.175227"," 1.7051671"," 1.7087878"," 0.8861310"," 0.5999685"," 1.8180801"," 0.7889891"," 0.1871936"," 1.9292125"," 1.3407087"," 0.1874053"," 1.4745575"," 1.9932922"," 1.9781236"," 1.9495773"," 1.7049710"," 1.3057739"," 1.8153990","12.2694823","13.8612099","14.4495204","26.8229735","31.2593259","27.0140500","26.1011496","30.1690865","34.1278194","31.1805363","30.5661502","34.9350298","40.1085109","32.0189469","38.4732595","45.6669154","33.5728704","36.4003597","39.7429665","35.8484227"," 0.6185697"," 1.4425690"," 2.1762171"," 2.0426480"," 1.3015951"," 1.3475444"," 0.8102045"," 1.1784557"," 1.9850764"," 0.8345012"," 0.9056360"," 0.2430314"," 3.7123523"," 1.3552765"," 2.3362737"," 0.7000933"," 2.3343512"
"3.026675328/509.2006343"," 0.9751455"," 0.7651140"," 0.4162621"," 0.7072023"," 0.6979790"," 0.1890785"," 0.3660302"," 0.4839568"," 0.1881105"," 0.1874053"," 0.6271188"," 1.0420225"," 0.8734425"," 0.5321374"," 0.7273893"," 0.4288785"," 0.6827383"," 7.6980596"," 8.3256833"," 7.7887912","11.3821055","12.2882515","12.3576633"," 7.6119350","12.2210833","14.1928733","12.6757568"," 8.9936552","13.3448047","14.9978175","13.5103078","14.1979880","18.4589293","13.9106901","14.6691277","16.8490415","14.4148536"," 0.2083406"," 0.5890956"," 0.7935711"," 0.8011623"," 0.5611088"," 0.9182189"," 0.2616723"," 0.4632370"," 0.9683931"," 0.4469032"," 0.1896299"," 0.2430314"," 1.6189476"," 0.7808624"," 1.0005636"," 0.2490272"," 0.7147657"
"4.512604632/299.131743"," 3.344959"," 3.721221"," 3.306066"," 5.068990"," 6.572323"," 5.488799"," 6.389556"," 6.782579"," 6.244325"," 6.893607"," 5.728064"," 6.733053"," 7.159828"," 7.355143"," 6.003222"," 7.496835"," 7.309251"," 7.115298"," 8.420099"," 7.097701"," 9.585458"," 7.973674"," 9.703178"," 9.531743","10.601355"," 8.731545","10.519793"," 8.702090","11.092970","11.096448"," 9.154949","11.056272","10.331540","11.771144","10.600300"," 7.156880","12.315142"," 3.897134"," 3.681477"," 2.102759"," 4.471712"," 5.017767"," 3.226747"," 5.147813"," 5.466330"," 4.286397"," 5.775842"," 5.348019"," 3.804862"," 5.632446"," 6.186499"," 4.396926"," 6.385221"," 6.031169"
"2.606124684/153.0191022"," 1.0370205"," 0.8755625"," 0.7890525"," 1.3427201"," 0.8107779"," 1.2539700"," 0.9931299"," 0.6592395"," 0.7851732"," 0.8614302"," 0.7436021"," 0.8607025"," 1.6709412"," 1.0052520"," 0.9422195"," 1.2252954"," 0.8449196"," 5.6741990"," 5.2724529"," 5.1390519","13.4092237","13.3229314","15.0986657"," 8.9410691","16.6918922","14.8459945","16.0757017","12.3233479","18.8101301","18.1247838","18.6180608","22.0265710","20.6314238","20.6619944","20.4757087","20.0543675","23.3947389"," 0.7850902"," 0.8811916"," 1.0347957"," 0.7898948"," 0.7749908"," 0.8352609"," 0.5716244"," 0.7550215"," 0.9911224"," 0.8888760"," 0.7605019"," 0.7210513"," 1.0691493"," 0.5857344"," 0.6404739"," 0.7815986"," 0.5912719"
"3.725769152/417.1297992"," 1.0697179"," 1.1943321"," 0.4736109"," 0.6670845"," 1.2288393"," 0.5356184"," 0.4269797"," 1.0060615"," 0.5986773"," 0.1874053"," 0.9078812"," 1.3411342"," 0.8200549"," 0.8008003"," 0.9859089"," 0.9861729"," 0.7285968"," 4.8308880"," 5.1773070"," 5.1619854","10.1470084","11.2882328","12.2441377"," 6.5021148","11.5755916","12.9874683","13.5545094"," 8.0178821","13.9420345","15.3715263","15.3394008","16.0018940","18.2863429","17.3892477","17.7334714","18.1902139","18.2385516"," 0.6134033"," 0.4765161"," 1.3245097"," 1.4449821"," 0.7491869"," 0.9078696"," 0.6872846"," 0.8216879"," 1.2779927"," 0.7409494"," 0.4328108"," 0.5869408"," 1.6886726"," 1.1013000"," 1.1861967"," 0.6289939"," 1.2474833"
"3.091533402/216.1236537","0.7813821","0.6494345","0.5927385","1.4915304","1.5211595","1.4052438","1.5888610","1.5881333","1.7430443","1.7698524","1.8391981","1.8838288","1.9796065","1.8102870","2.0516443","2.0307991","2.1820984","4.1610650","4.7280266","3.8234046","7.0358293","7.0266944","6.9041236","7.0208412","8.0615392","7.2968392","7.8493882","7.4559746","8.3417398","8.3863972","8.2355065","9.2647925","8.7815174","8.4518006","9.2993973","8.9687056","8.9238011","0.2083406","0.3585174","0.5098885","0.2820428","0.6333341","0.5079490","0.2616723","0.9062334","0.6956324","0.7477766","0.6250350","0.4328991","0.5064470","0.9641696","0.8202398","0.6907458","0.7310042"
"2.74307292/567.1760825","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","3.7103266","4.2653361","3.8440159","3.7919891","4.1510377","4.8183939","3.1870199","4.0079726","4.3350415","5.7896100","3.3806495","4.5324478","5.3221506","5.3115775","4.6576298","6.9406652","5.2724538","5.7749624","5.8879717","6.6175570","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.4613007","0.4678039","0.1896299","0.2430314","0.3538722","0.1857860","0.7022022","0.2490272","0.4362619"
