"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4"
"Label","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps"
"2.470704923/395.2282417"," 0.3949382"," 0.3374895"," 0.1322586"," 0.1421638"," 0.1794094"," 0.1339511"," 0.1402999"," 0.1910218"," 0.1377072"," 0.1423285"," 0.2861312"," 0.5600069"," 0.1671812"," 0.3171551"," 0.4043708"," 0.3932668"," 0.3672644"," 0.1354692"," 0.5372076"," 3.4749564"," 3.7236887"," 3.6892486"," 4.1842920"," 9.5649666"," 9.9735127","10.4882967"," 5.2800663","11.1296540"," 9.5918547","11.6320300"," 6.5505968","11.8611473","11.5112600","11.7967465"," 6.5959615","12.4984734","11.9623992","12.7437535"," 6.7665393","12.9320617","11.5358336","12.7073220"," 0.1486250"," 0.1398771"," 0.8056093"," 0.4267504"," 0.7572301"," 0.5194162"," 0.3319558"," 0.9772097"," 0.9181908"," 0.6266509"," 0.7558986"," 0.6972150"," 0.4555574"," 1.1045188"," 1.0245104"," 0.4108390"," 0.6188309"
"3.157894334/273.1305048","3.663779","3.877498","3.720542","4.173117","4.150433","4.074214","4.096305","4.145793","4.336107","4.205630","4.126571","4.177184","3.490811","4.142534","4.389537","4.301015","3.315221","4.125958","4.156506","3.242609","3.353308","3.340292","2.969934","3.445597","3.167306","3.599954","2.954922","3.705592","3.307671","3.609571","3.177267","3.881900","3.652343","3.598497","3.048023","4.002469","3.767379","3.971098","3.001207","3.928732","3.860622","3.871556","4.192416","4.047558","6.305534","6.511690","6.674701","7.070981","7.176102","7.830178","7.398706","7.517172","7.445865","8.303655","8.962413","8.699973","8.260375","8.846802","8.440246"
"3.072220909/271.5761911","0.3588457","0.3247233","0.2694414","0.4687402","0.3098100","0.4172922","0.3414898","0.1910218","0.3678603","0.3499070","0.3922343","0.4728909","0.5687575","0.4844769","0.3222242","0.3446256","0.3672644","0.4287188","0.3134704","3.4017350","4.0876563","3.9759141","4.7135072","5.5260892","6.3217560","7.0252282","4.5074199","5.7664850","7.9442715","7.5065112","5.0307828","6.6060749","6.0707920","7.5211033","6.3578063","7.3728399","9.8359182","6.9932160","7.3750248","5.9636443","9.9357004","7.5846537","0.4502309","0.3215001","0.4612562","0.5790939","0.3186181","0.3935730","0.3617332","0.4324507","0.4173607","0.4053892","0.2633438","0.3297120","0.7535054","0.4232515","0.4272225","0.3278055","0.5188002"
"0.340903056/173.041531","3.5468210","1.2563229","2.3922696","3.0637804","1.0359544","2.3945578","3.3568688","1.5373648","1.5334552","2.9475413","2.0287842","1.7224868","0.5422026","3.4859651","2.0311419","1.4963077","0.7858817","2.0753643","1.7723935","3.5446322","1.2894678","1.2337083","1.4071194","2.6881847","1.5865304","2.2873376","1.8661262","2.2838290","1.4088228","1.3508194","2.3360908","2.1492300","0.8348898","1.8860261","1.9408839","2.3906096","1.5013358","1.8025425","1.8063846","2.2963896","1.2655372","2.0438148","1.7341332","1.6943123","3.1143137","2.4184842","2.4015247","4.1558933","2.1647827","2.5018799","3.5439224","3.2946767","2.0169747","4.5728144","3.9678410","3.0360259","4.4767128","4.3760386","3.5933976"
"0.344793393/175.1073122","1.2739082","1.8017607","1.6028058","2.5776452","1.6892189","2.2407835","2.7610581","1.5812304","2.3747382","2.7279422","2.6839893","2.1020585","3.1198612","2.8519017","2.8928539","2.6367092","3.2571971","2.7129933","3.0748082","3.2372870","2.9952174","2.8098734","4.0541745","5.2088577","4.9589710","4.7627077","4.1594345","5.8374859","6.3605243","5.2298749","4.0918675","6.4997844","6.8652033","5.5406927","4.2035947","7.1902272","5.8734090","5.2806623","4.1495184","5.4225257","6.5124169","5.4540690","1.2704111","0.7016653","1.8378046","1.6458602","1.9929729","1.9968055","2.3014562","2.4197598","1.8585498","2.5428670","1.3490311","3.2701241","2.9164253","1.5329978","2.8164589","2.3873775","2.3756771"
"3.728075488/419.1443763"," 0.8388606"," 0.8079604"," 0.2735976"," 0.4927949"," 0.8100216"," 0.3920379"," 0.3606200"," 0.7085380"," 0.2952050"," 0.3374382"," 0.6055013"," 0.9019852"," 0.1671812"," 0.5066321"," 0.7361425"," 0.7533493"," 0.8686240"," 0.5540477"," 0.4935595"," 2.9677462"," 3.0336734"," 3.1723215"," 3.4348299"," 6.5595962"," 6.5658495"," 7.5831937"," 3.7791953"," 7.3653411"," 7.2188474"," 8.2494350"," 4.6397687"," 8.7462353"," 8.8898218"," 9.3096718"," 6.8068764"," 9.8546682","10.3474341","10.6213477"," 6.8068122","11.1263846","10.5741713","11.1505436"," 0.3833243"," 0.5458281"," 0.8973545"," 0.8571942"," 0.1312682"," 0.5387002"," 0.3692551"," 0.5547389"," 0.9026745"," 0.1399014"," 0.1295987"," 0.1741559"," 1.2886261"," 0.4426403"," 0.8331418"," 0.3608545"," 0.8703058"
"2.65019279/213.0730829","2.1619789","2.1512404","2.2138054","2.6769120","2.5099266","2.5578067","2.9603231","2.4795184","2.8245976","3.3965368","2.8368295","2.8753609","2.1905645","3.2043744","3.2076189","3.2737480","2.3923889","3.2165378","3.4509470","2.9301198","2.7005217","2.6785014","2.9776437","4.2094433","3.4867364","4.3915634","4.1157023","4.7704786","3.3178746","5.4184655","4.9525995","5.4732046","4.4567026","5.3158211","5.0976900","5.5097004","7.5166438","5.9293631","4.4999936","5.7601928","4.5036495","6.3135048","1.2377422","1.0760363","0.6949047","0.8355605","1.3759840","0.7548743","1.0587490","1.9873997","1.0240756","0.9582233","1.8785562","0.8498976","1.1903342","2.1957197","0.8057242","0.7427208","1.3216173"
"2.99760706/542.1445986","0.2583992","0.1667877","0.1322586","0.3035166","0.1794094","0.3027370","0.4212631","0.1910218","0.2844798","0.1423285","0.1502998","0.2740054","0.1671812","0.4525434","0.2852259","0.2987571","0.3672644","0.3447829","0.3220685","2.9123712","3.1661495","3.3032759","3.2502258","4.1573662","4.4849907","4.7200412","2.9390869","4.4028680","5.3033224","4.8858594","3.7865859","5.2548290","5.8198647","4.8775871","4.6017194","5.1860180","6.7712593","5.2675852","4.8086505","4.9359764","6.8617730","5.5463843","0.1486250","0.1398771","0.2947287","0.1898060","0.1312682","0.1381972","0.1780949","0.1358321","0.2968410","0.1399014","0.1295987","0.1741559","0.2422545","0.1321661","0.2989020","0.1739141","0.1460760"
"0.320590207/141.065477","2.242817","1.571355","1.842572","1.650726","1.840274","1.649831","2.456893","2.184168","1.723294","2.539278","1.901017","1.947497","2.759092","2.285234","2.090519","2.195038","2.366132","2.692267","2.382462","2.982485","2.040711","2.334659","3.381672","4.119907","3.808712","3.740915","3.623652","4.861336","5.330600","4.631556","4.149539","5.628223","5.788756","4.662946","4.160946","6.132512","6.500846","5.233969","4.074877","5.258493","6.219668","5.624947","1.735879","2.179881","3.576333","4.173889","3.431938","4.537877","4.963086","4.168996","4.732579","4.999007","3.376810","6.094354","6.722935","4.057557","5.507561","6.050314","4.118483"
"3.031232312/137.0233493","0.3749560","0.4626807","0.4075383","0.3133573","0.5424250","0.2796350","0.3127410","0.5122678","0.3083798","0.3011322","0.4026833","0.3466889","0.5620129","0.3105437","0.3296285","0.3804601","1.0957984","0.2707247","0.3115695","2.7201968","2.8106571","2.5207786","2.6653492","4.4839166","4.6538903","4.7787965","2.3949896","4.7143300","4.9721251","4.7904550","2.9240643","5.3970565","5.2981482","5.0313307","4.2368463","5.6986536","6.4709389","5.4182755","4.3710053","6.1454678","6.1028864","5.6378320","0.3425706","0.2922487","0.3205276","0.4223586","0.3535847","0.3010608","0.3861840","0.2929493","0.2837191","0.3076244","0.3549954","0.4271409","0.6212501","0.3496686","0.2867636","0.6193701","0.2954355"
