"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4"
"Label","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps"
"2.086130021/286.1755169","0.4788694","0.8508628","0.7163882","1.5057351","0.9955854","1.3101261","1.4935904","1.8045524","1.5067605","1.6538995","1.4296227","1.6974946","1.1192295","1.8852413","1.2514150","1.9442180","0.3672644","1.8090543","1.9493128","0.8005804","0.4699524","0.7396054","0.6981305","1.2107445","1.1261801","1.4031888","0.9731751","1.3963590","0.8321630","1.4397045","1.2362591","1.5721148","1.2628589","1.1922528","1.4145169","1.2037835","1.1942137","1.5869902","1.4128586","1.8298728","1.2455791","1.8340698","0.4059048","0.3468092","1.2336856","1.3429361","0.9933444","0.9090451","0.7978625","1.6515013","1.4445855","0.9197204","1.2554527","1.1217397","1.8825972","1.5471640","1.4185872","1.3567999","2.0606361"
"5.059173676/248.2369623","0.8346449","0.7653273","1.2450193","1.3877979","1.2766397","1.2786447","1.5286933","0.8322834","1.3043410","1.7729549","1.0317560","1.4448846","2.1154356","1.2355982","0.6670231","1.6494594","2.2019668","1.9178244","1.2521889","0.6045808","0.9110989","0.9459350","0.9506961","0.6740127","0.5922019","0.8538657","1.3435651","0.7540427","0.5502080","0.8585675","1.6314677","0.5966505","0.6014722","0.6418467","1.2528571","0.6652283","1.2478423","0.4990163","1.2537590","0.6163179","1.3083759","0.7261792","0.6220819","0.6369480","0.5705724","0.6787899","0.8109106","0.5993120","0.4284065","0.7087151","0.4263097","0.4081432","0.8690332","0.4449909","0.7414678","0.6095433","0.6260062","0.4864776","0.9704147"
"2.581310771/383.0765937","13.4206136","13.4621233","12.3989066","19.1252015","15.1123857","18.0382520","19.2324850","15.1571366","19.7548835","18.6887577","18.3080460","19.6060668","19.6765980","20.7305174","19.7764399","21.8569194","18.5178800","20.2867065","21.6786932"," 1.2545710"," 0.7113003"," 1.3201251"," 1.6597504"," 0.7146613"," 0.7396554"," 1.0065911"," 0.9330441"," 0.9741565"," 1.4973101"," 1.1959550"," 0.9614076"," 0.9925176"," 1.1807984"," 1.0053713"," 0.7541367"," 1.2360395"," 1.3582533"," 0.9080601"," 1.4119499"," 0.1366865"," 1.4279692"," 0.5379118"," 1.0645922"," 1.0017293"," 0.8980949"," 1.0076057"," 9.4554930"," 1.5615617"," 0.8661498","10.4506612"," 0.9134021"," 0.8866577"," 9.9474778"," 1.6100239"," 2.1311760","11.0670942"," 1.1457810"," 0.8413913"," 7.2237405"
"2.566940849/385.0734322","11.5492747","11.5825013","10.6729198","16.4511554","13.0011240","15.5247119","16.5461698","13.0424361","17.0000859","16.0984005","15.7559429","16.8967834","16.9507398","17.8230444","17.0190808","18.8148411","15.9056416","17.4890127","18.6470884"," 1.0365133"," 0.4954716"," 1.1717463"," 1.4282920"," 0.4965076"," 0.9728116"," 0.8407444"," 0.8041414"," 0.7493266"," 1.1731378"," 0.9942629"," 0.8347816"," 0.7451273"," 0.8220306"," 0.8587926"," 1.1362120"," 1.0730825"," 1.1912673"," 1.0811062"," 1.6188817"," 1.8621595"," 1.0902199"," 0.7984639"," 0.8642344"," 0.8182669"," 0.7896050"," 0.8088890"," 8.1196310"," 1.3415218"," 0.6612473"," 8.9775050"," 0.6660284"," 0.7062801"," 8.5553722"," 1.3176183"," 1.8318168"," 9.5271964"," 0.8252285"," 0.7729681"," 6.1900120"
"2.782370038/367.0815968"," 6.4041020"," 6.4037449"," 5.8274078","10.0107753"," 8.7097568","10.0564692"," 9.7141314"," 8.7326799","11.3573457"," 9.8617413"," 9.9619564","11.8723582"," 9.6415351","10.8129111","11.1490345","13.1192678"," 9.4592607","11.3441063","13.2655980"," 0.6676044"," 0.5287896"," 0.9895156"," 1.0032619"," 0.7001085"," 0.4677508"," 0.6832264"," 0.7115091"," 0.9525586"," 1.2023188"," 0.7803268"," 0.6112783"," 0.8514306"," 0.8185311"," 0.7986129"," 0.3289501"," 0.7529990"," 0.7373954"," 0.5891538"," 0.7410510"," 0.4459253"," 1.1961577"," 0.6623954"," 0.7266169"," 0.7400742"," 0.8519621"," 0.5225178"," 4.8337214"," 0.9826950"," 0.5533095"," 5.3824209"," 0.8204854"," 0.6226921"," 5.3475038"," 0.6636545"," 1.5645649"," 5.9361257"," 0.9080052"," 0.6281008"," 4.0587935"
"2.676221357/454.1135815"," 9.9669262","10.6369434","10.2879277","14.0721670","13.1832252","14.3868784","14.4099535","13.3193523","15.9160459","14.4270640","15.7238607","16.0568573","12.6912466","15.7447625","16.7279245","17.5620202","11.5759145","15.7040114","17.9683838"," 0.9167120"," 0.3365716"," 1.0125193"," 0.9915193"," 0.5518206"," 0.4080053"," 0.6122264"," 0.5448180"," 0.8475183"," 1.0157649"," 0.9374650"," 0.6195896"," 0.7725546"," 0.7671544"," 0.8470252"," 0.5345284"," 0.9795354"," 1.1226783"," 0.7487668"," 0.9069746"," 0.1366865"," 1.0662859"," 0.3892566"," 0.6668786"," 0.6654937"," 0.8712317"," 1.0738071"," 7.1481158"," 1.4949071"," 0.7125242"," 8.0955378"," 1.1856439"," 1.2451444"," 7.9738044"," 1.1875546"," 1.6541723"," 8.7166957"," 0.9797269"," 1.3795758"," 5.6742844"
"4.694168116/548.1910978"," 6.1921811"," 4.9986877"," 7.9941207","11.3434872"," 6.7047142","11.3609146","12.7661904"," 8.1177640","14.5110476","14.5758049","12.1342629","15.6670846","10.7249341","15.5314758","14.9049925","18.1349997"," 8.3361595","17.1423473","17.0990148"," 0.5658680"," 0.1554694"," 1.1369960"," 0.3893738"," 0.4048731"," 0.1584962"," 0.5873189"," 0.5107817"," 0.8962773"," 0.2202716"," 0.9140800"," 0.1131275"," 0.7163525"," 0.2061930"," 0.6727028"," 0.1245201"," 0.6764004"," 0.2468012"," 0.1394559"," 0.4730514"," 0.1366865"," 0.2634360"," 0.1513870"," 0.3945999"," 0.1398771"," 0.6868427"," 0.1898060"," 5.5551780"," 0.6823406"," 0.1780949"," 7.5920903"," 0.4027055"," 0.3761170"," 7.2334765"," 0.4241069"," 1.2323521"," 8.9221086"," 0.3592981"," 0.1739141"," 5.6419141"
"2.786117457/369.0786394"," 5.5005325"," 5.4989329"," 4.9878240"," 8.5996721"," 7.4751112"," 8.6526096"," 8.3532586"," 7.5345937"," 9.7736322"," 8.4793702"," 8.5829642","10.1938223"," 8.2811651"," 9.3097312"," 9.6000708","11.3442919"," 8.1292696"," 9.7164266","11.4058219"," 0.4407768"," 0.1554694"," 0.8091657"," 0.8439142"," 0.5050926"," 0.2575322"," 0.3523510"," 0.4736331"," 0.7550022"," 1.0139608"," 0.5755558"," 0.3846613"," 0.5126864"," 0.5025270"," 0.4681612"," 0.1245201"," 0.5645440"," 0.2468012"," 0.4109866"," 0.5510135"," 0.1366865"," 0.9260350"," 0.3012281"," 0.5408936"," 0.5134076"," 0.6393568"," 0.3345734"," 4.1628750"," 0.7162217"," 0.3294041"," 4.6275815"," 0.6158086"," 0.2682691"," 4.6044070"," 0.5433356"," 1.3413313"," 5.1099014"," 0.5866932"," 0.4983045"," 3.4668652"
"2.68619463/456.1105466"," 8.6146552"," 9.2024789"," 8.8832889","12.1775976","11.3975669","12.4419102","12.4340435","11.5024496","13.7546103","12.4879380","13.5988565","13.9012097","10.9698000","13.6280472","14.4686287","15.2197416"," 9.9699974","13.5675086","15.5419193"," 0.7511555"," 0.3129296"," 0.7217532"," 0.7050915"," 0.4117675"," 0.3904422"," 0.6135031"," 0.4437147"," 0.6899493"," 0.8421523"," 0.7978555"," 0.4213039"," 0.6171565"," 0.6268648"," 0.6805780"," 0.3484681"," 0.8290039"," 0.7046458"," 0.5753472"," 0.7943152"," 0.1366865"," 0.8517980"," 0.1513870"," 0.4914473"," 0.5109905"," 0.6951868"," 0.5417902"," 6.1511806"," 0.8954667"," 0.5008083"," 6.9940676"," 0.4413767"," 0.5215365"," 6.8783487"," 0.9594113"," 1.2363475"," 7.5252484"," 0.5951473"," 0.5260915"," 4.8904378"
"3.026326668/490.236985"," 1.4774755"," 1.2636051"," 0.8719100"," 1.0626636"," 1.3393984"," 0.6464268"," 0.7667059"," 1.2001265"," 0.8121097"," 0.5501336"," 1.0521362"," 1.5055289"," 0.6306948"," 1.3294504"," 1.1169395"," 1.2268713"," 1.9100874"," 0.9752291"," 1.1668270","11.4080239","11.2917876","10.9622099","10.5888047","18.7492919","18.0799178","20.2648761","10.4161014","19.3538228","19.3867347","20.8307942","12.0118766","22.0232494","21.8174046","21.8492615","17.7926980","22.7070736","26.2121682","23.6752137","17.9625440","24.9721247","24.6162284","24.1000765"," 0.7517832"," 1.1026234"," 1.6403714"," 1.4979476"," 1.0308042"," 1.5762563"," 0.7218306"," 1.0684120"," 1.6249980"," 0.8175284"," 0.4640912"," 0.7465782"," 2.1408718"," 1.2167517"," 1.7080516"," 1.0689683"," 1.3470131"
"4.698999421/570.172835"," 6.1551168"," 4.6901428"," 6.5091857","10.0842063"," 6.5939146"," 9.2657180","10.8076737"," 8.0709676","10.9979968","12.0123689","10.7765670","11.9233775"," 9.8687169","13.2006869","12.1652319","13.2198030"," 8.2624207","13.8687819","13.2225756"," 0.7334201"," 0.1554694"," 0.9516669"," 0.5046246"," 0.3109422"," 0.1584962"," 0.6439860"," 0.1118456"," 0.8266074"," 0.2202716"," 0.7668810"," 0.1131275"," 0.6738848"," 0.2061930"," 0.6053845"," 0.1245201"," 0.8467535"," 0.2468012"," 0.1394559"," 0.5798120"," 0.1366865"," 0.4971655"," 0.1513870"," 0.3710678"," 0.1398771"," 0.7077583"," 0.1898060"," 4.8309984"," 0.7299551"," 0.1780949"," 6.4400014"," 0.5324755"," 0.1399014"," 6.8991207"," 0.6487260"," 0.8669019"," 7.6665157"," 0.5456426"," 0.1739141"," 5.5685827"
"3.119340658/176.0703639"," 8.5007647"," 8.7445909"," 9.5105490","10.6226041"," 8.4103781","10.2505727","11.0260848"," 8.8105650","11.6338570","11.4790104","10.5579352","11.7826804"," 9.3120407","11.8729612","11.7998714","12.6115142"," 9.9859825","12.2618616","13.5743736"," 0.7678622"," 1.0184803"," 1.1448429"," 1.0683043"," 1.0460066"," 0.7079608"," 0.9798898"," 0.9395063"," 1.1573431"," 0.7663853"," 1.0240663"," 0.8713588"," 1.0838692"," 0.8298112"," 0.8710009"," 0.8224325"," 1.1309061"," 0.4777734"," 0.7989440"," 0.8483990"," 0.8186893"," 0.8669386"," 0.6040921"," 1.3755827"," 1.1225561"," 0.5804400"," 0.8246996"," 4.4242242"," 1.3842450"," 1.0130835"," 5.2448097"," 1.2767161"," 1.1951791"," 4.9435302"," 1.1585300"," 1.5502833"," 5.7165546"," 1.3324692"," 1.4723644"," 3.8566890"
"4.402947992/534.1758854"," 4.1042010"," 3.3670448"," 5.4665338"," 7.5401090"," 4.8104163"," 8.4708464"," 9.3847048"," 6.0851634","11.5336171","10.7580237"," 9.5807533","12.5673645"," 7.5990779","12.2946863","12.0933733","14.8792932"," 6.4824019","13.4726274","14.1884977"," 0.3770495"," 0.1554694"," 0.7170367"," 0.3458744"," 0.1400456"," 0.1584962"," 0.3258754"," 0.3449594"," 0.3917670"," 0.2202716"," 0.5726903"," 0.1131275"," 0.3473952"," 0.2061930"," 0.3850311"," 0.1245201"," 0.4901937"," 0.2468012"," 0.1394559"," 0.1419555"," 0.1366865"," 0.2634360"," 0.1513870"," 0.2928627"," 0.1398771"," 0.3911253"," 0.1898060"," 3.7002948"," 0.3197227"," 0.1780949"," 5.3614645"," 0.2731796"," 0.1399014"," 5.2417014"," 0.1741559"," 0.8075942"," 6.4666643"," 0.1373812"," 0.1739141"," 3.8856374"
"4.403394271/556.1576314"," 4.2773263"," 3.1260162"," 4.7174930"," 7.3718025"," 4.6399254"," 7.2738578"," 8.7135662"," 5.9382471"," 9.1364356"," 9.6413596"," 9.0063471"," 9.9239973"," 7.0476722","11.1801487","10.4630472","11.1318996"," 5.8863947","11.6364748","11.5635438"," 0.4815329"," 0.1554694"," 0.5786052"," 0.2917016"," 0.1400456"," 0.1584962"," 0.3531455"," 0.2182785"," 0.5876273"," 0.2202716"," 0.4677911"," 0.1131275"," 0.2848096"," 0.2061930"," 0.2520164"," 0.1245201"," 0.4288054"," 0.2468012"," 0.1394559"," 0.3305148"," 0.1366865"," 0.2634360"," 0.1513870"," 0.3601903"," 0.2610104"," 0.5474857"," 0.1898060"," 3.3258672"," 0.5331049"," 0.1780949"," 4.7946682"," 0.4737278"," 0.3948558"," 5.1148277"," 0.1741559"," 0.5915805"," 5.7626637"," 0.3090206"," 0.1739141"," 3.7825263"
"5.043966638/530.2348675"," 9.7939447"," 9.4970461"," 9.7754473","12.5678676"," 9.6555109","10.6755469","13.5701970"," 9.7918005","12.6958458","14.6794338","12.3853207","13.0778525","10.7698223","14.6038962","14.0058514","14.9453422"," 7.6321571","15.3153911","15.5560102"," 0.3999388"," 0.1554694"," 1.0054437"," 0.2725883"," 0.1400456"," 0.1584962"," 0.4875823"," 0.4339931"," 0.2988455"," 0.2202716"," 0.7711271"," 0.2459175"," 0.6283302"," 0.2061930"," 0.5801742"," 0.1245201"," 0.3193345"," 0.2468012"," 0.3855327"," 0.1419555"," 0.2442654"," 0.2634360"," 0.1513870"," 0.2633324"," 0.5781228"," 0.1367002"," 0.1898060"," 5.2827501"," 0.5910346"," 0.1780949"," 6.5082970"," 0.1362486"," 0.1399014"," 6.2571074"," 0.1741559"," 0.8561489"," 7.4935731"," 0.1373812"," 0.1739141"," 4.7471553"
"2.55180912/405.058596"," 5.6264335"," 5.5523954"," 5.0812862","10.3482729"," 6.5185127"," 8.4886129","10.1054065"," 6.5367534"," 9.3312792"," 9.6400030"," 9.5687063"," 9.2061066"," 9.2479844","10.8522980","10.2434335","10.1032413"," 5.9913504","10.4903931","11.1158915"," 0.1401607"," 0.1554694"," 0.1419355"," 0.2979368"," 0.4583307"," 0.4847123"," 0.1328294"," 0.2486876"," 0.5439002"," 0.5612708"," 0.9097921"," 0.4623408"," 0.9026980"," 0.8908589"," 0.7297807"," 0.5840184"," 0.6126224"," 0.9299510"," 0.8240523"," 0.5235380"," 0.8898792"," 1.2904650"," 0.8832199"," 0.1486250"," 0.1398771"," 0.1367002"," 0.1898060"," 2.9378155"," 0.2914839"," 0.1780949"," 3.5695463"," 0.1362486"," 0.1399014"," 3.4724480"," 0.1741559"," 0.2422545"," 3.8564001"," 0.1373812"," 0.1739141"," 2.1560120"
"5.06094993/552.2166577"," 7.8305315"," 7.4469427"," 6.9818910"," 9.2311187"," 8.6875834"," 7.8564428"," 9.7304202"," 9.5447243"," 8.8296212","10.3667968","10.2410649"," 9.4694271"," 9.7093109","10.6551947","10.8893593","10.4551891"," 8.2612617","10.8108907","11.4641323"," 0.4064040"," 0.3519025"," 0.7007911"," 0.2689343"," 0.1400456"," 0.3149555"," 0.2553600"," 0.1118456"," 0.1416096"," 0.2202716"," 0.4502133"," 0.1131275"," 0.5319316"," 0.2061930"," 0.3327944"," 0.2572187"," 0.2811509"," 0.4534226"," 0.1394559"," 0.2795502"," 0.2892869"," 0.2634360"," 0.1513870"," 0.3022966"," 0.4518034"," 0.3010887"," 0.1898060"," 4.0315755"," 0.5011818"," 0.1780949"," 4.6700257"," 0.1362486"," 0.1399014"," 5.3755764"," 0.1741559"," 0.8484187"," 5.7150881"," 0.1373812"," 0.1739141"," 4.1852194"
"2.575161207/387.0695614"," 6.2452988"," 6.2386499"," 5.7581755"," 8.9121987"," 7.0131311"," 8.3695048"," 8.9323702"," 7.0053061"," 9.1849953"," 8.7042700"," 8.5111965"," 9.1356095"," 9.1225109"," 9.6288390"," 9.2157069","10.1783927"," 8.4852019"," 9.4449764","10.0798901"," 0.1401607"," 0.1554694"," 0.4213421"," 0.6719967"," 0.1400456"," 0.1584962"," 0.1328294"," 0.2314726"," 0.1416096"," 0.4518680"," 0.2804301"," 0.1131275"," 0.1505840"," 0.3366212"," 0.1327538"," 0.1245201"," 0.1645785"," 0.2468012"," 0.1394559"," 0.5774995"," 0.1366865"," 0.2634360"," 0.1513870"," 0.3498299"," 0.2806973"," 0.2716640"," 0.1898060"," 4.3723038"," 0.4491371"," 0.3341900"," 4.8112004"," 0.1362486"," 0.1399014"," 4.5878091"," 0.6659288"," 0.5787874"," 5.1045959"," 0.2989937"," 0.4197469"," 3.3094211"
"5.792752847/302.2013967"," 8.1863847"," 7.9608267"," 8.0937189","10.2151245"," 8.9895174"," 9.3226855","10.5335065"," 9.1769179","10.1705705","10.7796561","10.2419377","10.2652702"," 7.7441769","10.8859952","10.8499996","10.7988066"," 5.9009624","11.1743466","10.9463572"," 0.9462798"," 0.3396291"," 0.5995493"," 0.1469972"," 0.2544306"," 0.1584962"," 0.2514653"," 0.1118456"," 0.3576845"," 0.4251340"," 0.7248676"," 0.1131275"," 0.4364607"," 0.8379970"," 0.9620196"," 0.3326762"," 1.0336166"," 1.1612276"," 0.7437899"," 0.1419555"," 0.1366865"," 0.4666962"," 0.3491311"," 0.3001512"," 0.9528632"," 0.9642804"," 0.3573515"," 4.6565143"," 1.0023698"," 0.4389232"," 5.3633902"," 0.8626801"," 0.8598333"," 5.0805611"," 1.1087282"," 1.7360482"," 5.5568940"," 0.3508034"," 1.0932833"," 3.3651894"
"3.809004146/564.1862135"," 7.4471772"," 6.3915531"," 6.8143204"," 8.8032850"," 6.7866387"," 7.3228523"," 9.9122126"," 7.0588869"," 8.9728260","10.8136623"," 9.6374477"," 9.6514169"," 6.6026233","11.8073224","11.4247885","10.7832470"," 5.8196803","11.3613452","13.1379851"," 0.2751663"," 0.1554694"," 0.6904258"," 0.5512165"," 0.1400456"," 0.1584962"," 0.1328294"," 0.2702373"," 0.5091584"," 0.2202716"," 0.3350570"," 0.1131275"," 0.1505840"," 0.2061930"," 0.3445604"," 0.1245201"," 0.3103541"," 0.2468012"," 0.1394559"," 0.5973310"," 0.1366865"," 0.2634360"," 0.1513870"," 0.1486250"," 0.2591133"," 0.1367002"," 0.1898060"," 3.5224278"," 0.4832634"," 0.1780949"," 4.0940087"," 0.1362486"," 0.1399014"," 4.1498252"," 0.3420992"," 0.5664626"," 4.4923363"," 0.1373812"," 0.1739141"," 2.6284584"
"2.866455131/438.118701","3.3622143","3.6116850","3.5929920","5.3271915","5.4939819","6.1806067","5.3180181","5.6350274","7.1152307","5.5350874","6.4808027","7.4606513","4.4338566","6.0149489","7.0882868","8.1677306","4.3686572","6.3586528","8.1943722","0.1401607","0.1554694","0.4673207","0.1469972","0.1400456","0.1584962","0.1328294","0.1118456","0.5245360","0.2202716","0.2749746","0.1131275","0.3202982","0.2061930","0.3347316","0.1245201","0.4267986","0.2468012","0.1394559","0.2676394","0.1366865","0.3957311","0.1513870","0.1486250","0.1398771","1.2450758","1.5093380","2.9052439","1.0657006","1.5049003","3.2515270","1.2945755","1.5760428","3.2686246","0.3314502","1.5338417","3.6294349","1.0772827","1.3189511","2.4420354"
"4.284141245/246.1697026","4.3743035","4.3524407","4.7922977","6.4355544","5.5010819","6.3158094","6.6302574","5.6744649","7.5485231","7.0090984","6.9559857","7.9457818","6.1765020","7.3600870","7.8180163","8.8662605","5.7547325","7.7930783","9.1798956","0.2709412","0.2911137","0.8327238","0.2795794","0.2756938","0.3541423","0.2908127","0.6438690","0.4512775","0.4406975","0.4855940","0.6377308","0.6325915","0.3803506","0.6552998","0.3567214","0.4233564","0.6994894","0.5451089","0.2682653","0.5609309","0.4661594","0.4466080","0.3986992","0.5803270","0.3992178","0.3381358","2.9309883","0.5665404","0.3779874","3.5891938","0.3550878","0.2675930","3.5115471","0.1741559","0.9318273","4.0551547","0.2960715","0.3183396","2.6523597"
"2.578309455/407.0549968","4.8180615","4.7548259","4.3498782","8.8985628","5.5717860","7.3068801","8.6806661","5.6027906","8.0259656","8.2651120","8.2124297","7.9048132","7.9317411","9.3081161","8.8137665","8.6723917","5.1483312","9.0136294","9.5342016","0.1401607","0.1554694","0.1419355","0.1469972","0.1400456","0.1584962","0.1328294","0.1118456","0.1416096","0.2202716","0.1336319","0.1131275","0.1505840","0.2061930","0.1327538","0.1245201","0.1645785","0.2468012","0.1394559","0.1419555","0.1366865","0.2634360","0.1513870","0.1486250","0.1398771","0.1367002","0.1898060","2.5338795","0.1381972","0.1780949","3.0651130","0.1362486","0.1399014","2.9696122","0.1741559","0.2422545","3.3069056","0.1373812","0.1739141","1.8471441"
"3.777401787/586.1678661"," 6.0995239"," 5.1757197"," 5.0925662"," 7.4752528"," 5.8450692"," 5.7360392"," 8.2007722"," 6.1928479"," 6.7396667"," 8.7925997"," 8.3685095"," 7.3881672"," 5.4431567"," 9.7571367"," 9.5022420"," 7.9981045"," 4.8069413"," 9.5826700","10.4752380"," 0.1401607"," 0.1554694"," 0.2524362"," 0.3093232"," 0.5845446"," 0.4164483"," 0.4153267"," 0.1118456"," 0.4554443"," 0.2202716"," 0.3664299"," 0.1131275"," 0.5773119"," 0.4075552"," 0.6086680"," 0.2565336"," 0.7527429"," 0.2468012"," 0.5947271"," 0.4452078"," 0.7830910"," 0.2634360"," 0.4884579"," 0.1486250"," 0.1398771"," 0.1367002"," 0.1898060"," 2.6917181"," 0.3185427"," 0.1780949"," 3.1489671"," 0.1362486"," 0.1399014"," 3.3682943"," 0.1741559"," 0.2422545"," 3.3971368"," 0.3034764"," 0.1739141"," 2.0223800"
"4.695560984/530.1804797"," 3.7860756"," 3.0537353"," 4.5279026"," 6.9998859"," 4.1150775"," 6.5519040"," 7.8712975"," 4.9724289"," 8.3400180"," 8.9968597"," 7.4983158"," 9.0245798"," 6.1423898"," 9.6319220"," 9.2334448","10.4852143"," 4.7871487","10.6448478","10.6294643"," 0.1401607"," 0.1554694"," 0.4623366"," 0.1469972"," 0.1400456"," 0.1584962"," 0.1328294"," 0.1118456"," 0.3741014"," 0.2202716"," 0.1336319"," 0.1131275"," 0.3124109"," 0.2061930"," 0.1327538"," 0.1245201"," 0.1645785"," 0.2468012"," 0.1394559"," 0.1419555"," 0.1366865"," 0.2634360"," 0.1513870"," 0.1486250"," 0.1398771"," 0.1367002"," 0.1898060"," 3.1174052"," 0.1381972"," 0.1780949"," 4.3102722"," 0.1362486"," 0.1399014"," 4.1314812"," 0.1741559"," 0.5734461"," 5.0748579"," 0.1373812"," 0.1739141"," 3.1885299"
"4.753738799/538.201072"," 6.5857025"," 5.6329245"," 5.9559726"," 8.4485107"," 6.4475539"," 7.1831091"," 9.2712448"," 7.0359600"," 8.2116306"," 9.9155054"," 9.0421983"," 8.7382576"," 7.5591339","10.6676730"," 9.7398079"," 9.6294143"," 6.1678349","10.5519475","10.3467111"," 0.1401607"," 0.1554694"," 0.3007728"," 0.1469972"," 0.1400456"," 0.1584962"," 0.1328294"," 0.2084787"," 0.2536730"," 0.2202716"," 0.3332795"," 0.1131275"," 0.1505840"," 0.2061930"," 0.2361500"," 0.1245201"," 0.1645785"," 0.2468012"," 0.1394559"," 0.2755909"," 0.1366865"," 0.2634360"," 0.1513870"," 0.1486250"," 0.2751969"," 0.1367002"," 0.1898060"," 3.3685387"," 0.4756776"," 0.1780949"," 4.4395021"," 0.1362486"," 0.1399014"," 4.8163084"," 0.3541388"," 0.4180105"," 5.2760291"," 0.1373812"," 0.1739141"," 3.5685999"
"4.752624112/516.2193636"," 6.9981906"," 6.2021296"," 7.3925152"," 9.5826933"," 6.5093049"," 8.6515590","10.8122087"," 6.7972782","10.6862658","11.9129441"," 9.7132308","11.1216790"," 7.6701871","12.4873202","11.5339290","13.0268256"," 6.1794331","12.9664086","13.2704344"," 0.1401607"," 0.1554694"," 0.6759233"," 0.2486704"," 0.1400456"," 0.1584962"," 0.2632929"," 0.2997015"," 0.2831043"," 0.2202716"," 0.5138784"," 0.1131275"," 0.3895063"," 0.2061930"," 0.3276585"," 0.1245201"," 0.1645785"," 0.2468012"," 0.1394559"," 0.1419555"," 0.1366865"," 0.2634360"," 0.1513870"," 0.1486250"," 0.1398771"," 0.1367002"," 0.1898060"," 4.0288755"," 0.6799846"," 0.1780949"," 5.4978792"," 0.1362486"," 0.1399014"," 5.1006247"," 0.4393737"," 0.2422545"," 6.3738680"," 0.1373812"," 0.3125232"," 3.6730144"
"2.772467825/371.0751092","2.9467120","2.9385626","2.6594999","4.6053346","4.0039979","4.6715877","4.4897744","4.0294243","5.2657732","4.5525762","4.6030811","5.4853726","4.4582323","5.0126351","5.1622556","6.1012575","4.3394455","5.2215981","6.1521622","0.1401607","0.1554694","0.1419355","0.1469972","0.1400456","0.1584962","0.1328294","0.1118456","0.1416096","0.2202716","0.1336319","0.1131275","0.1505840","0.2061930","0.1327538","0.1245201","0.1645785","0.2468012","0.1394559","0.1419555","0.1366865","0.2634360","0.1513870","0.5564413","0.1398771","1.0431958","1.0194193","2.2484978","0.9935220","0.7761082","2.5246897","0.9720420","1.0604357","2.4759455","0.6993581","0.8757438","2.7607581","0.9641945","1.0883024","1.8613705"
"4.695216315/550.1862538","3.1156198","2.4233143","3.9873573","5.7573464","3.3115781","5.8416533","6.4828868","4.0791333","7.5222961","7.4507487","6.1489558","8.1550895","5.4029631","8.0019254","7.6075139","9.4689551","4.1486294","8.8979358","8.8119478","0.1401607","0.1554694","0.3639773","0.1469972","0.1400456","0.1584962","0.1328294","0.1118456","0.1416096","0.2202716","0.1336319","0.1131275","0.1505840","0.2061930","0.1327538","0.1245201","0.2966944","0.2468012","0.1394559","0.1419555","0.1366865","0.2634360","0.1513870","0.1486250","0.1398771","0.1367002","0.1898060","2.7742746","0.1381972","0.1780949","3.8443968","0.1362486","0.1399014","3.6499226","0.1741559","0.2422545","4.5154193","0.1373812","0.1739141","2.8200934"
