Sample,PC1,PC2,Label,Name,Strain
1mem_Bt_12pt5hr-2,-38.517,-4.3862,12.5 h,R2,Bt
1mem_Bt_12pt5hr-3,-37.586,-4.6165,12.5 h,R3,Bt
1mem_Bt_12pt5hr-4,-37.609,-0.36113,12.5 h,R4,Bt
1mem_Bt_25hr-2,-70.176,-14.319,25 h,R2,Bt
1mem_Bt_25hr-3,-58.852,-11.778,25 h,R3,Bt
1mem_Bt_25hr-4,-65.888,-6.3312,25 h,R4,Bt
1mem_Bt_30hr-2,-74.518,-14.824,30 h,R2,Bt
1mem_Bt_30hr-3,-65.98,-14.385,30 h,R3,Bt
1mem_Bt_30hr-4,-76.392,-10.687,30 h,R4,Bt
1mem_Bt_35hr-2,-78.64,-16.049,35 h,R2,Bt
1mem_Bt_35hr-3,-76.737,-16.802,35 h,R3,Bt
1mem_Bt_35hr-4,-82.17,-13.182,35 h,R4,Bt
1mem_Bt_40hr-2,-90.716,-21.268,40 h,R2,Bt
1mem_Bt_40hr-3,-88.299,-20.413,40 h,R3,Bt
1mem_Bt_40hr-4,-94.826,-16.333,40 h,R4,Bt
1mem_Bt_45hr-2,-93.238,-20.351,45 h,R1,Bt
1mem_Bt_45hr-3,-96.087,-22.613,45 h,R2,Bt
1mem_Cv_12pt5hr-2,32.9,-6.7124,12.5 h,R2,Cv
1mem_Cv_12pt5hr-3,34.475,-6.9345,12.5 h,R3,Cv
1mem_Cv_12pt5hr-4,34.463,-1.2733,12.5 h,R4,Cv
1mem_Cv_25hr-2,50.228,-27.635,25 h,R2,Cv
1mem_Cv_25hr-3,51.865,-31.771,25 h,R3,Cv
1mem_Cv_25hr-4,52.821,-19.973,25 h,R4,Cv
1mem_Cv_30hr-1,42.766,-17.535,30 h,R1,Cv
1mem_Cv_30hr-2,52.682,-33.571,30 h,R2,Cv
1mem_Cv_30hr-3,52.466,-38.046,30 h,R3,Cv
1mem_Cv_30hr-4,54.935,-29.223,30 h,R4,Cv
1mem_Cv_35hr-1,47.863,-24.123,35 h,R1,Cv
1mem_Cv_35hr-2,57.499,-41.128,35 h,R2,Cv
1mem_Cv_35hr-3,58.821,-46.081,35 h,R3,Cv
1mem_Cv_35hr-4,57.215,-32.353,35 h,R4,Cv
1mem_Cv_40hr-2,60.805,-46.778,40 h,R2,Cv
1mem_Cv_40hr-3,64.624,-56.749,40 h,R3,Cv
1mem_Cv_40hr-4,60.267,-33.515,40 h,R4,Cv
1mem_Cv_45hr-2,62.648,-47.359,45 h,R2,Cv
1mem_Cv_45hr-3,60.341,-48.206,45 h,R3,Cv
1mem_Cv_45hr-4,62.154,-42.756,45 h,R4,Cv
1mem_Ps_12pt5hr-2,22.528,29.596,12.5 h,R2,Ps
1mem_Ps_12pt5hr-3,23.024,26.639,12.5 h,R3,Ps
1mem_Ps_25hr-2,27.845,52.261,25 h,R2,Ps
1mem_Ps_25hr-3,26.146,49.74,25 h,R3,Ps
1mem_Ps_25hr-4,-10.835,35.268,25 h,R4,Ps
1mem_Ps_30hr-2,27.134,55.697,30 h,R2,Ps
1mem_Ps_30hr-3,27.006,58.734,30 h,R3,Ps
1mem_Ps_30hr-4,-17.119,40.086,30 h,R4,Ps
1mem_Ps_35hr-2,28.657,60.217,35 h,R2,Ps
1mem_Ps_35hr-3,28.188,60.363,35 h,R3,Ps
1mem_Ps_35hr-4,-21.364,37.303,35 h,R4,Ps
1mem_Ps_40hr-2,27.842,69.616,40 h,R2,Ps
1mem_Ps_40hr-3,25.496,58.697,40 h,R3,Ps
1mem_Ps_40hr-4,-22.739,40.895,40 h,R4,Ps
1mem_Ps_45hr-2,29.823,63.403,45 h,R2,Ps
1mem_Ps_45hr-3,28.481,66.585,45 h,R3,Ps
1mem_Ps_45hr-4,-3.1284,48.976,45 h,R4,Ps
