Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6,Ps_6
5.043217752/112.0509056,917267.0697,2471202.569,2456284.303,2694912.337,1232860.998,5596388.41,5060499.987,2991025.445,1529917.559,4150710.438,4623182.542,5202552.637,1135983.375,3390465.016,7866282.375,2698373.731,2865680.475,5889493.316,8099193.044,5470902.057,2454578.471,4822715.176,7346229.658,84737832.21,502114293.3,422058946.4,258427190.9,704828443,1686144160,2060208262,1480053712,1521317034,1946421177,1954861850,2817714688,1919586578,2297512052,1839175885,1003945683,1477252530,2558217040,1838983590,2705035219,1326814843,3092490447,2341110076,2844002906,29898468,136232657.3,59387747.18,21085652.55,91133387.91,209710812.9,366125951.2,336619995.1,185284241.8,366544698.2,452585560.2,223195103.9,258123811.3,326914933.7,705397847,171296697.5,298360379.5,231345201.9,662136464,284538407.2,233675494.5,512173903.5,802375126.3,340250161.5
1.850102215/279.1342963,5550868.897,8094419.803,9110531.937,9227401.052,6344766.44,14227236.53,13940089.48,13553859.86,6342996.717,17294730.25,16793059.52,18886508.75,3762733.7,19514025.9,24820117.44,7403071.048,14320861.47,27367931.36,29016512.8,23982236.32,8382098.613,17903746.13,35967457.2,49204231.61,131314939.7,122120071.5,83186409.48,59376861.54,203136179.7,248076978.3,191896196.4,105233676.3,211289108.4,246814434.7,376621799.7,135905303.9,255431348.6,230077320.5,88159544.75,127432618.3,312226899.5,364855801.4,396019235.3,99243516.99,427233329.5,281352648.8,338512852.1,17628537.78,58857187.55,66773236.98,43198738.38,59616909.57,80708093.8,69829095.21,114702006.8,130840175.5,179361217.7,160932935.9,97276589.81,76187370.71,134328782.9,154539861.7,83086436.31,103796347,230457132,127755118.9,74399348.4,98630053.52,186269458.7,175583327.5,104526269.1
3.016100235/116.1073078,2247828.558,6833752.478,11694942.57,8569623.991,37660024.15,8419928.859,16382579.63,2003336.791,46564603.96,9507651.077,18821269.19,11553795.5,25654832.69,10133493.43,37872225.85,7991943.798,51016931.13,14864602.55,29168818.86,8545572.425,28878672.49,9386315.156,47468758.97,69889732.5,174652852,152404696.7,92186237.88,64818782.24,337014127.5,393063193.2,227708506.6,55526382.45,297192534.5,298826780.3,318977799.8,60391092.89,381048518.3,474892544.5,70617715.93,57076403.44,419351193.7,172125147.7,235063682.4,67429631.85,327185051.2,336661886.6,65542122.46,32514323.75,142529598.7,80419109.97,49896804.65,173386727.3,117448563.7,98010046.94,150450449.6,229162447.1,263278854.8,248263052,188611506,197087562.7,207921561.1,266744476.4,140371923.8,239202346.8,247271736,226170149.7,150569411.9,86850036.5,297578682.8,200158699.5,160238182.6
1.117333552/146.1175861,1726245.164,1054912.26,1900146.185,1546134.955,2036276.54,1508543.742,2611579.133,2367707.638,1987369.099,1317261.623,2233921.541,3868905.588,1229722.757,1136018.603,2943050.475,1328557.173,4454086.462,1744646.09,2829949.848,3781058.979,1227132.106,1178656.171,2917548.952,16718059.72,61709102.15,47813255.99,43548770.11,34989890.63,237709618.7,178962469.2,147809998.5,50906088.37,176444070.5,146397154.4,272778662.5,48278717.55,258221025.3,264041217.7,75601732.56,34686972.18,283775542.2,112153407,288227493.2,18748100.41,190140643.7,228514650,224512751,1073876.41,1099162.693,1703180.458,1100209.619,2288795.547,762377.2822,1188793.114,521497.8983,3291316.203,1358715.542,2504490.456,1490983.112,2948798.011,1072272.63,2331921.225,1192348.94,3476830.29,2399910.927,1620098.719,1211711.315,2497197.499,1310660.952,2256378.721,1811058.777
4.02630266/137.0458997,1367195.446,2398955.255,2192234.949,3281047.857,1319333.785,2227068.14,2670949.507,2175433.543,1397314.044,2171718.492,1941644.158,3501434.633,1624927.861,957200.3325,2322202.046,2122397.658,1975449.046,2074216.735,995609.7448,2978914.421,2690694.665,54201.70251,2332186.917,25553860.61,109051133.3,77277697.8,40613986.26,28380081.98,85117251.18,72432994.16,38600053.95,41052401.73,63048646.2,81563469.91,65340728.08,34119897.97,62174722.44,84712450.8,11833566.97,25989040.63,55516603.3,51014462.84,39725614.62,18849812.91,56297733.91,47628372.23,22054249.21,2213440.727,28053032.17,3586634.885,1585057.088,124243510.5,139790216.2,109167936.9,3879734.729,202187651.9,222957131.1,168472677.8,91567541.25,167424754,220174427.8,352119452.4,95108310.59,128465210.3,236529416.2,211031630.5,122100667.5,240177984,316124791.3,434279951.1,108377942.6
6.417354592/141.0659415,10606981.62,43915162.59,32940706.18,37629425.73,13234546.45,59178237.8,51255960.52,8860257.428,15034238.79,48749183.27,47060325.39,9374149.186,11620357.79,45329023.46,72277639.53,9406085.399,9883956.662,58970596.71,89627882.44,11125486.03,15610740.9,64921330.47,83022068.84,8076383.666,92683140.89,73486096.55,21196759.29,47702183.73,202794134.7,293467295.7,174922475.4,64493106.66,267992495.2,318717581.9,578203194.2,89195011.79,326899479.4,320960571.9,114723770.4,87001342.78,347192561,430793444.8,584998070.9,87439768.5,382504739,393634250.9,248317801.9,9264740.795,85443946.37,54330358.84,11524894.46,58750298,311362662,275495000.7,568418984.5,137714429.3,400959890.9,458310388.7,190222820.2,109308517.3,446976193,467445994.6,151355746.5,155510889.7,430485876.9,643788685.6,242555971.7,113559237.5,601163761.6,683003508.8,207749532.6
6.410235681/159.0765767,14297446.49,38009006.12,32054340.12,51166066.21,20258466.44,49660458.44,53090600.73,16001460.3,23077532.61,39563709.64,50897212.68,20914019.88,16556433.79,36854268,80803855.2,15803761.92,19287869.05,51442681.74,90686471.22,22093394.26,23253689.07,49769272.34,94528808.56,12188877.35,78934228.64,86700528.62,43984782.93,70986541.8,166833493.3,328658850,289558284.1,116345310.8,211078921.5,312514918.8,782155086.4,175001925.5,260233056.4,309321817.4,182530318.7,128059192,274803248,419051794.7,761448863,118972987,329573713.4,418464486.2,531318688.2,13148475.5,67250854.43,51524278.66,21005870.87,89243411.49,253786683.1,273500804.5,773191307,198209835.8,344776867.8,530359138.2,401976325.7,215321919.6,357006198.8,536988150.9,273780555.6,290244047.3,357409717.8,662964576.8,401756513.7,214770991.5,499076355.1,795626194.6,423250822.4
4.904100347/223.0940782,4634.42041,23467.19663,5683.487776,2658.76705,2615.076383,4477.900801,27513.99495,2721.480039,3838.179795,12152.16653,18902.27475,4880.59266,1992.025498,7426.454279,32501.20843,2711.295907,3637.759099,8697.957336,6807.853341,4609.455064,3031.191775,3529.676402,6965.884739,12301333.08,74935798.99,74761900.86,63509712.03,263012264.5,348418242.2,637735054.4,631408304.1,742804065.6,374181030.7,487650107.7,1114726569,968032685.5,449722617.9,467043749.8,414465342.4,595920023.3,492523009.2,473374335.8,1077500016,503993443.9,676426602.1,701938518.4,1559610244,1510956.726,6081953.548,1223663.643,448924.6227,11147078.31,15772807.87,52180278.67,57000165.34,34554298.82,47694613.42,86338873.96,57772386.26,63311918.96,33515831.78,180668865.5,44293827.26,81288430.77,21890870.7,151690411.5,77712594.58,54489970.46,76811266.7,219878383.6,116115601.9
11.66641701/175.1079431,9486735.642,15599425.84,14919544.45,17215578.45,22407126.63,63229497.45,45510895.16,17745320.23,27840893.91,31955891.36,62330178.64,23154476.62,16271059.86,23107891.1,54275095.27,15054831.8,24808777.35,77368454.42,92306242.69,34706354.51,21148203.98,28366057.69,58927206.97,22697876.11,75124566.61,47317695.98,21649540.21,46720449.69,116610401.2,107677568.5,72554001.67,66135283.28,99488120.77,146298236.9,70226449.62,80033591.58,124898823.7,135131619.6,41099925.48,95537871.17,119682744.3,146518950.9,122496221.8,66255655.74,118639710.9,153155390.3,66604543.24,9794213.023,16248489.77,15869577.53,7508931.414,16167028.43,16127742.81,16602460.28,19903386.36,24444505.17,41976169.8,16097482.59,16798898.65,17576169.48,19823956.91,20614957.7,10287253.56,16260154.73,36501910.83,45974487.56,154818.0581,14431254.41,35586094.03,26811053.35,15419103.31
