Sample,PC1,PC2,Label,Name,Strain
1mem_Bt_12pt5hr-1,-106.4,-27.247,12.5 h,R1,Bt
1mem_Bt_12pt5hr-2,-114.23,-23.846,12.5 h,R2,Bt
1mem_Bt_12pt5hr-3,-109.61,-31.337,12.5 h,R3,Bt
1mem_Bt_12pt5hr-4,-115.31,-35.261,12.5 h,R4,Bt
1mem_Bt_25hr-1,-123.97,-26.617,25 h,R1,Bt
1mem_Bt_25hr-2,-164.26,-48.633,25 h,R2,Bt
1mem_Bt_25hr-3,-153.95,-45.33,25 h,R3,Bt
1mem_Bt_25hr-4,-138.08,-30.42,25 h,R4,Bt
1mem_Bt_30hr-1,-122.14,-28.735,30 h,R1,Bt
1mem_Bt_30hr-2,-170.69,-47.229,30 h,R2,Bt
1mem_Bt_30hr-3,-164.57,-51.444,30 h,R3,Bt
1mem_Bt_30hr-4,-147.94,-32.6,30 h,R4,Bt
1mem_Bt_35hr-1,-123.23,-27.287,35 h,R1,Bt
1mem_Bt_35hr-2,-182.93,-56.664,35 h,R2,Bt
1mem_Bt_35hr-3,-187.93,-60.751,35 h,R3,Bt
1mem_Bt_35hr-4,-149.24,-32.517,35 h,R4,Bt
1mem_Bt_40hr-1,-129.12,-29.153,40 h,R1,Bt
1mem_Bt_40hr-2,-197.38,-64.249,40 h,R2,Bt
1mem_Bt_40hr-3,-199.18,-67.587,40 h,R3,Bt
1mem_Bt_40hr-4,-170.83,-44.793,40 h,R4,Bt
1mem_Bt_45hr-1,-116.28,-25.927,45 h,R1,Bt
1mem_Bt_45hr-2,-192.76,-63.036,45 h,R2,Bt
1mem_Bt_45hr-3,-227.36,-79.458,45 h,R3,Bt
1mem_Cv_12pt5hr-1,1.339,47.384,12.5 h,R1,Cv
1mem_Cv_12pt5hr-2,4.9233,63.455,12.5 h,R2,Cv
1mem_Cv_12pt5hr-3,8.4322,56.468,12.5 h,R3,Cv
1mem_Cv_12pt5hr-4,-0.96839,49.383,12.5 h,R4,Cv
1mem_Cv_25hr-1,13.084,71.016,25 h,R1,Cv
1mem_Cv_25hr-2,37.511,124.14,25 h,R2,Cv
1mem_Cv_25hr-3,36.132,125.58,25 h,R3,Cv
1mem_Cv_25hr-4,29.932,103.95,25 h,R4,Cv
1mem_Cv_30hr-1,19.834,85.636,30 h,R1,Cv
1mem_Cv_30hr-2,37.387,138.62,30 h,R2,Cv
1mem_Cv_30hr-3,39.706,147.49,30 h,R3,Cv
1mem_Cv_30hr-4,55.437,168.81,30 h,R4,Cv
1mem_Cv_35hr-1,21.873,105.99,35 h,R1,Cv
1mem_Cv_35hr-2,51.722,166.48,35 h,R2,Cv
1mem_Cv_35hr-3,42.766,156.53,35 h,R3,Cv
1mem_Cv_35hr-4,30.557,137.35,35 h,R4,Cv
1mem_Cv_40hr-1,25.409,117.57,40 h,R1,Cv
1mem_Cv_40hr-2,52.605,179.19,40 h,R2,Cv
1mem_Cv_40hr-3,48.583,182.33,40 h,R3,Cv
1mem_Cv_40hr-4,51.752,184.11,40 h,R4,Cv
1mem_Cv_45hr-1,21.254,113.58,45 h,R1,Cv
1mem_Cv_45hr-2,44.469,178.58,45 h,R2,Cv
1mem_Cv_45hr-3,52.379,187.2,45 h,R3,Cv
1mem_Cv_45hr-4,38.519,172.43,45 h,R4,Cv
1mem_Ps_12pt5hr-1,46.719,-32.937,12.5 h,R1,Ps
1mem_Ps_12pt5hr-2,47.374,-36.747,12.5 h,R2,Ps
1mem_Ps_12pt5hr-3,34.235,-23.738,12.5 h,R3,Ps
1mem_Ps_12pt5hr-4,24.864,-17.42,12.5 h,R4,Ps
1mem_Ps_25hr-1,66.365,-46.394,25 h,R1,Ps
1mem_Ps_25hr-2,120.45,-93.217,25 h,R2,Ps
1mem_Ps_25hr-3,106.92,-84.108,25 h,R3,Ps
1mem_Ps_25hr-4,139.77,-115.58,25 h,R4,Ps
1mem_Ps_30hr-1,90.494,-62.077,30 h,R1,Ps
1mem_Ps_30hr-2,146.57,-115.24,30 h,R2,Ps
1mem_Ps_30hr-3,138.26,-109.74,30 h,R3,Ps
1mem_Ps_30hr-4,116.39,-89.812,30 h,R4,Ps
1mem_Ps_35hr-1,94.82,-61.205,35 h,R1,Ps
1mem_Ps_35hr-2,151.54,-121.27,35 h,R2,Ps
1mem_Ps_35hr-3,149.23,-121.92,35 h,R3,Ps
1mem_Ps_35hr-4,120.64,-94.307,35 h,R4,Ps
1mem_Ps_40hr-1,101.35,-65.773,40 h,R1,Ps
1mem_Ps_40hr-2,137.86,-114.31,40 h,R2,Ps
1mem_Ps_40hr-3,178.96,-145.59,40 h,R3,Ps
1mem_Ps_40hr-4,143.68,-113.32,40 h,R4,Ps
1mem_Ps_45hr-1,102.89,-34.474,45 h,R1,Ps
1mem_Ps_45hr-2,167.79,-135.22,45 h,R2,Ps
1mem_Ps_45hr-3,179.93,-139.77,45 h,R3,Ps
1mem_Ps_45hr-4,135.67,-108.97,45 h,R4,Ps
