"","1mem_Bt_12pt5hr-1","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-1","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-1","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-1","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-1","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-1","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_12pt5hr-4","1mem_Ps_25hr-1","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-1","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-1","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-1","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-1","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4"
"Label","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps"
"1.49101584/129.0196617","14.90364","16.10209","15.87110","18.45322","15.81848","18.17797","19.97638","18.56857","16.38526","16.99295","20.14058","19.68938","15.83408","17.41043","22.67002","17.24108","17.87326","21.66827","25.18395","24.08133","15.76386","19.86451","25.43754","11.78606","14.21223","14.54737","12.40099","12.21513","16.29611","18.87681","14.53050","13.70309","16.25359","18.79219","24.10663","13.97453","18.84385","17.67804","15.90767","12.66013","19.81740","20.47912","22.66664","11.75437","19.24108","21.35800","20.70539","10.86523","11.40195","10.84045","10.13383","13.49375","14.84858","14.62771","21.52454","15.06790","18.68307","18.35692","19.13633","16.40929","17.58960","17.83290","18.42867","16.54458","16.46388","20.25847","18.09462","15.90320","19.57302","21.80020","19.56864"
"3.229595159/147.0666194","11.30745","14.54340","15.31878","16.24688","17.61425","24.39375","26.85583","20.94676","19.62924","25.52750","28.81623","23.28457","18.95013","27.75129","34.78996","24.90549","19.14128","34.51946","37.35165","30.68672","22.02497","33.01150","41.02775","15.48727","21.08165","20.23916","14.15654","24.97528","34.68194","33.89555","21.38828","28.92090","34.78273","37.07817","43.70294","29.72025","38.64161","35.57145","24.74026","29.16757","39.86496","38.23466","41.31171","27.11990","38.28768","39.32592","29.70168","28.79252","29.13722","26.68394","22.01129","25.76545","33.52179","31.67348","44.30123","31.01758","44.13088","37.57093","32.82083","31.38980","42.01054","39.35446","31.86587","33.95815","42.69424","43.55460","35.85384","31.66516","48.71684","44.04091","37.37208"
"1.338162518/157.0508567","14.383623","15.419234","17.238559","19.268055","15.606044","19.573387","21.420547","18.179115","16.666991","19.666539","23.038625","19.142501","15.336832","20.251861","25.542382","18.342403","17.776547","22.075996","27.034675","22.624357","16.552590","21.849947","29.137155","11.615383","13.921738","15.827003","11.324561","11.119277","16.789710","18.824918","14.698762","13.575927","17.040643","19.740444","24.897805","14.218155","19.021736","18.710677","15.364353","13.328046","19.806761","22.041847","23.071487","12.780480","19.527989","22.313322","18.817201","11.312897","11.568418","11.517365"," 9.870649","17.796356","26.686516","25.968986","38.515612","21.920140","31.325099","32.339898","29.196701","24.678880","32.092197","34.031834","27.784554","24.474072","29.723455","35.698087","31.015529","26.334624","34.269407","37.360778","28.919782"
"6.85810108/89.02438863","19.11630","15.08251","16.44293","19.40774","23.44869","31.41922","35.09438","31.21473","24.98139","31.69914","34.23792","33.85374","27.98047","38.18407","42.56445","33.83054","30.69766","39.60352","46.51138","46.90680","27.38004","41.80539","49.26210","45.58577","14.44719","17.68965","12.31999","13.79964","15.58729","17.05561","16.00161","15.03103","15.42929","26.95356","22.99511","15.66380","16.53365","29.42581","16.88098","12.66501","17.03101","15.82796","20.58304","12.10060","16.09485","21.74378","17.71845","17.94577","15.44531","16.38990","15.18081","15.31313","19.13661","19.18258","26.22925","17.86952","21.16620","21.92057","20.21315","19.10033","24.45372","25.20368","18.75524","24.07347","20.78468","24.17642","22.44710","15.42847","23.69032","24.22815","22.27909"
"1.825429116/129.0560424","17.193196","10.280464","15.464325","19.779942","15.427801","10.475145","17.434353","13.495521","18.063762"," 9.205702","16.558323","14.382412","16.252989","15.263411","18.558482","12.220394","13.340536","16.624043","18.522931","15.095019","14.128624","15.057553","18.724477","13.401261","13.809592","15.495617","10.968086","13.886927","18.543085","18.039638","14.878869","14.230010","17.930664","19.636592","29.207022","12.337166","19.743673","19.900545","13.696734","13.362162","20.343285","21.579665","28.711210","13.749978","20.657266","20.188666","15.421196","46.659689","38.812507","37.434126","32.364563","34.322778","57.224068","51.516380","73.931298","41.978716","70.175040","65.803579","57.981028","42.675134","70.216521","70.110774","57.982325","46.976989","62.205163","74.938013","65.074659","42.860209","77.227749","72.393565","63.451923"
"7.489042403/160.0619387"," 3.275273"," 2.070233"," 3.072906"," 3.159350"," 2.431243"," 2.807481"," 2.301887"," 3.952181"," 2.103361"," 3.172267"," 3.886584"," 2.610388"," 2.186487"," 3.549056"," 3.515510"," 2.093298"," 2.430962"," 3.516208"," 3.968917"," 3.957025"," 2.557972"," 4.084599"," 4.841661"," 4.910380","13.622711","14.389160"," 8.714127","29.963646","38.018625","43.770872","31.055092","19.202775","41.905363","42.300677","59.620859","38.341060","54.586208","43.712741","39.294929","40.855060","57.367222","43.468426","60.159184","43.773170","48.281849","47.333339","42.008309"," 3.103461"," 5.240106"," 5.719595"," 2.136044"," 7.459328","12.747894","11.168845","14.814575"," 9.840872","15.316162","15.607175"," 8.339465"," 5.842692","17.041249","14.297723"," 5.052805","10.297503","14.617831","16.319971","12.425767"," 9.876219","15.510288","19.141975"," 5.552011"
"3.493400955/115.0402958","16.06789","14.58693","14.80963","16.82479","13.09892","14.56420","16.03957","13.03818","13.14143","14.39099","14.78280","13.21433","12.99402","14.98643","16.19392","12.47486","12.02010","13.94857","16.52339","13.04564","10.83629","12.88358","15.75124","14.52444","14.11961","15.46592","13.18363","12.43434","13.37989","14.73342","13.92560","13.02718","12.04825","14.87842","17.72173","12.33958","14.21046","14.66959","15.06108","11.61150","14.53451","14.68061","19.45285","10.47923","13.69534","17.19934","14.44054","16.82486","14.05515","14.06314","14.36040","14.44843","16.44114","16.14950","22.88039","16.11332","17.62893","18.62547","19.98056","17.57867","17.16273","18.28959","20.24762","18.99602","13.70599","23.36873","21.07618","16.23054","20.55704","20.44877","21.19307"
"3.738749962/117.0559837","15.08132","13.09072","14.74957","15.62071","13.66593","15.37537","16.37807","15.19407","13.49508","13.93482","16.66162","16.25335","11.47671","14.84457","16.77132","16.31130","11.67194","15.75906","19.35461","18.02202","13.38792","15.48700","19.14438","14.28609","13.83028","14.59838","13.19956","19.47984","15.78859","16.68558","21.59256","21.11957","16.38110","19.17802","28.94796","20.26585","20.10937","19.96417","20.78355","18.33662","21.21711","21.94711","29.09531","16.21269","18.36470","19.93474","18.15288","31.26512","30.12527","26.90056","26.12161","29.11177","42.67307","39.31962","56.64824","37.69278","50.82784","47.44387","50.02784","34.83916","48.86994","48.46811","47.74953","39.57249","42.95037","53.08916","54.31986","33.76318","52.29413","54.11516","52.43041"
"1.456909774/161.0821691"," 3.704943"," 3.823075"," 4.314952"," 4.380872"," 4.380508"," 4.154469"," 4.357829"," 3.318081"," 3.112372"," 4.094239"," 4.249943"," 3.328470"," 3.352923"," 4.369081"," 4.943229"," 3.229375"," 3.086701"," 4.776547"," 5.152250"," 3.761946"," 3.671650"," 4.671060"," 5.537152"," 7.945133"," 9.736968","10.109233"," 7.223572"," 7.512183","14.714671","15.127171","11.295544"," 8.626492","15.659448","17.592016","21.832954","10.421249","18.570938","18.458270","14.111572","10.646900","19.727821","21.477701","23.393354","10.305269","20.731470","22.534643","19.219744"," 9.550425","10.155774"," 9.500330"," 7.282628"," 8.523074","13.363188","12.562591","17.421365","10.309974","16.051592","15.140123","12.428756"," 9.501257","15.032361","15.539134","12.147734"," 9.745913","14.581754","15.678504","13.194739"," 9.481267","15.425069","16.574196","12.958061"
"10.30095092/159.0777759"," 7.182587"," 6.032053"," 5.941528"," 5.602002"," 8.423658","10.467633","11.440799"," 8.355540"," 8.541275","10.627766","12.407894"," 8.352921"," 9.674465","11.018907","13.432602","11.382467"," 7.895389","12.463781","15.710580","11.060045"," 8.938415","14.767166","14.832416","12.323193","11.387743","10.797694"," 7.839888","16.952595","23.252136","19.647054","17.102883","17.318534","25.300893","24.763045","25.037040","18.411142","28.241948","25.970546","21.976445","20.357729","29.858699","27.414983","25.280668","20.353346","27.551908","28.614089","22.537410"," 7.942228"," 7.122082"," 5.700442"," 4.072854"," 7.501113"," 9.545375","10.721989"," 9.838458"," 8.930018","10.088437","10.068284"," 8.941450"," 8.196677","11.909873","11.508153"," 8.190627"," 8.247193","11.685759","15.390593","10.595651"," 8.572568","13.396665","12.999953","10.434534"
