"","1mem_Bt_12pt5hr-1","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-1","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-1","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-1","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-1","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-1","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_12pt5hr-4","1mem_Ps_25hr-1","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-1","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-1","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-1","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-1","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4"
"Label","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Cv","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps"
"1.464597953/153.0308249","2.1503300","1.2518815","2.0454703","2.4799842","1.9961932","0.9092230","1.1344700","1.7979165","2.0558994","0.8180440","0.9206923","1.8025053","2.2849262","1.3619230","1.0212245","1.8839746","1.6089429","1.1828559","1.4627022","1.9442163","1.3057142","1.0126680","1.2744823","3.4367838","3.0683186","2.9958438","2.4226504","3.4484539","4.1984583","3.5335600","3.0324592","3.6696460","4.2195867","4.4879572","4.5297407","3.3158585","4.5721410","4.6635373","3.6748469","3.3393095","4.7913985","3.7799777","2.8866789","3.0490781","3.5376216","4.6589724","4.4669173","2.9702189","2.3608870","2.0699843","2.1621412","3.4782691","3.4041237","2.8454206","3.7060337","4.1758163","3.2255400","2.2343327","4.0580179","3.9924251","3.2046854","3.1837223","3.9358821","4.2637188","3.7410175","3.8584519","4.0338245","3.1205074","4.0071342","3.5516825","4.2113420"
"1.565435841/128.948997"," 7.953892"," 8.712919"," 8.597761"," 9.082799","10.171931","12.922947","12.791793","11.665035","10.772519","13.066502","13.240283","12.824295","11.210435","13.925674","15.282823","12.146049","12.848653","16.523004","17.576267","16.176636","12.341542","16.331011","18.481481"," 2.390648"," 2.392087"," 2.572217"," 2.223500"," 3.407493"," 4.102782"," 4.256178"," 3.516071"," 4.336881"," 4.319255"," 3.883597"," 6.112249"," 4.891352"," 5.104773"," 3.475273"," 4.005497"," 4.531849"," 5.179264"," 3.944931"," 5.770765"," 4.476962"," 5.257807"," 4.822310"," 5.256377"," 1.014807"," 1.923131"," 1.433877"," 1.517089"," 1.709777"," 1.898773"," 1.763491"," 2.813544"," 1.987543"," 2.555136"," 2.164481"," 2.596080"," 2.193651"," 2.683192"," 2.189405"," 2.267069"," 2.347434"," 2.715722"," 3.001811"," 2.663107"," 2.046771"," 3.014958"," 2.836923"," 2.630430"
"1.329609835/193.1599429","2.3207957","2.2568201","2.3511863","2.3457194","1.0917890","2.9448903","2.9402705","1.7948479","1.2058043","3.0315717","3.1632773","2.1095003","1.2609328","3.2677429","2.7639005","1.5816969","1.2448946","3.6150440","3.8829341","2.5277580","1.2561547","3.3199440","4.2115703","0.8732885","2.1738089","1.9064414","1.2026210","1.0102772","1.9287920","1.5633721","0.9733986","0.9550304","1.9027670","1.8243304","1.6900401","0.7784036","1.9747499","1.8824131","1.0375496","1.1843330","2.5017279","1.3959966","1.4503045","0.8163286","1.9432082","2.2298153","1.6395825","1.1771151","2.3993580","2.1016948","1.5321880","1.2550620","2.2908741","2.0902985","1.2851046","1.1659308","2.1147866","1.4965475","0.7825412","0.5457798","2.3769989","1.8009822","1.0139921","0.9177795","1.8088385","1.3795549","0.7314041","0.9429831","1.7055396","1.5485205","0.8325045"
"10.19906447/214.9879315","1.5148677","1.2489865","1.2843575","2.1122245","0.9461677","2.0236035","0.8754943","1.4304704","0.7030939","1.8403092","0.9528386","1.8210220","0.4014146","1.7844951","2.6431156","1.0282215","1.8455597","1.6640414","2.8636652","2.3411019","0.6914633","1.4012426","2.6008166","1.1794239","2.6989247","3.1451540","2.3592968","3.9245453","4.6005859","5.3546743","5.3313220","4.8527784","4.6543001","5.8038479","6.1949369","5.0116158","3.7263376","4.9380090","4.9135561","3.0075021","3.8450662","3.0595776","5.0038951","1.4905360","3.2541878","1.9722475","4.0589280","1.6033695","1.5544503","1.1457935","0.6779945","1.2258394","1.0087369","2.3187933","2.6875060","1.8610161","2.6889940","2.6727969","2.2113722","2.2973429","2.7919350","2.6004484","2.8816188","2.8402213","1.5172538","2.7621828","3.3028521","2.7374463","2.8007924","2.9037159","2.2812643"
"10.25622778/273.1096728","0.7411902","0.8022934","0.7037218","0.3547485","0.6386950","0.9987984","0.9741263","0.6461282","0.6767733","0.8118816","1.3289647","0.6725022","0.9774769","0.8837822","1.3176442","0.7673208","0.5863706","1.2528981","1.2757796","0.8756776","0.9659132","1.3841785","1.2168035","3.5642785","2.5451036","2.3539644","1.4953215","2.7058642","3.3777146","3.3150373","2.7448387","2.3419089","3.2067731","3.8770723","3.2567942","2.3390084","3.4808956","3.7081323","3.1950640","3.1161656","3.3623551","3.8620376","2.8914424","3.3301173","3.4103688","4.5975799","2.4216306","0.9123407","0.7016419","0.6128586","0.5510076","0.5890859","0.6334719","0.6763650","0.6909565","0.7054080","0.6856131","0.6825264","0.5825775","0.3202909","0.5863537","0.6684595","0.6188117","0.6698478","0.8423699","1.3030208","0.8163466","1.3529273","0.9668267","0.7058151","0.6407760"
"6.656779508/222.0774321","0.6680645","0.7078552","0.6065476","0.3547485","0.7147738","0.6912278","0.7948452","0.8171539","0.4860240","0.6404709","0.6105475","0.7067224","0.5856742","0.4875203","0.6287989","0.6569374","0.4805607","0.6312267","0.7654447","0.5963635","0.7885227","0.7355351","0.7995900","4.3901521","2.7608396","2.9670095","3.5957371","3.6947100","4.6201127","4.9125858","5.5452440","3.5038322","5.1693588","6.0433193","6.4454179","4.1503403","6.1583820","6.0379248","7.4945409","4.0070633","6.9326071","6.8352443","7.3206122","4.4274755","7.6127605","7.5928631","8.5268681","1.9287163","0.6597568","0.6694021","1.1237144","0.8047204","1.5585838","1.7130977","2.4283354","1.2169108","2.0147183","2.3902825","2.6389765","1.4689616","2.2013754","2.3955108","2.6800128","1.7568032","1.7896469","2.1258976","3.5887172","2.4604317","2.1674241","2.8032122","2.8987877"
"4.389933901/305.0995522","2.663271","2.638044","2.173979","3.210667","3.008672","3.507055","3.633503","3.701585","3.434115","2.950088","3.668053","4.083853","2.357647","2.981345","4.474362","3.596647","3.741157","4.048530","4.863446","5.285836","3.251332","3.693127","5.124878","1.471177","2.820350","2.923594","2.501581","3.931370","4.233887","4.995602","4.027535","5.090661","4.150708","5.103806","7.231761","5.604668","5.398672","4.942847","4.897570","5.391112","5.601161","5.731773","7.197570","5.008347","5.831740","6.127607","6.864725","2.093549","2.354898","2.150096","2.027594","3.894653","3.581472","3.907506","5.805985","4.598750","4.472206","4.857814","4.636510","5.252947","3.924849","4.953874","4.591655","5.502800","4.362197","5.686790","4.622609","4.411397","4.968472","6.396873","5.277468"
"10.34226444/169.0144952","0.7414833","0.6785642","0.6137965","0.8662840","0.7011978","0.7697638","0.6277651","0.7035187","0.6819529","0.6889511","0.7661750","0.6500959","0.7702340","0.6623413","1.6496683","0.6243962","0.7946056","1.9966475","1.8482378","0.7015102","0.6076805","0.8925121","1.2297891","0.9848061","2.9066098","2.3214613","0.9666177","2.0159629","5.4049876","5.1216985","3.2245350","4.2573350","6.1027949","4.8318703","8.5214605","4.3368518","7.6891602","4.5764162","1.5910702","3.6403381","8.3162176","5.0986975","8.1971989","1.5940710","8.8044613","6.4391279","5.7337868","1.0626349","2.0557202","0.6595189","0.6569034","0.6001898","2.2933951","0.8571750","0.8722423","0.9540426","1.6414679","1.4017678","1.4505821","0.9851445","1.7683420","2.0967948","0.7040857","1.2724863","2.2414167","1.2872149","0.9098143","1.3484883","2.0835833","1.8848618","0.8007975"
"1.126272784/154.0512155","11.412419"," 7.008896"," 9.213749","11.176829"," 6.740196"," 7.988043","10.830331"," 8.239299"," 5.823221"," 8.471111"," 9.887998"," 6.747881"," 5.536730"," 6.502448","10.468021"," 6.957320"," 4.722252"," 5.880198"," 9.814316"," 6.231180"," 5.086428"," 6.137714"," 8.988158"," 1.854633"," 2.137699"," 2.579901"," 2.387503"," 3.518606"," 2.477379"," 8.360332"," 2.755514"," 3.436569"," 3.772628"," 8.827639","10.821684"," 3.423967"," 2.625110"," 3.455515"," 3.246597"," 4.243141"," 4.665491"," 3.093088"," 5.031022"," 2.927219"," 4.433360"," 8.909247"," 4.139194"," 1.877273"," 2.605840"," 2.369931"," 2.147944"," 2.742907"," 2.318079"," 2.395623"," 2.916869"," 1.922416"," 2.293299"," 2.710107"," 2.812541"," 3.209523"," 1.670362"," 2.869793"," 2.882958"," 3.124801"," 3.401100"," 3.411466"," 3.778323"," 3.891129"," 2.008109"," 3.283436"," 3.235435"
"6.089539624/285.0679356","0.7155409","1.6267905","0.6512573","0.3547485","1.3338913","2.2813001","1.5456706","0.3145931","1.1441582","2.0921455","1.2563140","0.7701027","1.3831402","2.5949861","1.5644489","0.6521048","1.0546425","2.6993343","1.2617087","0.6360479","0.9731729","1.6507013","1.4148682","0.7406522","2.3054314","1.9030574","0.8641864","1.1880867","2.4325142","1.2675675","0.4338010","1.2934357","1.7831462","0.6637224","1.2695036","0.5595382","1.5371409","0.5685495","0.6001565","0.8117243","1.0492420","0.3634324","0.7693361","0.5806390","0.7662076","0.3803107","0.3135979","0.9355150","0.8434240","1.2119283","0.5826860","1.9714041","1.4916181","1.4447972","1.1279945","1.2996521","1.1154214","1.8664768","0.6386885","1.3286600","1.5504126","2.0213338","0.5801274","1.2106953","1.9273410","2.1974631","0.8440130","0.9956513","2.0890715","2.1829394","0.8365026"
"4.352730544/187.0194543","0.6800435","2.0187425","1.3346114","3.5915212","0.8286776","2.5394802","2.6266253","1.5774594","1.3483949","2.8303364","2.8230561","1.5750820","1.0999729","2.1328794","2.2772735","1.4683858","1.4937422","3.0368499","3.2968019","2.1136876","0.8699386","1.6758610","3.2429173","0.8374151","2.7506952","2.0966130","0.9962455","1.5941437","3.6788862","3.5301834","2.0946770","1.8213127","3.4418649","3.6694572","5.0918172","1.3481763","3.9233264","4.2025604","0.6845924","0.6894915","4.0682176","4.2800436","3.0452279","0.7145072","2.5066604","4.5006543","0.9730476","1.2551996","1.9011898","2.8117752","1.8267346","2.5287147","4.2478053","3.3606694","6.1238855","2.8008020","4.6163450","4.1544336","4.5568538","4.0151379","5.0295888","4.1997074","4.9847229","3.6000654","4.4068066","5.7572297","4.5449935","3.5112603","5.2835085","5.9988692","5.1846422"
"3.589196208/363.0430656","1.2481933","0.8132030","0.7323029","1.2155936","1.0288303","0.8328226","1.5845472","0.6291419","0.6729721","0.8877305","2.7199294","0.6441475","1.0299058","0.7133672","2.5966315","2.1592744","0.6556205","0.7567688","1.5216945","0.7235990","1.5743549","0.7089390","2.3226635","2.4893482","2.9760969","2.6833064","2.3595110","2.6086745","3.2192837","1.9301331","2.6566684","1.0679420","3.0865736","3.7393429","5.1874449","2.8900675","3.4544041","2.9535186","3.9011297","3.9792859","3.4898561","3.2742528","5.2436591","4.1593312","6.2476975","2.5655143","2.4205602","0.7807623","0.3132404","0.5171601","0.4953813","0.3253121","0.3605880","0.3640863","0.6522319","0.8428146","0.7106100","0.6678830","0.3174578","0.5420900","0.7312817","0.7011800","0.3281545","0.5117431","0.3074099","0.7118122","0.6872680","0.2987188","0.7290854","0.7590158","0.3196614"
"6.994711805/296.0739649","2.882929","1.244898","1.302870","1.134196","2.176275","2.040591","2.133227","1.818775","1.930230","1.726562","2.264882","2.427944","2.727341","1.939414","3.772144","2.615650","2.113503","2.521204","3.183923","2.467272","2.453678","2.799462","4.353206","2.463533","2.667584","3.405823","1.844104","4.528736","3.754766","5.120397","3.896598","3.097356","3.507478","3.844958","3.767766","3.603568","4.344752","3.745659","4.444909","4.728450","4.383466","3.961013","3.557448","4.664307","3.952735","4.967349","3.753991","6.224152","3.289117","3.319594","2.310252","2.617978","4.282870","3.847544","4.556319","3.434877","4.264571","6.225539","4.063457","2.449911","4.536293","6.929621","4.264885","3.688180","4.090306","5.511190","5.246101","3.017296","4.612109","7.393509","4.755804"
"4.161660888/172.0982378"," 3.641268"," 2.806590"," 4.264369"," 4.118873"," 6.771296"," 2.304499"," 3.794780"," 2.713678"," 2.807899"," 2.097249"," 3.938628"," 2.895542"," 2.875160"," 2.076285"," 3.436172"," 2.621580"," 2.184355"," 4.973780"," 2.938835"," 2.784641"," 4.225604"," 2.333271"," 2.960294"," 3.761816"," 3.462765"," 4.511669"," 3.139284"," 8.259979","15.629675","17.648824","14.865124","11.083392","17.871902","19.113053","26.458322","10.584928","21.565729","19.784493","15.995298","12.769648","23.533080","24.985773","28.860550","11.267830","22.061062","26.221036","20.490631"," 5.426904"," 3.106932"," 4.088552"," 3.057120"," 2.512348"," 8.222467"," 3.796613"," 9.389059"," 5.199347"," 8.926874"," 9.338317"," 6.721216"," 4.180656"," 9.814055"," 8.349418"," 8.225752"," 5.603385"," 7.870787"," 8.910847","11.529401"," 8.655282"," 8.652851","10.773938"," 9.524798"
"10.93103007/384.0047076","0.8752568","1.7094102","1.2241770","1.0124800","1.5238523","2.2514190","2.3152594","0.8962947","1.2200125","1.8867078","2.5058637","0.8617616","1.3815343","2.0615391","1.7191815","0.7061406","0.7916842","2.3486081","2.3023486","1.6196337","1.5513328","2.5741954","2.1544652","1.2671663","2.4699022","1.8066196","0.8489790","2.5533819","3.5087387","2.7245026","1.7468452","2.4033512","3.2548333","3.4801090","3.2347235","2.5857452","3.7438275","3.6628427","2.2079439","3.5068272","3.7991147","4.1165990","3.2962467","3.2984157","3.6988519","4.3943549","3.4108937","0.5014856","1.5216641","0.5716022","0.3146977","2.0509994","2.1922630","2.4579098","1.7816319","2.2398511","2.4430302","2.1972883","2.5294507","1.5093900","2.4456992","2.5305296","1.6023443","1.8328603","2.8068654","3.7299455","0.8215093","1.7295750","2.8154310","2.7118793","2.5657102"
"1.395115393/138.0562682"," 6.886715"," 3.638908"," 8.170314"," 3.199282"," 8.005232"," 3.656626","10.609891"," 7.967565"," 8.258623"," 3.313268","11.046640"," 7.869154"," 8.009914","12.401449","12.421980"," 8.465490"," 8.391772"," 3.855909","14.702252","10.490823"," 8.303887"," 3.354028","14.608604"," 1.967005"," 3.003708"," 1.909200"," 1.865016"," 2.312316"," 4.290153"," 3.335019"," 1.850376"," 2.521886"," 4.101082"," 3.358157"," 4.505012"," 2.134862"," 4.445126"," 3.859360"," 1.970879"," 3.347482"," 4.614099"," 3.283687"," 4.233089"," 3.474976"," 4.192756"," 3.847484"," 3.438692"," 2.836068"," 1.879559"," 2.913101"," 1.521465"," 1.609011"," 2.183536"," 2.240635"," 2.495891"," 1.798727"," 2.597861"," 2.078365"," 2.316776"," 1.829399"," 2.633819"," 2.735305"," 1.716270"," 1.709872"," 2.646104"," 3.817719"," 2.745840"," 2.314459"," 2.818954"," 3.208148"," 2.073904"
"7.831331124/142.0511278","10.420173","11.871513","10.013453","10.811113"," 9.590546","14.686919","12.413505"," 9.794019","10.374387","13.159955","12.733524","10.905797","10.164740","13.724936","16.481561","11.039339","10.739901","15.477061","18.245730","14.924462","10.634465","16.076753","19.218430"," 2.578830"," 2.462419"," 3.247493"," 1.846301"," 4.422258"," 4.020293"," 4.243668"," 3.733322"," 5.504074"," 4.117305"," 4.759400"," 3.266898"," 5.482731"," 4.910666"," 4.423972"," 4.016503"," 5.197410"," 4.669382"," 5.358758"," 3.086125"," 5.108867"," 4.017846"," 5.252863"," 4.769232"," 2.482833"," 4.172137"," 3.553719"," 5.895768"," 4.335998"," 5.125466"," 5.005857"," 6.424047"," 5.159939"," 5.616953"," 5.571480"," 5.495410"," 6.846219"," 5.802505"," 5.881535"," 6.474463"," 6.192987"," 6.566689"," 6.750711"," 5.250111"," 5.664158"," 6.761271"," 7.290488"," 5.728718"
"1.427673734/158.0612069"," 3.764159"," 4.562988"," 5.872623"," 5.927887"," 4.793384"," 4.662123"," 5.989086"," 5.863708"," 4.513466"," 4.813792"," 6.181822"," 6.138496"," 4.204053"," 4.794100"," 5.879167"," 5.516942"," 4.807879"," 4.262949"," 6.952827"," 7.179909"," 4.098235"," 6.520069"," 7.088125"," 1.828851"," 2.092584"," 3.747614"," 4.000504"," 3.957521"," 5.512540"," 5.978831"," 6.106920"," 4.741286"," 6.480151"," 8.077891","10.934685"," 5.514299"," 8.387049"," 8.523580"," 7.530505"," 5.104811"," 8.631722","10.740627"," 9.252820"," 4.309712"," 4.181945","10.451192","10.867165"," 2.261161"," 4.465198"," 2.829535"," 2.427187"," 3.041789"," 5.087455"," 4.383783"," 6.119973"," 3.662523"," 2.951290"," 4.830146"," 5.509546"," 3.574890"," 3.904732"," 5.624747"," 5.430335"," 4.009651"," 2.675598"," 6.097913"," 4.946209"," 3.285946"," 4.202011"," 5.463947"," 5.644900"
"4.270745131/298.1282104","0.7148354","0.8309658","0.6945013","1.1268921","0.6033830","0.6535752","1.6499970","0.6410678","0.5429663","0.7264018","1.8307529","0.8820599","0.4014146","0.5905219","1.0596909","0.7754752","0.5303805","0.3197737","2.6173300","1.8560026","0.5405502","0.9199021","1.5730900","1.8744434","3.1826450","3.1173255","1.3117064","2.6684053","5.4758518","5.1920685","4.0611703","2.9855688","5.4224460","5.5554207","6.3512311","3.3705738","6.4298059","5.7001629","4.4232499","3.7520342","6.9136557","5.5936797","6.4117875","3.4823121","6.9761304","6.6330283","5.1460718","0.7642557","0.3132404","0.5848664","0.5289431","0.5544873","0.3605880","0.6166175","0.6910645","0.6370598","0.5401988","0.8036137","0.6123186","0.5412794","0.5444875","0.5751966","0.5743474","0.7546109","0.5599962","0.5545460","1.2152376","0.6040055","0.6157473","0.7264670","0.3196614"
"1.88915167/267.1445882","0.9337364","1.6477369","2.8313361","3.9328552","2.8835210","1.2662362","1.5158806","1.2544575","1.8207287","1.7634249","2.0733545","1.8703585","2.0167517","1.6784224","1.9198068","0.7445467","1.4687645","1.1870719","1.7840317","3.2507715","1.4949615","0.9106668","0.9643804","0.8758903","2.2394677","1.6631941","1.2464415","1.4765469","1.6178583","1.6582722","1.0161124","2.4170462","1.3611108","2.1937324","3.9116046","2.0846194","1.0887565","2.6096851","0.9564827","2.3664973","1.5180614","2.5103588","8.3212628","2.4186531","1.2995156","1.8577691","1.4252565","0.9147154","1.7494268","2.0525367","1.0214724","2.1597182","2.9633113","3.0835118","3.8275556","3.6632684","4.3348004","4.9493720","4.5916689","3.7664936","4.3767594","5.1492425","4.2677535","4.7576656","3.5421335","5.1192121","4.5473556","3.8616235","4.7929775","6.3000514","5.5141781"
"10.44667261/501.1955271","0.9743965","0.7234038","0.3636587","0.7615310","1.1750959","2.6317726","1.7967495","0.8258184","1.0833146","1.6390514","2.1552814","0.7663747","1.5300074","1.7607306","2.3825112","1.8129382","1.0179403","2.4484584","2.7927261","1.1990128","0.9055490","2.7646047","1.5263940","1.0943256","2.4315382","1.1845262","0.6486632","1.3209975","4.1968514","2.9931396","2.3598287","1.9643651","3.9397580","3.6845012","3.4550500","2.3272766","3.9541672","3.8333349","2.4892351","1.7389341","4.2695586","3.6162298","3.5418035","1.2861543","4.6838015","3.7206626","3.3627067","1.1545358","1.0041083","0.3256904","0.7457867","0.7891921","0.9549592","1.1180881","1.1310936","0.9439605","2.0507227","1.0670993","1.0601200","0.3202909","2.2113633","1.1601355","0.8322045","0.6675706","1.5011880","3.3887315","2.0415333","0.5808100","3.0311724","2.2867353","2.3807830"
"6.105630442/162.9959295","5.5496689","5.7776384","6.2646999","6.4117604","6.2257246","6.3976034","7.6155241","6.9187549","6.2115276","6.5847463","7.1383156","6.6315453","6.5536063","6.4186130","6.4848561","5.9240066","5.6074531","5.9987209","7.9802402","6.7623275","5.6284838","7.4910612","8.0502906","0.9634344","3.0771494","3.4046957","1.7106673","3.1544911","5.5811583","5.5168469","3.4588240","4.5922943","5.5169152","5.2411525","6.4076402","4.6801347","6.4344685","6.0364217","4.8135597","5.0185130","6.2298548","6.4822602","6.8601444","5.1391575","4.3765658","7.3941051","6.0571800","0.8087280","2.7777191","2.4387182","1.5731028","0.8602340","3.6115228","3.2797288","3.7447554","2.1393593","3.3083567","3.7064939","2.8780004","2.9034579","3.7270134","3.5850798","3.3533436","3.0012632","3.3194588","4.2951268","2.8418638","2.6763764","4.1069087","4.2678380","3.6000567"
"10.05686256/199.0223223","2.0184893","1.3497033","1.1875800","1.5467621","1.2786703","1.3119245","1.1910192","1.2456157","1.5788807","1.1810908","1.0387555","1.5328241","1.2179922","1.6134225","1.9025066","1.2881366","2.0186861","1.2222130","2.0765556","2.0016492","1.1224927","1.5226301","1.9215449","2.5202331","2.5424343","2.6816058","2.2176117","5.2165395","4.9196340","4.2003305","3.8003766","4.6766635","4.3989691","4.8868271","5.5338824","4.8415577","4.6388844","4.6411378","4.3930436","4.8572371","4.4796955","2.9605286","4.7411402","4.0415507","4.0669766","4.3276233","5.2120210","1.6302632","0.8850000","1.2769029","1.0702756","1.4751227","2.1901370","1.0360292","2.1209023","2.1963107","2.4374776","1.8844539","1.7738578","2.3149353","1.7299214","1.6356321","2.1137420","2.2895699","0.9035186","2.8464277","2.4320668","2.4676427","2.3353889","2.0606446","3.2694652"
"3.30310651/321.0320889","0.9141407","1.0134367","1.3119485","2.7437715","1.8170231","3.2513302","4.3137890","1.4249340","3.6187231","2.9283358","4.7697121","2.0871967","3.7627210","3.2402371","5.7051452","2.8333971","2.2919239","4.8642126","3.5818364","2.7117196","1.9418565","3.1324677","6.1927737","3.1755725","3.5421704","3.9230212","3.4457148","2.2804181","5.2790063","5.7847656","5.6049315","2.5091698","4.5765982","5.8769792","7.8313783","6.0670334","5.0038614","5.8378117","6.4257096","5.3532986","5.2030112","5.2901097","7.5290487","2.5676891","7.2998693","6.5798922","6.6263074","2.1188241","4.0639347","4.2645109","4.6774292","2.6922745","5.0666430","5.5572791","8.0813320","2.7134066","7.0575055","6.9747466","7.6392408","4.3317041","5.1576623","7.3237003","7.0937046","4.3043841","6.3952167","7.6622017","7.7317545","6.3930563","6.4220276","7.4241650","8.3616954"
"3.429249757/149.027965"," 0.6754273"," 0.7696331"," 1.1283950"," 2.1482944"," 0.6403426"," 1.2238964"," 1.2513500"," 0.7551705"," 0.8846160"," 0.8250660"," 1.1740625"," 0.8695394"," 0.7189868"," 1.0424229"," 1.2185059"," 1.0537774"," 0.9430832"," 0.8711881"," 2.2260264"," 2.2295905"," 0.7645175"," 2.5186659"," 2.5793279"," 1.0577566"," 3.2029302"," 2.7508979"," 2.3044569"," 6.2044652"," 7.9913065"," 6.5971487"," 6.0830336"," 7.4089275"," 7.9619007"," 7.8397805","13.6368211"," 7.3183970"," 9.6718428"," 8.0199335"," 7.0163040"," 7.4195658"," 9.7100527"," 8.8361436","13.4956538"," 6.4318312"," 8.8839857"," 8.7679071"," 7.6242948"," 4.3721256"," 6.5987707"," 4.2135314"," 3.4652026"," 5.0891546","11.8867214"," 8.7181337","14.6032506"," 7.4158114","15.4331042","12.6466292","11.2099876"," 7.3679640","15.6132795","13.9038887","11.2531045"," 9.2106394","14.9701132","15.6225074","13.7227633"," 9.4225813","17.9015793","16.1787651","13.6219825"
"2.596258596/401.1440834","4.7836088","5.3206411","5.0560635","4.8971935","3.9516364","6.9164409","5.6367822","4.5616486","3.8958933","7.3950259","6.1918769","4.8940901","3.7921820","7.2869616","7.2099502","4.8153049","3.9160132","7.9395838","7.0999974","5.4351962","3.5165271","7.1351322","7.9403895","0.8518045","3.1693012","2.5929343","1.7677980","0.5891037","3.3537271","1.2561847","1.4836680","0.5404491","3.3296178","2.5223699","3.0123045","1.2196592","3.1808609","2.6653275","0.8392173","1.4814910","3.2526121","2.7331730","3.0716603","1.3514128","3.9931386","3.2362284","2.6200876","1.3423885","2.7686492","2.2075344","0.9389731","0.6044599","1.9998270","0.7714891","2.1543684","0.5880084","2.4819036","0.9652029","1.4794648","0.5354735","1.7660407","1.0517539","1.0165846","0.5500603","1.6170813","0.9458303","0.6587343","0.4921136","1.9129960","0.7240910","0.7863614"
"3.347528919/273.1097541","2.614937","1.922879","1.750635","2.418815","2.360876","1.621775","2.446148","2.404186","1.806750","1.148293","2.109674","2.080700","1.889662","1.606889","2.293037","1.974049","3.183783","1.546958","2.630042","3.071692","1.641417","1.932268","2.707306","2.244612","3.223907","3.708259","2.920942","3.210700","4.095578","5.298465","2.614709","3.268576","3.326424","4.614709","5.989508","3.017656","4.095505","2.978072","2.543954","3.259863","3.530046","2.651986","4.630978","1.759750","2.603424","3.223314","6.057522","5.103714","3.802389","3.638251","3.260584","4.448016","5.122952","5.614616","6.076347","4.789917","4.476720","5.976245","1.795794","4.522064","4.914768","6.081081","5.745064","4.444472","3.845587","6.125289","6.365641","3.965467","5.445372","7.659867","4.485533"
"5.042266923/378.0171183","0.4243812","0.6368147","0.3636587","0.6733382","0.3647222","0.7104019","0.3634112","0.5330747","0.5575397","0.7205423","0.6353292","0.5461525","0.5926345","0.6528229","0.7365493","0.3895391","0.2747271","0.8170928","1.7332823","0.8156945","0.3230278","0.7059717","0.6694429","1.8073969","3.0644318","0.7520278","2.4393414","2.2519092","6.1645049","3.1597073","3.3555388","2.4758814","5.0556813","4.1121650","4.1364403","3.0526968","6.7043855","3.6097091","4.1474930","3.1363462","7.2390515","3.8143268","4.0879508","2.5264269","8.6371483","2.7492255","6.0421533","1.0482987","0.6243530","0.3256904","0.3146977","1.2898597","3.2057236","2.6162700","3.2443377","2.1794212","3.5296460","3.0012120","3.0851680","1.8668640","2.7815672","3.3831661","2.4626966","1.3774098","1.7812933","4.4196791","3.0910349","1.8357492","3.4978815","3.8743000","2.3052433"
