Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6,Ps_6
1.49101584/129.0196617,24745751.07,66289253.55,47493164.85,80416721.71,46612151.75,83221845.72,94895835.08,117484092,60093507.27,74036873.3,102316037.8,160095095.1,35066343.61,92239449.5,170914561.6,49537262.49,157325078.8,177760780.6,227977601.3,277114627.6,66398759.25,113077751.2,221264746.5,8619269.405,48158518.37,39947438.12,47673641.86,23447850.08,58050636.53,103974563.2,70416890.62,55042423.65,71242190.47,84689079.5,188869602.6,64925973.22,76498000.38,66039583,41301052.21,34566582.19,99552249.01,102224334.5,162049593.1,28384892.5,124264855.2,101194647.4,164445554,5810762.312,27554665.75,21067781.87,19077922.72,40774581.64,39894408.09,37051670.7,156791303.3,73112223.67,116542499.7,101470886.6,125143721.4,76829271.74,104728298.4,92817098.81,101190226.1,93869923.68,87767575.16,100689579.5,75568990.33,86209994.72,138677443.7,153297228.4,131069877.6
3.229595159/147.0666194,10807288.35,48842105.83,42705335.04,54883270.24,64357237.44,201111689,230575158.5,168653165.7,103318425.4,250996074.4,299667125.6,264780972.4,60110204.02,373540961.2,617710593.2,149321882.4,193241140.5,718712553.2,743789452.5,573415007.5,181099666.6,518966619.9,928367897.5,19556411.97,157181255.3,107575466.8,70921963.59,200419304.4,559583964.3,601962687.3,224575758.9,517460837.8,698200637.8,650504851.3,1125342858,624545171.1,659639139.1,538030132.5,155365330.3,422710283.9,810373923.8,665261415,981084091.7,348620522.2,979122195.8,631702286.1,485417114.3,108132232,459835814,314214557.4,195500238.7,283859958.1,459028061,376154248.7,1366996905,637757702,1535915382,869957052.2,631367540,537803036.3,1426825686,997571512.8,523158705.8,811692150.2,1530544170,1000613853,587898403.8,680532988.3,2138306094,1263926665,912983797
1.338162518/157.0508567,22244778.72,58208266.82,60857289.63,91546840.97,44759309.24,103896111.4,117000638.5,110245798.6,63246848.13,114769319.4,153143106.1,147122084.4,31865361.72,145172163.2,244459751.8,59649542.87,154785121.1,187985482.6,282022685.4,229798185.1,76872285.37,150485546.8,332528261.2,8250217.597,45265485.32,51443655.79,36305578.54,17686351.99,63486997.34,103119469.6,72891610.44,53524272.36,82100783.86,98167165.38,208082719.9,68381144,78684896.86,78301560.12,37212091.9,40331220.69,99392061.02,127457287.7,170888701.8,36486342.03,129906970.7,115390106.4,123434621.3,6558999.11,28779301.27,25265975.13,17629818.86,93537185.62,231597175.6,207321138.5,898318729.5,225093023.7,549309265.3,554827208.4,444462143.8,261356833.4,636054872.7,645086802.7,346789989.8,303863107.1,516458887.9,550933426.5,380568411.6,391458171.1,744307162,771615317.5,423064078
6.85810108/89.02438863,52219767.41,54477475.7,52813801.67,93552255.92,151831148.8,429721792.6,514528448.8,558113417.5,212969413,480600598.4,502631566.9,813770510,193498087.4,973050343,1131264762,374252893.2,797081469.1,1085337578,1436144769,2047978202,347915873,1053999788,1607036673,498715300,50586803.12,71827931.88,46745586.88,33807404.31,50800436.69,76690790.73,94043037.61,72645457.83,60943408.49,249887273.8,163930407,91431918.37,51670996.28,304570149.6,49355351.34,34606560.73,63187662.25,47194938.42,121343104.7,30967779.12,72731206.13,106777868.3,103050211,26181987.76,68493354.59,72812372.45,64134999.17,59591360.55,85398957.72,83560197.59,283711888.9,121946814.1,169460393.2,172781493.4,147480703.6,121165729.7,281404466.9,262031650.1,106665461,289184780,176590856.7,171135546.8,144270037.6,78717800.47,245892300.7,210433111,193425438.7
1.825429116/129.0560424,37992080.61,17251799.53,43934187.42,99038655.49,43243116.96,15925076.94,63083248.44,45103762,80517798.28,11770983.46,56856072.67,62398908.14,37923778.51,62150322.48,93767110.41,17639815.94,65419444.46,80273708.2,90708870.03,68252547.69,47804808.4,49250061.3,88250304.18,12670733.22,44180375.67,48279453.05,32983880.08,34453004.22,85526593.05,90745449.28,75604043.21,61639328.21,95648557.92,96625966.8,335903611.5,44673799.12,87988275.17,94209964.67,26362849.31,40641725.73,107689793,119606507.2,329337428.7,45435456.9,153772390.3,85467059.46,67940097,460194705.5,1086859459,867520482.5,621469613.6,671024475.2,2283462011,1618507087,6353382777,1580955129,6175719817,4674017797,3480896756,1351394666,6662146192,5640484063,3151687588,2148893071,4733879397,5096485719,3515044574,1687589617,8518292598,5613749094,4468435400
7.489042403/160.0619387,262643.07,140881.5436,344712.7368,403573.6782,169234.8615,306585.6929,145193.9076,1132802.673,127118.5644,481671.9386,735245.0247,373075.6246,92332.10743,781316.5843,637365.2004,88660.73958,395841.6368,759603.5838,892352.5953,1229487.897,283699.9255,983087.128,1525703.927,623318.6772,42410894.87,38658237.71,16541725.9,346092873.2,737130574.1,1296274500,687438311.5,151472645.5,1220950735,965911758.2,2857245150,1340907951,1859472202,998449314.6,622516409.1,1161661276,2414920025,977557889.1,3029649471,1465928816,1963412462,1101481798,1373338311,135411.3366,2674720.479,3094371.825,178665.8131,6887952.944,25244860.47,16493142.35,51119621,20367269.1,64208044.49,62361241.21,10357335.06,3468139.211,95235864.27,47836869.52,2085710.361,22633673.91,61430869.39,52640794.04,24471732.18,20647910.73,69006818.56,103779918.3,2993450.477
3.493400955/115.0402958,31009861.64,49281950.6,38587087.06,60950650.26,26467381.09,42801698.95,49121838.15,40671915.39,31002416.96,44969086.08,40457416.01,48396872.06,19379481.67,58827906.75,62298772.6,18764851.3,47853246.98,47418976.68,64389898.49,44056933.28,21568190.51,30849855.48,52532940.37,16131055.52,47223100.11,48002388.38,57281411.8,24733009.55,32130179.86,49436960.79,61983628.23,47292674.57,29017551.42,42030658.65,75036239.71,44700060.33,32806896.44,37736031.93,35051728.4,26669000.81,39274662.91,37657612.24,102432147.3,20112982.41,44810355.8,52845896.68,55785568.91,21575971.7,51613632.02,45996368.69,54288753.47,50055592.24,54156839.85,49860370.72,188325959.9,89410141.38,97907759.89,105989695.4,142447934.3,94452888.87,97287126.79,100132338.4,134207896.5,142084652,50637113.86,154550238.9,119418363.1,91643680.83,160662271.2,126518726.1,166495675.9
3.738749962/117.0559837,25641362.27,35619398.99,38119547.2,48778854.27,30055409.95,50359077.22,52297937.79,64367488.73,33573283.32,40826826.47,57926760.36,90055518.87,13352530.63,57173085.03,69203025.89,41947332.67,43814277.43,68383977.43,103484228,116152509,40673458.51,53585231.14,94321635.51,15349867.12,44379192.71,40369155.38,57489427.04,95096634.57,52794119.54,71806738.55,231072285.4,201510330.7,72932077.85,90013376.8,327044295.9,198016396.5,92968590.74,95116468.09,92108665.17,105026706.7,122171526.7,125820923.7,342732862.7,74482419.74,108046680.7,82282567.91,110817591.4,138451141.5,508219083.9,321929433.7,326746112.2,409446166,946932807.7,719625591.2,2858111993,1144475325,2346629512,1751790295,2235984115,735293507.8,2246062055,1863504196,1760206849,1284515890,1558255052,1812099151,2044423928,824962335.6,2644790832,2344822670,2520988120
1.456909774/161.0821691,380161.3055,887227.0948,954415.5599,1075997.797,989870.5442,993454.2876,985160.988,670354.8667,411852.5464,1035527.609,961340.2386,773420.8978,332952.8151,1457668.759,1771965.77,325532.2925,810346.3688,1904169.782,1952141.788,1056466.137,838987.9118,1470245.596,2282162.108,2640391.435,15486668.45,13405728.52,9422478.629,5453899.221,42737276.02,53507486.17,33079328.25,13732351.44,63711627.7,69477200.18,140310556.9,26925634.13,73222142.26,75175249.35,28831517.93,20559452.25,98208402.27,117919087.6,178141073.9,19127881.88,155435482.5,118857861.1,131526949.3,3946245.808,19471410.27,14180539.62,7080682.743,10274952.64,29079561.34,23470172.95,83131684.62,23420963.3,73908416.1,56928542.24,34285968.67,14914225.79,65369906.11,61410481.76,28982917.1,19187874.15,60977155.5,46674339.46,29302017.37,18268509.59,67875609.61,67367510.63,38057579.12
10.30095092/159.0777759,2769912.117,3484911.782,2491748.272,2249880.719,7038936.928,15890841.31,17826482.3,10704525.61,8512074.216,18112062.63,23923348.29,12223537.29,7998208.742,23383206.26,35555242.9,14254356.74,13561494.74,33830845.24,55347402.26,26846550.21,12104686.39,46455283.95,43865475.8,9852229.578,24774209.69,16335361.19,12045884.6,62678307.36,168633470,117228641.5,114826788.9,111115761.8,268718076.9,193779421.8,211593242.3,148473465.1,257528244,209384805.4,108896416.2,143724207.2,340505343.9,245236257.6,224828930.8,147365659.7,364850445.9,243341196.7,212072306.3,2269567.559,6715513.554,3063389.921,1238532.16,7004356.768,10598308.93,14591659.82,14972734.15,15219102.57,18348952.6,16742034.16,12766072.94,9575709.95,32510052.12,24944742.07,8883983.446,11627271.74,31384030.02,44149966.93,15173232.89,13503204.94,44465429.53,32507118.14,19871941.93
2.046603621/159.1028883,2058552.595,9103858.104,3326001.185,3508207.508,1153668.865,1342627.929,8832309.468,5482267.174,1543693.809,14628145.79,12249500.83,15069836.95,305608.214,20004927.99,22479494.22,3266547.897,1539183.943,21393853.48,18381048.29,15786069.73,220848.3007,12485449.28,22532744.95,4629272.189,34597873.28,21709159.47,23825266.79,9408349.959,67310264.08,72150219.24,74233235.56,17344658.99,91175011.44,98270056.67,179996826.2,34918376.02,93002212.02,106405054.3,55788342.74,30845060.66,146701036.1,108298236.7,223564654.9,29936473.79,196074075.2,120709590,183878737.3,968264.4941,844889.4919,6894975.295,292186.6991,491184.3502,7783209.646,4781520.145,14959967.43,3108146.879,19759509.79,10585837.53,12139928.93,4037489.893,21879971.04,13063283.5,10399082.21,6998865.94,6619562.87,18028424.82,15276352.62,7630705.805,38261133.38,14379731.51,23265387.47
6.132151377/103.0402972,226924767.7,444100487.8,217394160.1,438903834.3,695586509.5,1480461089,1293838620,1442314672,943125285.6,1567492091,1269778038,2184854893,496649927.1,2158968668,2445922220,933208192.2,1905311754,2456087697,2778915301,3292904049,747222699.2,1887080682,2771465930,6397624.378,25177343.61,25658741.03,20372977.17,55870701.29,201141111.8,234632866.3,243733951.8,278554139.2,366424602,321657415.8,821433052.9,522964052.3,544713630.8,474812945.1,360051117.9,429484418.2,961457865.8,852286381.7,1769895414,413291270.1,1308120135,894588228.2,2346131026,3057132.386,16007072.48,10975950.46,9014199.52,18945523.75,29742504.19,25352899.15,84438544.21,45645763.81,87889125.23,68417384.88,68199006.44,49795857.59,98363250.24,99216854.85,53868123.04,99213499.09,94097382.28,99738347.08,77766252.48,74978651.29,194599847.3,121621798.4,113115444.4
1.458498839/243.1968418,1146126.236,3416210.192,3289480.789,3053102.739,1200672.236,3210818.752,3354779.451,2119988.719,1169619.645,4227961.091,2984587.861,2982163.112,772537.8769,4828984.761,5234350.472,1190219.166,1905051.803,3912767.126,4265354.255,3016961.086,1125877.891,2762876.372,5192928.564,1916796.513,8868947.237,8617338.836,6475045.095,2411865.448,15728774.15,15187341.52,9216405.012,3841993.626,20503007.49,17483876.13,23359722.19,7638406.495,21825200.16,20059508.08,7923243.327,7087122.912,26984989.46,26787988.34,31535948.86,5990134.883,39495837.74,28144232,26845487.66,559149.5774,3069485.994,3856135.163,965976.1139,1006240.441,1173037.898,1983204.701,2117228.069,1528658.937,2054335.506,3630088.933,1830397.713,1045249.33,1740769.504,3199535.977,1746499.465,1274540.24,3758125.177,2926202.714,823895.8011,1430098.849,1943112.403,3177530.223,1576345.092
10.58546435/259.0938768,319993.6122,297208.5808,293328.6771,348987.0554,614376.0975,734040.0547,1275393.67,459145.716,864140.2426,762204.8899,1796164.518,491966.1122,971929.5642,1006838.417,1376266.731,1308894.332,737599.1743,1653343.304,2043097.468,927472.1149,1420947.293,1897848.029,1397170.541,10367930.68,11477714.55,7952996.944,4524417.382,17984307.69,39764202.63,28785183.19,29870247.42,18445765.86,37080932.7,45842851.28,41780079.58,30276562.19,32950671.96,31865388.18,20189083.56,43492538.66,31031172.83,36154811.55,26210540.16,52667418.65,43162128.22,55169473.45,10497228.72,4928.934026,3252.738604,7223.215088,4136.251132,4758.453481,11272.53213,16522.48964,43886.1627,9272.531402,42769.34552,5533.858219,5129.573974,4772.083233,67606.62828,9736.68338,6175.419236,5295.137217,122417.6017,42125.32041,59505.01905,537798.4787,29570.55795,66674.39266,6075.591795
0.814276246/305.1794737,6330934.033,1821881.477,9095491.876,4295525.665,2964129.752,6194488.916,7947717.515,7353270.87,12592187.67,8289109.465,5218896.046,12152221.18,8519974.278,4707133.969,8500271.839,3777259.426,5477232.241,7879344.825,26432856.14,8241848.549,8842972.967,2296495.936,28378858.66,5630977.893,19834958.85,35224324.74,5203060.219,11837109.22,17034869.93,53106123.4,11265524.65,22802502.37,26840283.9,15762886.13,20177006.39,26269758.5,21640471.88,33743585.94,415929.7211,21826908.49,22483770.77,36757913.4,30450593.76,3859075.464,24823355.71,20863458.24,12556972.33,3493104.949,2074672.435,9601776.739,3675695.036,10449614.15,1526649.439,5657064.716,2865282.109,4431159.86,2332082.61,5750638.761,2108672.234,12892904.04,3120285.339,3008559.7,838231.0622,3516691.93,3273838.964,3024396.929,31489.89845,10638344.42,3824162.437,6455213.248,1212047.776
9.170201562/145.0621984,0,6865.905561,3006.545563,4431.543416,2763.089364,86124.93873,30993.75138,17239.56525,3666.14913,104773.6932,8611.564869,0,4005.106256,31702.35586,31358.14049,3526.961813,0,72915.63323,109992.0069,6365.530078,11021.03133,71739.05573,64630.39516,1696055.163,12592289.95,4976971.064,6493748.706,3695578.684,14767551.56,17227794.37,9669351.03,6627462.197,14612712.58,11388048.99,25961250.91,7311159.352,17339443.01,9171768.851,6140884.448,6700929.61,19331948.22,15645478.77,25702409.73,6289401.547,22366569.8,13141893.31,18930010.91,51140.67999,1018121.552,387790.3773,143661.4553,326215.4121,598868.6715,623713.5085,1076035.955,575232.59,1442405.396,1506843.765,654993.4922,401337.1908,1334254.796,1611814.382,306168.1889,660561.0587,1842769.266,1435323.76,333690.2356,435475.7141,1685982.821,1518141.005,556979.574
