Sample,PC1,PC2,Label,Name,Strain
1mem_Bt_12pt5hr-1,-73.314,-3.6133,12.5 h,R1,Bt
1mem_Bt_12pt5hr-2,-48.651,-6.7612,12.5 h,R2,Bt
1mem_Bt_12pt5hr-3,-50.281,-8.1409,12.5 h,R3,Bt
1mem_Bt_12pt5hr-4,-42.664,-8.8261,12.5 h,R4,Bt
1mem_Bt_25hr-1,-100.65,0.57015,25 h,R1,Bt
1mem_Bt_25hr-2,-90.382,1.7516,25 h,R2,Bt
1mem_Bt_25hr-3,-89.208,-1.5032,25 h,R3,Bt
1mem_Bt_25hr-4,-114.51,6.2164,25 h,R4,Bt
1mem_Bt_30hr-1,-111.62,0.97781,30 h,R1,Bt
1mem_Bt_30hr-2,-120.36,7.5509,30 h,R2,Bt
1mem_Bt_30hr-3,-87.892,-1.1071,30 h,R3,Bt
1mem_Bt_30hr-4,-125.58,7.1333,30 h,R4,Bt
1mem_Bt_35hr-1,-97.321,0.48561,35 h,R1,Bt
1mem_Bt_35hr-2,-145.67,11.788,35 h,R2,Bt
1mem_Bt_35hr-3,-148.77,12.376,35 h,R3,Bt
1mem_Bt_35hr-4,-124.64,6.588,35 h,R4,Bt
1mem_Bt_40hr-1,-122.78,4.702,40 h,R1,Bt
1mem_Bt_40hr-2,-142.62,12.766,40 h,R2,Bt
1mem_Bt_40hr-3,-162.84,15.153,40 h,R3,Bt
1mem_Bt_40hr-4,-175.48,18.696,40 h,R4,Bt
1mem_Bt_45hr-1,-111.32,1.2861,45 h,R1,Bt
1mem_Bt_45hr-2,-168.32,18.628,45 h,R2,Bt
1mem_Bt_45hr-3,-182.01,18.227,45 h,R3,Bt
1mem_Cv_12pt5hr-1,32.766,-36.13,12.5 h,R1,Cv
1mem_Cv_12pt5hr-2,33.189,-35.242,12.5 h,R2,Cv
1mem_Cv_12pt5hr-3,29.674,-34.237,12.5 h,R3,Cv
1mem_Cv_12pt5hr-4,33.998,-34.23,12.5 h,R4,Cv
1mem_Cv_25hr-1,43.07,-46.55,25 h,R1,Cv
1mem_Cv_25hr-2,47.748,-51.525,25 h,R2,Cv
1mem_Cv_25hr-3,44.663,-50.469,25 h,R3,Cv
1mem_Cv_25hr-4,48.531,-52.365,25 h,R4,Cv
1mem_Cv_30hr-1,47.981,-52.139,30 h,R1,Cv
1mem_Cv_30hr-2,52.477,-55.318,30 h,R2,Cv
1mem_Cv_30hr-3,48.226,-55.697,30 h,R3,Cv
1mem_Cv_30hr-4,51.888,-53.955,30 h,R4,Cv
1mem_Cv_35hr-1,46.843,-52.46,35 h,R1,Cv
1mem_Cv_35hr-2,54.711,-61.786,35 h,R2,Cv
1mem_Cv_35hr-3,48.567,-56.177,35 h,R3,Cv
1mem_Cv_35hr-4,47.778,-53.955,35 h,R4,Cv
1mem_Cv_40hr-1,49.863,-55.216,40 h,R1,Cv
1mem_Cv_40hr-2,56.683,-63.414,40 h,R2,Cv
1mem_Cv_40hr-3,48.564,-56.125,40 h,R3,Cv
1mem_Cv_40hr-4,48.511,-49.859,40 h,R4,Cv
1mem_Cv_45hr-1,47.537,-52.594,45 h,R1,Cv
1mem_Cv_45hr-2,53.027,-53.93,45 h,R2,Cv
1mem_Cv_45hr-3,51.716,-58.674,45 h,R3,Cv
1mem_Cv_45hr-4,55.448,-57.859,45 h,R4,Cv
1mem_Ps_12pt5hr-1,35.096,-3.2526,12.5 h,R1,Ps
1mem_Ps_12pt5hr-2,40.191,-1.9596,12.5 h,R2,Ps
1mem_Ps_12pt5hr-3,33.366,-8.3655,12.5 h,R3,Ps
1mem_Ps_12pt5hr-4,32.179,-2.6487,12.5 h,R4,Ps
1mem_Ps_25hr-1,48.961,20.309,25 h,R1,Ps
1mem_Ps_25hr-2,65.396,46.973,25 h,R2,Ps
1mem_Ps_25hr-3,61.537,39.503,25 h,R3,Ps
1mem_Ps_25hr-4,64.498,44.368,25 h,R4,Ps
1mem_Ps_30hr-1,60.254,45.115,30 h,R1,Ps
1mem_Ps_30hr-2,68.243,49.513,30 h,R2,Ps
1mem_Ps_30hr-3,65.359,54.036,30 h,R3,Ps
1mem_Ps_30hr-4,68.279,52.121,30 h,R4,Ps
1mem_Ps_35hr-1,61.19,40.685,35 h,R1,Ps
1mem_Ps_35hr-2,75.423,66.852,35 h,R2,Ps
1mem_Ps_35hr-3,68.804,65.502,35 h,R3,Ps
1mem_Ps_35hr-4,72.883,67.381,35 h,R4,Ps
1mem_Ps_40hr-1,65.776,54.635,40 h,R1,Ps
1mem_Ps_40hr-2,71.134,58.396,40 h,R2,Ps
1mem_Ps_40hr-3,72.734,63.171,40 h,R3,Ps
1mem_Ps_40hr-4,80.817,84.083,40 h,R4,Ps
1mem_Ps_45hr-1,65.312,50.069,45 h,R1,Ps
1mem_Ps_45hr-2,81.708,73.161,45 h,R2,Ps
1mem_Ps_45hr-3,78.94,82.02,45 h,R3,Ps
1mem_Ps_45hr-4,75.35,73.299,45 h,R4,Ps
