inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
JUVDIZAIVKPCAC	InChI=1S/C12H14O/c1-10(11(2)13)8-9-12-6-4-3-5-7-12/h3-8H,9H2,1-2H3	C12H14O	1	-93.81624477668298	""	CC(=CCC1=CC=CC=C1)C(=O)C	2.70799994	""	PubChem:(13070597)
AEKQOHMTVGQNDM	InChI=1S/C12H14O/c1-2-6-12(13)10-9-11-7-4-3-5-8-11/h3-5,7-10H,2,6H2,1H3	C12H14O	2	-94.20803234484909	1-phenylhex-1-en-3-one	CCCC(=O)C=CC1=CC=CC=C1	2.99300003	""	PubChem:(227280 5354771 5383618 57608157 91380209)
VEIXXAUDCBZHQX	InChI=1S/C12H14O/c1-9-6-4-5-7-12(9)8-10(2)11(3)13/h4-8H,1-3H3	C12H14O	3	-97.43637139172962	(E)-3-methyl-4-(2-methylphenyl)but-3-en-2-one	CC1=C(C=CC=C1)C=C(C)C(=O)C	2.78900003	""	PubChem:(59350198 67408435 84437664)
SGFKVPMVNXUIRY	InChI=1S/C12H16O2/c1-8-5-10(14)7-12(3,4)11(8)6-9(2)13/h5-6H,7H2,1-4H3	C12H16O2	4	-100.83333975615496	(4Z)-3,5,5-trimethyl-4-(2-oxopropylidene)cyclohex-2-en-1-one	CC1=CC(=O)CC(C)(C)C1=CC(=O)C	1.31900001	""	PubChem:(14759607 21635121)
WDBVEQNCVRYSJJ	InChI=1S/C12H14O/c1-3-12(13)9-8-11-7-5-4-6-10(11)2/h4-9H,3H2,1-2H3	C12H14O	5	-101.93397059516596	""	CCC(=O)C=CC1=C(C)C=CC=C1	2.86100006	""	PubChem:(12172184 67422733)
FWOYOWIXLSFQQQ	InChI=1S/C12H14O/c1-2-6-12(13)10-9-11-7-4-3-5-8-11/h2-8H,9-10H2,1H3	C12H14O	6	-103.21923316637121	4-Hexen-3-one, 1-phenyl-	CC=CC(=O)CCC1=CC=CC=C1	2.6960001	""	PubChem:(10702387 53822250)
AASOLBGKGINRHX	InChI=1S/C12H14O/c1-9-4-6-12(7-5-9)8-10(2)11(3)13/h4-8H,1-3H3	C12H14O	7	-104.4420664338993	""	CC1=CC=C(C=C1)C=C(C)C(=O)C	2.78900003	""	PubChem:(12470136 67408211 84437252)
VUNZNMCBJQBBMT	InChI=1S/C12H14O/c1-9-4-5-10(2)12(8-9)7-6-11(3)13/h4-8H,1-3H3	C12H14O	8	-104.78379812132043	(E)-4-(2,5-dimethylphenyl)but-3-en-2-one	CC1=CC=C(C)C(=C1)C=CC(=O)C	3.04500008	""	PubChem:(21302419 72338546)
GXGVVNFBYYEAEH	InChI=1S/C12H14O/c1-9(11(3)13)10(2)12-7-5-4-6-8-12/h4-8H,1-3H3	C12H14O	9	-105.67536564790454	3-Penten-2-one, 3-methyl-4-phenyl-	CC(=C(C)C1=CC=CC=C1)C(=O)C	2.74399996	""	PubChem:(21445031 53862222)
OTXTYANKSZVPCC	InChI=1S/C12H14O/c1-3-12(10(2)13)9-11-7-5-4-6-8-11/h3-8H,9H2,1-2H3	C12H14O	10	-106.18588308037897	""	CC=C(CC1=CC=CC=C1)C(=O)C	2.70799994	""	PubChem:(10821122)
COWIRPQUDXYBAW	InChI=1S/C12H18O3/c1-8(2)3-5-10-9(7-12(14)15)4-6-11(10)13/h3,9-10H,4-7H2,1-2H3,(H,14,15)	C12H18O3	11	-106.22971777427014	""	CC(=CCC1C(CCC1=O)CC(=O)O)C	1.41600001	""	PubChem:(53732519)
KYMGBHCMGAYDGJ	InChI=1S/C12H14O/c1-10(8-11(2)13)9-12-6-4-3-5-7-12/h3-7,9H,8H2,1-2H3	C12H14O	12	-106.2333685363344	4-methyl-5-phenylpent-4-en-2-one	CC(=CC1=CC=CC=C1)CC(=O)C	2.58899999	""	PubChem:(2753154 5705674 5995325)
QQKHASOJMBEMJE	InChI=1S/C12H14O/c1-3-12(10(2)13)9-11-7-5-4-6-8-11/h4-9H,3H2,1-2H3	C12H14O	13	-106.43510872116038	3-benzylidenepentan-2-one	CCC(=CC1=CC=CC=C1)C(=O)C	2.81599998	""	PubChem:(102412 5374397 12324228)
QQVPXVAMJCHTRS	InChI=1S/C12H14O/c1-9-5-4-6-12(11(9)3)8-7-10(2)13/h4-8H,1-3H3	C12H14O	14	-106.45652686002538	""	CC1=CC=CC(=C1C)C=CC(=O)C	3.04500008	""	PubChem:(64268850 77034856)
JBFFAKAIUSEHAZ	InChI=1S/C12H14O/c1-3-12(13)10(2)9-11-7-5-4-6-8-11/h4-9H,3H2,1-2H3	C12H14O	15	-106.56582168807786	(4E)-4-Methylhex-4-en-3-one	CCC(=O)C(=CC1=CC=CC=C1)C	2.60500002	""	PubChem:(3758130 5914783 40523548)
ZJWDTEGXZDDTNM	InChI=1S/C12H18O3/c1-9(2)7-11(13)8-10(3)5-4-6-12(14)15/h5,7H,4,6,8H2,1-3H3,(H,14,15)	C12H18O3	16	-106.84592138409364	""	CC(=CC(=O)CC(=CCCC(=O)O)C)C	1.45000005	""	PubChem:(51136519 52316405)
