inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
JCOHSRSXKDNOIS	InChI=1S/C6H15NO2/c1-4(8)3-6(7)5(2)9/h4-6,8-9H,3,7H2,1-2H3	C6H15NO2	1	-73.29754306700231	""	CC(CC(C(C)O)N)O	-0.66900003	""	PubChem:(19851079)
GBNLFZXEMQBLJZ	InChI=1S/C6H15NO2/c7-6(5-9)3-1-2-4-8/h6,8-9H,1-5,7H2	C6H15NO2	2	-80.65190914793949	(2S)-2-aminohexane-1,6-diol	C(CCO)CC(CO)N	-0.873000026	""	PubChem:(15341560 19593977 88241338)
DSZMANWONVASJD	InChI=1S/C6H15NO2/c1-4(8)3-6(9)5(2)7/h4-6,8-9H,3,7H2,1-2H3	C6H15NO2	3	-82.14023862817155	""	CC(CC(C(C)N)O)O	-0.66900003	""	PubChem:(88882738 90715199)
DIZCDUDOMRZVAR	InChI=1S/C6H15NO2/c1-5(7)6(9)3-2-4-8/h5-6,8-9H,2-4,7H2,1H3	C6H15NO2	4	-82.75740831874762	""	CC(C(CCCO)O)N	-0.771000028	""	PubChem:(57091047)
DNLRJWGHGZRUON	InChI=1S/C6H15NO2/c1-2-3-6(9)5(7)4-8/h5-6,8-9H,2-4,7H2,1H3	C6H15NO2	5	-85.15745140911878	""	CCCC(C(CO)N)O	-0.560000002	""	PubChem:(44308804 53769286 55284210 55288750 96356124 96356125)
TWWKBDRSKFGZRR	InChI=1S/C6H15NO2/c1-5(9)2-3-6(7)4-8/h5-6,8-9H,2-4,7H2,1H3	C6H15NO2	6	-85.16247887281122	""	CC(CCC(CO)N)O	-0.771000028	""	PubChem:(118213982)
JJKVIXZUUYPKBK	InChI=1S/C6H15NO2/c1-5(9)3-6(4-8)7-2/h5-9H,3-4H2,1-2H3	C6H15NO2	7	-87.05098539108764	""	CC(CC(CO)NC)O	-0.739000022	""	PubChem:(90884823)
WTBPUHRZYXERFO	InChI=1S/C6H15NO2/c7-6(3-5-9)2-1-4-8/h6,8-9H,1-5,7H2	C6H15NO2	8	-88.34388001104142	3-aminohexane-1,6-diol	C(CC(CCO)N)CO	-0.873000026	""	PubChem:(19593978)
RIKSQNYNNPOGMQ	InChI=1S/C6H13NO/c1-3-6(5-8)7-4-2/h2,6-8H,3-5H2,1H3	C6H13NO	9	-88.82491225495123	""	CCC(CO)NC[CH]	0.356000006	""	PubChem:(59694844)
LNWOBIQPEILRCV	InChI=1S/C6H15NO2/c1-5(9)6(7-2)3-4-8/h5-9H,3-4H2,1-2H3	C6H15NO2	10	-88.89145668593295	""	CC(C(CCO)NC)O	-0.739000022	""	PubChem:(55287863 55287864 57133170)
XBEFSOGINPYDKP	InChI=1S/C6H15NO2/c1-5(8)2-3-6(9)4-7/h5-6,8-9H,2-4,7H2,1H3	C6H15NO2	11	-90.50129534842266	""	CC(CCC(CN)O)O	-0.771000028	""	PubChem:(57299442)
NKMZJOWGYOIHPV	InChI=1S/C6H15NO2/c1-6(2-4-8)7-3-5-9/h6-9H,2-5H2,1H3	C6H15NO2	12	-90.60494232550909	""	CC(CCO)NCCO	-0.776000023	""	PubChem:(83179007)
YUMCRXLLWKQDJY	InChI=1S/C6H13NO/c1-3-5-7-6(8)4-2/h3-5H2,1-2H3,(H,7,8)	C6H13NO	13	-91.29069398341686	""	CCCN=C(CC)O	1.16199994	""	PubChem:(347476)
FQWAAWYTIYXSEG	InChI=1S/C6H15NO2/c1-3-7-6(4-8)5(2)9/h5-9H,3-4H2,1-2H3	C6H15NO2	14	-91.83024597763072	2-(ethylamino)butane-1,3-diol	CCNC(CO)C(C)O	-0.674000025	""	PubChem:(18345253 88586055 88586082)
HIYQYXHTNNKVKW	InChI=1S/C6H13NO/c7-5-3-1-2-4-6-8/h7H,1-6H2	C6H13NO	15	-92.3760139689969	6-aminohexyloxy	C(CCC[O])CC[NH]	0.157000005	""	PubChem:(53630710)
GYLDXXLJMRTVSS	InChI=1S/C6H13NO/c1-3-4-5-7-6(2)8/h3-5H2,1-2H3,(H,7,8)	C6H13NO	16	-93.97180447630849	N-Butylacetamide	CCCCN=C(C)O	1.47800004	""	biological;HMDB:(31651);PubChem:(61265 59188966);KEGG Mine
WRTHJMIVQMHFOQ	InChI=1S/C6H15NO2/c7-4-3-6(9)2-1-5-8/h6,8-9H,1-5,7H2	C6H15NO2	17	-95.05556698992177	""	C(CC(CCN)O)CO	-0.873000026	""	PubChem:(55289048 89292424)
