inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
IQXXEPZFOOTTBA	InChI=1S/C11H16N2/c1-2-4-11(5-3-1)10-13-8-6-12-7-9-13/h1-5,12H,6-10H2	C11H16N2	1	-86.4794504964306	Benzylpiperazine	C1=CC=C(C=C1)CN2CCNCC2	1.17700005	""	training set;biological;PubChem:(75994 4745088 12198047 30725160 46780782 60170903 88581671 117064959);CHEBI:(83537)
ONEYFZXGNFNRJH	InChI=1S/C11H16N2/c1-10-2-4-11(5-3-10)13-8-6-12-7-9-13/h2-5,12H,6-9H2,1H3	C11H16N2	2	-108.64723606850261	1-p-tolylpiperazine	CC1=CC=C(C=C1)N2CCNCC2	2.19199991	""	PubChem:(83113 7327236);biological
OWNRGMIGYLYUKG	InChI=1S/C11H18N2O/c12-11(9-14)8-13-7-6-10-4-2-1-3-5-10/h1-5,11,13-14H,6-9,12H2	C11H18N2O	3	-109.86135269960438	""	C1=CC=C(C=C1)CCNCC(CO)N	0.244000003	""	PubChem:(117558899)
JIWHIRLNKIUYSM	InChI=1S/C11H16N2/c1-10-3-2-4-11(9-10)13-7-5-12-6-8-13/h2-4,9,12H,5-8H2,1H3	C11H16N2	4	-110.92947389048575	Maybridge4_000089	CC1=CC=CC(=C1)N2CCNCC2	2.19199991	""	PubChem:(83111 6922265 50936934)
BVFXUEMCKGMBAB	InChI=1S/C11H18N2O/c12-11(9-13-6-7-14)8-10-4-2-1-3-5-10/h1-5,11,13-14H,6-9,12H2	C11H18N2O	5	-111.12613515534268	""	C1=CC=C(C=C1)CC(CNCCO)N	0.244000003	""	PubChem:(70469172)
PEORPEBHZUHNFF	InChI=1S/C11H18N2O/c14-9-8-12-6-7-13-10-11-4-2-1-3-5-11/h1-5,12-14H,6-10H2	C11H18N2O	6	-114.38802558987211	2-[2-(benzylamino)ethylamino]ethanol	C1=CC=C(C=C1)CNCCNCCO	0.43900001	""	PubChem:(104697)
OBPSZPFQSPAJET	InChI=1S/C11H18N2O/c1-9(13-7-11(12)8-14)10-5-3-2-4-6-10/h2-6,9,11,13-14H,7-8,12H2,1H3	C11H18N2O	7	-115.70525635026083	""	CC(C1=CC=CC=C1)NCC(CO)N	0.611999989	""	PubChem:(117558892)
WQXCDUHJELMREB	InChI=1S/C11H18N2O/c12-7-4-8-13-9-11(14)10-5-2-1-3-6-10/h1-3,5-6,11,13-14H,4,7-9,12H2	C11H18N2O	8	-117.10780048891179	""	C1=CC=C(C=C1)C(CNCCCN)O	0.50999999	""	PubChem:(62273504)
ZIHVQKNSFFVVJB	InChI=1S/C11H18N2O/c12-7-9-13-8-6-11(14)10-4-2-1-3-5-10/h1-5,11,13-14H,6-9,12H2	C11H18N2O	9	-122.99309772662828	""	C1=CC=C(C=C1)C(CCNCCN)O	0.50999999	""	PubChem:(69308259)
JNXARVGYTMECKT	InChI=1S/C11H18N2O/c12-9-11(13-6-7-14)8-10-4-2-1-3-5-10/h1-5,11,13-14H,6-9,12H2	C11H18N2O	10	-123.08287691818855	""	C1=CC=C(C=C1)CC(CN)NCCO	0.244000003	""	PubChem:(65381930)
GJZBAXZAMRYFMW	InChI=1S/C11H18N2O/c12-8-4-7-10(13)11(14)9-5-2-1-3-6-9/h1-3,5-6,10-11,14H,4,7-8,12-13H2	C11H18N2O	11	-124.49692928872626	""	C1=CC=C(C=C1)C(C(CCCN)N)O	0.514999986	""	PubChem:(57438473)
CXURERJCEJVPQL	InChI=1S/C11H16N2/c1-12-7-9-13(10-8-12)11-5-3-2-4-6-11/h2-6,12H,1,7-10H2	C11H16N2	12	-127.79329576241642	1-methanidyl-4-phenylpiperazin-1-ium	C=N1CCN(CC1)C2=CC=CC=C2	1.95500004	""	PubChem:(20723217)
LJYXNCDJNSYLIU	InChI=1S/C11H18N2O/c12-9-11(13-7-4-8-14)10-5-2-1-3-6-10/h1-3,5-6,11,13-14H,4,7-9,12H2	C11H18N2O	13	-127.9290531505087	""	C1=CC=C(C=C1)C(CN)NCCCO	0.50999999	""	PubChem:(15916804)
JIGVQVMYORVCDO	InChI=1S/C11H18N2O/c12-7-6-11(14)9-13-8-10-4-2-1-3-5-10/h1-5,11,13-14H,6-9,12H2	C11H18N2O	14	-128.51724281522976	""	C1=CC=C(C=C1)CNCC(CCN)O	0.444000006	""	PubChem:(112511959)
NASOUPHMVIRFPV	InChI=1S/C11H18N2O/c12-7-4-8-13-11(9-14)10-5-2-1-3-6-10/h1-3,5-6,11,13-14H,4,7-9,12H2	C11H18N2O	15	-129.71464865041196	""	C1=CC=C(C=C1)C(CO)NCCCN	0.50999999	""	PubChem:(81736573 107862191 107862563)
MPPQSLMEXVKENX	InChI=1S/C11H18N2O/c1-9(13-8-11(14)7-12)10-5-3-2-4-6-10/h2-6,9,11,13-14H,7-8,12H2,1H3	C11H18N2O	16	-131.5027751456255	""	CC(C1=CC=CC=C1)NCC(CN)O	0.611999989	""	PubChem:(112476773)
JTEJMGHPAYJBTA	InChI=1S/C11H16N2/c12-6-8-13-7-5-10-3-1-2-4-11(10)9-13/h1-4H,5-9,12H2	C11H16N2	17	-131.82006483763823	3,4-Dihydro-2(1H)-isoquinolineethylamine	C1=CC2=C(C=C1)CN(CC2)CCN	0.842999995	""	PubChem:(40742 6993234 28146123)
CDEKFEBIZIZBJK	InChI=1S/C11H18N2O/c12-9-11(14)7-4-8-13-10-5-2-1-3-6-10/h1-3,5-6,11,13-14H,4,7-9,12H2	C11H18N2O	18	-132.26294326303366	""	C1=CC=C(C=C1)NCCCC(CN)O	0.93599999	""	PubChem:(69124210)
CMKFAUDEVRGJAN	InChI=1S/C11H18N2O/c1-9(13-11(7-12)8-14)10-5-3-2-4-6-10/h2-6,9,11,13-14H,7-8,12H2,1H3	C11H18N2O	19	-132.68158329363163	""	CC(C1=CC=CC=C1)NC(CN)CO	0.611999989	""	PubChem:(104711038)
BMKQXTJLNVYPRT	InChI=1S/C11H16N2/c12-9-11(13-7-4-8-13)10-5-2-1-3-6-10/h1-3,5-6,11H,4,7-9,12H2	C11H16N2	20	-133.7244931071536	""	C1=CC=C(C=C1)C(CN)N2CCC2	1.24800003	""	PubChem:(53429142)
OHVDOCMNTYIMHU	InChI=1S/C11H18N2O/c12-6-7-13-9-11(14)8-10-4-2-1-3-5-10/h1-5,11,13-14H,6-9,12H2	C11H18N2O	21	-133.97924852721368	""	C1=CC=C(C=C1)CC(CNCCN)O	0.244000003	""	PubChem:(69310771)
GIHSYZGMTBOLRJ	InChI=1S/C11H18N2O/c12-7-10(6-11(14)8-13)9-4-2-1-3-5-9/h1-5,10-11,14H,6-8,12-13H2	C11H18N2O	22	-134.61175152880824	""	C1=CC=C(C=C1)C(CC(CN)O)CN	0.0820000023	""	PubChem:(90278148)
STNWGGPCTYJTGU	InChI=1S/C11H16N2/c1-2-3-8-12-10-7-11-6-4-5-9-13-11/h2,4-6,9,12H,1,3,7-8,10H2	C11H16N2	23	-134.71474573126432	""	C=CCCNCCC1=NC=CC=C1	1.51300001	""	PubChem:(64313714)
ZQJFYAYNQKAFTF	InChI=1S/C11H18N2O/c12-7-1-2-10-3-5-11(6-4-10)13-8-9-14/h3-6,13-14H,1-2,7-9,12H2	C11H18N2O	24	-134.73193983586356	""	C(CC1=CC=C(C=C1)NCCO)CN	0.597000003	""	PubChem:(56978969)
VPGWSRSEJZEFAQ	InChI=1S/C11H18N2O/c1-9(12)7-13-8-11(14)10-5-3-2-4-6-10/h2-6,9,11,13-14H,7-8,12H2,1H3	C11H18N2O	25	-135.49460543387355	""	CC(CNCC(C1=CC=CC=C1)O)N	0.611999989	""	PubChem:(54403837 89877570)
VGIMXZKSTSCVJP	InChI=1S/C11H18N2O/c14-10-9-12-7-4-8-13-11-5-2-1-3-6-11/h1-3,5-6,12-14H,4,7-10H2	C11H18N2O	26	-135.69778414663614	""	C1=CC=C(C=C1)NCCCNCCO	0.930999994	""	PubChem:(69124207)
QLCAETZMTVBIPK	InChI=1S/C11H16N2/c1-2-3-7-12-9-6-11-5-4-8-13-10-11/h2,4-5,8,10,12H,1,3,6-7,9H2	C11H16N2	27	-136.64687395513346	""	C=CCCNCCC1=CC=CN=C1	1.42400002	""	PubChem:(64314643)
