inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
SIKYESMDPLYQRH	InChI=1S/C10H16O/c1-8(11)10-5-2-9(3-6-10)4-7-10/h9H,2-7H2,1H3	C10H16O	1	-94.0766247733308	""	CC(=O)C12CCC(CC1)CC2	2.46700001	""	PubChem:(12675852)
FCJUWQYGEFAZIH	InChI=1S/C10H16O/c1-3-5-7-9-10(11)8-6-4-2/h3-6H,7-9H2,1-2H3	C10H16O	2	-102.9876448935275	2,8-Decadien-5-one, (Z,E)-	CC=CCCC(=O)CC=CC	2.90300012	""	PubChem:(17788052 57010401)
BAKGJVBMLVMSBC	InChI=1S/C10H16O/c1-3-8(2)9-4-6-10(11)7-5-9/h3,9H,4-7H2,1-2H3	C10H16O	3	-103.22399726262508	""	CC=C(C)C1CCC(=O)CC1	2.21300006	""	PubChem:(91048523)
WOTIUKDFRFRNEL	InChI=1S/C10H16O/c1-4-5-6-7-9(2)8-10(3)11/h1,9H,5-8H2,2-3H3	C10H16O	4	-105.17547982118872	""	C#CCCCC(C)CC(=O)C	2.6559999	""	PubChem:(104094509)
OBKUXHANNKNOPV	InChI=1S/C10H16O/c1-3-8(2)9-5-4-6-10(11)7-9/h3,9H,4-7H2,1-2H3	C10H16O	5	-105.7756856591729	""	CC=C(C)C1CCCC(=O)C1	2.21300006	""	PubChem:(15881776)
FGVRLYOWJOROPU	InChI=1S/C10H16O/c1-3-4-9-5-6-10(11)7-8(9)2/h3-4,8-9H,5-7H2,1-2H3	C10H16O	6	-106.71620852272261	""	CC=CC1CCC(=O)CC1C	2.65899992	""	PubChem:(57269895)
DCKFSSQRJSNKRG	InChI=1S/C10H16O/c1-2-3-4-9-5-7-10(11)8-6-9/h2-3,9H,4-8H2,1H3	C10H16O	7	-106.86190555557809	""	CC=CCC1CCC(=O)CC1	2.72399998	""	PubChem:(90913389)
PZJXLLHDHUDWFH	InChI=1S/C10H16O/c1-9(11)7-8-10-5-3-2-4-6-10/h7-8,10H,2-6H2,1H3	C10H16O	8	-109.377872533346	4-Cyclohexyl-3-buten-2-one	CC(=O)C=CC1CCCCC1	3.33299994	""	PubChem:(95597 5354903 24972589)
ONEVGLIMHKKHMR	InChI=1S/C10H16O/c1-3-4-5-6-7-8-9-10(2)11/h3-4,7-8H,5-6,9H2,1-2H3	C10H16O	9	-109.42349563399773	(4E,8E)-deca-4,8-dien-2-one	CC=CCCC=CCC(=O)C	3.11400008	""	PubChem:(20200043 57070222)
JSCQETDRSINWLO	InChI=1S/C10H16O/c1-8-4-6-10(3,7-5-8)9(2)11/h1,4-7H2,2-3H3	C10H16O	10	-109.45382632204955	""	C=C1CCC(C)(CC1)C(=O)C	1.88999999	""	PubChem:(90364765)
CPIXYSJHEFGRDR	InChI=1S/C10H16O/c1-9(7-8-11)10-5-3-2-4-6-10/h9-11H,2-6H2,1H3	C10H16O	11	-109.74537025708379	3-cyclohexylbut-1-yn-1-ol	CC(C#CO)C1CCCCC1	4.421	""	PubChem:(18801125)
JFIXIOHZZSNDLM	InChI=1S/C10H16O/c1-4-6-7-8-9(3)10(11)5-2/h1,9H,5-8H2,2-3H3	C10H16O	12	-111.18110395452031	""	C#CCCCC(C)C(=O)CC	2.125	""	PubChem:(104090153)
BLMWPQJQWOPVRR	InChI=1S/C10H16O/c1-9-3-5-10(2,6-4-9)8(11)7-9/h3-7H2,1-2H3	C10H16O	13	-111.3613197873948	Bicyclo[2.2.2]octanone, 1,4-dimethyl-	CC12CCC(C)(CC1)C(=O)C2	2.18799996	""	PubChem:(21675359)
AORHEIWFVHBUCM	InChI=1S/C10H16O/c1-10(2)6-7-3-4-8(10)5-9(7)11/h7-8H,3-6H2,1-2H3	C10H16O	14	-112.01265865414122	""	CC1(C)CC2CCC1CC2=O	2.49499989	""	PubChem:(57465955 102386470)
LKBDIXOCYYCIQO	InChI=1S/C10H16O/c1-8-3-5-10(6-4-8)7-9(2)11/h7-8H,3-6H2,1-2H3	C10H16O	15	-112.78032263720917	1-(4-methylcyclohexylidene)propan-2-one	CC1CCC(=CC(=O)C)CC1	2.7249999	""	PubChem:(13601414)
OLEYHOXCBASEGR	InChI=1S/C10H16O/c1-3-4-5-6-7-8-9-10(2)11/h3-6,9H2,1-2H3	C10H16O	16	-113.19776991727835	""	CCCCCC#CCC(=O)C	3.04200006	""	PubChem:(15816623)
DXYNAZLJYSQFQY	InChI=1S/C10H16O/c1-4-5-6-7-8-9(2)10(3)11/h1,9H,5-8H2,2-3H3	C10H16O	17	-113.43515724865163	8-Nonyn-2-one, 3-methyl-	C#CCCCCC(C)C(=O)C	2.44099998	""	PubChem:(71318093)
RZFXXLXIKFFUSG	InChI=1S/C10H16O/c1-2-3-5-9-6-4-7-10(11)8-9/h3,5,9H,2,4,6-8H2,1H3	C10H16O	18	-113.52787513306266	3-[(1Z)-1-butenyl]cyclohexanone	CCC=CC1CCCC(=O)C1	2.61500001	""	PubChem:(12647317 12647318 98616626 98616627)
OJDRKPJDAWCHHG	InChI=1S/C10H16O/c1-3-8(2)9-5-4-6-10(11)7-9/h3,8-9H,1,4-7H2,2H3	C10H16O	19	-113.62461095637961	""	C=CC(C)C1CCCC(=O)C1	2.704	""	PubChem:(14216818 101675077 101915992)
RMIANEGNSBUGDJ	InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h8-9H,1,4-6H2,2-3H3	C10H16O	20	-113.78771836433717	Isopulegon	C=C(C)C1CCC(C)CC1=O	2.09599996	""	HMDB:(35741);KNApSAcK:(820);Natural Products:(UNPD121246 UNPD142879 UNPD185236);PubChem:(34645 443529 6432305 10534862 12304295 44163790 89200317);CHEBI:(37046 37047);KEGG:(C11951);biological;Plantcyc:(CPD-4941);Biocyc:(CPD-4941)
SCXIMVZGFMXUIO	InChI=1S/C10H16O/c11-10-8-4-1-2-5-9(10)7-3-6-8/h8-9H,1-7H2	C10H16O	21	-114.37687337508697	Bicyclo[4.3.1]decan-10-one	C1CCC2CCCC(C1)C2=O	2.3039999	""	PubChem:(567026)
XWHKDYLCHRLRKM	InChI=1S/C10H16O/c1-10-5-2-3-8(10)7-9(11)4-6-10/h8H,2-7H2,1H3	C10H16O	22	-114.5005822166166	5H-Inden-5-one, octahydro-7a-methyl-	CC12CCCC2CC(=O)CC1	2.77099991	""	PubChem:(12860555 12860556 12860557 101687003 101687005)
SYWCBIXITCYCQY	InChI=1S/C10H16O/c1-8-4-3-5-10(6-8)7-9(2)11/h7-8H,3-6H2,1-2H3	C10H16O	23	-114.99566803578357	""	CC1CCCC(=CC(=O)C)C1	2.7249999	""	PubChem:(121598000 122235670)
NETHGUBGPZKLET	InChI=1S/C10H16O/c1-8-2-5-10(6-3-8)7-4-9(10)11/h8H,2-7H2,1H3	C10H16O	24	-115.04208551563615	(4s,7s)-7-Methylspiro[3.5]nonan-1-one	CC1CCC2(CC1)CCC2=O	2.36199999	""	PubChem:(72376520)
XUQSLIWUWIUZTL	InChI=1S/C10H16O/c1-4-6-7-9(3)8-10(11)5-2/h2,9H,4,6-8H2,1,3H3	C10H16O	25	-115.10595215104382	5-methylnon-1-yn-3-one	CCCCC(C)CC(=O)C#C	3.49399996	""	PubChem:(22150672 54489397)
BIZFVCKAVAGTJA	InChI=1S/C10H16O/c1-3-4-5-6-7-8-9-10(2)11/h1H,4-9H2,2H3	C10H16O	26	-115.41938980301053	9-Decyn-2-one	C#CCCCCCCC(=O)C	2.71700001	""	PubChem:(13268766)
QSIGBGQVYOSZPL	InChI=1S/C10H16O/c1-4-6-8-10(7-5-2)9(3)11/h2,10H,4,6-8H2,1,3H3	C10H16O	27	-115.49051545199656	2-Heptanone, 3-(2-propynyl)-	CCCCC(CC#C)C(=O)C	2.44099998	""	PubChem:(13108551)
RKGGDZCRNZOALD	InChI=1S/C10H16O/c1-9(11)10-7-5-3-2-4-6-8-10/h2-3,10H,4-8H2,1H3	C10H16O	28	-115.63866557302438	1-(4-Cycloocten-1-yl)ethanone	CC(=O)C1CCC=CCCC1	2.72000003	""	PubChem:(566606 5369117)
XBFQEXRYOHVHEZ	InChI=1S/C10H16O/c1-4-6-7-8-10(5-2)9(3)11/h2,10H,4,6-8H2,1,3H3	C10H16O	29	-116.22644185780742	""	CCCCCC(C#C)C(=O)C	2.76200008	""	PubChem:(12418366)
NHBZEMRMJASWAX	InChI=1S/C10H16O/c11-10-5-3-9(4-6-10)7-8-1-2-8/h8-9H,1-7H2	C10H16O	30	-116.29352812061187	4-(cyclopropylmethyl)cyclohexan-1-one	C1CC1CC2CCC(=O)CC2	2.73399997	""	PubChem:(58749616)
VGLARNRBCCSYJG	InChI=1S/C10H16O/c1-3-5-6-7-9-10(11)8-4-2/h4,6-9H2,1-2H3	C10H16O	31	-116.34239810001718	""	CC#CCCCC(=O)CCC	2.43099999	""	PubChem:(64520930)
DJESQWHUGRPJNK	InChI=1S/C10H16O/c11-10-5-4-8-2-1-3-9(6-8)7-10/h8-9H,1-7H2	C10H16O	32	-116.50328859608427	""	C1CC2CCC(=O)CC(C1)C2	2.73399997	""	PubChem:(12963404)
CHFWTDDNWJXEQA	InChI=1S/C10H16O/c1-10(2)7-3-4-8(10)6-9(11)5-7/h7-8H,3-6H2,1-2H3	C10H16O	33	-116.84343240094884	Bicyclo[3.2.1]octan-3-one, 8,8-dimethyl-	CC1(C)C2CCC1CC(=O)C2	2.71000004	""	PubChem:(11263605 71332957)
PHESKRYPSVBGJK	InChI=1S/C10H16O/c11-10(9-5-2-6-9)7-8-3-1-4-8/h8-9H,1-7H2	C10H16O	34	-116.84884421008037	""	C1CC(C1)CC(=O)C2CCC2	2.51900005	""	PubChem:(65458105)
FDKFZKXRURGINE	InChI=1S/C10H16O/c1-9-3-4-10(2,7-9)6-8(11)5-9/h3-7H2,1-2H3	C10H16O	35	-116.90536499993084	""	CC12CCC(C)(CC(=O)C1)C2	2.80800009	""	PubChem:(57666551)
HQTBFCVXQBMDSW	InChI=1S/C10H16O/c1-3-5-6-7-8-9-10(11)4-2/h3-7H2,1-2H3	C10H16O	36	-117.11800402846622	4-decyn-3-one	CCCCCC#CC(=O)CC	3.48000002	""	PubChem:(4663481)
URSATZPFGPDILG	InChI=1S/C10H16O/c1-3-5-7-9-10(11)8-6-4-2/h4,6-9H2,1-2H3	C10H16O	37	-117.46563372654315	8-Decyn-5-one	CC#CCCC(=O)CCCC	2.43099999	""	PubChem:(19817211)
FSGAPPWNWSFKSR	InChI=1S/C10H16O/c1-3-5-6-7-8-9-10(11)4-2/h4,6-9H2,1-2H3	C10H16O	38	-117.52377940245027	""	CC#CCCCCC(=O)CC	2.43099999	""	PubChem:(104811866)
QAVLIVNTLHVEGD	InChI=1S/C10H16O/c11-10-7-8-3-1-5-9(10)6-2-4-8/h8-9H,1-7H2	C10H16O	39	-117.57766501379493	Bicyclo[3.3.2]decan-9-one	C1CC2CCCC(C1)C(=O)C2	2.51900005	""	PubChem:(557349)
NGCCWOGLGQDZPF	InChI=1S/C10H16O/c1-3-9-4-6-10(7-5-9)8(2)11/h3,9-10H,1,4-7H2,2H3	C10H16O	40	-117.624603133539	Ethanone, 1-(4-ethenylcyclohexyl)-	C=CC1CCC(CC1)C(=O)C	2.80500007	""	PubChem:(13378943)
GZDITNIMCRBMDV	InChI=1S/C10H16O/c11-8-7-10-4-1-9(2-5-10)3-6-10/h8-9H,1-7H2	C10H16O	41	-117.65850474802109	2-(4-bicyclo[2.2.2]octanyl)acetaldehyde	C1CC2(CCC1CC2)CC=O	3.80500007	""	PubChem:(18781920)
ZNSYKWLNYSEQGC	InChI=1S/C10H16O/c1-4-6-8-10(11)9(3)7-5-2/h1-2,9H,4-8H2,3H3	C10H16O	42	-117.75052628120667	""	[CH-]CCCC(=O)C(C)CC[CH+]	3.04399991	""	PubChem:(59510890)
HZRHGOMCJOCIPT	InChI=1S/C10H16O/c11-10(9-6-7-9)8-4-2-1-3-5-8/h8-9H,1-7H2	C10H16O	43	-117.86909249124808	cyclohexyl(cyclopropyl)methanone	C1CCC(CC1)C(=O)C2CC2	2.3039999	""	PubChem:(12243519)
UBLWNDFVSHFWKR	InChI=1S/C10H16O/c1-4-5-6-7-9(2)8-10(3)11/h9H,6-8H2,1-3H3	C10H16O	44	-118.01302348349122	""	CC#CCCC(C)CC(=O)C	2.68600011	""	PubChem:(104811886)
BHJREBRUFKVDEE	InChI=1S/C10H16O/c1-3-5-7-9-10(11)8-6-4-2/h3-4H,1-2,5-9H2	C10H16O	45	-118.03045481858847	ACMC-20mqux	C=CCCCC(=O)CCC=C	2.8039999	""	PubChem:(14265375)
QJDNGYLTPPFPRV	InChI=1S/C10H16O/c1-4-6-8-10(7-5-2)9(3)11/h1,10H,5-8H2,2-3H3	C10H16O	46	-118.13210973734995	""	C#CCCC(CCC)C(=O)C	2.44099998	""	PubChem:(10080579)
IXIYFHWVSVLLBR	InChI=1S/C10H16O/c1-3-5-6-7-8-9-10(11)4-2/h3-6,9H2,1-2H3	C10H16O	47	-118.19790255570632	""	CCCCC#CCC(=O)CC	2.72600007	""	PubChem:(71537699)
YPFXPWWXPQHFSB	InChI=1S/C10H16O/c1-4-5-6-10(11)8-7-9(2)3/h1,9H,5-8H2,2-3H3	C10H16O	48	-118.23463649565998	""	C#CCCC(=O)CCC(C)C	2.33999991	""	PubChem:(63657079)
WQCZOWCFNNRSMD	InChI=1S/C10H16O/c1-10(2)8-5-3-7(4-6-8)9(10)11/h7-8H,3-6H2,1-2H3	C10H16O	49	-118.43800109643944	Bicyclo[2.2.2]octanone, 3,3-dimethyl-	CC1(C)C2CCC(CC2)C1=O	1.875	""	PubChem:(12634775)
SVTUWKOIFTTYHI	InChI=1S/C10H16O/c11-10-6-4-9(5-7-10)8-2-1-3-8/h8-9H,1-7H2	C10H16O	50	-118.6480638753847	""	C1CC(C1)C2CCC(=O)CC2	2.73399997	""	PubChem:(116963396)
PFCMCADJWCEIPX	InChI=1S/C10H16O/c1-3-10(9(2)11)7-5-4-6-8-10/h3H,1,4-8H2,2H3	C10H16O	51	-118.80645505999107	1-(1-vinylcyclohexyl)ethanone	C=CC1(CCCCC1)C(=O)C	3.12100005	""	PubChem:(12507254)
RITIWCHDHZHAKK	InChI=1S/C10H16O/c1-10(2)6-7-3-4-8(10)9(11)5-7/h7-8H,3-6H2,1-2H3	C10H16O	52	-119.00790899212262	Bicyclo[2.2.2]octanone, 6,6-dimethyl-	CC1(C)CC2CCC1C(=O)C2	2.49499989	""	PubChem:(69730497)
JRUVLVFCQDNXGD	InChI=1S/C10H16O/c1-3-5-7-9-10(11)8-6-4-2/h1H,4-9H2,2H3	C10H16O	53	-119.18383210627657	""	C#CCCCC(=O)CCCC	2.40100002	""	PubChem:(10654418)
ALHDRMUJKQWRNC	InChI=1S/C10H16O/c1-4-6-8-10(11)9(3)7-5-2/h1,9H,5-8H2,2-3H3	C10H16O	54	-119.34636979904427	""	C#CCCC(=O)C(C)CCC	2.125	""	PubChem:(114972781)
GILAHNNOBKTKSX	InChI=1S/C10H16O/c1-3-4-5-6-7-8-9-10(2)11/h3-7H2,1-2H3	C10H16O	55	-119.47052187104521	ACMC-20luqq	CCCCCCC#CC(=O)C	3.796	""	PubChem:(11094822)
IGJVWKSXSBJCRV	InChI=1S/C10H16O/c1-4-6-8-10(11)9(3)7-5-2/h2,9H,4,6-8H2,1,3H3	C10H16O	56	-119.55895059021096	""	CCCCC(=O)C(C)CC#C	2.125	""	PubChem:(90988718)
LGVJRKCQQHOWAU	InChI=1S/C10H16O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h8-9H,1-7H2	C10H16O	57	-119.58757363986798	cis-2-Decalone	C1CCC2CC(=O)CCC2C1	2.73399997	""	PubChem:(85944 98498 100328 246289 7166675 10351883);biological
