"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_1","ExControl-ExControl_2","ExControl-ExControl_3","ID","MZ","RT"
"458",3856064.931,2860695.142,5068215.175,5758676.125,2818728.376,6406204.358,5666487.188,2327459.992,7107857.259,5873890.279,4711956.351,6956676.876,2072647.771,6504857.944,6557282.349,7377704.688,167459.4222,6432222.678,6118105.98,2819117.077,2284515.754,2967486.108,1877683.371,3390732.07,1816863.286,4532283.613,4198460.411,4079466.149,770903.5066,4486883.292,5043882.832,3900360.368,1265323.575,4534522.494,3339223.419,3274714.469,809813.1378,5256905.008,2151491.412,5406159.686,716564.2055,3808023.217,5110061.04,5516296.449,22344327.19,9193058.479,29931329.88,30496480.34,14894295.36,43612982.39,36456943.1,35318801.12,43176967.22,24677544.38,11528374.93,64938517.06,49490932.26,29968380.83,43917495.79,440195.5222,425877.3532,515853.7179,482,273.1305048,3.157894334
"459",3623.095924,1680.184544,1924.995163,8160.896186,1172.355547,6883.194372,3282.995197,0,4339.978748,3382.912058,4046.412179,10093.31629,8964.534082,10405.3997,2593.833951,3795.344329,0,7216.127562,2624.349529,3254849.42,4138061.319,5004334.891,7506100.184,13987935.13,14446594.79,33682737.82,14901706.04,15373192.23,10680595.01,40354542.57,20022143.52,19222167.37,5810626.513,41401194.05,30304883.85,20468878.07,14411577.02,28709722.13,31925832.65,18908926.78,12214581.05,28631900.89,6329.051556,2764.468877,8746.378184,6465.854972,3255.679557,5258.800373,1907.740062,7347.009733,6544.065556,5539.352742,1910.186127,1544.892279,6850.97285,7477.29065,6846.814523,1524.590134,10199.35666,0,252589.2181,1469.901012,483,271.5761911,3.072220909
"460",3498438.834,97301.74599,1347308.091,2278841.101,43832.37697,1300604.724,3118458.737,118683.4842,314377.9993,2022145.879,559939.3272,487774.0827,7766.602409,3876222.076,649663.5215,310649.8866,2230.711781,818596.2954,474364.6671,3682502.273,129898.8408,149510.9018,199698.4523,1610190.546,228348.1548,1162564.064,1057486.792,955039.4577,59566.53734,235163.4959,2004808.99,661942.9546,15113.82167,652846.7933,862163.0412,697775.3046,51250.76172,491648.4355,469118.3744,1079613.807,25241.07365,560231.4711,361643.1554,404621.327,2692084.581,470986.7109,1394092.75,6191614.457,408881.181,1422657.19,4006503.673,2973589.276,858238.5097,4121399.956,1000359.282,2759720.242,7877782.881,3627002.232,3389129.072,734.3999194,5947.366695,648.1891631,484,173.041531,0.340903056
"463",162095.4506,287017.2918,405209.171,1357095.979,190033.8511,1065783.639,1735255.991,129135.2908,1167578.511,1603017.502,1296509.68,886513.6375,1479626.547,2122478.038,1876926.216,1699789.668,158819.5965,1828659.776,2476771.868,2805259.83,1628016.657,1766426.716,4776272.913,11714598.61,6973118.16,10495131.22,11709943.82,15948068.6,5481658.362,13647462.61,10773790.86,18309172.48,8403246.577,16552378.76,8758974.707,18985300.5,3068580.467,12361277.2,5686497.677,14214662.64,3439613.845,10646449.18,142188.8864,28738.11992,553222.2168,148442.3234,796773.0932,686780.6122,491317.6279,1287115.903,577877.2139,1367141.618,256786.7006,1507255.093,397233.4315,355282.0504,1961717.888,588935.4491,979342.2524,30344.18083,81099.19501,72993.68644,488,175.1073122,0.344793393
"514",46283.4593,25881.34969,2015.457018,9482.869357,20953.80437,5707.597964,3866.21693,11618.4699,2242.900286,3034.00003,14886.02495,70040.49838,0,11899.19375,30928.11362,39645.84768,3012.086766,15575.01012,10243.54739,2161273.59,1691532.205,2541949.868,2904674.861,23395442.17,16185461.31,42362592.37,8783142.689,32033850.81,8013768.748,53561241.13,15706985.47,44610320.32,18245932.61,78518378.31,37190699.65,48878249.48,16778950.28,100585882.1,25100540.69,122798736.7,14723875.45,90976878.78,3905.997332,13528.07695,64401.1636,20970.87643,0,13485.04021,2029.241073,15508.39433,66207.39609,0,0,0,34266.83643,8552.664813,50778.87629,2033.764639,48149.07581,0,318019.0022,0,551,419.1443763,3.728075488
"636",792338.5901,488521.4267,1067713.799,1519999.422,623384.8189,1585157.716,2138721.576,497922.2137,1964756.038,3094152.662,1530851.825,2268966.78,512170.3987,3010712.695,2558679.896,3253450.921,62931.38481,3047563.219,3501440.675,2080106.727,1193209.735,1530068.978,1892343.624,6182639.777,2423871.923,8227796.53,11344459.15,8703950.474,778060.0439,15177734.38,19103083.93,10931931.81,2298941.17,14617707.77,15621078.29,8542275.666,6431891.113,17499365.41,7252495.603,17038946.97,1137566.65,16514082.43,131499.3033,103645.1867,29907.31637,19422.8359,262222.9178,37105.18383,47833.62126,713110.0913,96673.85234,73154.77747,693392.587,26460.24818,27008.46884,1043949.125,45928.8486,17732.95886,168612.357,27691.57495,37851.78273,59042.66647,702,213.0730829,2.65019279
"666",1352.789328,0,0,2215.586262,0,2628.246114,6163.070689,0,2007.211458,0,0,1963.487631,0,8480.477102,1799.01448,2472.653484,0,3753.392107,2846.273294,2042535.742,1922950.191,2869921.004,2461061.192,5956001.464,5158660.509,10215589.78,4131323.488,6842858.313,3177439.541,11127584.43,8537826.211,9674925.538,5119476.548,11292323.86,11490823.84,7123471.292,4701918.708,12269669.15,8849554.371,10721385.41,4023390.154,11196255.03,0,0,2281.753418,0,0,0,0,0,2354.424497,0,0,0,0,0,2344.837364,0,0,0,49858.51966,0,733,542.1445986,2.99760706
"693",884581.3075,190388.1583,615616.2864,356422.9976,245708.8395,425390.6147,1222632.034,340343.4597,446187.1494,1292896.572,460671.3699,704987.1065,1023399.167,1092022.379,708320.5985,980696.0656,60881.96003,1787067.382,1152152.315,2193633.645,514894.7389,1013224.16,2771891.85,5796452.85,3159269.63,5085804.215,7742680.817,9210802.266,3226721.279,9478915.975,11235782.05,11887370.71,5037819.287,9866188.914,8495069.805,11778903.42,4160795.371,12036262.3,5385119.918,12963299.01,2996295.39,11678800.41,362736.567,861721.6795,4076764.319,2421037.348,4068634.145,8060626.931,4927305.49,6582567.326,9541280.209,10387086.87,4027415.745,9756119.214,4865975.189,6587833.883,14669128.94,9586014.751,5102511.604,4413.872635,24818.94994,2607.27462,765,141.065477,0.320590207
"697",4133.303373,4860.275356,6661.037122,2438.151656,6292.051466,2071.305295,2521.687036,4390.870329,2556.799658,2156.277025,4378.488156,3977.138512,8649.381899,2740.359676,2776.781995,5106.645649,6047.334041,1817.065194,2576.895628,1664295.642,1345232.66,1275379.621,1357200.954,7472613.73,5763691.725,10601851.08,2235438.998,8400216.97,2618540.954,10488377.16,3931557.241,10481966.51,3862417.356,12394151.51,8968480.853,9451623.385,4103634.477,13353078.84,6646542.278,20691717.49,2830668.221,11759241.48,2787.936958,2076.473098,2934.930907,2508.550821,4449.496075,2353.820741,2321.330289,2283.907357,2055.78937,2420.499821,4679.23434,3358.980737,3839.658065,4216.17507,2070.609862,10283.83396,1883.47612,3766.677607,34575.3134,5826.857464,770,137.0233493,3.031232312
"798",15662475.07,5055017.505,14252082.16,4399586.61,2055980.175,12728167.89,6977412.742,1624140.238,17948802.1,2908947.623,3658511.517,9751146.944,6064229.077,6859633.663,5039230.885,11252045.86,263822.9816,2080099.782,3393363.353,1358287.287,225997.0599,1548604.006,2586780.603,2578489.593,735390.3978,2982676.099,2635059.419,4710183.986,1534875.106,3055759.045,3690250.741,5604797.767,783138.5102,4062914.645,3847571.164,4855033.93,1796791.387,6183997.427,2809374.644,7488972.323,1784643.118,4022026.387,16579953.6,12584990.26,26573493.3,19430954.85,19783407.72,33921031.75,28384963.26,34917495.97,56902120.05,66849142.69,42057161.93,470385708.4,45950257.73,47546652,119275540.8,97056542.56,64282698.85,6497.196262,95150.81524,16404.02959,892,233.0625524,0.345785652
