"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_2","ExControl-ExControl_3","ExControl-ExControl_4","ID","MZ","RT"
"4",289000.7528,80594.6544,52551.87421,129992.8829,83428.33435,27826.99046,24513.69633,69540.40515,81730.70671,21900.75132,110467.3814,352242.5498,256857.2311,135658.1428,219785.6846,133478.1902,179728.2173,137457228.1,95684830.08,121449994.7,812782567.5,488383054.6,1113310137,215239440.9,864547153.1,211418965.3,1204625962,457102962.7,1016005946,392407859,1358335582,895197545,403933264.2,1544586930,1985896119,261680183.6,1314876206,50130.41532,121843.8984,416901.8508,118979.4178,131811.5762,318130.018,43268.32364,143396.2141,354895.3915,76519.83198,32546.61573,24994.39017,180638.8652,243090.2451,414032.1913,77191.45462,183875.2772,0,18902.3569,2737417.105,4,487.2190999,3.026907178
"9",60471586.52,32553037.13,73269398.98,271989571.3,25843825.11,59669639.41,233763059.2,18730993.49,64790281.71,252732769.9,44273030.5,68925736.73,296792612.9,58336474.64,69644516.29,242812634.1,67920743.3,61675935.99,39587884.09,58474902.88,229245909.3,127952333.1,70501478.24,254838611.9,215053815.3,37813152,65418395.04,318806083.3,171816705.8,60646967.2,65934581.9,136601906.6,29547706.11,56468533.75,254936347.5,26174025.69,43864766.69,46084861.01,58965332.58,267331867.5,76693498.94,68004263.8,259144092.4,91327157.51,80220878.61,276756515.9,235597864.8,69538335.85,105798614.8,8927369.592,83204729.92,237972123.8,114181191.9,50069590.76,22295551.4,13515316.28,14551676.08,9,426.9670562,5.191131245
"10",132676.5906,73372.84165,21085.6106,5680.082024,59322.43514,13495.5304,0,53387.9232,67246.22123,0,63229.85623,221217.1394,225718.3143,161122.4123,137586.2066,61133.49179,156444.6946,53450818.21,46115147.67,78939703.75,572410402.6,457947479.8,614993792.8,740406871.6,742309863.1,192091459.5,908631160.6,1397449502,927652517.8,433126188.2,913474555.1,860113315.9,330516698.4,966110010.2,1315071450,204203175.7,901995403.3,4861.243364,80601.21342,297709.1563,70556.80395,65184.28947,73399.11442,5513.332567,45032.48538,210002.9577,14006.52899,20232.22698,0,214442.8236,72102.12993,380717.5317,4126.965071,235396.7192,0,23037.09835,5761530.347,10,529.175227,3.274579021
"20",24814.2833,6586.419195,2185.711655,9302.51152,3356.657908,0,1388.611913,842.7962649,0,0,4863.919981,31603.64094,19431.63758,3276.467222,10683.77311,2166.098417,8321.608554,13201383.22,9993091.19,12363612.62,43737562.99,27819359.61,58872259.58,18364400.25,49343262.3,13816352.77,61046192.27,35597754.31,51705725.67,22645870.73,68623214.24,43227402.36,21827695.59,68723803.52,86068690.23,15559915.94,58644174.24,0,5488.9482,14435.87431,4257.158571,5222.235667,23222.03309,0,2735.24335,24380.85009,2151.245045,0,0,17785.34781,13790.75189,29906.51668,0,6757.607996,0,0,287376.0219,20,509.2006343,3.026675328
"23",1001534.086,757752.4318,1095032.253,3425575.096,2802442.411,4543692.526,7386561.557,2319997.288,6793928.589,9244803.568,3706470.798,8525933.705,10703216.69,8651827.646,6005886.456,11569352.91,10210879.84,10424494.01,10336936.05,9355958.037,26123142.34,7600677.293,28499917.89,36058573.17,32209422.76,3217034.486,34894616.83,32246651.67,29699248.87,9171846.675,21352226.8,20412908.99,3827221.113,41640618.7,32477816.02,1192484.632,36568944.53,1215674.868,1339670.596,268567.8469,740252.5031,3734621.695,1007757.801,1414160.127,4494420.422,2114320.892,4644034.39,4166404.881,712743.1243,748954.0393,6858027.709,2537927.766,3131055.544,4059816.311,2386.617129,0,137072.6291,24,299.131743,4.512604632
"55",29843.89338,9870.344292,14887.09975,63668.66921,5261.209336,54179.92718,27736.29389,2130.259184,13507.06648,18039.24387,8108.842022,17810.04606,136047.3295,22088.15128,23220.96044,50512.35947,15772.14215,5286756.611,2537922.183,3551274.277,71515086.28,35454896.91,107378501.7,29761847.21,125723210.3,15812856.27,124522175,91579869.46,144802936.9,39969004.93,179588553.7,161405899,30477263.88,225204921.9,234071829.3,26236660.6,250696792.7,9938.941305,18371.42493,32007.32348,4080.054982,13759.57089,17479.46256,1936.254646,11843.06562,26138.1995,16926.73504,11980.73482,4850.815722,5122.464534,5820.585518,7843.972863,5742.675233,3825.282571,467.3141712,720.7782172,644693.6425,70,153.0191022,2.606124684
"63",32756.78241,25052.22045,3219.27021,7807.495487,18317.45834,4222.246263,2204.204243,7571.404,5987.463967,0,14757.88366,67378.68956,16081.8262,11166.24599,26603.22212,26335.0687,10113.61194,3262545.321,2402989.803,3599030.337,30988518.31,21565260.9,57264602.44,11446044.72,41930335.43,10586586.06,74642864.41,25222776.62,58963117.36,24381241.07,100438566.3,61886068.51,21221151.69,134246675.6,152059514.6,19579205.69,118785985.9,4740.452208,2905.122882,67119.85481,24977.30908,12430.42037,22445.64052,3365.426107,15265.35311,56037.51651,9804.269843,2208.396011,2616.369529,20183.67823,38688.45182,49831.25554,2992.970361,35925.76556,0,3547.063406,380823.1652,87,417.1297992,3.725769152
"100",12766.85133,4027.884144,6310.761273,87270.12666,34745.95268,76248.62566,113576.3584,29782.67283,147771.2252,156447.7273,122693.7934,186736.9021,226226.2974,128996.191,239734.2795,229972.6506,271686.1894,2084918.809,1830121.506,1462466.656,10330768.93,5201517.199,10266615.88,14409834.07,14162915.49,1877529.487,14495870.8,20282764.72,12629085.36,3959415.863,15543408.63,12011184,2350158.068,15413770.22,21927884.4,2346772.315,13913737.67,0,1237.263826,3829.226743,0,7509.547715,3931.170135,0,20478.89053,9037.186014,10077.78815,6651.132404,1049.727068,544.4600068,25961.19169,16476.0905,3963.855916,7228.72193,0,0,45736.18606,146,216.1236537,3.091533402
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478128.002,1343692.712,1486246.062,1617290.355,1072375.514,3489864.31,1347863.327,1740495.834,393697.0935,5816809.175,1890663.957,2025817.948,1011966.877,4170094.349,1526067.057,1160357.065,3741963.1,5251456.868,664016.3926,5673972.666,0,0,0,0,0,0,0,0,2635.397665,2467.409132,0,0,0,0,10337.56654,0,1536.538938,0,0,1280.343432,200,567.1760825,2.74307292
"145",1531339.073,827092.4143,1459903.238,1775157.784,840415.0882,1960429.1,1970794.789,727710.0352,2131033.894,2291650.46,1863451.924,2025886.432,2258290.73,2076311.204,2628511.062,2274439.661,3021968.639,1408342.518,1146829.847,1307504.351,2047458.307,907724.8658,1891889.629,1954482.007,2122212.288,410269.3855,1926873.433,2492168.362,1705688.271,641417.6617,1924912.206,1549324.268,418005.1143,3048670.81,2186537.021,368525.9616,1695540.231,1245222.09,1130029.29,1719588.863,387575.197,1295003.115,1787927.638,457389.9436,1422640.312,1792059.438,858838.1728,1072217.863,643842.9293,318781.9851,1362231.56,1502899.684,469803.8735,683156.8263,301598.9184,330952.709,387312.3289,220,243.1597166,4.873384107
