Compound,inchi key,Label,TheoreticalMZ,mzMin,mzMax,avgMZ,rtMin,rtMax,avgRt,
21,SNICXCGAKADSCV-JTQLQIEISA-N,(S)-NICOTINE,163.123,163.118,163.128,163.1230,1.58,3.47,2.22,
112,FUOOLUPWFVMBKG-UHFFFAOYSA-N,2-AMINO-2-METHYLPROPANOATE,104.0706,104.0656,104.0756,104.0711,9,9.37,9.16,
110,FUOOLUPWFVMBKG-UHFFFAOYSA-N,2-aminoisobutyric acid,104.0706,104.0656,104.0756,104.0711,9.03,9.36,9.18,
19,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,2'-DEOXYADENOSINE,252.1091,252.1041,252.1141,252.1091,2.12,2.55,2.36,
58,YKBGVTZYEHREMT-KVQBGUIXSA-N,2'-DEOXYGUANOSINE,268.1041,268.0991,268.1091,268.1043,5.94,6.22,6.09,
11,UBQKCCHYAOITMY-UHFFFAOYSA-N,2-HYDROXYPYRIDINE,96.0444,96.0394,96.0494,96.0449,1.16,1.64,1.44,
186,SYJPAKDNFZLSMV-HWKANZROSA-N,2-METHYLPROPANAL OXIME,88.0757,88.0707,88.0807,88.0764,24.04,26,24.82,
87,IVOMOUWHDPKRLL-KQYNXXCUSA-N,"3',5'-CYCLIC AMP",330.0598,330.0548,330.0648,330.0603,7.77,8.18,7.96,
126,QCHPKSFMDHPSNR-UHFFFAOYSA-N,3-AMINOISOBUTANOATE,104.0706,104.0656,104.0756,104.0711,9.78,10.38,10.09,
26,FSASIHFSFGAIJM-UHFFFAOYSA-N,3-METHYLADENINE,150.0774,150.0724,150.0824,150.0775,2.05,2.8,2.36,
79,UZTFMUBKZQVKLK-UHFFFAOYSA-N,4-ACETAMIDOBUTANOATE,146.0812,146.0762,146.0862,146.0813,6.8,7.62,7.27,
22,ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-AMINOBENZOATE,138.055,138.05,138.06,138.0550,2.55,3.09,2.80,
168,BTCSSZJGUNDROE-UHFFFAOYSA-N,4-AMINOBUTANOATE,104.0706,104.0656,104.0756,104.0711,11.37,12.23,11.75,
155,TUHVEAJXIMEOSA-UHFFFAOYSA-N,4-GUANIDINOBUTANOATE,146.0924,146.0874,146.0974,146.0925,10.56,11.31,10.92,
34,HCZHHEIFKROPDY-UHFFFAOYSA-N,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,190.0499,190.0449,190.0549,190.0504,2.44,6.44,4.06,
121,LJCWONGJFPCTTL-ZETCQYMHSA-N,4-HYDROXY-L-PHENYLGLYCINE,168.0655,168.0605,168.0705,168.0659,9.79,10.19,10.00,
120,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,4-IMIDAZOLEACETIC ACID,127.0502,127.0452,127.0552,127.0504,9.65,10.35,9.95,
