Compound,inchi key,Label,TheoreticalMZ,mzMin,mzMax,avgMZ,rtMin,rtMax,avgRt
0,BVWTXUYLKBHMOX-UHFFFAOYSA-N,METHYL VANILLATE,167.035,167.03,167.04,167.0350,0.87,1.11,1.00
1,RSTKLPZEZYGQPY-UHFFFAOYSA-N,INDOLE-3-PYRUVIC ACID,202.0509,202.0459,202.0559,202.0509,0.85,1.02,0.96
2,MWOOGOJBHIARFG-UHFFFAOYSA-N,vanillin,151.04,151.035,151.045,151.0400,0.8,1.2,0.96
5,TUNFSRHWOTWDNC-UHFFFAOYSA-N,MYRISTIC ACID,227.2016,227.1966,227.2066,227.2016,1.08,1.49,1.20
7,HXACOUQIXZGNBF-UHFFFAOYSA-N,4-PYRIDOXATE,182.0459,182.0409,182.0509,182.0459,1.1,1.54,1.25
8,RADKZDMFGJYCBB-UHFFFAOYSA-N,PYRIDOXAL,166.0509,166.0459,166.0559,166.0509,1.35,1.56,1.47
9,ZJTJUVIJVLLGSP-UHFFFAOYSA-N,LUMICHROME,241.0731,241.0681,241.0781,241.0731,1.26,1.62,1.42
11,QSJXEFYPDANLFS-UHFFFAOYSA-N,DIACETYL,85.0295,85.0245,85.0345,85.0295,1.22,1.7,1.49
12,ZNJFBWYDHIGLCU-HWKXXFMVSA-N,jasmonic acid (iso1),209.1183,209.1133,209.1233,209.1183,1.19,1.65,1.38
15,FUZZWVXGSFPDMH-UHFFFAOYSA-N,HEXANOATE,115.0764,115.0714,115.0814,115.0764,1.15,1.68,1.31
16,IJFXRHURBJZNAO-UHFFFAOYSA-N,3-HYDROXYBENZOATE,137.0244,137.0194,137.0294,137.0244,1.31,1.76,1.48
17,OKVJCVWFVRATSG-UHFFFAOYSA-N,3-HYDROXYBENZYL ALCOHOL,123.0451,123.0401,123.0501,123.0451,1.3,1.54,1.42
18,YGSDEFSMJLZEOE-UHFFFAOYSA-N,SALICYLATE,137.0244,137.0194,137.0294,137.0244,1.28,1.69,1.48
19,HYVABZIGRDEKCD-UHFFFAOYSA-N,N6-(DELTA2-ISOPENTENYL)-ADENINE,202.1098,202.1048,202.1148,202.1098,1.33,1.62,1.43
20,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,INDOLE-3-ACETAMIDE,173.072,173.067,173.077,173.0720,1.28,1.6,1.46
21,VZCYOOQTPOCHFL-UPHRSURJSA-N,MALEIC ACID,115.0037,114.9987,115.0087,115.0037,1.3,1.87,1.59
22,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NICOTINAMIDE,121.0407,121.0357,121.0457,121.0407,1.29,1.69,1.44
26,RWQNBRDOKXIBIV-UHFFFAOYSA-N,THYMINE,125.0356,125.0306,125.0406,125.0356,1.37,1.7,1.54
27,BKAJNAXTPSGJCU-UHFFFAOYSA-N,4-METHYL-2-OXOVALERIC ACID,129.0557,129.0507,129.0607,129.0557,1.39,2.41,1.91
29,WUUGFSXJNOTRMR-IOSLPCCCSA-N,5'-METHYLTHIOADENOSINE,296.0823,296.0773,296.0873,296.0823,1.6,2.11,1.80
30,JVQYSWDUAOAHFM-UHFFFAOYSA-N,3-METHYL-2-OXOVALERIC ACID,129.0557,129.0507,129.0607,129.0557,1.35,2.4,1.91
31,WSWCOQWTEOXDQX-MQQKCMAXSA-N,SORBATE,111.0451,111.0401,111.0501,111.0451,1.81,2.64,2.11
32,UYEUUXMDVNYCAM-UHFFFAOYSA-N,"2,4-DIHYDROXYPTERIDINE",163.0261,163.0211,163.0311,163.0261,1.67,2.09,1.85
33,IQFYYKKMVGJFEH-XLPZGREQSA-N,THYMIDINE,241.083,241.078,241.088,241.0830,1.71,2.19,1.90
34,ISAKRJDGNUQOIC-UHFFFAOYSA-N,URACIL,111.02,111.015,111.025,111.0200,1.69,2.16,1.91
35,BTNMPGBKDVTSJY-UHFFFAOYSA-N,PHENYLPYRUVATE,163.04,163.035,163.045,163.0400,1.4,2.54,1.93
36,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-DEOXYADENOSINE,250.0945,250.0895,250.0995,250.0945,2.13,2.52,2.34
37,LXNHXLLTXMVWPM-UHFFFAOYSA-N,PYRIDOXINE,168.0666,168.0616,168.0716,168.0666,1.66,2.37,1.97
38,WBYWAXJHAXSJNI-VOTSOKGWSA-N,TRANS-CINNAMATE,147.0451,147.0401,147.0501,147.0451,1.61,2.36,1.94
42,SERHXTVXHNVDKA-BYPYZUCNSA-N,PANTOLACTONE,189.0769,189.0719,189.0819,189.0769,1.53,3.1,2.16
43,KDVFRMMRZOCFLS-UHFFFAOYSA-N,2-Oxovaleric acid,115.04,115.035,115.045,115.0400,1.79,2.76,2.26
44,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,2'-DEOXYADENOSINE,250.0945,250.0895,250.0995,250.0945,2.1,2.55,2.34
45,MXHRCPNRJAMMIM-SHYZEUOFSA-N,DEOXYURIDINE,227.0673,227.0623,227.0723,227.0673,2.31,2.84,2.54
47,WPYMKLBDIGXBTP-UHFFFAOYSA-N,BENZOATE,121.0295,121.0245,121.0345,121.0295,2.1,2.78,2.45
48,ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-AMINOBENZOATE,136.0404,136.0354,136.0454,136.0404,1.99,2.62,2.34
49,RWZYAGGXGHYGMB-UHFFFAOYSA-N,ANTHRANILATE,136.0404,136.0354,136.0454,136.0404,1.99,2.6,2.34
50,GFFGJBXGBJISGV-UHFFFAOYSA-N,ADENINE,134.0472,134.0422,134.0522,134.0472,2.48,3.28,2.87
52,LOIYMIARKYCTBW-OWOJBTEDSA-N,UROCANATE,137.0356,137.0306,137.0406,137.0356,2.45,3.29,2.77
54,TYEYBOSBBBHJIV-UHFFFAOYSA-N,2-OXOBUTANOATE,101.0244,101.0194,101.0294,101.0244,2.86,3.95,3.38
55,GLDQAMYCGOIJDV-UHFFFAOYSA-N,"2,3-DIHYDROXYBENZOATE",153.0193,153.0143,153.0243,153.0193,3.23,4.21,3.67
57,OIRDTQYFTABQOQ-KQYNXXCUSA-N,ADENOSINE,266.0895,266.0845,266.0945,266.0895,3.34,4,3.70
58,XQXPVVBIMDBYFF-UHFFFAOYSA-N,4-HYDROXYPHENYLACETATE,151.04,151.035,151.045,151.0400,3.02,3.66,3.42
59,IWYDHOAUDWTVEP-ZETCQYMHSA-N,MANDELIC ACID,151.04,151.035,151.045,151.0400,2.98,3.66,3.42
60,JDBGXEHEIRGOBU-UHFFFAOYSA-N,5-HYDROXYMETHYLURACIL,141.0305,141.0255,141.0355,141.0305,3.5,4.12,3.79
61,WDJHALXBUFZDSR-UHFFFAOYSA-N,ACETOACETATE,101.0244,101.0194,101.0294,101.0244,2.83,4.03,3.38
63,PHOQVHQSTUBQQK-SQOUGZDYSA-N,"D-GLUCONO-1,5-LACTONE",177.0404,177.0354,177.0454,177.0404,3.55,4.35,3.90
64,HHDDCCUIIUWNGJ-UHFFFAOYSA-N,HYDROXYPYRUVATE,103.0037,102.9987,103.0087,103.0037,3.66,4.49,4.07
65,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,BUTANAL,131.0714,131.0664,131.0764,131.0714,3.42,4.32,3.74
69,MTVWFVDWRVYDOR-UHFFFAOYSA-N,"3,4-DIHYDROXYPHENYL GLYCOL",169.0506,169.0456,169.0556,169.0506,3.39,4.45,3.92
70,FDGQSTZJBFJUBT-UHFFFAOYSA-N,HYPOXANTHINE,135.0312,135.0262,135.0362,135.0312,3.78,4.55,4.21
71,PMOWTIHVNWZYFI-AATRIKPKSA-N,2-Hydroxycinnamic acid,163.04,163.035,163.045,163.0400,3.99,4.97,4.52
73,DRTQHJPVMGBUCF-XVFCMESISA-N,URIDINE,243.0622,243.0572,243.0672,243.0622,4.2,4.66,4.45
74,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CREATININE,112.0516,112.0466,112.0566,112.0516,3.69,4.55,4.24
75,HOVAGTYPODGVJG-VOQCIKJUSA-N,METHYL BETA-D-GALACTOSIDE,193.0717,193.0667,193.0767,193.0717,2.8,3.3,2.93
76,LCTONWCANYUPML-UHFFFAOYSA-N,PYRUVATE,87.0087,87.0037,87.0137,87.0087,4.31,4.96,4.46
78,UNXHWFMMPAWVPI-ZXZARUISSA-N,ERYTHRITOL,121.0506,121.0456,121.0556,121.0506,4.23,4.97,4.58
79,HCZHHEIFKROPDY-UHFFFAOYSA-N,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,188.0353,188.0303,188.0403,188.0353,4.25,5,4.56
80,WKOLLVMJNQIZCI-UHFFFAOYSA-N,vanillic acid,167.035,167.03,167.04,167.0350,4.07,4.91,4.51
81,NGSWKAQJJWESNS-ZZXKWVIFSA-N,4-COUMARATE,163.04,163.035,163.045,163.0400,4.04,4.91,4.53
82,AUNGANRZJHBGPY-SCRDCRAPSA-N,RIBOFLAVIN,375.131,375.126,375.136,375.1310,4.4,5.05,4.63
83,WXTMDXOMEHJXQO-UHFFFAOYSA-N,"2,5-DIHYDROXYBENZOATE",153.0193,153.0143,153.0243,153.0193,3.15,4.48,3.69
84,LRFVTYWOQMYALW-UHFFFAOYSA-N,XANTHINE,151.0261,151.0211,151.0311,151.0261,4.46,5.09,4.75
85,CBQJSKKFNMDLON-JTQLQIEISA-N,N-ACETYL-L-PHENYLALANINE,206.0822,206.0772,206.0872,206.0822,4.22,4.76,4.51
88,AUTOLBMXDDTRRT-JGVFFNPUSA-N,DETHIOBIOTIN,213.1244,213.1194,213.1294,213.1244,3.72,4.71,4.32
89,AFENDNXGAFYKQO-VKHMYHEASA-N,2-HYDROXYBUTYRIC ACID,103.04,103.035,103.045,103.0400,4.38,5.29,4.81
90,WXNXCEHXYPACJF-ZETCQYMHSA-N,N-ACETYL-L-LEUCINE,172.0979,172.0929,172.1029,172.0979,4.19,5.02,4.54
91,OPTASPLRGRRNAP-UHFFFAOYSA-N,CYTOSINE,110.036,110.031,110.041,110.0360,4.7,5.48,5.04
93,QIAFMBKCNZACKA-UHFFFAOYSA-N,HIPPURATE,178.0509,178.0459,178.0559,178.0509,4.5,5.54,5.04
94,PYUSHNKNPOHWEZ-RXMQYKEDSA-N,FORMYL-L-METHIONYL PEPTIDE,176.0387,176.0337,176.0437,176.0387,4.7,5.43,5.09
95,XUYPXLNMDZIRQH-UHFFFAOYSA-N,N-ACETYL-DL-METHIONINE,190.0543,190.0493,190.0593,190.0543,4.75,5.23,5.01
97,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,PYRROLE-2-CARBOXYLATE,110.0247,110.0197,110.0297,110.0247,4.89,5.76,5.33
99,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,DEOXYCYTIDINE,226.0833,226.0783,226.0883,226.0833,5.09,5.7,5.40
