Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3
D-GLUCONATE,12.82169253,21.18017834,15.61528229,20.7544801,15.6794469,24.84597178,25.80934296,12.13876188,15.21664881,19.67357317,25.5381436,10.61998935,19.02265737,19.22829815,29.54960967,10.71669188,13.6118485,23.79396331,31.4996287,15.02346026,15.08106428,21.75730208,25.76585074
"D-GLUCONO-1,5-LACTONE",12.69149248,11.70252455,9.333112858,13.02743327,11.74452154,10.78659358,11.99736831,13.35058668,12.00932473,8.429779209,12.62575719,13.61320427,12.72209601,7.825250018,14.27331791,11.96788693,12.5006333,10.81810646,14.91095033,14.37361892,9.077234493,10.05255661,12.39071486
D-GLYCERIC ACID,8.078229552,7.188751129,4.807669537,4.333006777,7.324602939,8.514439952,7.893741975,7.363031307,7.42840204,7.799326708,7.525794796,7.285079635,7.387122087,7.899643626,8.849808607,7.589004654,6.937167493,8.160014379,9.504669986,9.15812957,7.120347123,8.07961209,8.481301032
D-PANTOTHENIC ACID,1.459838697,2.589024969,1.381867008,2.636801996,1.202179113,2.416584445,2.073210728,1.962811689,1.211498932,3.850277679,2.328849155,1.51966937,2.189805286,4.488347868,4.091859803,1.915857811,1.02009878,2.56478361,3.042123266,2.935752546,2.018355836,3.912701599,3.851121694
DEOXYCYTIDINE,0.633181837,0.073287164,0.08072786,0.078749917,0.080963951,0.505949161,0.550577608,0.0698359,0.537067777,0.576946786,0.079320251,0.066793272,0.089109235,0.540275804,0.075246381,0.086473,0.060986122,0.54231534,0.075936948,0.068038394,0.071708289,0.075667979,0.077469537
DEOXYURIDINE,2.635244781,2.517495705,2.672253159,2.914196016,2.542095702,2.919267512,3.110298661,2.597092676,2.59700639,2.843220936,3.066698961,2.559744061,2.611205938,2.857319821,3.502125851,2.522101201,2.586121791,3.453125302,4.04172591,3.008240482,2.556267295,3.348708495,4.121363208
DETHIOBIOTIN,1.244466869,0.772604805,1.9953679,1.816549533,0.5986022,1.548748511,1.957177417,1.973159429,0.537270818,1.053562094,2.145247653,1.582843783,0.780552843,0.836888569,0.830519783,0.706973572,0.529401655,1.833373284,1.124517292,0.790637364,0.805227647,1.764529641,2.090942359
DIACETYL,7.17911194,8.443061108,8.38393595,8.219494897,7.218472378,9.724111832,10.11889541,7.777391804,7.316318864,9.149056222,10.02060454,7.803852818,7.226780254,9.354413019,10.96907098,7.493784977,7.090382178,11.17095153,12.84613228,9.596368449,7.009123679,10.56452254,11.85021093
DIETHANOLAMINE,6.387226796,6.546851387,4.943966203,5.448128481,5.115363458,7.414581261,5.297280865,7.242216057,5.439684049,5.874916133,4.814407962,7.454549467,4.796725353,6.394724561,7.386659762,6.604988414,5.816409444,6.549949379,6.638729752,8.512743452,5.108882378,7.334100474,6.272880971
Ectoine,5.269194043,6.450991913,4.969069489,5.094372819,5.987088841,8.19271686,6.503624791,4.833773932,6.211338757,7.674386799,6.008045782,5.328699545,5.290295246,7.846442439,7.572575747,4.633160651,6.550470758,8.406931876,8.300888074,5.806672267,5.302549396,8.086192871,7.495370788
ERYTHRITOL,2.115787453,2.314812883,2.014964793,2.325454535,2.269824818,3.090490805,2.884997185,2.457573357,2.404937687,2.739465617,2.922104037,2.592238988,2.181000859,2.952433226,3.331849395,2.485095749,2.478338336,3.656548402,4.026054625,3.373920348,2.326105765,3.519728626,3.865316592
FUMARATE,8.076370812,8.015234757,6.355987592,7.419809107,8.873254834,10.58140624,10.1623448,8.592832336,9.068273398,9.784808616,9.676559744,8.912701647,8.891604249,9.557944682,10.52901946,8.764302185,8.71381126,10.35596464,9.480360968,9.911435983,7.6738713,9.681848076,9.890762838
GUANIDINOACETATE,0.834296034,0.926299215,0.857505065,0.932138112,0.659883983,1.000801896,0.765281277,0.709388054,0.734017415,1.060380923,0.691798966,1.196606806,0.64619307,0.904209695,0.681717004,0.804515912,0.536021276,1.143086458,0.891007304,0.501324576,0.526009968,0.596792362,0.369847367
GUANINE,4.906115118,4.245593195,4.108689605,4.396443,4.952685803,5.368132368,5.939619391,4.629887785,4.923801822,4.803356658,5.551159475,4.721524511,4.805911656,4.714861067,5.927926438,5.07948528,4.018776089,4.885279948,6.767659242,4.813796818,4.361933901,5.028161748,6.111372959
GUANOSINE,0.052825198,0.285861869,0.253503051,0.286982519,0.276034229,0.035496431,0.448684988,0.300736406,0.040922332,0.50433538,0.031035727,0.428509885,0.299120302,0.040224914,0.370595807,1.066617744,0.253617361,0.03570571,0.58261551,0.333740236,0.272694403,0.364610979,0.286900924
"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",0.094207524,0.073287164,0.08072786,0.078749917,0.080963951,0.076693675,0.080672929,0.0698359,0.607440786,0.624808163,0.079320251,0.066793272,0.089109235,0.0709791,0.075246381,0.086473,0.060986122,0.633164703,0.075936948,0.068038394,0.071708289,0.822874004,0.077469537
HEXANOATE,7.470720084,4.825391362,7.016779483,7.187755104,6.324322312,4.303028225,5.5550036,4.080765552,5.91673314,4.389347132,6.977272507,4.004614657,6.300288866,4.657111187,7.285961291,3.242636294,5.25881799,4.321641012,7.973573637,2.47912641,5.726939286,5.949202266,7.756543813
HIPPURATE,5.126950016,4.965822601,5.296819276,5.552368167,4.538055217,4.334665318,4.262501644,4.480350968,4.431756393,4.263655757,4.449482204,4.943645147,4.30151166,4.71434541,4.874019945,4.816872979,3.134160124,5.229564599,5.376985682,4.965254963,4.365389115,5.300021301,5.668011345
HOMOSERINE,1.065754884,0.690619005,1.139334561,0.84250783,2.295183402,1.464507709,1.203977983,1.205735404,2.877441526,1.13313896,1.861848108,1.194923214,1.778298883,1.129021021,1.798205535,2.658557438,1.529023695,1.441291839,3.063046229,1.326695235,1.46745333,1.066658831,1.512719129
HYDROXYPYRUVATE,3.676522829,3.440586764,3.224724133,3.650553408,4.589274434,3.774847125,4.111370501,4.750409024,4.466003139,3.480629852,4.361828735,5.372959955,4.756812722,3.3936402,4.407562949,5.419619383,4.762789034,3.833546063,4.512034334,5.603263385,3.837929975,3.226242186,4.050884228
HYPOXANTHINE,3.733129561,4.047038228,3.543994109,4.035758559,3.196716456,3.897682663,4.028422995,3.102010022,3.158703489,3.813484296,3.563171356,3.455411235,3.645103871,3.436526142,3.905016256,3.788044874,2.782739948,3.025302108,4.25116504,3.596063385,3.46539608,2.870975479,3.985078996
INDOLE-3-ACETAMIDE,0.974264839,0.868325202,1.329017486,0.915805106,0.907029411,2.21553301,2.165912327,1.323906358,0.950445464,2.391543724,2.17922399,1.876211898,0.843488573,1.894209831,2.118363638,1.371261461,0.983233149,2.13897845,1.928543749,1.443356611,0.694585897,1.563323549,1.782215927
INDOLE-3-PYRUVIC ACID,5.403979044,4.181846746,3.684762388,3.625847003,3.765158444,4.185745975,3.836694181,5.072454646,4.598261737,4.379015338,2.300903953,5.24223244,4.289423873,4.342939702,4.600867922,4.912600647,2.677728927,4.565532987,4.203694833,5.557328397,4.16114126,4.700597454,5.199833615
INOSINE,6.262871897,8.284067506,5.969304216,9.969927769,2.406481387,6.498528125,5.566554928,4.444463012,2.544991389,3.401263474,3.662098802,3.696709813,2.354169724,3.026389501,4.647267255,3.615167625,1.581362643,4.307656896,6.07731761,3.234707499,1.978768162,2.395895089,4.200031821
L-ARGININE,3.456820164,1.096268977,2.049376295,1.560808626,3.61312809,3.382814992,2.924934221,3.249931704,2.81565723,1.505831788,3.148475332,3.074955101,2.338306825,2.678383352,3.203488808,3.661277485,1.731741907,3.443332145,5.386571306,3.326659679,2.261811441,3.822140725,4.698501383
L-ASPARTATE,1.241404057,1.299002539,0.821347679,0.873569479,1.333967818,1.144717549,1.670392953,0.758423257,1.590967848,0.992128504,1.194695037,0.7071941,1.36536939,0.96835058,2.048654894,1.016643838,0.576240555,2.128848032,1.578828002,0.950684252,0.76021181,2.219730147,2.177995084
L-CARNITINE,1.798446248,2.243729198,1.705560604,0.835753416,1.776000932,2.205980374,1.670419984,1.884869878,1.508043121,2.275683278,1.488577984,1.825985504,1.580596758,2.495096511,1.801674926,2.635875101,1.886940335,2.275616615,1.78320339,2.469864134,1.652984206,2.330428581,1.977086958
L-GLUTAMIC ACID,3.242946012,2.304801015,1.415240264,1.865688218,1.955609541,2.549375625,3.480145458,2.071894814,1.888329839,2.911591606,2.934198373,2.087351779,3.061872412,3.009208137,3.355061167,2.171418074,1.500003274,2.386419295,3.634796913,2.353056759,1.66700672,3.080394069,2.242690111
L-GLUTAMINE,1.291921998,1.4130178,0.979384938,1.289444653,1.371679338,1.834712618,1.853616436,0.730421782,2.032128158,1.488596538,1.891214554,1.084341332,0.822858047,1.6052807,2.083784573,0.940432922,1.082457109,2.110419872,1.604470194,1.938885975,0.753676083,1.806534755,2.277924054
L-HISTIDINOL,0.783268646,0.892431286,1.63379564,2.967053194,0.891664237,1.0806656,2.642765103,2.658515611,1.120931022,0.689980411,2.582050069,4.928237601,0.089109235,0.890570862,1.387082271,1.719685598,3.549579539,1.59829748,4.306448791,6.801832854,1.217104115,1.871923816,3.635264734
L-HOMOCYSTEINE THIOLACTONE,0.639744533,1.534364013,0.4735704,0.94240464,0.475718708,1.407475126,0.776769755,0.519684592,0.512367473,0.678212558,0.586296415,0.646306592,0.416190493,0.643130418,1.191066784,0.755166685,0.597479216,1.691940378,1.365082938,1.654902652,0.414783135,1.72091605,0.582876869
L-ISOLEUCINE,4.200855263,5.268665426,4.77519218,3.494244115,5.431610214,2.119215835,3.497089569,1.941794293,4.728952278,2.125218354,3.497865177,2.664277549,5.115797957,2.45170994,3.724898965,3.133375228,5.556140795,3.068537982,4.611522153,5.331056916,4.363654297,3.176386419,4.493175289
L-LYSINE,2.333203949,2.023290649,0.9285935,1.975472706,3.267240066,2.265693901,2.238983585,2.238000526,2.777065451,2.191957678,2.206667585,2.813022749,3.034434209,2.099915618,2.897421204,3.49618206,1.326451618,2.112012828,3.110704014,3.198926157,1.539394699,2.180308554,2.778021754
L-ORNITHINE,4.212919532,1.163516329,2.288291234,0.958512001,2.526017973,0.887417862,1.612605191,1.732526227,2.494374189,1.363593209,1.365586413,2.199875279,2.266490138,1.286682018,1.174199383,3.305723133,3.332555798,1.336574649,2.098755571,1.774234776,1.719390378,1.535514906,1.332046952
L-PHENYLALANINE,3.135725739,2.073662428,2.276752231,2.508604003,2.563986261,2.245802497,3.285459627,3.578256473,2.258751333,2.480168062,3.742997384,3.122847245,2.640632854,2.544148909,3.236659834,4.149137359,3.22588495,2.722064412,3.588945284,4.150665557,2.240528479,2.67502617,3.787945157
L-SERINE,0.943669948,0.765202246,0.61424975,0.828801363,4.082594737,0.972951794,0.866302815,0.721335334,1.283375882,0.798625072,0.850767061,0.699518947,0.822356949,0.606574831,0.710526695,0.882548297,0.648435385,0.654666325,0.984073607,0.703732835,0.93960512,0.669520688,0.653183277
L-TRYPTOPHAN,0.910778636,1.215848842,0.813399448,0.818243281,1.512752577,1.315053012,1.058760544,1.59394896,1.404019489,1.407151381,1.133641472,1.688382444,1.224624983,1.494092836,2.131073458,1.620156694,1.448004556,1.535447965,1.651163661,2.054037917,1.615493666,1.616583826,2.198324235
L-TYROSINE,1.918908654,2.908974854,1.792336887,2.999422754,2.069824853,3.201373173,2.886635085,2.397650697,1.977473263,3.235774086,3.052174317,2.849006841,1.723842706,3.336515508,4.612055654,3.372787247,2.955007529,3.829542497,4.291476939,3.897101224,1.957609809,3.670162838,4.032603434
LUMICHROME,3.962964483,3.153088755,3.775629218,4.227330999,3.99872731,5.905230041,6.30322352,4.83791156,4.009652859,5.881654018,6.949151168,4.800297242,4.348935974,5.594911271,7.26943445,4.603015935,3.553639916,5.996084256,7.546257945,4.842715203,3.528861198,3.846589472,7.263463165
MALEIC ACID,9.0023076,11.22593614,10.50900681,3.807056836,7.813012504,11.57373177,11.2518419,10.01890979,7.972627405,10.47894391,10.91431782,10.61027775,7.588246505,10.44061119,11.9922515,8.963843897,8.092901154,11.65227158,12.55417174,11.55094011,7.273983488,10.74610033,12.2601732
malic acid,1.684185167,6.078652307,2.211546231,2.917904274,2.324555216,10.38353839,9.269612465,3.718334338,3.666204262,7.536307631,9.262209702,1.65998198,3.924035213,6.930024849,12.07152941,2.322125171,3.021911198,10.11139915,10.19296076,4.394856398,1.784767002,6.838073613,9.068287337
MALONATE,25.12401058,25.44519299,21.97528317,30.05434904,35.32066992,37.44376583,41.63157544,33.13760426,36.84301512,33.28735885,42.48351775,30.53331693,40.98603594,33.11748917,42.22609876,38.70775126,35.19938954,38.40179746,44.12894419,40.52735555,35.60358404,38.74842228,43.52872736
methionine,0.498919904,0.40843525,0.35414991,0.546654612,0.873479785,0.035496431,0.804372827,1.07440812,0.869469437,0.037620124,0.830644774,0.925144553,0.496357864,0.668939485,1.305458945,1.142147591,0.557966581,0.708426761,1.414313867,1.034358564,0.73296815,1.211434998,1.364149111
METHYL VANILLATE,18.98533096,14.64370434,9.607172628,20.59513516,17.05495727,9.115561285,7.547601312,12.96888415,16.92649258,17.13000256,17.62599308,13.97631507,15.90992078,9.071436666,16.74273648,7.255291298,6.87415923,9.530828885,10.30097413,13.78819292,5.767831519,8.987696876,16.92869138
MYRISTIC ACID,13.39663061,13.70357469,16.3513662,14.83970536,10.90425062,14.44161852,15.09696801,10.33419349,11.01797363,14.21942337,16.4471308,10.25039844,11.14837118,13.832054,16.65681718,10.16897188,10.09293054,13.38883594,15.76564802,10.84797697,9.99126387,12.84723523,14.8563866
