Sample,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,1.162410163,1.326061231,2.125051327,1.669183932,1.009923245,2.056379301,1.403789557,2.078098059,1.734861525,1.673230828,1.467102499,3.163940521,2.071601592,1.951591364,1.986142045,2.280952398,2.286330921,2.222781081,2.909877612,3.127638111,2.492776702,2.288707308,2.226558453,2.65113344
4-HYDROXYBENZOATE,17.04729574,18.37252185,19.69907385,15.64480845,17.67529447,26.95690725,26.93028925,22.08683416,21.35504199,27.79319703,30.43464373,34.61175572,23.85755228,31.80832997,31.03448927,26.51050863,22.65843945,34.24087195,33.976122,36.07186109,22.07056682,35.01179403,36.04537827,34.05247101
4-IMIDAZOLEACETIC ACID,1.216511855,2.198616625,2.003786594,2.009652652,2.074496973,3.410016476,3.567765162,3.083763467,2.77690722,3.278836515,3.342944638,3.689038093,3.106443603,3.61496391,3.227099343,2.990050761,3.075753574,3.825656367,3.08246857,3.433355305,2.791275756,3.636032587,3.396581557,3.489024267
4-PYRIDOXATE,1.152792392,1.323387651,2.106181073,0.816257408,3.882618883,5.573366477,5.148545496,3.872682263,5.871851025,7.023713232,6.455288236,8.379788302,7.182438889,9.756814858,7.48947243,6.106676515,8.533745757,12.02379369,12.47805183,10.76742705,9.166052898,12.91015751,11.83445595,9.34226053
5-Aminopentanoate,0.842195489,0.714166476,1.000710403,0.772068754,2.24700233,3.423914405,2.865481558,2.341371243,3.422912999,3.899024691,3.151269388,4.248512868,3.689878399,4.506511445,3.558119242,2.776322704,3.956860902,4.860378363,4.396680549,4.041892929,3.637681208,4.503079923,4.065423026,4.136373105
5-OXO-L-PROLINE,9.429085157,6.607552612,5.607161956,6.03445046,6.964413735,7.581346131,5.691007753,5.455304432,4.538067764,6.627141311,5.606824902,3.231639277,2.933216567,5.112248818,4.827424165,6.895225865,3.793900447,5.91691183,4.192854189,3.812628273,4.379975392,5.717494177,4.934297489,4.10352587
"5,6-DIHYDROURACIL",1.33311687,1.259593193,0.981923861,1.550394235,1.542358784,1.695006006,1.48322831,1.437880327,1.477198155,1.768744281,1.577807637,2.049275902,1.419228851,2.079097433,1.719182942,1.413267294,1.501851152,2.332071398,1.789215804,2.0139721,1.396091676,1.994872289,1.615041557,1.827714501
5'-METHYLTHIOADENOSINE,3.057150444,4.182378861,4.243917445,3.080002723,3.923912944,6.487017809,5.68525366,4.101751396,4.147007772,6.560157148,6.78491699,6.186233898,4.650294864,7.384325104,6.639110914,4.6708714,5.063606713,7.462906748,7.795664157,6.384461709,4.614450093,7.284524648,6.722926117,5.441345931
6-CARBOXYHEXANOATE,5.846681954,3.537862136,4.173782384,3.249002769,3.038388507,3.83857476,4.163359613,3.529899375,3.215608325,4.118255438,2.397520227,4.867011959,2.168142501,3.40033174,4.610528972,4.865598232,3.678723912,4.307361413,3.490505401,4.830517982,2.458481826,4.704419965,4.577870485,4.444095097
ADENINE,3.727200453,4.165229495,3.948009587,3.270384015,5.405128168,8.519577578,7.726022807,6.164717418,7.783603234,10.26190534,9.683566644,11.38852246,9.641408763,14.14049091,12.72611404,10.54328246,10.35833138,15.68513785,26.21690331,14.62124637,10.04048437,16.90586903,17.40341419,18.9789768
ADENOSINE,0.945282979,1.750654799,1.299717729,0.760712449,1.914559422,4.12279172,4.190751841,1.103833443,2.0354149,4.012522232,4.469081811,4.542351996,1.674793459,3.825437974,3.592574694,1.904862366,1.791036914,2.711741023,5.649470427,4.044955033,1.43807894,4.438272995,3.535860603,0.982968775
