Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Bt_45hr-pseudoS,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps
Time,12.5,12.5,12.5,12.5,25,25,25,25,30,30,30,30,35,35,35,35,40,40,40,40,45,45,45,45,12.5,12.5,12.5,12.5,25,25,25,25,30,30,30,30,35,35,35,35,40,40,40,40,45,45,45,45,12.5,12.5,12.5,12.5,25,25,25,25,30,30,30,30,35,35,35,35,40,40,40,40,45,45,45,45
CYTOSINE,917267.0697,2471202.569,2456284.303,2694912.337,1232860.998,5596388.41,5060499.987,2991025.445,1529917.559,4150710.438,4623182.542,5202552.637,1135983.375,3390465.016,7866282.375,2698373.731,2865680.475,5889493.316,8099193.044,5470902.057,2454578.471,4822715.176,7346229.658,4874507.768,84737832.21,502114293.3,422058946.4,258427190.9,704828443,1686144160,2060208262,1480053712,1521317034,1946421177,1954861850,2817714688,1919586578,2297512052,1839175885,1003945683,1477252530,2558217040,1838983590,2705035219,1326814843,3092490447,2341110076,2844002906,29898468,136232657.3,59387747.18,21085652.55,91133387.91,209710812.9,366125951.2,336619995.1,185284241.8,366544698.2,452585560.2,223195103.9,258123811.3,326914933.7,705397847,171296697.5,298360379.5,231345201.9,662136464,284538407.2,233675494.5,512173903.5,802375126.3,340250161.5
4-AMINOBUTANOATE,7126643.491,2667465.828,2484211.215,8864438.743,2585009.687,6348507.149,4688512.496,4332431.255,3033510.797,4105957.253,5130647.846,4889831.937,10148842.31,2871065.326,6915349.45,2438844.176,4945498.651,7080957.667,9037850.264,6603937.012,2891464.651,2420542.891,6791118.123,4034375.222,62114620.68,243884371.3,167765030.6,118762776.7,174519740,446052750,423794672.7,331545307.3,366323725.2,377588412.6,428251433.7,106014521.8,469604032,441814183.4,390152195.5,169220294.5,365805661.2,423512032.7,446552695.4,293102961.8,273839505.9,70643671.01,406366828.4,522151097.1,3580521.412,13905514.37,9145736.884,4940080.8,51027522.76,42067236.69,71638442.66,53064230.96,74182333.8,110339593.5,114142736.3,75988816.03,55585019.55,47650983.02,104827515.6,38948652.38,47476118.9,13247984.59,60200196.96,33552179.19,35923269.82,42365119.69,73618775.14,37324232.82
5'-METHYLTHIOADENOSINE,36265113.55,23262317.69,55413964.4,48075054.87,40055318.98,38704358.94,64530928.73,70346802.38,42773083.01,33638145.79,679194.4714,1146375.932,459293.1678,89696793.91,123222064.6,45815084.22,85487668.9,127225095.5,142618779,122783636.2,41610642.43,109942033.8,151157744.6,100903473.6,17277230.19,41375860.8,47708065.35,30882256.6,43913711.49,143959495,158251066,101566294.1,92556150.34,145681751.5,181382127.2,206348998.5,125442596.7,178845212.1,186428800.7,52727145.56,109208956.5,207975607,273058931.9,215066810.1,90338738.29,270645031.7,234249678.3,176400097.9,20118415.29,47736139.51,30105786.07,20335577.44,10280584.17,32649846.9,27380378.71,34316585.32,545254.7069,44983120.59,38501642.24,13589712.07,445844.6358,25483490.3,26768286.81,5329479.204,2753315.229,17137440.07,9408199.418,803629.6021,2227188.673,4211869.499,7097380.108,1136920.111
4-GUANIDINOBUTANOATE,5888654.831,17975311.05,7771327.256,9512345.475,6755282.843,35549300.8,12811603.28,7114259.282,7936447.522,28779695.58,11524838.91,9216277.92,5941151.977,22985617.12,18176059.35,4910960.082,11686162.59,28820462.92,24334396.81,10420159.57,8027917.324,16071271.16,20107417.64,14735535.37,6315224.039,24507885.25,16315771.08,11388540.93,11336910.16,38192591.85,31167896.43,19338232.96,24375862.21,34300700.4,30659531.52,49089387.9,25204054.83,41777241.35,25174660.79,9586577.449,18660083.84,42964415.26,79709319.06,49036163.71,16317141.34,67110574.66,34549041.91,45197973.14,5345508.02,11836850.89,10688729.56,9097384.964,17643790.07,38442237.54,46987097.97,41050471.89,34551954.65,86816946.66,108583451,29953917.57,39069399.29,74617551.28,128820168.9,21398953.74,56672938.35,85637247.51,154742178.9,23538558.32,39128425.55,116162292.1,184762390.3,29469810.05
CHOLINE,2169321.798,4591394.718,4942306.043,5254569.778,2746525.132,3072085.538,3571276.972,3520672.022,2860733.451,7424442.204,4635251.862,4840568.19,3648799.118,4847903.941,5912017.605,6048312.501,3133620.32,2803004.584,2952262.889,5328833.261,2348126.539,1913195.181,3385974.407,2549098.709,3870504.671,13731183.92,11485209.9,9659123.616,5954471.783,15763252.57,16236551.53,20622826.46,17865189.65,14975898.23,14940351.61,34110292.51,16941991.73,18403818.99,12630739.88,9858698.528,9969801.609,18167762.75,14642846.54,32463968.01,7411836.229,24025680.74,14095637.38,42634143.9,7288318.558,8248600.279,7815862.716,3472748.366,6041525.178,6833565.018,5862084.768,5976642.116,3221650.629,3313330.893,6365246.628,9567442.094,4301968.654,13810979.65,6547727.929,7607555.601,3846515.134,2697877.558,4691864.758,7051258.154,3862485.082,3289813.749,6015219.632,4758087.69
5-OXO-L-PROLINE,2724.102667,1446172.524,1132193.653,2135127.184,487317.0812,1156166.451,910937.6286,655411.2666,366352.432,832430.9342,1212865.183,99408.63671,249085.4088,654329.0518,2574374.223,470601.4447,820981.8271,3196500.61,2315595.832,1482949.73,537778.4409,1419325.217,3238996.33,1732033.329,91952.2691,9712092.397,2280526.335,1064445.966,1805004.385,22614023.87,40825050.42,13484911.9,632483.7949,13454012.59,4456178.355,66719223.08,553974.3329,50895121.77,2832271.839,1469384.616,1432682.542,54911425.8,4923363.127,72743535.35,1525806.267,68695022.78,18349297.24,3668699.015,5803.599431,3388608.707,864212.9644,856881.6057,4873243.393,17262940.58,1671335.317,24066822.55,8003938.403,49930865.33,44191397.77,3842155.854,1418277.512,18357874.07,37611627.97,2438089.135,2234672.393,10898065.17,15536547.59,3734124.403,1486414.537,66134886.66,35502955.64,2405289.448
PYRIDOXAL,1021356.921,19639653.39,5851416.374,17418544.04,1610281.449,20025810.79,7144143.761,3241887.818,1899056.599,16889246.25,8565778.92,3148720.519,705809.9553,12253248.98,7062327.414,1018781.823,2308912.142,31687394,8571798.667,4290008.381,1045954.366,10410638.54,6915404.419,6123999.108,355177.4261,12778049.79,3885942.089,962740.1871,2825898.813,31930336.64,23712056.43,7168214.943,4816982.015,30813399.98,16824680.05,53495515.68,5029116.995,33319492.65,24254988.87,3107292.143,2818271.278,38462861.76,14611978.93,44547418.94,2424584.522,48482788.2,19438281.18,12358705.74,58256.41796,1973617.454,1960131.386,46273.03257,144263.481,3422415.146,2365734.769,11244708.3,710993.6848,10971673.38,4105699.934,2084857.438,1111724.945,6707924.693,4435806.582,1671081.235,1226440.12,6232212.044,4766083.983,1411020.735,144342.9503,5280731.634,2819706.391,1825093.107
3-METHYLADENINE,15626798.76,44794584.11,27951977.9,37064563.62,31752718.75,97909468.86,63593675.48,60021512.68,39297190.64,86283584.77,70647878.08,70170436.3,21858222.66,98189251.07,114265736.5,34577094.22,68039481.82,188665385,158210365.7,133101763.2,33006474.82,121798609.1,147259018.1,100688034,3092787.22,14775677.72,9081997.277,6136339.799,8864741.461,22401284.03,20335424.15,10522746.82,16483482.61,17008617.57,16328022.76,23095084.83,20356384.64,20691542.99,13448842.53,4238413.784,17392914.44,21587539.14,22486065.33,21386099.33,14751848.59,30943802.71,16810549.92,16360393.21,3273835.549,11743027.28,7332150.661,3876548.036,9765582.183,11626287.67,11116624.49,22291507.28,21463113.59,32336265.25,17337585.32,20236380.77,16094649.26,14714920.16,16478156.79,19569173.83,21555171.72,27980810.03,19629407.16,15777226.45,17710733.64,28442488.39,24019289.78,27530806.38
