"ID","MZ","RT","1mem_Cv_12pt5hr-2","1mem_Bt_12pt5hr-2","1mem_Cv_25hr-2","1mem_Cv_35hr-2","1mem_Cv_30hr-2","1mem_Ps_25hr-2","1mem_Bt_30hr-2","1mem_Bt_25hr-2","1mem_Cv_40hr-2","1mem_Bt_45hr-2","1mem_Ps_12pt5hr-2","1mem_Bt_40hr-2","1mem_Bt_35hr-2","1mem_Ps_30hr-2","1mem_Cv_45hr-2","1mem_Ps_40hr-2","1mem_Ps_35hr-2","1mem_Ps_45hr-2","1mem_Cv_12pt5hr-3","1mem_Bt_12pt5hr-3","1mem_Cv_25hr-3","1mem_Cv_30hr-3","1mem_Bt_30hr-3","1mem_Ps_12pt5hr-3","1mem_Bt_25hr-3","1mem_Cv_35hr-3","1mem_Ps_25hr-3","1mem_Cv_40hr-3","ExControl-ExControl_3","ExControl-ExControl_4","1mem_Cv_45hr-3","1mem_Bt_12pt5hr-4","ExControl-ExControl_2","1mem_Bt_35hr-3","1mem_Ps_30hr-3","1mem_Ps_40hr-3","1mem_Bt_40hr-3","1mem_Bt_45hr-3","1mem_Ps_35hr-3","1mem_Ps_25hr-4","1mem_Ps_45hr-3","1mem_Cv_30hr-4","1mem_Cv_40hr-4","1mem_Bt_12pt5hr-1","1mem_Bt_35hr-4","1mem_Bt_25hr-1","1mem_Bt_30hr-1","1mem_Cv_12pt5hr-4","1mem_Cv_12pt5hr-1","1mem_Ps_12pt5hr-4","1mem_Bt_25hr-4","1mem_Bt_35hr-1","1mem_Bt_30hr-4","1mem_Cv_35hr-4","1mem_Bt_40hr-4","1mem_Cv_25hr-1","ExControl-ExControl_1","1mem_Ps_30hr-4","1mem_Ps_35hr-4","1mem_Ps_12pt5hr-1","1mem_Bt_45hr-1","1mem_Cv_45hr-1","1mem_Ps_40hr-4","1mem_Cv_25hr-4","1mem_Bt_40hr-1","1mem_Cv_45hr-4","1mem_Ps_45hr-4","1mem_Ps_25hr-1","1mem_Cv_40hr-1","1mem_Ps_35hr-1","1mem_Cv_35hr-1","1mem_Ps_45hr-1","1mem_Cv_30hr-1","1mem_Ps_40hr-1","1mem_Ps_30hr-1"
22,117.0196221,10.68626526,506871343.1,137760768.3,1521043613,1484805710,1536380825,409806190.8,218263500.8,224822704.3,1300611833,262856568.8,191674300.5,268482685,232885170,495640766,1340358830,236341436.1,664981881,663501748.6,539379525.7,84147608.79,1868255329,1532449949,271679106.5,145528047.2,257980359.1,1224106104,327641791.7,543875410.1,128314829.8,209007237.5,1081283909,124149011.6,184711426.4,338609844.2,504293438.4,589287299.1,370473053.6,350539818.1,500911866.3,745317608.2,599450810.5,2507224234,1816826039,218672804.8,290742414.5,270281587.3,293694031.4,830975714.6,481255993.6,237717302.6,387440104.6,267772387.8,441388066.5,1602394642,696728034.6,2046945676,226193622.1,998652598.6,834843211,209559665.5,348954086.5,1300433092,765420304.4,2073654593,464563865.1,2404056105,1165341547,439405781.1,1702121046,891371021,2864677012,928955337.7,3270305668,1022230440,717953664.9
43,125.0358794,1.53833996,116732101.5,100489952.4,251243158.4,346852839.3,286254665.4,10626607.96,153296678.5,184179875,437684282.7,222462173.9,4309047.073,301467572.5,165795057.2,28230051.35,614489527.2,29958339.79,19617558.43,35617674.18,103422046.5,54261846.77,290825255.8,392305927.9,163810094.3,3382650.315,139321180.6,397171484,15275240.92,475150408.7,1772080.768,229162.6431,463036107.4,89146543.74,1367656.764,284914930.7,23680286.98,30271742.34,327518211.6,347890801.3,26945287.08,23681374.06,44774334.84,445005606.2,502439048.4,40047279.15,94024878.6,85928844.8,106868292.9,79225238.56,26839569.55,2525363.488,154703427.1,70948492.64,202985911.5,158227199,320849781.2,86005556.22,178556.6055,26440147.46,21902353.03,979314.3936,108870988.4,169572847.5,15729231.29,160384005.7,214267032.1,556364160.2,30793424.49,10801436.17,227838558.3,18239764.1,308442444,22961125.75,195774951.7,29231388.11,18165867.82
48,151.0264288,4.74570444,221649918.3,3063898.431,711472699.7,1417648501,924287900.8,160362976.4,5549140.783,7914607.808,1901751740,5046485.33,35703845.26,7930267.187,4062815.314,349142993.9,2141212238,58098041.56,207353447.7,310232085.6,253781282.1,1334736.734,1076370657,1563266732,5089422.576,21988030.61,5755353.312,1626603892,201408280.5,1908217059,11443964.84,667859.1351,1920055846,2001591.533,28989184.28,17450506.97,273676214.8,253845702.7,20318912.28,22034495.26,264114850.4,373683699.2,419083551.5,1374606832,1702655681,851738.755,3462660.436,2341642.629,3001906.321,125274416.9,31945725.3,20297640.84,4682892.584,2231872.115,6779615.51,520744282.2,9718555.114,372099360.1,169865.7822,284098776.3,285538089.8,11619766.75,4579777.397,680292633.8,172773642.8,442738332.2,6045518.819,1471045192,328186403.8,140188024.7,827979529,159471908.3,956371796.4,114806207.3,697814063,181555956.1,145868477
52,153.0196332,3.72183759,364318480.1,1176716.477,2756653835,4990083282,4540157449,1096197.909,842586.5121,1070711.13,7009822682,1111067.442,155774.7493,1637315.354,1394923.675,2425784.789,11759156731,1199485.109,1722467.54,1832329.351,192473500.6,188355.2409,3462493635,4636031060,599185.4014,25372.10731,109510.587,5545884645,173241.8986,6486434561,5653110.014,374778.3702,7431437970,188511.3312,1703505.471,2106496.737,638101.1244,199326.3564,428027.3044,554929.5337,530116.1822,260014.3976,559608.1755,9652671440,12234948116,59326.07021,56542.1493,29935.10764,66736.89229,141332619.3,34725400.12,25268.4027,336986.4882,36747.05004,79025.04108,2343417079,1735820.849,180304313.9,24019.34476,178379.9268,106699.0255,13304.47854,48101.4019,1627866402,74352.86437,2614317642,468817.9784,11051929630,72162.9648,286888.4402,1862265755,55374300.78,1926217451,1320630617,800937336.9,44545109.58,7501475.628
99,227.2019822,1.178705673,51956009.22,40859955.66,34267279.09,33250877.91,40944291.62,32862749.44,43379838.09,41730056.93,43393277.05,30589518.15,43413308.07,41936468.44,46253924.44,38309103.41,56288101.5,38409401.46,39225966.52,27477078.41,50921715.59,51936397.93,49194344.38,59760969.4,55718346.86,44692796.47,40960546.47,56774291.92,47269201.01,75520480.85,58065644.2,28957212.75,61029611.32,41822070.93,25300899.1,67795244.07,65475509.97,55637656.59,55931450.07,44078490.52,64065811.1,43092915.04,48716578.85,54297101.04,65091629.12,17972562.38,10164115.27,15268360.65,18271427.99,28616957.04,9576383.191,16197516.23,20252264.34,12239005.37,22589368.89,18855507.62,25331687.18,13993144.26,16288239.81,22665173.28,16081622.53,11822413.66,16905702.75,24812343.03,12190570.81,23405346.98,28329494.15,39597380.12,18684435.46,22147503.65,27790658.67,22480441.19,38189311.51,33055288.14,26629173.61,31547139.79,27511232.32
108,137.0246625,5.706451002,104038273.5,15703397.4,262763710.8,367928582,356208970.7,3909229.196,34702728.72,37537438.83,513506268.9,53485537.86,3613477.549,67776646.95,49581623.96,7809987.578,748691588.1,6418484.555,7516849.618,7254078.327,99191207.68,11266008.32,301900929.2,359749477.6,34695096.31,2556080.183,29622898.36,357302228.1,3079848.365,466812154.3,1043055.533,955331.4241,486434817.2,14797778.71,1187420.71,62153537.33,4976130.45,3811390.888,64497162.37,68203893.04,6022034.831,7839098.901,5488050.46,559015321.2,653118871.6,7073977.094,14739899.49,8476737.697,10575431.34,95723799.77,26081421.33,3056773.426,24396410.31,6650312.967,35732246.07,191159310.8,50182516.06,71040929.95,100589.749,6333557.649,5074795.174,1747778.139,15203870.52,187901105.1,3965962.165,247306587.5,31421723.47,731505923.4,5287474.91,506239.0818,198167279.6,2402360.838,323060813.7,9653806.861,208326034,2724256.35,2877759.085
166,129.0560324,1.934416882,80397472.5,72188717.17,56116772.32,54370304.32,58486994.69,43348324.66,68080671.81,67686548.76,71437318.93,43153082.77,1118340299,68336626.56,79108995.44,6547464245,73891000.06,67889676.91,6919989646,8735022220,123608913,130604467.6,186046502.7,123553166.5,75575971.88,912938322.8,85427362.79,118761172.1,1633020586,59004498.66,9104207.428,9990480.2,185520286.5,163204157.3,11878659.15,147924793.3,5069726879,5535826373,231275327.3,183277246.2,5966790435,6782580331,6098887538,211477336,222874335.1,50303305.28,19319582.31,35398873.81,40982979.6,56065597.15,33884149.01,720438005.9,39485664.55,19879998.32,50409775.84,31789934.82,68252547.69,28335695.78,3914464.431,3844424454,3376492566,461018480,23791061.3,20582957.69,3574387504,58372834.76,62895729.48,53296229.24,4959172902,751072104.2,35162440.88,1599155266,63955163.19,1994753017,53928708.63,2505689539,1771757062
235,89.02438863,6.85810108,50586803.12,54477475.7,50800436.69,51670996.28,60943408.49,85398957.72,480600598.4,429721792.6,63187662.25,1053999788,68493354.59,1085337578,973050343,169460393.2,72731206.13,176590856.7,281404466.9,245892300.7,71827931.88,52813801.67,76690790.73,249887273.8,502631566.9,72812372.45,514528448.8,304570149.6,83560197.59,47194938.42,25533383.39,30391167.69,106777868.3,93552255.92,37761078.59,1131264762,172781493.4,171135546.8,1436144769,1607036673,262031650.1,283711888.9,210433111,163930407,121343104.7,52219767.41,374252893.2,151831148.8,212969413,46745586.88,498715300,64134999.17,558113417.5,193498087.4,813770510,49355351.34,2047978202,33807404.31,15774598.58,147480703.6,106665461,26181987.76,347915873,30967779.12,144270037.6,94043037.61,797081469.1,103050211,193425438.7,59591360.55,34606560.73,121165729.7,91431918.37,78717800.47,72645457.83,289184780,121946814.1
278,171.0298429,8.429778335,17803708.79,1186338.36,18284984.5,3880013.305,12606021,785358.5984,2221407.803,3009051.038,2281407.529,4900734.487,1461007.271,5243757.502,3058583.282,1998440.683,1126347.867,7000410.247,2800620.077,3635164.996,4924622.781,972788.5009,7061174.471,7780992.297,961385.7719,439791.4087,1085768.163,8242364.602,242404.378,3039403.951,77221.43343,21832.26815,2194197.767,782170.2431,27562.71446,2057370.818,2372979.511,676486.2043,1363838.159,1120614.394,4843574.579,1007139.629,270739.335,5318894.613,880918.3727,277839.3809,222336.2706,1020937.72,297176.7043,689033.4851,692219.5566,37177.26837,353273.7431,1344617.796,3304322.052,413265.2905,2693905.89,1052890.982,48834.29403,619832.3746,920198.7157,256457.6639,83650.64453,137825.1821,450174.3816,2864601.551,1295258.192,139895.0825,867980.5058,187895.0837,169764.2518,707585.9486,625801.1464,324046.8612,165244.1522,3551381.432,287879.7233
313,137.0246576,1.479283601,9475034.83,38590991.28,10719527.03,11328017.1,11884388.94,1162373213,48169294.72,53131326.99,14860219.98,54595012.14,76571827.29,69548747.75,67563038.6,2781508867,45958008.84,645578400.7,2567306193,2144770084,8779459.177,22701705.36,12337155.76,14007153.32,30845082,52991254.98,36383209.74,12555444.58,505497576.1,15415710.17,2046111.855,2866950.895,15373986.34,34492122.7,1898077.079,52898197.14,1794395210,1035403474,65137226.85,69662577.11,1590148972,2093915033,1239119201,27186845.97,31092122.96,16854401.5,19434449.98,15864322.17,19469756.02,8494981.607,2638208.821,47512297.77,38532298.16,10861328.42,49988968.23,8701624.344,75639499.34,3931940.859,2375868.335,1567128850,1152703489,25890536.94,15860658.65,6256724.275,1062193716,13025657.51,36616289.89,31014375.55,1214934279,170068375.4,6294339.549,354902624.5,12752584.65,304676255.6,8300606.414,445123487.4,570861799.5
360,145.0145039,10.91527328,16736009.45,451946.2789,45962753.77,60653669.03,34026738.28,107690169.1,507532.1483,1277093.604,46199863.48,8863131.228,36658048.79,7732667.421,3459042.667,164591640.1,48182491.88,35245385.8,137506623.5,111629865.7,11122277.91,6329747.174,32321044.07,38165063.58,34841524.87,19268493.84,29537346.18,25468431.3,60955846.44,20742198.9,11615203.62,26012695.99,41185520.24,7683367.187,3596289.522,9710395.382,69326105.07,61761972.34,9350161.584,6489437.02,54181295.03,185206666.8,46346258.6,55519806.44,35670822.38,2686542.629,5911684.045,5878222.653,12838243.94,4275223.136,1977070.018,10847946.13,7286695.955,7606105.537,3835446.872,4219537.682,9654031.844,23473200.78,16853174.99,103648676.4,57223244.56,19322049.54,4759011.747,17287930.59,44726373.31,10102365.12,4278033.438,5601750.964,71278396.77,28187260.71,17724545.1,18636062.24,16027965.65,21860430.15,20908860.33,15489132.7,22409108.45
396,121.0297384,2.453732734,16925268.03,95761158.15,58586414.15,29574864.59,48381068.87,17364969.77,115444205.1,168820097.4,77621881.16,45812824.37,27092085.27,120476317.7,111321126.5,69818453.04,210627127.2,28362427.93,38337948.16,41926811.57,30077710.02,34862633.83,314480881.6,241746037.6,27636797.96,108242196.5,29967580.93,311181448.9,88897935.49,181862172.1,7155203.669,8881512.666,292298308.5,101175017.1,9438913.865,63613961.66,192195281.7,88676569.48,70947287.68,51424702.7,150259996.4,60295304.45,123638327.8,149505582.5,200294661.4,113927824.4,49604403.19,66099786.51,59235519.57,62106004.25,41949970.78,32821852.17,131171381.2,36567982.13,123474685.6,121498127.1,98559265.53,82270279.68,10185012.2,58754416.51,64755176.85,36042155.91,45042856.94,48006798.87,62296234.95,156018854,85110028.08,175397338.8,29697219.36,71948997.43,70192078.42,69271665.61,114411804.8,58085674.63,161886845.5,119322830.5,131583971.9
398,115.0038439,11.35063762,10827797.55,8176077.85,31240690.93,25577680.19,27241838.6,1460579.961,14135103.03,16414646.53,22887006.01,13092373.88,897843.1624,19405957.31,15260968.55,2470436.965,23368075.63,4176032.327,2687978.09,6567843.675,6939335.088,3050414.195,18761210.2,22475765.92,11347252.8,500206.5822,12493333,18538213.5,1137718.717,9431643.456,1369819.489,1655912.878,13691044.83,5227666.764,3076209.157,17123279.91,1657711.846,2412586.712,12161726.17,13006980.89,1867631.147,2081206.065,1661028.093,41593266.88,29274377.56,3937966.377,6507144.821,8227233.042,10186878.36,8593647.84,3504831.3,167028.9413,11642676.63,6209437.212,14849436.11,13416783.01,19320910.69,17801386.02,528744.0363,2438711.104,1729081.376,483327.5214,7659765.528,11293055.2,2335096.978,15539311.49,18231038.72,44391314.35,5231761.896,1326671.484,21308349.51,2040623.028,34204486.82,3751183.232,34894038.08,2706589.522,1788172.796
418,115.0402837,2.301354865,20464990.47,4172286.579,38283608.39,32727349.8,38884906.45,1009442528,4813705.044,5167690.404,34588780.6,35996301.72,327550035.8,55343179.21,32700041.65,3386837140,38304744.51,775468004.1,3960357462,3964692687,21733921.9,28990843.96,33146575.45,34123201.66,38581816.3,153042201.9,39753368.77,29841105.69,353426009.6,25256525.37,3415729.215,8598941.61,19985236.56,42926426.34,2981436.026,54705013.92,1512653266,1783199858,45317556.31,47036543,1831471138,1612683824,1620298227,55756980.1,39660387.43,15241798.09,12032436.13,13246455.76,11786366.59,14369048.58,4704800.859,139645650.1,36001188.97,6017516.832,47224190.2,7932814.939,46574625.39,10315371.6,6833161.775,1296951219,1168702020,165195546.1,22699993.93,21575653.41,1498736677,23859702.62,20814423.92,12538303.42,1992508962,121117017.8,8387903.766,409509346.7,13546603.28,914085329.2,14811439.99,534011929.8,349969064.9
445,87.0086589,4.405738304,23521674.55,7848814.522,30307914.71,18959589.06,20385605.28,375323265.5,10820985.88,11958290.66,19552895.82,12855566.49,84625331.08,21993248.17,13440752.25,1099542767,18118373.95,169143264.1,877450282.3,471622499.4,12172498.27,7206834.344,26401091.11,18023793.51,7385020.027,32027124.46,7049634.121,13317572.41,85114294.71,6383387.29,138606.7687,261401.9248,6026845.065,7701861.573,551700.8747,15489258.21,557316271,180677130.2,19582485.07,14796957.92,430721611.4,543123391.5,204741016.6,39087649.32,25874053.47,1908327.604,1438497.969,459807.2033,375309.8929,8349589.847,2407942.009,23321972.15,2731297.966,376656.5127,3998871.005,1450890.545,5730050.733,4898138.133,184026.6441,405141627.2,357806213.2,46803031.59,130163.554,246873.6962,330133224.8,6630897.771,1304830.508,2526491.372,374813951.9,12722033,3004214.045,25488440.77,2205938.16,666073963,2292897.22,18480077.49,17171529.85
452,172.0982301,4.456316138,19690914.9,617558.7489,58978805.07,114319646.8,93268817.81,5197432.202,165406.7535,1188703.572,162540847.2,2878017.775,2057782.521,238237.9968,6048298.801,11469897.49,185191614.1,8491917.956,20989400.64,12974529.05,15767788.31,846146.2925,80575997.38,103656566.6,2843552.114,2070353.768,2959435.977,100672374.4,4087784.596,179731627.2,338461.3712,564901.2106,172997859.5,455831.6321,402180.3359,3854266.137,12637881.48,10339730.03,2969911.712,3780452.039,11348295.67,17164521.65,21385055.47,296546094.8,331423786.8,303745.1477,231976.9831,3656119.798,1625782.812,15444106.99,3311468.69,1949896.393,144034.0732,1061053.204,964764.9685,47677734.68,205804.6097,9447985.485,287677.592,7487739.447,8855625.072,885309.6476,1278905.007,32823862.65,18987306.41,72672666.59,2723738.675,157627556.1,14939898.71,1849682.281,32228961.77,3586629.422,35735391.45,18069281.3,26695705.37,4481677.634,4273487.471
476,131.0716081,3.629839332,18076232.98,21045917.18,30587150.77,22143499.63,34175599.35,336041077.6,39755886.79,27390844.54,26540883.47,22387870.03,17768847.08,33188301.77,40501999.78,21170090.74,39271860.93,578783421.9,20289785.1,27894975.86,94745644.29,113822329.6,44733644.62,41665982.92,73574964.69,48528624.69,87424502.08,39045786.6,29657766.81,23738013.86,2956897.834,3561565.805,34718127.03,88112973.72,4194186.039,124652852.2,66083820.45,41809625.64,150169874.1,121702975,62674441.1,39337489.01,35285496.32,113299767,73508328.35,32328101.82,18733445.97,39824018.24,49291191.97,24962355.31,11581166.14,91754540.15,38877852.57,22856886.81,63739473.53,21637162.51,66888188.6,26561959.34,1279358.978,644365606.1,551169883.8,14568624.16,49975321.18,45483234.41,611300309.6,46956459.15,74092730.88,42423536.74,812360508.5,32928185.21,59422619.22,54640042.22,54134386.33,47686423.06,52288263.11,64805328.22,65079312.38
528,130.0511657,7.375222313,9108305.579,3879164.804,103052505.4,227836413.3,184446036.8,4841792.137,176489.9911,7046116.674,288777962.2,501406.193,1256567.902,878883.2865,388353.0196,14807066.53,284419693.7,10213727.32,23303026.93,15032603.24,9352136.194,49423.07952,134157271.3,119554003.7,99280.44646,897152.3049,104585.7572,116555946.8,2291441.918,152539782.6,241763.0898,228859.1656,161344005.7,47278.07802,514415.1739,807305.7469,14455980.84,8230747.051,674917.1893,1113597.946,10873503.6,13666211.13,17862843.99,364636197.4,373070709.2,483035.4397,57476.17474,174912.2659,50249.33118,3253509.339,2098505.999,118966.6046,252941.3627,164310.7841,501245.882,78599647.81,221128.5247,42400376.3,13189.80973,3854942.691,5940476.278,963697.2213,91258.94147,114829770.1,18588482.96,91751439.02,254072.4719,134384817.5,8107403.965,1235941.144,104444278.6,3862538.637,134086049.4,50447264.01,105212884.3,5422426.862,3405153.191
568,85.02933629,1.495371031,7531374.62,9556438.628,9282821.385,12339237.03,11820957.74,5828442.152,11555024.24,12739465.44,15668637.26,17009565.93,5474539.162,24357566.51,14306657.58,15976538.44,19637593.92,19602708.79,16190326.48,19690268.71,3987562.818,7000894.718,11872035.65,11902342.8,12601131.77,2957248.54,12333770.35,9987450.519,5572081.513,13266314.27,254413.605,468159.7021,12270434.47,7106652.666,620192.3113,19361219.66,10808705.61,17432270.43,30257829.33,22369968.81,10159895.83,13335202.62,16104812.79,19350363.96,14625795.91,2765893.332,4067636.402,4429358.507,5349894.03,3272771.464,929952.6207,1717713.311,8632682.254,3333852.747,9968023.787,3463424.337,17536325.37,2047177.962,224917.1012,7379749.867,7740219.351,783932.6606,5836642.752,2390494.294,9283953.177,5692575.689,9821908.876,9870269.307,8216270.656,3941403.31,2886651.558,5086859.551,3969320.909,6596896.573,3875280.274,7250730.385,6875394.593
614,146.0461419,8.366962674,5416327.119,36170806.8,40782144.49,25910604.37,40577787.28,586701606.1,52370539.6,78129154.41,28351822.88,68338916.11,12779960.02,56587585.67,66937132.97,1008398990,33153944.42,781995905.5,2054353492,2145234770,4158792.937,13967982.97,26011740.17,24551805.57,64838141.94,4680805.225,75731443.22,12473580.8,494047020.2,10953868.13,275088.878,655965.7662,19833320.43,19436516.8,829666.1893,71370433.4,656178625.7,1117526512,72551363.91,55660215.67,1285353391,833369985.3,1962145766,36631037.54,56367576.98,51352362.15,66972505.71,46368334.32,53688372.59,5967313.146,4037707.062,3977054.517,61991642.54,50769726.95,46687926.91,36756490.1,120239700.6,29780955.55,64376.22879,1114322289,966895235.8,171582.2956,64350531.07,17749275.06,1712620899,67392257.27,47290683.76,22655036.17,1514332537,76528785.64,14802341.98,166821442.4,11893608.55,140181269.5,17242432.64,660218.7223,334363456.3
651,111.0201994,1.906217987,4657602.595,5207998.637,18544290.69,15146259.84,15922009.11,25955199.34,5289078.913,6757771.746,17968310.84,4579917.523,11543212.8,7274839.212,3883585.149,38726059.49,29364417.8,11648361.8,23531726.73,20002000.72,4268445.701,2418970.813,26973773.88,28540324.59,4251751.993,8470941.834,5154019.034,19127608.17,45459564.99,10147905.41,3416809.676,472959.0515,21187681,4845753.284,453760.018,7656100.7,48654420.09,25410548.7,10172998.75,11276161.76,38415249.06,48917846.55,45664958.88,14547931.25,10968523.79,1712004.662,1980128.359,1984353.793,2050225.779,2161373.631,880066.8496,4329330.392,2993004.249,1577252.915,4328491.3,2899416.134,5783060.585,2398384.678,748407.9607,33274437.65,23303485.11,2001496.855,2543338.756,4349148.284,16136949.69,5309156.41,4129491.205,9199070.387,24705620.31,25159284.1,4305981.871,16381634.92,5955072.7,6550782.916,4313728.361,19068923.46,21684544.46
662,110.0361477,5.005273877,5883159.81,3334.406234,39662200.64,64978879.68,55779607.23,1591634.802,3344.570292,7057.503341,88153875.5,2836.77269,1287398.702,7590.225215,3648.793448,4365826.558,114622847.9,3253470.866,4158647.927,6555046.979,3945172.034,4238.999826,51081567.86,61837191.67,5257.741546,379143.948,4409.430619,52809217.84,3421989.071,55712117.04,4639.523042,4729.250908,69062530.83,2995.027518,89921.50045,8694.56563,4415751.538,8305696.621,4160.983843,6896.326441,9014013.458,3233001.948,11762712.45,79185871.71,72979533.44,2269.127381,2078.592059,2406.042045,3123.743879,2879174.986,867494.3069,211823.1395,3213.303522,2315.608016,4555.428595,18650119.02,5407.806662,9094021.272,2187.694447,1870709.316,1476362.941,266856.919,2073.882282,21870265.96,2047310.775,28009636.74,4167.009218,69270239.2,3004649.27,909252.2747,26663000.29,1585451.518,38516553.22,1781030.036,27032581.96,2363418.757,1989115.422
