"","1mem_Bt_12pt5hr-1","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-1","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-1","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-1","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-1","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-1","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_12pt5hr-4","1mem_Ps_25hr-1","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-1","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-1","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-1","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-1","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_1","ExControl-ExControl_2","ExControl-ExControl_3","ExControl-ExControl_4","ID","MZ","RT"
"37",40047279.15,100489952.4,54261846.77,89146543.74,85928844.8,184179875,139321180.6,154703427.1,106868292.9,153296678.5,163810094.3,202985911.5,70948492.64,165795057.2,284914930.7,94024878.6,214267032.1,301467572.5,327518211.6,320849781.2,108870988.4,222462173.9,347890801.3,26839569.55,116732101.5,103422046.5,79225238.56,86005556.22,251243158.4,290825255.8,160384005.7,195774951.7,286254665.4,392305927.9,445005606.2,308442444,346852839.3,397171484,158227199,227838558.3,437684282.7,475150408.7,502439048.4,169572847.5,614489527.2,463036107.4,556364160.2,979314.3936,4309047.073,3382650.315,2525363.488,10801436.17,10626607.96,15275240.92,23681374.06,18165867.82,28230051.35,23680286.98,26440147.46,18239764.1,19617558.43,26945287.08,21902353.03,29231388.11,29958339.79,30271742.34,15729231.29,22961125.75,35617674.18,44774334.84,30793424.49,178556.6055,1367656.764,1772080.768,229162.6431,43,125.0358794,1.53833996
"42",851738.755,3063898.431,1334736.734,2001591.533,2341642.629,7914607.808,5755353.312,4682892.584,3001906.321,5549140.783,5089422.576,6779615.51,2231872.115,4062815.314,17450506.97,3462660.436,6045518.819,7930267.187,20318912.28,9718555.114,4579777.397,5046485.33,22034495.26,31945725.3,221649918.3,253781282.1,125274416.9,372099360.1,711472699.7,1076370657,442738332.2,697814063,924287900.8,1563266732,1374606832,956371796.4,1417648501,1626603892,520744282.2,827979529,1901751740,1908217059,1702655681,680292633.8,2141212238,1920055846,1471045192,11619766.75,35703845.26,21988030.61,20297640.84,140188024.7,160362976.4,201408280.5,373683699.2,145868477,349142993.9,273676214.8,284098776.3,159471908.3,207353447.7,264114850.4,285538089.8,181555956.1,58098041.56,253845702.7,172773642.8,114806207.3,310232085.6,419083551.5,328186403.8,169865.7822,28989184.28,11443964.84,667859.1351,48,151.0264288,4.74570444
"46",59326.07021,1176716.477,188355.2409,188511.3312,29935.10764,1070711.13,109510.587,336986.4882,66736.89229,842586.5121,599185.4014,79025.04108,36747.05004,1394923.675,2106496.737,56542.1493,468817.9784,1637315.354,428027.3044,1735820.849,48101.4019,1111067.442,554929.5337,34725400.12,364318480.1,192473500.6,141332619.3,180304313.9,2756653835,3462493635,2614317642,800937336.9,4540157449,4636031060,9652671440,1926217451,4990083282,5545884645,2343417079,1862265755,7009822682,6486434561,12234948116,1627866402,11759156731,7431437970,11051929630,13304.47854,155774.7493,25372.10731,25268.4027,286888.4402,1096197.909,173241.8986,260014.3976,7501475.628,2425784.789,638101.1244,178379.9268,55374300.78,1722467.54,530116.1822,106699.0255,44545109.58,1199485.109,199326.3564,74352.86437,1320630617,1832329.351,559608.1755,72162.9648,24019.34476,1703505.471,5653110.014,374778.3702,52,153.0196332,3.72183759
"101",7073977.094,15703397.4,11266008.32,14797778.71,8476737.697,37537438.83,29622898.36,24396410.31,10575431.34,34702728.72,34695096.31,35732246.07,6650312.967,49581623.96,62153537.33,14739899.49,31421723.47,67776646.95,64497162.37,50182516.06,15203870.52,53485537.86,68203893.04,26081421.33,104038273.5,99191207.68,95723799.77,71040929.95,262763710.8,301900929.2,247306587.5,208326034,356208970.7,359749477.6,559015321.2,323060813.7,367928582,357302228.1,191159310.8,198167279.6,513506268.9,466812154.3,653118871.6,187901105.1,748691588.1,486434817.2,731505923.4,1747778.139,3613477.549,2556080.183,3056773.426,506239.0818,3909229.196,3079848.365,7839098.901,2877759.085,7809987.578,4976130.45,6333557.649,2402360.838,7516849.618,6022034.831,5074795.174,2724256.35,6418484.555,3811390.888,3965962.165,9653806.861,7254078.327,5488050.46,5287474.91,100589.749,1187420.71,1043055.533,955331.4241,108,137.0246625,5.706451002
"216",52219767.41,54477475.7,52813801.67,93552255.92,151831148.8,429721792.6,514528448.8,558113417.5,212969413,480600598.4,502631566.9,813770510,193498087.4,973050343,1131264762,374252893.2,797081469.1,1085337578,1436144769,2047978202,347915873,1053999788,1607036673,498715300,50586803.12,71827931.88,46745586.88,33807404.31,50800436.69,76690790.73,94043037.61,72645457.83,60943408.49,249887273.8,163930407,91431918.37,51670996.28,304570149.6,49355351.34,34606560.73,63187662.25,47194938.42,121343104.7,30967779.12,72731206.13,106777868.3,103050211,26181987.76,68493354.59,72812372.45,64134999.17,59591360.55,85398957.72,83560197.59,283711888.9,121946814.1,169460393.2,172781493.4,147480703.6,121165729.7,281404466.9,262031650.1,106665461,289184780,176590856.7,171135546.8,144270037.6,78717800.47,245892300.7,210433111,193425438.7,15774598.58,37761078.59,25533383.39,30391167.69,235,89.02438863,6.85810108
"410",303745.1477,617558.7489,846146.2925,455831.6321,3656119.798,1188703.572,2959435.977,144034.0732,1625782.812,165406.7535,2843552.114,964764.9685,1061053.204,6048298.801,3854266.137,231976.9831,2723738.675,238237.9968,2969911.712,205804.6097,1278905.007,2878017.775,3780452.039,3311468.69,19690914.9,15767788.31,15444106.99,9447985.485,58978805.07,80575997.38,72672666.59,26695705.37,93268817.81,103656566.6,296546094.8,35735391.45,114319646.8,100672374.4,47677734.68,32228961.77,162540847.2,179731627.2,331423786.8,32823862.65,185191614.1,172997859.5,157627556.1,885309.6476,2057782.521,2070353.768,1949896.393,1849682.281,5197432.202,4087784.596,17164521.65,4273487.471,11469897.49,12637881.48,7487739.447,3586629.422,20989400.64,11348295.67,8855625.072,4481677.634,8491917.956,10339730.03,18987306.41,18069281.3,12974529.05,21385055.47,14939898.71,287677.592,402180.3359,338461.3712,564901.2106,452,172.0982301,4.456316138
"430",32328101.82,21045917.18,113822329.6,88112973.72,39824018.24,27390844.54,87424502.08,38877852.57,49291191.97,39755886.79,73574964.69,63739473.53,22856886.81,40501999.78,124652852.2,18733445.97,74092730.88,33188301.77,150169874.1,66888188.6,49975321.18,22387870.03,121702975,11581166.14,18076232.98,94745644.29,24962355.31,26561959.34,30587150.77,44733644.62,46956459.15,52288263.11,34175599.35,41665982.92,113299767,54134386.33,22143499.63,39045786.6,21637162.51,59422619.22,26540883.47,23738013.86,73508328.35,45483234.41,39271860.93,34718127.03,42423536.74,14568624.16,17768847.08,48528624.69,91754540.15,32928185.21,336041077.6,29657766.81,39337489.01,65079312.38,21170090.74,66083820.45,644365606.1,54640042.22,20289785.1,62674441.1,551169883.8,64805328.22,578783421.9,41809625.64,611300309.6,47686423.06,27894975.86,35285496.32,812360508.5,1279358.978,4194186.039,2956897.834,3561565.805,476,131.0716081,3.629839332
"476",483035.4397,3879164.804,49423.07952,47278.07802,174912.2659,7046116.674,104585.7572,252941.3627,50249.33118,176489.9911,99280.44646,501245.882,164310.7841,388353.0196,807305.7469,57476.17474,254072.4719,878883.2865,674917.1893,221128.5247,91258.94147,501406.193,1113597.946,2098505.999,9108305.579,9352136.194,3253509.339,42400376.3,103052505.4,134157271.3,91751439.02,105212884.3,184446036.8,119554003.7,364636197.4,134086049.4,227836413.3,116555946.8,78599647.81,104444278.6,288777962.2,152539782.6,373070709.2,114829770.1,284419693.7,161344005.7,134384817.5,963697.2213,1256567.902,897152.3049,118966.6046,1235941.144,4841792.137,2291441.918,13666211.13,3405153.191,14807066.53,14455980.84,3854942.691,3862538.637,23303026.93,10873503.6,5940476.278,5422426.862,10213727.32,8230747.051,18588482.96,50447264.01,15032603.24,17862843.99,8107403.965,13189.80973,514415.1739,241763.0898,228859.1656,528,130.0511657,7.375222313
"513",2765893.332,9556438.628,7000894.718,7106652.666,4429358.507,12739465.44,12333770.35,8632682.254,5349894.03,11555024.24,12601131.77,9968023.787,3333852.747,14306657.58,19361219.66,4067636.402,9821908.876,24357566.51,30257829.33,17536325.37,5836642.752,17009565.93,22369968.81,929952.6207,7531374.62,3987562.818,3272771.464,2047177.962,9282821.385,11872035.65,5692575.689,3875280.274,11820957.74,11902342.8,19350363.96,3969320.909,12339237.03,9987450.519,3463424.337,2886651.558,15668637.26,13266314.27,14625795.91,2390494.294,19637593.92,12270434.47,9870269.307,783932.6606,5474539.162,2957248.54,1717713.311,3941403.31,5828442.152,5572081.513,13335202.62,6875394.593,15976538.44,10808705.61,7379749.867,5086859.551,16190326.48,10159895.83,7740219.351,7250730.385,19602708.79,17432270.43,9283953.177,6596896.573,19690268.71,16104812.79,8216270.656,224917.1012,620192.3113,254413.605,468159.7021,568,85.02933629,1.495371031
"553",51352362.15,36170806.8,13967982.97,19436516.8,46368334.32,78129154.41,75731443.22,61991642.54,53688372.59,52370539.6,64838141.94,46687926.91,50769726.95,66937132.97,71370433.4,66972505.71,47290683.76,56587585.67,72551363.91,120239700.6,64350531.07,68338916.11,55660215.67,4037707.062,5416327.119,4158792.937,5967313.146,29780955.55,40782144.49,26011740.17,67392257.27,17242432.64,40577787.28,24551805.57,36631037.54,11893608.55,25910604.37,12473580.8,36756490.1,14802341.98,28351822.88,10953868.13,56367576.98,17749275.06,33153944.42,19833320.43,22655036.17,171582.2956,12779960.02,4680805.225,3977054.517,76528785.64,586701606.1,494047020.2,833369985.3,334363456.3,1008398990,656178625.7,1114322289,166821442.4,2054353492,1285353391,966895235.8,660218.7223,781995905.5,1117526512,1712620899,140181269.5,2145234770,1962145766,1514332537,64376.22879,829666.1893,275088.878,655965.7662,614,146.0461419,8.366962674
