"ID","MZ","RT","1mem_Cv_12pt5hr-2","1mem_Bt_12pt5hr-2","1mem_Bt_30hr-2","1mem_Bt_25hr-2","1mem_Bt_35hr-2","1mem_Bt_45hr-2","1mem_Cv_30hr-2","1mem_Cv_25hr-2","1mem_Bt_40hr-2","1mem_Cv_35hr-2","1mem_Cv_40hr-2","1mem_Cv_45hr-2","1mem_Ps_25hr-2","1mem_Ps_12pt5hr-2","1mem_Ps_35hr-2","1mem_Ps_30hr-2","1mem_Ps_40hr-2","1mem_Ps_45hr-2","1mem_Bt_12pt5hr-3","1mem_Cv_12pt5hr-3","1mem_Cv_25hr-3","ExControl-ExControl_3","ExControl-ExControl_4","1mem_Bt_30hr-3","ExControl-ExControl_2","1mem_Cv_45hr-3","1mem_Bt_25hr-3","1mem_Cv_35hr-3","1mem_Cv_40hr-3","1mem_Cv_30hr-3","1mem_Bt_35hr-3","1mem_Ps_12pt5hr-3","1mem_Bt_45hr-3","1mem_Bt_12pt5hr-4","1mem_Ps_25hr-4","1mem_Ps_25hr-3","1mem_Bt_40hr-3","1mem_Ps_45hr-3","1mem_Ps_30hr-3","1mem_Ps_35hr-3","1mem_Ps_40hr-3","1mem_Cv_30hr-4","1mem_Cv_40hr-4","1mem_Bt_12pt5hr-1","1mem_Bt_25hr-1","1mem_Bt_35hr-4","1mem_Bt_35hr-1","1mem_Bt_30hr-1","1mem_Cv_12pt5hr-4","1mem_Bt_25hr-4","1mem_Cv_35hr-4","ExControl-ExControl_1","1mem_Ps_12pt5hr-4","1mem_Cv_12pt5hr-1","1mem_Cv_25hr-1","1mem_Ps_12pt5hr-1","1mem_Bt_30hr-4","1mem_Ps_35hr-4","1mem_Ps_30hr-4","1mem_Cv_25hr-4","1mem_Ps_40hr-4","1mem_Bt_45hr-1","1mem_Cv_30hr-1","1mem_Ps_25hr-1","1mem_Cv_45hr-1","1mem_Ps_45hr-4","1mem_Bt_40hr-4","1mem_Cv_40hr-1","1mem_Cv_35hr-1","1mem_Ps_35hr-1","1mem_Bt_40hr-1","1mem_Cv_45hr-4","1mem_Ps_40hr-1","1mem_Ps_30hr-1","1mem_Ps_45hr-1"
32,112.0509056,5.043217752,502114293.3,2471202.569,4150710.438,5596388.41,3390465.016,4822715.176,1946421177,1686144160,5889493.316,2297512052,2558217040,3092490447,209710812.9,136232657.3,326914933.7,366544698.2,231345201.9,512173903.5,2456284.303,422058946.4,2060208262,6607554.668,1600374.418,4623182.542,11722260.13,2341110076,5060499.987,1839175885,1838983590,1954861850,7866282.375,59387747.18,7346229.658,2694912.337,336619995.1,366125951.2,8099193.044,802375126.3,452585560.2,705397847,662136464,2817714688,2705035219,917267.0697,1232860.998,2698373.731,1135983.375,1529917.559,258427190.9,2991025.445,1003945683,41192.95473,21085652.55,84737832.21,704828443,29898468,5202552.637,171296697.5,223195103.9,1480053712,284538407.2,2454578.471,1521317034,91133387.91,1326814843,340250161.5,5470902.057,1477252530,1919586578,258123811.3,2865680.475,2844002906,298360379.5,185284241.8,233675494.5
60,104.0710915,11.69328789,243884371.3,2667465.828,4105957.253,6348507.149,2871065.326,2420542.891,377588412.6,446052750,7080957.667,441814183.4,423512032.7,70643671.01,42067236.69,13905514.37,47650983.02,110339593.5,13247984.59,42365119.69,2484211.215,167765030.6,423794672.7,1853879.355,2055074.341,5130647.846,5789801.081,406366828.4,4688512.496,390152195.5,446552695.4,428251433.7,6915349.45,9145736.884,6791118.123,8864438.743,53064230.96,71638442.66,9037850.264,73618775.14,114142736.3,104827515.6,60200196.96,106014521.8,293102961.8,7126643.491,2585009.687,2438844.176,10148842.31,3033510.797,118762776.7,4332431.255,169220294.5,6596367.878,4940080.8,62114620.68,174519740,3580521.412,4889831.937,38948652.38,75988816.03,331545307.3,33552179.19,2891464.651,366323725.2,51027522.76,273839505.9,37324232.82,6603937.012,365805661.2,469604032,55585019.55,4945498.651,522151097.1,47476118.9,74182333.8,35923269.82
66,118.0865852,8.166599305,459247031.6,387919312,374734172.6,378588132.8,844608889.8,338585342.3,325850435.8,355135333.4,462268670.4,1012183325,349896335.4,1174370592,1145204798,317393575.7,435048246,650143994.5,399124193.4,432872278,1335121094,1344001006,417814515,1264131930,1213538854,1324993755,880776257,1047399886,571424795.8,1000137289,1170002479,1103345920,388707755.7,727095821.3,397191650.6,1660095342,1650803699,415677133.1,277394553.3,1155032531,560270445.2,1424106438,596210156.3,1681288939,1846146414,713207585.8,2161076831,1031993762,1720352215,2151282375,3545136852,3960521279,2675153552,9619749703,3757706098,2941233163,1599116825,3758535706,3343077505,3826566281,2899443564,2880899099,3020076426,3001341747,2656235456,2601367535,1108711967,3635401128,530090440.5,2992949154,3287804887,3786861020,2197015195,3359280270,3493399089,2214053352,3483145714
169,298.097296,1.759673248,41375860.8,23262317.69,33638145.79,38704358.94,89696793.91,109942033.8,145681751.5,143959495,127225095.5,178845212.1,207975607,270645031.7,32649846.9,47736139.51,25483490.3,44983120.59,17137440.07,4211869.499,55413964.4,47708065.35,158251066,26585.57731,21219.71906,679194.4714,13562.38445,234249678.3,64530928.73,186428800.7,273058931.9,181382127.2,123222064.6,30105786.07,151157744.6,48075054.87,34316585.32,27380378.71,142618779,7097380.108,38501642.24,26768286.81,9408199.418,206348998.5,215066810.1,36265113.55,40055318.98,45815084.22,459293.1678,42773083.01,30882256.6,70346802.38,52727145.56,12466.29096,20335577.44,17277230.19,43913711.49,20118415.29,1146375.932,5329479.204,13589712.07,101566294.1,803629.6021,41610642.43,92556150.34,10280584.17,90338738.29,1136920.111,122783636.2,109208956.5,125442596.7,445844.6358,85487668.9,176400097.9,2753315.229,545254.7069,2227188.673
232,365.1064331,10.25238878,93112617.15,88392606.5,49851567.57,105422649.2,40483475.65,56112896.06,43446169.75,53574911.66,11291522.07,33877919.22,36818811.68,9111458.006,21350516.59,82169793.13,18085557.2,47038824.78,41805917.25,107299104.6,43591232.61,30360003.64,9992795.747,10834498.15,3932605.498,64929310.51,22804464.49,6374573.979,79149264.6,9956504.831,5162625.09,43808605.88,15010265.65,82617819.81,4650173.597,32629497.21,12388618.24,4806373.624,83410551.72,17732627.46,17902445.91,23107974.24,39412305.07,25846043.86,18243055.4,3056226.257,910502.7285,3249686.817,2688988.597,3130710.574,255950.9942,2478515.232,2970191.324,7056518.046,2462615.161,3087740.836,916046.7103,3222722.464,23216039.92,15618212.46,13578274.82,4021426.144,3644732.466,2085888.763,2454514.552,4948954.508,873653.2619,8882719.782,3161343.907,522275.137,323758.2038,2210595.963,462759.4701,5069986.773,753572.3525,7747311.17,5278472.095
328,146.0924619,10.91866593,24507885.25,17975311.05,28779695.58,35549300.8,22985617.12,16071271.16,34300700.4,38192591.85,28820462.92,41777241.35,42964415.26,67110574.66,38442237.54,11836850.89,74617551.28,86816946.66,85637247.51,116162292.1,7771327.256,16315771.08,31167896.43,3945627.923,2823659.149,11524838.91,4822316.726,34549041.91,12811603.28,25174660.79,79709319.06,30659531.52,18176059.35,10688729.56,20107417.64,9512345.475,41050471.89,46987097.97,24334396.81,184762390.3,108583451,128820168.9,154742178.9,49089387.9,49036163.71,5888654.831,6755282.843,4910960.082,5941151.977,7936447.522,11388540.93,7114259.282,9586577.449,4093336.197,9097384.964,6315224.039,11336910.16,5345508.02,9216277.92,21398953.74,29953917.57,19338232.96,23538558.32,8027917.324,24375862.21,17643790.07,16317141.34,29469810.05,10420159.57,18660083.84,25204054.83,39069399.29,11686162.59,45197973.14,56672938.35,34551954.65,39128425.55
402,104.107455,7.817450503,13731183.92,4591394.718,7424442.204,3072085.538,4847903.941,1913195.181,14975898.23,15763252.57,2803004.584,18403818.99,18167762.75,24025680.74,6833565.018,8248600.279,13810979.65,3313330.893,2697877.558,3289813.749,4942306.043,11485209.9,16236551.53,4397188.658,5433564.41,4635251.862,13012363.89,14095637.38,3571276.972,12630739.88,14642846.54,14940351.61,5912017.605,7815862.716,3385974.407,5254569.778,5976642.116,5862084.768,2952262.889,6015219.632,6365246.628,6547727.929,4691864.758,34110292.51,32463968.01,2169321.798,2746525.132,6048312.501,3648799.118,2860733.451,9659123.616,3520672.022,9858698.528,5871776.428,3472748.366,3870504.671,5954471.783,7288318.558,4840568.19,7607555.601,9567442.094,20622826.46,7051258.154,2348126.539,17865189.65,6041525.178,7411836.229,4758087.69,5328833.261,9969801.609,16941991.73,4301968.654,3133620.32,42634143.9,3846515.134,3221650.629,3862485.082
490,130.0500768,8.636222152,9712092.397,1446172.524,832430.9342,1156166.451,654329.0518,1419325.217,13454012.59,22614023.87,3196500.61,50895121.77,54911425.8,68695022.78,17262940.58,3388608.707,18357874.07,49930865.33,10898065.17,66134886.66,1132193.653,2280526.335,40825050.42,3474.735438,1795.730094,1212865.183,2654.215524,18349297.24,910937.6286,2832271.839,4923363.127,4456178.355,2574374.223,864212.9644,3238996.33,2135127.184,24066822.55,1671335.317,2315595.832,35502955.64,44191397.77,37611627.97,15536547.59,66719223.08,72743535.35,2724.102667,487317.0812,470601.4447,249085.4088,366352.432,1064445.966,655411.2666,1469384.616,0,856881.6057,91952.2691,1805004.385,5803.599431,99408.63671,2438089.135,3842155.854,13484911.9,3734124.403,537778.4409,632483.7949,4873243.393,1525806.267,2405289.448,1482949.73,1432682.542,553974.3329,1418277.512,820981.8271,3668699.015,2234672.393,8003938.403,1486414.537
539,168.0657085,1.671879616,12778049.79,19639653.39,16889246.25,20025810.79,12253248.98,10410638.54,30813399.98,31930336.64,31687394,33319492.65,38462861.76,48482788.2,3422415.146,1973617.454,6707924.693,10971673.38,6232212.044,5280731.634,5851416.374,3885942.089,23712056.43,1221421.268,37688.48516,8565778.92,182380.6334,19438281.18,7144143.761,24254988.87,14611978.93,16824680.05,7062327.414,1960131.386,6915404.419,17418544.04,11244708.3,2365734.769,8571798.667,2819706.391,4105699.934,4435806.582,4766083.983,53495515.68,44547418.94,1021356.921,1610281.449,1018781.823,705809.9553,1899056.599,962740.1871,3241887.818,3107292.143,9921.583223,46273.03257,355177.4261,2825898.813,58256.41796,3148720.519,1671081.235,2084857.438,7168214.943,1411020.735,1045954.366,4816982.015,144263.481,2424584.522,1825093.107,4290008.381,2818271.278,5029116.995,1111724.945,2308912.142,12358705.74,1226440.12,710993.6848,144342.9503
544,180.0866765,11.39980967,16243740.14,22466245.99,16593145.89,22635216.94,15026097.85,14579134.62,31561115.45,40668216.65,11367504.58,40011297.73,14695989.57,11389663.64,17817974.38,48714348.79,16560075.03,14200035.2,3119731.857,17640162.37,48247847.05,23934655.52,50575088.71,19945.36052,26371.75631,46499950.78,306720.5325,3893496.045,41329164.69,14197883.71,3542225.841,60086782.51,34950035.08,37323991.18,27269960.22,30385585.51,18124998.51,36989800.3,89846964.74,28466372.11,28433670.92,19041123.35,30729485.31,36015637.12,18902783.11,24111674.33,18698223.97,11858571.1,11960752.81,17965693.98,19223946.71,24630198.79,11697652.46,47990.50513,12501619.82,7733005.243,21020019.46,11866758.23,29021847.48,11952434.86,14793570.13,47591892.28,12847933.94,8788586.013,22727427.22,14748848.42,1063780.243,15260404.5,27635170.7,7963052.721,14094389.91,10919570.72,15315886.47,17871558.79,15004463.38,34955920.92,5658500.624
