Species,Live counts,Dilution factor,Live CFU/mL,Biorep,TimePoint
B. thailandensis,"10,382",1300,674830000,1,12.5
B. thailandensis,"7,270",1300,472550000,1,12.5
B. thailandensis,"7,787",1300,506155000,1,12.5
B. thailandensis,"9,266",1300,602290000,1,12.5
B. thailandensis,"7,411",1300,481715000,1,12.5
B. thailandensis,"6,818",1300,443170000,2,12.5
B. thailandensis,"12,735",1300,827775000,2,12.5
B. thailandensis,"10,687",1300,694655000,2,12.5
B. thailandensis,"9,230",1300,599950000,2,12.5
B. thailandensis,"10,055",1300,653575000,2,12.5
B. thailandensis,"10,369",1300,673985000,3,12.5
B. thailandensis,"9,036",1300,587340000,3,12.5
B. thailandensis,"7,721",1300,501865000,3,12.5
B. thailandensis,"8,438",1300,548470000,3,12.5
B. thailandensis,"6,820",1300,443300000,3,12.5
B. thailandensis,"7,503",1300,487695000,4,12.5
B. thailandensis,"9,599",1300,623935000,4,12.5
B. thailandensis,"9,141",1300,594165000,4,12.5
B. thailandensis,"9,913",1300,644345000,4,12.5
B. thailandensis,"8,451",1300,549315000,4,12.5
B. thailandensis,"17,679",1300,1149135000,1,25
B. thailandensis,"15,051",1300,978315000,1,25
B. thailandensis,"25,045",1300,1627925000,1,25
B. thailandensis,"16,575",1300,1077375000,1,25
B. thailandensis,"18,836",1300,1224340000,1,25
B. thailandensis,"16,067",1300,1044355000,2,25
B. thailandensis,"14,973",1300,973245000,2,25
B. thailandensis,"16,870",1300,1096550000,2,25
B. thailandensis,"28,125",1300,1828125000,2,25
B. thailandensis,"25,638",1300,1666470000,3,25
B. thailandensis,"25,326",1300,1646190000,3,25
B. thailandensis,"20,104",1300,1306760000,3,25
B. thailandensis,"19,438",1300,1263470000,3,25
B. thailandensis,"13,659",1300,887835000,3,25
B. thailandensis,"27,205",1300,1768325000,4,25
B. thailandensis,"23,579",1300,1532635000,4,25
B. thailandensis,"20,523",1300,1333995000,4,25
B. thailandensis,"28,142",1300,1829230000,4,25
B. thailandensis,"31,765",1300,2064725000,4,25
B. thailandensis,"20,819",1300,1353235000,1,30
B. thailandensis,"14,216",1300,924040000,1,30
B. thailandensis,"17,033",1300,1107145000,1,30
B. thailandensis,"12,322",1300,800930000,1,30
B. thailandensis,"14,406",1300,936390000,1,30
B. thailandensis,"21,253",1300,1381445000,2,30
B. thailandensis,"17,718",1300,1151670000,2,30
B. thailandensis,"26,519",1300,1723735000,2,30
B. thailandensis,"35,136",1300,2283840000,2,30
B. thailandensis,"20,548",1300,1335620000,3,30
B. thailandensis,"18,951",1300,1231815000,3,30
B. thailandensis,"32,250",1300,2096250000,3,30
B. thailandensis,"43,687",1300,2839655000,3,30
B. thailandensis,"29,778",1300,1935570000,3,30
B. thailandensis,"34,380",1300,2234700000,4,30
B. thailandensis,"34,754",1300,2259010000,4,30
B. thailandensis,"29,388",1300,1910220000,4,30
B. thailandensis,"37,380",1300,2429700000,4,30
B. thailandensis,"26,514",1300,1723410000,4,30
B. thailandensis,"25,988",1300,1689220000,1,35
B. thailandensis,"21,509",1300,1398085000,1,35
B. thailandensis,"23,648",1300,1537120000,1,35
B. thailandensis,"23,917",1300,1554605000,1,35
B. thailandensis,"30,932",1300,2010580000,1,35
B. thailandensis,"39,258",1300,2551770000,2,35
B. thailandensis,"32,543",1300,2115295000,2,35
B. thailandensis,"41,196",1300,2677740000,2,35
B. thailandensis,"32,376",1300,2104440000,2,35
B. thailandensis,"27,131",1300,1763515000,3,35
B. thailandensis,"30,478",1300,1981070000,3,35
B. thailandensis,"30,344",1300,1972360000,3,35
B. thailandensis,"24,770",1300,1610050000,3,35
B. thailandensis,"24,587",1300,1598155000,3,35
B. thailandensis,"38,875",1300,2526875000,4,35
B. thailandensis,"54,045",1300,3512925000,4,35
B. thailandensis,"30,592",1300,1988480000,4,35
B. thailandensis,"53,498",1300,3477370000,4,35
B. thailandensis,"38,725",1300,2517125000,4,35
B. thailandensis,"46,733",1300,3037645000,1,40
B. thailandensis,"27,588",1300,1793220000,1,40
B. thailandensis,"20,151",1300,1309815000,1,40
B. thailandensis,"21,445",1300,1393925000,1,40
B. thailandensis,"18,471",1300,1200615000,1,40
B. thailandensis,"46,822",1300,3043430000,2,40
B. thailandensis,"34,910",1300,2269150000,2,40
B. thailandensis,"46,227",1300,3004755000,2,40
B. thailandensis,"58,306",1300,3789890000,2,40
B. thailandensis,"25,485",1300,1656525000,3,40
B. thailandensis,"27,530",1300,1789450000,3,40
B. thailandensis,"39,609",1300,2574585000,3,40
B. thailandensis,"60,774",1300,3950310000,3,40
B. thailandensis,"31,950",1300,2076750000,3,40
B. thailandensis,"43,281",1300,2813265000,4,40
B. thailandensis,"65,850",1300,4280250000,4,40
B. thailandensis,"34,058",1300,2213770000,4,40
B. thailandensis,"60,629",1300,3940885000,4,40
B. thailandensis,"51,391",1300,3340415000,4,40
B. thailandensis,"29,625",1300,1925625000,1,45
B. thailandensis,"30,998",1300,2014870000,1,45
B. thailandensis,"38,796",1300,2521740000,1,45
B. thailandensis,"28,311",1300,1840215000,1,45
B. thailandensis,"34,074",1300,2214810000,1,45
B. thailandensis,"49,639",1300,3226535000,2,45
B. thailandensis,"39,029",1300,2536885000,2,45
B. thailandensis,"49,406",1300,3211390000,2,45
B. thailandensis,"54,124",1300,3518060000,2,45
B. thailandensis,"28,387",1300,1845155000,3,45
B. thailandensis,"37,228",1300,2419820000,3,45
B. thailandensis,"46,138",1300,2998970000,3,45
B. thailandensis,"63,604",1300,4134260000,3,45
B. thailandensis,"40,000",1300,2600000000,3,45
B. thailandensis,"61,582",1300,4002830000,4,45
B. thailandensis,"77,386",1300,5030090000,4,45
B. thailandensis,"51,146",1300,3324490000,4,45
B. thailandensis,"75,396",1300,4900740000,4,45
B. thailandensis,"49,043",1300,3187795000,4,45
C. violaceum,"26,129",1540,2011933000,1,12.5
C. violaceum,"31,046",1540,2390542000,1,12.5
C. violaceum,"28,527",1540,2196579000,1,12.5
C. violaceum,"22,053",1540,1698081000,1,12.5
C. violaceum,"29,113",1540,2241701000,1,12.5
C. violaceum,"20,208",1540,1556016000,2,12.5
C. violaceum,"18,857",1540,1451989000,2,12.5
C. violaceum,"21,441",1540,1650957000,2,12.5
C. violaceum,"19,895",1540,1531915000,2,12.5
C. violaceum,"21,411",1540,1648647000,2,12.5
C. violaceum,"22,297",1540,1716869000,3,12.5
C. violaceum,"23,925",1540,1842225000,3,12.5
C. violaceum,"23,329",1540,1796333000,3,12.5
C. violaceum,"14,869",1540,1144913000,3,12.5
C. violaceum,"15,529",1540,1195733000,3,12.5
C. violaceum,"19,716",1540,1518132000,4,12.5
C. violaceum,"17,360",1540,1336720000,4,12.5
C. violaceum,"16,660",1540,1282820000,4,12.5
C. violaceum,"20,475",1540,1576575000,4,12.5
C. violaceum,"17,799",1540,1370523000,4,12.5
C. violaceum,"24,575",1540,1892275000,1,25
C. violaceum,"23,525",1540,1811425000,1,25
C. violaceum,"27,973",1540,2153921000,1,25
C. violaceum,"28,082",1540,2162314000,1,25
C. violaceum,"21,196",1540,1632092000,1,25
C. violaceum,"47,301",1540,3642177000,2,25
C. violaceum,"46,227",1540,3559479000,2,25
C. violaceum,"40,263",1540,3100251000,2,25
C. violaceum,"44,893",1540,3456761000,2,25
C. violaceum,"49,442",1540,3807034000,2,25
C. violaceum,"36,265",1540,2792405000,3,25
C. violaceum,"39,125",1540,3012625000,3,25
C. violaceum,"43,497",1540,3349269000,3,25
C. violaceum,"38,284",1540,2947868000,3,25
C. violaceum,"45,328",1540,3490256000,3,25
C. violaceum,"41,268",1540,3177636000,4,25
C. violaceum,"43,553",1540,3353581000,4,25
C. violaceum,"40,672",1540,3131744000,4,25
C. violaceum,"43,590",1540,3356430000,4,25
C. violaceum,"42,927",1540,3305379000,4,25
C. violaceum,"30,198",1540,2325246000,1,30
C. violaceum,"29,864",1540,2299528000,1,30
C. violaceum,"28,492",1540,2193884000,1,30
C. violaceum,"31,096",1540,2394392000,1,30
C. violaceum,"28,440",1540,2189880000,1,30
C. violaceum,"51,049",1540,3930773000,2,30
C. violaceum,"53,649",1540,4130973000,2,30
C. violaceum,"50,499",1540,3888423000,2,30
C. violaceum,"47,196",1540,3634092000,2,30
C. violaceum,"64,524",1540,4968348000,2,30
C. violaceum,"46,074",1540,3547698000,3,30
C. violaceum,"47,131",1540,3629087000,3,30
C. violaceum,"49,443",1540,3807111000,3,30
C. violaceum,"40,513",1540,3119501000,3,30
C. violaceum,"35,216",1540,2711632000,3,30
C. violaceum,"51,227",1540,3944479000,4,30
C. violaceum,"48,033",1540,3698541000,4,30
C. violaceum,"40,212",1540,3096324000,4,30
C. violaceum,"56,269",1540,4332713000,1,35
C. violaceum,"39,311",1540,3026947000,1,35
C. violaceum,"57,988",1540,4465076000,1,35
C. violaceum,"71,248",1540,5486096000,1,35
C. violaceum,"43,361",1540,3338797000,1,35
C. violaceum,"57,472",1540,4425344000,2,35
C. violaceum,"58,627",1540,4514279000,2,35
C. violaceum,"47,401",1540,3649877000,2,35
C. violaceum,"61,459",1540,4732343000,2,35
C. violaceum,"55,565",1540,4278505000,2,35
C. violaceum,"54,740",1540,4214980000,3,35
C. violaceum,"53,746",1540,4138442000,3,35
C. violaceum,"64,808",1540,4990216000,3,35
C. violaceum,"54,046",1540,4161542000,3,35
C. violaceum,"59,123",1540,4552471000,3,35
C. violaceum,"38,512",1540,2965424000,4,35
C. violaceum,"47,944",1540,3691688000,4,35
C. violaceum,"53,027",1540,4083079000,4,35
C. violaceum,"52,213",1540,4020401000,4,35
C. violaceum,"59,548",1540,4585196000,4,35
C. violaceum,"36,020",1540,2773540000,1,40
C. violaceum,"21,053",1540,1621081000,1,40
C. violaceum,"28,175",1540,2169475000,1,40
C. violaceum,"27,129",1540,2088933000,1,40
C. violaceum,"35,287",1540,2717099000,1,40
C. violaceum,"59,450",1540,4577650000,2,40
C. violaceum,"63,183",1540,4865091000,2,40
C. violaceum,"42,374",1540,3262798000,2,40
C. violaceum,"75,070",1540,5780390000,2,40
C. violaceum,"57,610",1540,4435970000,2,40
C. violaceum,"53,931",1540,4152687000,3,40
C. violaceum,"47,261",1540,3639097000,3,40
C. violaceum,"70,518",1540,5429886000,3,40
C. violaceum,"65,591",1540,5050507000,3,40
C. violaceum,"67,713",1540,5213901000,3,40
C. violaceum,"48,822",1540,3759294000,4,40
C. violaceum,"44,836",1540,3452372000,4,40
C. violaceum,"41,774",1540,3216598000,4,40
C. violaceum,"64,863",1540,4994451000,4,40
C. violaceum,"55,181",1540,4248937000,4,40
C. violaceum,"40,827",1540,3143679000,1,45
C. violaceum,"29,248",1540,2252096000,1,45
C. violaceum,"29,079",1540,2239083000,1,45
C. violaceum,"23,754",1540,1829058000,1,45
C. violaceum,"20,655",1540,1590435000,1,45
C. violaceum,"76,180",1540,5865860000,2,45
C. violaceum,"65,394",1540,5035338000,2,45
C. violaceum,"64,637",1540,4977049000,2,45
C. violaceum,"77,150",1540,5940550000,2,45
C. violaceum,"43,143",1540,3322011000,2,45
C. violaceum,"74,906",1540,5767762000,3,45
C. violaceum,"77,024",1540,5930848000,3,45
C. violaceum,"46,371",1540,3570567000,3,45
C. violaceum,"72,424",1540,5576648000,3,45
C. violaceum,"63,482",1540,4888114000,3,45
C. violaceum,"48,761",1540,3754597000,4,45
C. violaceum,"45,259",1540,3484943000,4,45
C. violaceum,"51,071",1540,3932467000,4,45
C. violaceum,"43,459",1540,3346343000,4,45
C. violaceum,"46,382",1540,3571414000,4,45
P. syringae ,"7,592",900,341640000,1,12.5
P. syringae ,"5,232",900,235440000,1,12.5
P. syringae ,"4,752",900,213840000,1,12.5
P. syringae ,"5,773",900,259785000,1,12.5
P. syringae ,"5,231",900,235395000,1,12.5
P. syringae ,"9,049",900,407205000,2,12.5
P. syringae ,"9,606",900,432270000,2,12.5
P. syringae ,"9,157",900,412065000,2,12.5
P. syringae ,"8,227",900,370215000,2,12.5
P. syringae ,"7,190",900,323550000,2,12.5
P. syringae ,"7,412",900,333540000,3,12.5
P. syringae ,"9,784",900,440280000,3,12.5
P. syringae ,"13,180",900,593100000,3,12.5
P. syringae ,"12,325",900,554625000,3,12.5
P. syringae ,"7,508",900,337860000,3,12.5
P. syringae ,"10,925",900,491625000,4,12.5
P. syringae ,"8,573",900,385785000,4,12.5
P. syringae ,"7,973",900,358785000,4,12.5
P. syringae ,"7,427",900,334215000,4,12.5
P. syringae ,"5,701",900,256545000,4,12.5
P. syringae ,"14,821",900,666945000,1,25
P. syringae ,"15,521",900,698445000,1,25
P. syringae ,"11,700",900,526500000,1,25
P. syringae ,"13,494",900,607230000,1,25
P. syringae ,"17,437",900,784665000,1,25
P. syringae ,"11,005",900,495225000,2,25
P. syringae ,"12,130",900,545850000,2,25
P. syringae ,"10,176",900,457920000,2,25
P. syringae ,"11,644",900,523980000,2,25
P. syringae ,"8,799",900,395955000,2,25
P. syringae ,"12,933",900,581985000,3,25
P. syringae ,"13,858",900,623610000,3,25
P. syringae ,"14,233",900,640485000,3,25
P. syringae ,"9,543",900,429435000,3,25
P. syringae ,"11,914",900,536130000,3,25
P. syringae ,"28,576",900,1285920000,4,25
P. syringae ,"31,853",900,1433385000,4,25
P. syringae ,"32,457",900,1460565000,4,25
P. syringae ,"31,168",900,1402560000,4,25
P. syringae ,"29,323",900,1319535000,4,25
P. syringae ,"19,430",900,874350000,1,30
P. syringae ,"24,423",900,1099035000,1,30
P. syringae ,"15,757",900,709065000,1,30
P. syringae ,"20,919",900,941355000,1,30
P. syringae ,"17,862",900,803790000,1,30
P. syringae ,"19,923",900,896535000,2,30
P. syringae ,"9,535",900,429075000,2,30
P. syringae ,"17,023",900,766035000,2,30
P. syringae ,"7,519",900,338355000,2,30
P. syringae ,"8,888",900,399960000,2,30
P. syringae ,"22,370",900,1006650000,3,30
P. syringae ,"24,118",900,1085310000,3,30
P. syringae ,"16,862",900,758790000,3,30
P. syringae ,"11,769",900,529605000,3,30
P. syringae ,"14,184",900,638280000,3,30
P. syringae ,"33,025",900,1486125000,4,30
P. syringae ,"32,397",900,1457865000,4,30
P. syringae ,"31,781",900,1430145000,4,30
P. syringae ,"31,655",900,1424475000,4,30
P. syringae ,"27,900",900,1255500000,4,30
P. syringae ,"32,902",900,1480590000,1,35
P. syringae ,"21,663",900,974835000,1,35
P. syringae ,"33,724",900,1517580000,1,35
P. syringae ,"32,115",900,1445175000,1,35
P. syringae ,"26,411",900,1188495000,1,35
P. syringae ,"21,215",900,954675000,2,35
P. syringae ,"18,890",900,850050000,2,35
P. syringae ,"16,425",900,739125000,2,35
P. syringae ,"16,391",900,737595000,2,35
P. syringae ,"11,582",900,521190000,2,35
P. syringae ,"22,927",900,1031715000,3,35
P. syringae ,"25,080",900,1128600000,3,35
P. syringae ,"25,858",900,1163610000,3,35
P. syringae ,"18,796",900,845820000,3,35
P. syringae ,"17,536",900,789120000,3,35
P. syringae ,"41,794",900,1880730000,4,35
P. syringae ,"42,503",900,1912635000,4,35
P. syringae ,"34,071",900,1533195000,4,35
P. syringae ,"29,692",900,1336140000,4,35
P. syringae ,"25,841",900,1162845000,4,35
P. syringae ,"28,246",900,1271070000,1,40
P. syringae ,"47,576",900,2140920000,1,40
P. syringae ,"44,709",900,2011905000,1,40
P. syringae ,"31,968",900,1438560000,1,40
P. syringae ,"44,079",900,1983555000,1,40
P. syringae ,"16,648",900,749160000,2,40
P. syringae ,"33,611",900,1512495000,2,40
P. syringae ,"30,987",900,1394415000,2,40
P. syringae ,"14,500",900,652500000,2,40
P. syringae ,"34,371",900,1546695000,3,40
P. syringae ,"35,633",900,1603485000,3,40
P. syringae ,"33,022",900,1485990000,3,40
P. syringae ,"31,419",900,1413855000,3,40
P. syringae ,"28,175",900,1267875000,3,40
P. syringae ,"47,204",900,2124180000,4,40
P. syringae ,"48,403",900,2178135000,4,40
P. syringae ,"47,478",900,2136510000,4,40
P. syringae ,"47,466",900,2135970000,4,40
P. syringae ,"42,208",900,1899360000,4,40
P. syringae ,"35,482",900,1596690000,1,45
P. syringae ,"45,450",900,2045250000,1,45
P. syringae ,"51,823",900,2332035000,1,45
P. syringae ,"40,777",900,1834965000,1,45
P. syringae ,"34,033",900,1531485000,1,45
P. syringae ,"35,064",900,1577880000,2,45
P. syringae ,"21,616",900,972720000,2,45
P. syringae ,"27,307",900,1228815000,2,45
P. syringae ,"18,680",900,840600000,2,45
P. syringae ,"29,569",900,1330605000,3,45
P. syringae ,"32,140",900,1446300000,3,45
P. syringae ,"23,940",900,1077300000,3,45
P. syringae ,"31,448",900,1415160000,3,45
P. syringae ,"17,763",900,799335000,3,45
P. syringae ,"40,815",900,1836675000,4,45
P. syringae ,"45,514",900,2048130000,4,45
P. syringae ,"34,773",900,1564785000,4,45
P. syringae ,"55,124",900,2480580000,4,45
P. syringae ,"38,218",900,1719810000,4,45
