libraryName	SampleId	rawReads	filteredReads	sampleName	conditionNumber	Condition	BioRep	timepoint	sequencerType	runType	fileUsed
BYSZO	150450	39086148	24267536	3mem_Ps_35hr_BR3	16	3mem	three	D-thfv	HiSeq-2500 1TB	2x101	11869.1.224432.CGACCAT-AATGGTC.filter-MICROTRANS.fastq.gz
BYSZH	150448	31435278	30767630	3mem_Ps_25hr_BR3	14	3mem	three	B-twf	HiSeq-2500 1TB	2x101	11869.1.224432.GCTGGAT-AATCCAG.filter-MICROTRANS.fastq.gz
BYSYW	150440	35130602	30096526	2mem_Ps_Cv_35hr_BR2	10	Chromo	two	D-thfv	HiSeq-2500 1TB	2x101	11869.1.224432.GTCTCCT-AAGGAGA.filter-MICROTRANS.fastq.gz
BYSWX	150411	46662232	42825786	3mem_Ps_40hr_BR1	17	3mem	one	E-frt	HiSeq-2500 1TB	2x101	11869.1.224432.TACCAAC-GGTTGGT.filter-MICROTRANS.fastq.gz
BYSZA	150444	37432418	33130852	Ps_mono_30hr_BR2	21	Mono	two	C-thr	HiSeq-2500 1TB	2x101	11869.1.224432.AGAGCCT-AAGGCTC.filter-MICROTRANS.fastq.gz
BYSZC	150446	35155348	17914144	Ps_mono_40hr_BR2	23	Mono	two	E-frt	HiSeq-2500 1TB	2x101	11869.1.224432.GAGGACT-AAGTCCT.filter-MICROTRANS.fastq.gz
BYSYY	150442	38548192	34750356	2mem_Ps_Cv_45hr_BR2	12	Chromo	two	F-frtf	HiSeq-2500 1TB	2x101	11869.1.224432.TACGCCT-AAGGCGT.filter-MICROTRANS.fastq.gz
BYSZS	150452	45179128	42090432	3mem_Ps_45hr_BR3	18	3mem	three	F-frtf	HiSeq-2500 1TB	2x101	11869.2.224443.CACGTTG-ACAACGT.filter-MICROTRANS.fastq.gz
BYTAN	150464	36572732	34225196	Ps_mono_30hr_BR3	21	Mono	three	C-thr	HiSeq-2500 1TB	2x101	11869.2.224443.TGGCATG-ACATGCC.filter-MICROTRANS.fastq.gz
BYSZU	150454	43996246	34681810	2mem_Ps_Bt_30hr_BR3	3	Burk	three	C-thr	HiSeq-2500 1TB	2x101	11869.2.224443.CAGAGTG-ACACTCT.filter-MICROTRANS.fastq.gz
BYSWY	150412	37965286	33821332	3mem_Ps_45hr_BR1	18	3mem	one	F-frtf	HiSeq-2500 1TB	2x101	11869.2.224443.GCCTTGT-AACAAGG.filter-MICROTRANS.fastq.gz
BYTAB	150460	41164610	13052434	2mem_Ps_Cv_35hr_BR3	10	Chromo	three	D-thfv	HiSeq-2500 1TB	2x101	11869.2.224443.ATGCCTG-ACAGGCA.filter-MICROTRANS.fastq.gz
BYSWW	150410	35442540	19547478	3mem_Ps_35hr_BR1	16	3mem	one	D-thfv	HiSeq-2500 1TB	2x101	11869.1.224432.CGGTTGT-AACAACC.filter-MICROTRANS.fastq.gz
BYSYT	150438	42870838	10352852	2mem_Ps_Cv_25hr_BR2	8	Chromo	two	B-twf	HiSeq-2500 1TB	2x101	11869.1.224432.CCTTCCT-AAGGAAG.filter-MICROTRANS.fastq.gz
BYSZZ	150458	42577272	38957058	2mem_Ps_Cv_25hr_BR3	8	Chromo	three	B-twf	HiSeq-2500 1TB	2x101	11869.2.224443.CTTGCTG-ACAGCAA.filter-MICROTRANS.fastq.gz
BYZHS	150488	41171840	39335830	3mem_Ps_12.5hr_BR1	13	3mem	one	A-twh	HiSeq-2500 1TB	2x101	11888.1.225332.GAGCTCA-TTGAGCT.filter-MICROTRANS.fastq.gz
BYZNN	150500	32295886	24488072	3mem_Ps_12.5hr_BR4	13	3mem	four	A-twh	HiSeq-2500 1TB	2x101	11888.1.225332.GTTCGGT-AACCGAA.filter-MICROTRANS.fastq.gz
BYZHW	150491	38329744	37567330	Ps_mono_12.5hr_BR1	19	Mono	one	A-twh	HiSeq-2500 1TB	2x101	11888.2.225343.TACCAAC-GGTTGGT.filter-MICROTRANS.fastq.gz
BYZHU	150490	34432398	26226778	2mem_Ps_Cv_12.5hr_BR1	7	Chromo	one	A-twh	HiSeq-2500 1TB	2x101	11888.2.225343.CGGTTGT-AACAACC.filter-MICROTRANS.fastq.gz
BYZNG	150498	37823508	30049588	2mem_Ps_Cv_12.5hr_BR3	7	Chromo	three	A-twh	HiSeq-2500 1TB	2x101	11888.1.225332.GGACTGT-AACAGTC.filter-MICROTRANS.fastq.gz
BYZHT	150489	38260492	36857858	2mem_Ps_Bt_12.5hr_BR1	1	Burk	one	A-twh	HiSeq-2500 1TB	2x101	11888.1.225332.ATAGCGG-ACCGCTA.filter-MICROTRANS.fastq.gz
BYZNP	150502	36437496	24495842	2mem_Ps_Cv_12.5hr_BR4	7	Chromo	four	A-twh	HiSeq-2500 1TB	2x101	11888.1.225332.CGTAGGT-AACCTAC.filter-MICROTRANS.fastq.gz
BYTAW	150470	39122476	28972556	3mem_Ps_35hr_BR4	16	3mem	four	D-thfv	HiSeq-2500 1TB	2x101	11869.3.224454.TAACCGG-ACCGGTT.filter-MICROTRANS.fastq.gz
BYTBH	150478	39662074	25811142	2mem_Ps_Cv_25hr_BR4	8	Chromo	four	B-twf	HiSeq-2500 1TB	2x101	11869.3.224454.CCATACG-ACGTATG.filter-MICROTRANS.fastq.gz
BYTBC	150476	42760730	25340236	2mem_Ps_Bt_40hr_BR4	5	Burk	four	E-frt	HiSeq-2500 1TB	2x101	11869.3.224454.TGTACCG-ACGGTAC.filter-MICROTRANS.fastq.gz
BYSWZ	150413	51144928	39246478	2mem_Ps_Bt_25hr_BR1	2	Burk	one	B-twf	HiSeq-2500 1TB	2x101	11869.2.224443.CTGACAC-TGTGTCA.filter-MICROTRANS.fastq.gz
BYTAG	150462	44131844	28107300	2mem_Ps_Cv_45hr_BR3	12	Chromo	three	F-frtf	HiSeq-2500 1TB	2x101	11869.2.224443.CGAACTG-ACAGTTC.filter-MICROTRANS.fastq.gz
BYSZX	150456	44712354	36628300	2mem_Ps_Bt_40hr_BR3	5	Burk	three	E-frt	HiSeq-2500 1TB	2x101	11869.2.224443.ACCTCTG-ACAGAGG.filter-MICROTRANS.fastq.gz
BYSXA	150414	41075834	9734064	2mem_Ps_Bt_30hr_BR1	3	Burk	one	C-thr	HiSeq-2500 1TB	2x101	11869.3.224454.CCAGTGT-AACACTG.filter-MICROTRANS.fastq.gz
BYTAS	150467	39940992	35790582	Ps_mono_45hr_BR3	24	Mono	three	F-frtf	HiSeq-2500 1TB	2x101	11869.7.224498.CATACCA-GTGGTAT.filter-MICROTRANS.fastq.gz
BYSZY	150457	40573322	12816362	2mem_Ps_Bt_45hr_BR3	6	Burk	three	F-frtf	HiSeq-2500 1TB	2x101	11869.7.224498.TGGATCA-GTGATCC.filter-MICROTRANS.fastq.gz
BYSXS	150422	38561386	3515982	2mem_Ps_Cv_45hr_BR1	12	Chromo	one	F-frtf	HiSeq-2500 1TB	2x101	11869.7.224498.CGTAGGT-AACCTAC.filter-MICROTRANS.fastq.gz
BYTBN	150479	40233512	31826930	2mem_Ps_Cv_30hr_BR4	9	Chromo	four	C-thr	HiSeq-2500 1TB	2x101	11869.7.224498.TTGAGGC-TGCCTCA.filter-MICROTRANS.fastq.gz
BYTAA	150459	42147972	38656120	2mem_Ps_Cv_30hr_BR3	9	Chromo	three	C-thr	HiSeq-2500 1TB	2x101	11869.7.224498.GCCATAA-GTTATGG.filter-MICROTRANS.fastq.gz
BYSXT	150423	47611124	28505232	Ps_mono_25hr_BR1	20	Mono	one	B-twf	HiSeq-2500 1TB	2x101	11869.7.224498.TCATCAC-GGTGATG.filter-MICROTRANS.fastq.gz
BYSYA	150429	42547310	10174892	3mem_Ps_30hr_BR2	15	3mem	two	C-thr	HiSeq-2500 1TB	2x101	11869.7.224498.AGTCTCA-GTGAGAC.filter-MICROTRANS.fastq.gz
BYTBG	150477	47055034	9070134	2mem_Ps_Bt_45hr_BR4	6	Burk	four	F-frtf	HiSeq-2500 1TB	2x101	11869.7.224498.AACGGTC-TGACCGT.filter-MICROTRANS.fastq.gz
