Code,Sample,Ind,time,class,factor,RowOrder
BYZOW,2mem_Bt_Cv_12.5hr_BR1,1,750,exp_Cv,BtCv_12,1
BXNWO,2mem_Bt_Cv_25hr_BR1,1,1500,exp_Cv,BtCv_25,2
BXNWP,2mem_Bt_Cv_30hr_BR1,1,1800,exp_Cv,BtCv_30,3
BXNWS,2mem_Bt_Cv_35hr_BR1,1,2100,exp_Cv,BtCv_35,4
BXNWT,2mem_Bt_Cv_40hr_BR1,1,2400,exp_Cv,BtCv_40,5
BXNWU,2mem_Bt_Cv_45hr_BR1,1,2700,exp_Cv,BtCv_45,6
BYZPA,2mem_Bt_Cv_12.5hr_BR2,2,750,exp_Cv,BtCv_12,7
BXNXW,2mem_Bt_Cv_25hr_BR2,2,1500,exp_Cv,BtCv_25,8
BXNXX,2mem_Bt_Cv_30hr_BR2,2,1800,exp_Cv,BtCv_30,9
BXNXY,2mem_Bt_Cv_35hr_BR2,2,2100,exp_Cv,BtCv_35,10
BXNXZ,2mem_Bt_Cv_40hr_BR2,2,2400,exp_Cv,BtCv_40,11
BXNYA,2mem_Bt_Cv_45hr_BR2,2,2700,exp_Cv,BtCv_45,12
BYZPH,2mem_Bt_Cv_12.5hr_BR3,3,750,exp_Cv,BtCv_12,13
BXNZB,2mem_Bt_Cv_25hr_BR3,3,1500,exp_Cv,BtCv_25,14
BXNZC,2mem_Bt_Cv_30hr_BR3,3,1800,exp_Cv,BtCv_30,15
BXNZG,2mem_Bt_Cv_35hr_BR3,3,2100,exp_Cv,BtCv_35,16
BXNZH,2mem_Bt_Cv_40hr_BR3,3,2400,exp_Cv,BtCv_40,17
BXNZN,2mem_Bt_Cv_45hr_BR3,3,2700,exp_Cv,BtCv_45,18
BYZPS,2mem_Bt_Cv_12.5hr_BR4,4,750,exp_Cv,BtCv_12,19
BXOAO,2mem_Bt_Cv_25hr_BR4,4,1500,exp_Cv,BtCv_25,20
BXOAP,2mem_Bt_Cv_30hr_BR4,4,1800,exp_Cv,BtCv_30,21
BXOAS,2mem_Bt_Cv_35hr_BR4,4,2100,exp_Cv,BtCv_35,22
BXOAT,2mem_Bt_Cv_40hr_BR4,4,2400,exp_Cv,BtCv_40,23
BXOAU,2mem_Bt_Cv_45hr_BR4,4,2700,exp_Cv,BtCv_45,24
BYZOX,2mem_Bt_Ps_12.5hr_BR1,5,750,exp_Ps,BtPs_12,25
BXNWW,2mem_Bt_Ps_25hr_BR1,5,1500,exp_Ps,BtPs_25,26
BXNWX,2mem_Bt_Ps_30hr_BR1,5,1800,exp_Ps,BtPs_30,27
BXNWY,2mem_Bt_Ps_35hr_BR1,5,2100,exp_Ps,BtPs_35,28
BXNWZ,2mem_Bt_Ps_40hr_BR1,5,2400,exp_Ps,BtPs_40,29
BXNXA,2mem_Bt_Ps_45hr_BR1,5,2700,exp_Ps,BtPs_45,30
BYZPB,2mem_Bt_Ps_12.5hr_BR2,6,750,exp_Ps,BtPs_12,31
BXNYB,2mem_Bt_Ps_25hr_BR2,6,1500,exp_Ps,BtPs_25,32
BXNYC,2mem_Bt_Ps_30hr_BR2,6,1800,exp_Ps,BtPs_30,33
BXNYG,2mem_Bt_Ps_35hr_BR2,6,2100,exp_Ps,BtPs_35,34
BXNYH,2mem_Bt_Ps_40hr_BR2,6,2400,exp_Ps,BtPs_40,35
BXNYN,2mem_Bt_Ps_45hr_BR2,6,2700,exp_Ps,BtPs_45,36
BYZPN,2mem_Bt_Ps_12.5hr_BR3,7,750,exp_Ps,BtPs_12,37
BXNZO,2mem_Bt_Ps_25hr_BR3,7,1500,exp_Ps,BtPs_25,38
BXNZP,2mem_Bt_Ps_30hr_BR3,7,1800,exp_Ps,BtPs_30,39
BXNZS,2mem_Bt_Ps_35hr_BR3,7,2100,exp_Ps,BtPs_35,40
BXNZT,2mem_Bt_Ps_40hr_BR3,7,2400,exp_Ps,BtPs_40,41
BXNZU,2mem_Bt_Ps_45hr_BR3,7,2700,exp_Ps,BtPs_45,42
BYZPT,2mem_Bt_Ps_12.5hr_BR4,8,750,exp_Ps,BtPs_12,43
BXOAW,2mem_Bt_Ps_25hr_BR4,8,1500,exp_Ps,BtPs_25,44
BXOAX,2mem_Bt_Ps_30hr_BR4,8,1800,exp_Ps,BtPs_30,45
BXOAY,2mem_Bt_Ps_35hr_BR4,8,2100,exp_Ps,BtPs_35,46
BXOAZ,2mem_Bt_Ps_40hr_BR4,8,2400,exp_Ps,BtPs_40,47
BXOBA,2mem_Bt_Ps_45hr_BR4,8,2700,exp_Ps,BtPs_45,48
BYZOU,3mem_Bt_12.5hr_BR1,9,750,exp_3mem,3mem_12,49
BXNWB,3mem_Bt_25hr_BR1,9,1500,exp_3mem,3mem_25,50
BXNWC,3mem_Bt_30hr_BR1,9,1800,exp_3mem,3mem_30,51
BXNWG,3mem_Bt_35hr_BR1,9,2100,exp_3mem,3mem_35,52
BXNWH,3mem_Bt_40hr_BR1,9,2400,exp_3mem,3mem_40,53
BXNWN,3mem_Bt_45hr_BR1,9,2700,exp_3mem,3mem_45,54
BYZOZ,3mem_Bt_12.5hr_BR2,10,750,exp_3mem,3mem_12,55
