Code,Sample,Ind,time,class,factor,RowOrder
BYZNB,3mem_Ps_12.5hr_BR3,11,750,exp_3mem,3mem_12,61
BYSZH,3mem_Ps_25hr_BR3,11,1500,exp_3mem,3mem_25,62
BYSZN,3mem_Ps_30hr_BR3,11,1800,exp_3mem,3mem_30,63
BYSZO,3mem_Ps_35hr_BR3,11,2100,exp_3mem,3mem_35,64
BYSZP,3mem_Ps_40hr_BR3,11,2400,exp_3mem,3mem_40,65
BYSZS,3mem_Ps_45hr_BR3,11,2700,exp_3mem,3mem_45,66
BYZNN,3mem_Ps_12.5hr_BR4,12,750,exp_3mem,3mem_12,67
BYTAT,3mem_Ps_25hr_BR4,12,1500,exp_3mem,3mem_25,68
BYTAU,3mem_Ps_30hr_BR4,12,1800,exp_3mem,3mem_30,69
BYTAW,3mem_Ps_35hr_BR4,12,2100,exp_3mem,3mem_35,70
BYTAX,3mem_Ps_40hr_BR4,12,2400,exp_3mem,3mem_40,71
BYTAY,3mem_Ps_45hr_BR4,12,2700,exp_3mem,3mem_45,72
BYZHW,Ps_mono_12.5hr_BR1,13,750,con,mono_12,73
BYSXT,Ps_mono_25hr_BR1,13,1500,con,mono_25,74
BYSXU,Ps_mono_30hr_BR1,13,1800,con,mono_30,75
BYSXW,Ps_mono_35hr_BR1,13,2100,con,mono_35,76
BYSXX,Ps_mono_40hr_BR1,13,2400,con,mono_40,77
BYSXY,Ps_mono_45hr_BR1,13,2700,con,mono_45,78
BYZNA,Ps_mono_12.5hr_BR2,14,750,con,mono_12,79
BYSYZ,Ps_mono_25hr_BR2,14,1500,con,mono_25,80
BYSZA,Ps_mono_30hr_BR2,14,1800,con,mono_30,81
BYSZB,Ps_mono_35hr_BR2,14,2100,con,mono_35,82
BYSZC,Ps_mono_40hr_BR2,14,2400,con,mono_40,83
BYSZG,Ps_mono_45hr_BR2,14,2700,con,mono_45,84
BYZNH,Ps_mono_12.5hr_BR3,15,750,con,mono_12,85
BYTAH,Ps_mono_25hr_BR3,15,1500,con,mono_25,86
BYTAN,Ps_mono_30hr_BR3,15,1800,con,mono_30,87
BYTAO,Ps_mono_35hr_BR3,15,2100,con,mono_35,88
BYTAP,Ps_mono_40hr_BR3,15,2400,con,mono_40,89
BYTAS,Ps_mono_45hr_BR3,15,2700,con,mono_45,90
BYZNS,Ps_mono_12.5hr_BR4,16,750,con,mono_12,91
BYTBT,Ps_mono_25hr_BR4,16,1500,con,mono_25,92
BYTBU,Ps_mono_30hr_BR4,16,1800,con,mono_30,93
BYTBW,Ps_mono_35hr_BR4,16,2100,con,mono_35,94
BYTBX,Ps_mono_40hr_BR4,16,2400,con,mono_40,95
BYTBY,Ps_mono_45hr_BR4,16,2700,con,mono_45,96
