Code,Sample,Ind,time,class,factor,RowOrder
BYZNU,2mem_Cv_Bt_12.5hr_BR1,1,750,exp_Bt,CvBt-12,1
BZTTW,2mem_Cv_Bt_25hr_BR1.2,1,1500,exp_Bt,CvBt-25,2
BZTTX,2mem_Cv_Bt_30hr_BR1.2,1,1800,exp_Bt,CvBt-30,3
BZTTY,2mem_Cv_Bt_35hr_BR1.2,1,2100,exp_Bt,CvBt-35,4
BZTTZ,2mem_Cv_Bt_40hr_BR1.2,1,2400,exp_Bt,CvBt-40,5
BZTUA,2mem_Cv_Bt_45hr_BR1.2,1,2700,exp_Bt,CvBt-45,6
BYZNZ,2mem_Cv_Bt_12.5hr_BR2,2,750,exp_Bt,CvBt-12,7
BZTWB,2mem_Cv_Bt_25hr_BR2.2,2,1500,exp_Bt,CvBt-25,8
BZTWC,2mem_Cv_Bt_30hr_BR2.2,2,1800,exp_Bt,CvBt-30,9
BZTWG,2mem_Cv_Bt_35hr_BR2.2,2,2100,exp_Bt,CvBt-35,10
BZTWH,2mem_Cv_Bt_40hr_BR2.2,2,2400,exp_Bt,CvBt-40,11
BYZOG,2mem_Cv_Bt_12.5hr_BR3,3,750,exp_Bt,CvBt-12,12
BZTXO,2mem_Cv_Bt_25hr_BR3.2,3,1500,exp_Bt,CvBt-25,13
BZTXP,2mem_Cv_Bt_30hr_BR3.2,3,1800,exp_Bt,CvBt-30,14
BZTXS,2mem_Cv_Bt_35hr_BR3.2,3,2100,exp_Bt,CvBt-35,15
BZTXT,2mem_Cv_Bt_40hr_BR3.2,3,2400,exp_Bt,CvBt-40,16
BZTXU,2mem_Cv_Bt_45hr_BR3.2,3,2700,exp_Bt,CvBt-45,17
BYZOP,2mem_Cv_Bt_12.5hr_BR4,4,750,exp_Bt,CvBt-12,18
BZTYW,2mem_Cv_Bt_25hr_BR4.2,4,1500,exp_Bt,CvBt-25,19
BZTYX,2mem_Cv_Bt_30hr_BR4.2,4,1800,exp_Bt,CvBt-30,20
BZTYY,2mem_Cv_Bt_35hr_BR4.2,4,2100,exp_Bt,CvBt-35,21
BZTYZ,2mem_Cv_Bt_40hr_BR4.2,4,2400,exp_Bt,CvBt-40,22
BZTZA,2mem_Cv_Bt_45hr_BR4.2,4,2700,exp_Bt,CvBt-45,23
BYZNW,2mem_Cv_Ps_12.5hr_BR1,5,750,exp_Ps,CvPs-12,24
BZTUB,2mem_Cv_Ps_25hr_BR1.2,5,1500,exp_Ps,CvPs-25,25
BZTUC,2mem_Cv_Ps_30hr_BR1.2,5,1800,exp_Ps,CvPs-30,26
BZTUG,2mem_Cv_Ps_35hr_BR1.2,5,2100,exp_Ps,CvPs-35,27
BZTUH,2mem_Cv_Ps_40hr_BR1.2,5,2400,exp_Ps,CvPs-40,28
BYZOA,2mem_Cv_Ps_12.5hr_BR2,6,750,exp_Ps,CvPs-12,29
BZTWO,2mem_Cv_Ps_25hr_BR2.2,6,1500,exp_Ps,CvPs-25,30
BZTWP,2mem_Cv_Ps_30hr_BR2.2,6,1800,exp_Ps,CvPs-30,31
BZTWS,2mem_Cv_Ps_35hr_BR2.2,6,2100,exp_Ps,CvPs-35,32
BZTWT,2mem_Cv_Ps_40hr_BR2.2,6,2400,exp_Ps,CvPs-40,33
BZTWU,2mem_Cv_Ps_45hr_BR2.2,6,2700,exp_Ps,CvPs-45,34
BZTXW,2mem_Cv_Ps_25hr_BR3.2,7,1500,exp_Ps,CvPs-25,35
BZTXX,2mem_Cv_Ps_30hr_BR3.2,7,1800,exp_Ps,CvPs-30,36
BZTXY,2mem_Cv_Ps_35hr_BR3.2,7,2100,exp_Ps,CvPs-35,37
BZTXZ,2mem_Cv_Ps_40hr_BR3.2,7,2400,exp_Ps,CvPs-40,38
BZTYA,2mem_Cv_Ps_45hr_BR3.2,7,2700,exp_Ps,CvPs-45,39
BYZOS,2mem_Cv_Ps_12.5hr_BR4,8,750,exp_Ps,CvPs-12,40
BZTZB,2mem_Cv_Ps_25hr_BR4.2,8,1500,exp_Ps,CvPs-25,41
BZTZC,2mem_Cv_Ps_30hr_BR4.2,8,1800,exp_Ps,CvPs-30,42
BZTZG,2mem_Cv_Ps_35hr_BR4.2,8,2100,exp_Ps,CvPs-35,43
BZTZH,2mem_Cv_Ps_40hr_BR4.2,8,2400,exp_Ps,CvPs-40,44
BZTZN,2mem_Cv_Ps_45hr_BR4.2,8,2700,exp_Ps,CvPs-45,45
BYZNT,3mem_Cv_12.5hr_BR1,9,750,exp_3mem,3mem_12,46
BZTTO,3mem_Cv_25hr_BR1.2,9,1500,exp_3mem,3mem_25,47
BZTTP,3mem_Cv_30hr_BR1.2,9,1800,exp_3mem,3mem_30,48
BZTTS,3mem_Cv_35hr_BR1.2,9,2100,exp_3mem,3mem_35,49
BZTTT,3mem_Cv_40hr_BR1.2,9,2400,exp_3mem,3mem_40,50
BZTTU,3mem_Cv_45hr_BR1.2,9,2700,exp_3mem,3mem_45,51
BYZNY,3mem_Cv_12.5hr_BR2,10,750,exp_3mem,3mem_12,52
BZTUW,3mem_Cv_25hr_BR2.2,10,1500,exp_3mem,3mem_25,53
BZTUX,3mem_Cv_30hr_BR2.2,10,1800,exp_3mem,3mem_30,54
BZTUY,3mem_Cv_35hr_BR2.2,10,2100,exp_3mem,3mem_35,55
BZTUZ,3mem_Cv_40hr_BR2.2,10,2400,exp_3mem,3mem_40,56
BZTWA,3mem_Cv_45hr_BR2.2,10,2700,exp_3mem,3mem_45,57
BYZOC,3mem_Cv_12.5hr_BR3,11,750,exp_3mem,3mem_12,58
BZTXB,3mem_Cv_25hr_BR3.2,11,1500,exp_3mem,3mem_25,59
BZTXC,3mem_Cv_30hr_BR3.2,11,1800,exp_3mem,3mem_30,60
BZTXG,3mem_Cv_35hr_BR3.2,11,2100,exp_3mem,3mem_35,61
BZTXH,3mem_Cv_40hr_BR3.2,11,2400,exp_3mem,3mem_40,62
BZTXN,3mem_Cv_45hr_BR3.2,11,2700,exp_3mem,3mem_45,63
BZTYO,3mem_Cv_25hr_BR4.2,12,1500,exp_3mem,3mem_25,64
BZTYP,3mem_Cv_30hr_BR4.2,12,1800,exp_3mem,3mem_30,65
BZTYS,3mem_Cv_35hr_BR4.2,12,2100,exp_3mem,3mem_35,66
BZTYT,3mem_Cv_40hr_BR4.2,12,2400,exp_3mem,3mem_40,67
BZTYU,3mem_Cv_45hr_BR4.2,12,2700,exp_3mem,3mem_45,68
BYZNX,Cv_mono_12.5hr_BR1,13,750,con,mono_12,69
BZTUO,Cv_mono_25hr_BR1.2,13,1500,con,mono_25,70
BZTUP,Cv_mono_30hr_BR1.2,13,1800,con,mono_30,71
BZTUS,Cv_mono_35hr_BR1.2,13,2100,con,mono_35,72
BZTUT,Cv_mono_40hr_BR1.2,13,2400,con,mono_40,73
BZTUU,Cv_mono_45hr_BR1.2,13,2700,con,mono_45,74
BYZOB,Cv_mono_12.5hr_BR2,14,750,con,mono_12,75
BZTWW,Cv_mono_25hr_BR2.2,14,1500,con,mono_25,76
BZTWX,Cv_mono_30hr_BR2.2,14,1800,con,mono_30,77
BZTWY,Cv_mono_35hr_BR2.2,14,2100,con,mono_35,78
BZTWZ,Cv_mono_40hr_BR2.2,14,2400,con,mono_40,79
BZTXA,Cv_mono_45hr_BR2.2,14,2700,con,mono_45,80
BYZON,Cv_mono_12.5hr_BR3,15,750,con,mono_12,81
BZTYB,Cv_mono_25hr_BR3.2,15,1500,con,mono_25,82
BZTYC,Cv_mono_30hr_BR3.2,15,1800,con,mono_30,83
BZTYG,Cv_mono_35hr_BR3.2,15,2100,con,mono_35,84
BZTYN,Cv_mono_45hr_BR3.2,15,2700,con,mono_45,85
