inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
NTRCEQWNXKKHTB	InChI=1S/C10H13NO4/c1-6-3-4-8(15-6)7(2)11-9(12)5-10(13)14/h3-4,7H,5H2,1-2H3,(H,11,12)(H,13,14)	C10H13NO4	1255	-3193.902166005907	""	CC1=CC=C(C(C)N=C(CC(=O)O)O)O1	0.25999999	""	PubChem:(62229929)
KFBZIIWZYBSGLT	InChI=1S/C10H13NO4/c1-14-9(12)7-4-3-6(11)5-8(7)10(13)15-2/h4-6H,3,11H2,1-2H3	C10H13NO4	1256	-3193.978178495628	""	COC(=O)C1=CCC(C=C1C(=O)OC)N	0.0649999976	""	KEGG Mine
AXGLAMDCPARGER	InChI=1S/C10H13NO4/c1-6-3-4-8(15-6)5-9(10(13)14)11-7(2)12/h3-4,9H,5H2,1-2H3,(H,11,12)(H,13,14)	C10H13NO4	1257	-3193.9818257879942	""	CC1=CC=C(CC(C(=O)O)N=C(C)O)O1	0.175999999	""	PubChem:(64147217)
FIZVZUNEIHFOEF	InChI=1S/C10H15NO5/c12-9(13)8-3-4-11(10(14)16-8)6-7-2-1-5-15-7/h7-8H,1-6H2,(H,12,13)	C10H15NO5	1258	-3194.039766648235	""	C1CC(CN2CCC(C(=O)O)OC2=O)OC1	0.00899999961	""	PubChem:(117010312)
WVCNKIPNBNJSPI	InChI=1S/C10H15NO5/c1-5(12)4-8(14)16-7(3)9(6(2)13)10(11)15/h7,9H,4H2,1-3H3,(H2,11,15)	C10H15NO5	1259	-3194.0803059040836	""	CC(=O)CC(=O)OC(C)C(C(=O)C)C(=N)O	0.119999997	""	PubChem:(88596193)
POTBIIWRLOOOJI	InChI=1S/C10H13NO4/c1-3-15-10(14)8-5-4-6-11(8)7(2)9(12)13/h4-7H,3H2,1-2H3,(H,12,13)	C10H13NO4	1260	-3194.171467797227	""	CCOC(=O)C1=CC=CN1C(C)C(=O)O	1.403	""	PubChem:(83793273)
ZICJNBJSTOSWKM	InChI=1S/C10H13NO4/c1-10(2)5-6(9(14)15-10)11-7(12)3-4-8(11)13/h6H,3-5H2,1-2H3	C10H13NO4	1261	-3194.397739297142	N-(5,5-Dimethyl-2-oxotetrahydro-3-furyl)succinimide	CC1(C)CC(C(=O)O1)N2C(=O)CCC2=O	0.00300000003	""	PubChem:(3060087)
JKRGKJFGGYGUOM	InChI=1S/C10H13NO4/c1-2-3-6-15-10(14)7-11-8(12)4-5-9(11)13/h2-3H,4-7H2,1H3	C10H13NO4	1262	-3194.429710936491	""	CC=CCOC(=O)CN1C(=O)CCC1=O	0.0140000004	""	PubChem:(55475711)
RARDVAHCDPWPHM	InChI=1S/C10H13NO4/c12-6-10(1-2-10)11-4-8-3-7(5-15-8)9(13)14/h3,5,11-12H,1-2,4,6H2,(H,13,14)	C10H13NO4	1263	-3194.479089807585	""	C1CC1(CO)NCC2=CC(=CO2)C(=O)O	-0.407999992	""	PubChem:(116347188)
HJSVNVFKQKIQFI	InChI=1S/C10H15NO5/c1-3-15-9(13)7-5-11(6-8(7)12)10(14)16-4-2/h7H,3-6H2,1-2H3	C10H15NO5	1264	-3194.6267230552876	AmbkkkkK399	CCOC(=O)C1CN(CC1=O)C(=O)OCC	-0.381000012	""	PubChem:(276314 41097777 41097778)
JAVGDMGSJHTJJM	InChI=1S/C10H13NO4/c1-3-6(2)11-9(12)8-4-7(5-15-8)10(13)14/h4-6H,3H2,1-2H3,(H,11,12)(H,13,14)	C10H13NO4	1265	-3194.632966070316	""	CCC(C)NC(=O)C1=CC(=CO1)C(=O)O	0.901000023	""	PubChem:(104606944)
KTFPAKRWSSVEHZ	InChI=1S/C10H13NO4/c1-15-9(14)6-10(11-7-12)5-3-2-4-8(10)13/h2-6H2,1H3	C10H13NO4	1266	-3194.7197652082205	""	COC(=O)CC1(CCCCC1=O)N=C=O	1.71200001	""	PubChem:(22075178)
VQCMWNHUPKSTQG	InChI=1S/C10H13NO4/c12-10(13)9-5-8(7-15-9)6-11-1-3-14-4-2-11/h5,7H,1-4,6H2,(H,12,13)	C10H13NO4	1267	-3194.756203717652	""	C1COCCN1CC2=COC(=C2)C(=O)O	-0.356999993	""	PubChem:(69583527)
