"1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_2","ExControl-ExControl_3","ExControl-ExControl_4","ID","MZ","RT"
2019211972,1172740815,1791639959,1814080678,816026652.2,1559428044,2270179204,575174789.7,1233557180,1877039988,1217836809,1095413286,1686240856,1430682561,1345178848,1280566769,1228739435,1884318074,1287064141,1288289447,1422716839,773009065.6,1465769422,890323889,1030348455,256279595.9,1083241050,685757958.7,773563873.4,313117499.8,702837954,378285066.3,30449423.84,432870518.4,264008034.9,53212880.5,286722177.9,1308885972,1418664793,1542349360,645435953.6,1234067816,1583839698,575689952.8,1415210862,1361847473,1386535999,1046736338,384745962.6,306992068.3,991200505.8,1534952566,702917760.8,635152695.5,3155373.227,762626.2476,5960050.772,1,215.0323248,0.336010655
685917802.8,408405555.2,602496853.3,607627565.1,275736091.5,523216545.5,770869836.4,184014861.5,413799356.5,630436873,405720889.7,363835062.3,616010085.6,483569773.3,401978924.2,435769199.2,418110949.9,634516101.1,435770325.2,433057081.6,479179450.5,262422791.2,556792725.8,272802205.2,348491399.4,87663828.46,363633498.8,232452732.3,250462437.6,106100347.6,235881914.7,127261718.9,10734046.96,153657199.9,86894415.93,17609070.19,93223967.19,448955743.3,482826562.3,520256687.5,218766403.5,438116093.6,485370300.9,196509697.4,474859882.8,462549717.8,456812255.9,351324513,126340960.5,104845116.1,332567773,500792502.5,247826838,211992887.6,1052577.598,255859.886,2055622.334,2,217.0291693,0.33606146
280346848,400205369.4,370721894.3,305228071,338334840,412040702.7,363258452.3,298942477.6,263483975,357752046.4,510039303.6,181253334.7,314042506.7,596788719.5,264642238.6,292887293.2,437976454.7,271772842.3,466875724.3,291404363.3,526193998.1,589080169.1,328163353.2,120145805.6,180709755.1,219027850.7,125648749.1,36612706.21,119165789.7,253830264.6,157133072.2,150213074.1,16238081.39,110941489.9,55329898.85,36830517.57,68583062.35,259651119.6,606287152.8,603823265.4,384841269.9,285788705.9,201622412.3,276995265.9,356856154.4,467435715.5,628789200.2,246253983.6,17142864.54,163615255.3,127997588.1,309766230.3,283538919.5,107415932,467613.4932,125993.3592,1108854.261,3,376.100727,0.34510363
289000.7528,80594.6544,52551.87421,129992.8829,83428.33435,27826.99046,24513.69633,69540.40515,81730.70671,21900.75132,110467.3814,352242.5498,256857.2311,135658.1428,219785.6846,133478.1902,179728.2173,137457228.1,95684830.08,121449994.7,812782567.5,488383054.6,1113310137,215239440.9,864547153.1,211418965.3,1204625962,457102962.7,1016005946,392407859,1358335582,895197545,403933264.2,1544586930,1985896119,261680183.6,1314876206,50130.41532,121843.8984,416901.8508,118979.4178,131811.5762,318130.018,43268.32364,143396.2141,354895.3915,76519.83198,32546.61573,24994.39017,180638.8652,243090.2451,414032.1913,77191.45462,183875.2772,0,18902.3569,2737417.105,4,487.2190999,3.026907178
148537244.1,95291868.15,168134309,164785779.5,63719477.86,138179050.8,145246020.8,41447008.02,144532328.4,166500606.6,111093076.9,131557174.2,175470105.6,138000979.3,151381907.2,154009173.9,163890367.4,139985465.8,104951431.6,140927355.9,46713244.03,82523151.85,142906463.7,125123378,44433752.21,23082223.09,133158779,158100963.1,132781767.2,38948908.56,118036398.4,91515607.66,19843965.26,110646004.5,149711434.6,16763436.69,92740239.68,125516048.9,143540087.6,193934322.4,45359361.29,131031966.9,193677366.5,51585127.77,145254241.6,164103130.2,133737717.1,107053085.6,67275437.72,19525409.2,133130103,135316689.3,65919614.57,69415469.97,43765146.1,63489850.44,58142070.29,5,447.1335938,5.260853689
85332018.38,123648500,115212260.6,93045617.96,106939586.9,129940928.4,112775127.7,92776294.42,82888437.24,112044263.4,156173626,56527947.76,97679654.28,187011066.5,83770676.17,93808174.9,133830238.7,85682556.14,148559209.7,90259101.32,165173174.6,184668545.2,100969818.8,34677458.17,54742344.44,68118947.74,39681720.02,10464965.69,36714544.37,77859037.37,48670803.07,45800324.43,4920459.031,34736597.36,17309412.49,11286797.36,19961694.9,81765482.11,191922246.4,188500540.7,119048650.6,91340339.83,62560773.79,88002591.43,109923458.2,142866085.8,196751103.4,76100437.27,5065969.915,50197206.62,38216513.65,94468990.26,87722759.37,32590487.03,140491.307,29468.46399,320284.866,6,378.09744,0.345001121
118874038.9,199731012.2,774773367.2,115515101,372533524.3,263901094.3,170460624.2,165839805.7,688669908.8,161778373.1,134257585.6,162072557.1,104427117.6,271463581.8,579214129.1,142292071.3,306096376.8,124704432.6,177552289.5,1368014486,242808424,145201487.5,447697515.8,304763746.5,238771532.7,149188242.9,242917774.8,376627846.1,250397701.3,182622473.5,216055015.3,192940801.2,134880332.9,454512789.5,79459529.91,257256551.3,572771357,131852108.9,196107575.2,189396889.4,162608102.7,492504869,112792784,151183305,467862988,159158579.3,151841257.9,295441263.3,99559094.33,329103118.3,493724933.4,133824825.7,244737659.2,237443478.9,37753564.05,379825314.4,284815660.2,7,197.8076689,10.45594712
97997323.58,165338171.1,645133055.5,95290185.39,263041289.2,473532932.4,141090911.8,137288285.1,943540846.4,176771758.5,141676622.9,261888828.8,89603484.72,224971435,456701413.9,117911120,128568078.2,103907771.1,185097442.5,885065934.7,201052307.5,142113848.9,371707608,253572206.1,158368675.5,123448827.1,353935769.4,313305142.1,210694908.4,151185425.5,179874433.4,159726764.1,111496515.2,377140320.1,65158828,213383278.2,566769927.4,109037083.8,230041753.5,172850796.5,134230583.4,567140576.5,92689857.53,124854478.6,389464569.1,168429539.9,147119722.9,245812878.8,81978712.74,153976449.5,499885062.8,110670519.8,152603412.6,167012734.7,31003657.3,315071742.4,134043058.4,8,195.8108211,10.45733369
60471586.52,32553037.13,73269398.98,271989571.3,25843825.11,59669639.41,233763059.2,18730993.49,64790281.71,252732769.9,44273030.5,68925736.73,296792612.9,58336474.64,69644516.29,242812634.1,67920743.3,61675935.99,39587884.09,58474902.88,229245909.3,127952333.1,70501478.24,254838611.9,215053815.3,37813152,65418395.04,318806083.3,171816705.8,60646967.2,65934581.9,136601906.6,29547706.11,56468533.75,254936347.5,26174025.69,43864766.69,46084861.01,58965332.58,267331867.5,76693498.94,68004263.8,259144092.4,91327157.51,80220878.61,276756515.9,235597864.8,69538335.85,105798614.8,8927369.592,83204729.92,237972123.8,114181191.9,50069590.76,22295551.4,13515316.28,14551676.08,9,426.9670562,5.191131245
132676.5906,73372.84165,21085.6106,5680.082024,59322.43514,13495.5304,0,53387.9232,67246.22123,0,63229.85623,221217.1394,225718.3143,161122.4123,137586.2066,61133.49179,156444.6946,53450818.21,46115147.67,78939703.75,572410402.6,457947479.8,614993792.8,740406871.6,742309863.1,192091459.5,908631160.6,1397449502,927652517.8,433126188.2,913474555.1,860113315.9,330516698.4,966110010.2,1315071450,204203175.7,901995403.3,4861.243364,80601.21342,297709.1563,70556.80395,65184.28947,73399.11442,5513.332567,45032.48538,210002.9577,14006.52899,20232.22698,0,214442.8236,72102.12993,380717.5317,4126.965071,235396.7192,0,23037.09835,5761530.347,10,529.175227,3.274579021
