"ID","MZ","RT","1mem_Cv_12pt5hr-2","1mem_Cv_25hr-2","1mem_Bt_12pt5hr-2","1mem_Cv_35hr-2","1mem_Cv_40hr-2","1mem_Cv_30hr-2","1mem_Bt_30hr-2","1mem_Bt_25hr-2","1mem_Ps_12pt5hr-2","1mem_Bt_35hr-2","1mem_Bt_45hr-2","1mem_Bt_40hr-2","1mem_Ps_40hr-2","1mem_Ps_25hr-2","1mem_Bt_30hr-3","1mem_Cv_45hr-2","1mem_Ps_30hr-2","1mem_Bt_25hr-3","1mem_Ps_35hr-2","1mem_Bt_12pt5hr-3","1mem_Ps_45hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_25hr-3","1mem_Cv_30hr-3","1mem_Cv_45hr-3","1mem_Bt_35hr-3","1mem_Cv_40hr-3","1mem_Bt_40hr-3","1mem_Cv_35hr-3","1mem_Ps_40hr-3","1mem_Ps_25hr-3","1mem_Ps_12pt5hr-3","1mem_Ps_30hr-3","1mem_Ps_45hr-3","1mem_Bt_45hr-3","1mem_Bt_12pt5hr-4","1mem_Ps_35hr-3","1mem_Bt_25hr-4","ExControl-ExControl_3","ExControl-ExControl_4","ExControl-ExControl_2","1mem_Bt_30hr-4","1mem_Cv_30hr-4","1mem_Cv_35hr-4","1mem_Cv_12pt5hr-4","1mem_Cv_45hr-4","1mem_Ps_25hr-4","1mem_Cv_40hr-4","1mem_Cv_25hr-4","1mem_Bt_35hr-4","1mem_Ps_45hr-4","1mem_Ps_30hr-4","1mem_Ps_35hr-4","1mem_Bt_40hr-4","1mem_Ps_40hr-4","1mem_Cv_30hr-1","1mem_Cv_35hr-1"
6892,383.0589941,2.577244126,5080.309207,0,25189296.41,0,1051.916591,0,82827263.43,77510179.65,1699.29945,72534806.85,108781730.3,120705642.1,5551.574268,1399.49956,12560695.25,0,30334.21824,15830048.82,0,14602855.22,4895.861002,0,0,1412.17774,651.4515325,52941694.46,0,78454773.53,853.9354085,8404.861019,945.7134067,1106.767604,1636.414339,0,128217265,25406869.6,4198.330917,83390860.43,1084.135555,0,0,101366602.8,6544.949207,0,8288.986283,0,10746074.01,0,3477.263522,107128270.7,3345176.729,13201212.27,13121541.7,144926988.7,17425373.23,6563.104024,2124.627633
6893,452.0990394,2.6795725,8091.675403,0,20617229.54,0,4961.193008,2056.837807,64037586.14,56679477.04,0,64124006.03,95786072.97,100830858.8,9392.372038,2789.602103,17665478.24,0,29881.92947,21750841.7,5671.263869,14604845.98,5706.485112,1236.878426,0,0,0,68089820.53,0,92160465.47,916.7664964,8575.247045,2822.340576,1116.904375,1038.100518,10485.40996,140532219.3,25071915,13986.62829,71684204.73,688.3121156,743.096718,0,88611325.6,6362.911713,0,14655.01445,0,8505660.907,1449.875227,5822.139186,97167418.69,3061499.628,11377676.34,12537740.36,133469563.3,14700280.35,0,0
6894,564.1966945,5.045313103,0,0,20668151.11,0,0,0,64739975.88,50091385.94,0,79146670.64,104544507,114017325.6,0,0,9823518.31,0,18849.46247,9142390.176,0,8098638.679,0,0,0,0,0,32472732.74,0,52247951.05,0,1169.327024,0,0,0,0,76808947.17,19039989.83,0,26060459.93,0,0,0,39123356.89,0,0,3588.78776,0,3831454.627,0,0,53663051.63,2938051.037,6375508.923,8576095.167,73913862.14,11667112.02,2191.524497,0
6895,528.2200014,5.045455194,0,0,18242528.74,0,0,0,55412823.82,42708269.83,0,70685086.58,103140936.6,95481483.02,0,0,10861740.83,0,6244.603119,10271630.06,0,9448133.888,0,0,0,0,0,36083084.04,0,57269018.3,0,0,0,0,0,0,86140014.57,18451300.56,0,26035566.87,0,0,0,38968227.94,0,0,3422.424684,0,3399006.111,0,0,54242035.56,2475389.493,5491185.429,7358646.151,76906064.97,10315677.45,0,0
6896,597.3692083,5.792622239,0,0,14080223.46,0,0,0,40175601.75,35513135.77,0,38308305.62,53030486.92,64309999.87,0,0,5701967.945,0,0,5532063.598,0,3611879.674,0,0,0,0,0,22887376.61,0,33652707.22,0,0,0,0,0,0,41320402.98,12443155.96,0,21085740.3,0,0,0,26441658.07,0,0,0,0,756385.7195,0,0,34381628.17,109814.4578,1182514.304,1514203.427,39322197.95,1703543.78,0,0
6897,284.1651475,5.404284516,23063.51363,1356.81236,16054448.3,5366.475645,21685.53577,1816.502453,28426014.79,24261722.4,4071.577549,28578157.41,36016969.72,37488636.71,21167.24448,20530.85982,4510600.61,0,26874.78289,5004547.594,14191.70533,7347077.191,5682.299445,2760.285162,1256.302932,5637.399118,4579.735437,15908505.41,8422.562685,23466656.34,5857.252674,22718.82314,793.0528026,15509.80804,5532.195117,16687.43933,31010992.31,17677986.62,19991.5761,18200718.41,7945.983976,2686.224812,0,23617018.68,9502.018306,8063.171912,6964.689412,0,2231463.837,5751.027006,1669.300124,27363939.41,701835.0273,3068446.319,2966535.238,32364665.43,3757364.796,0,0
6898,454.0960721,2.685588463,2449.753014,0,13109642.65,0,0,0,41475199.15,36297078.34,808.6625155,41305006.24,61643932.95,64753168.98,3491.911068,1397.177117,11260136.02,0,6270.791209,13756273.91,1182.395516,9200462.258,1278.598094,0,0,0,0,43869115.58,0,59090510.89,948.9776013,0,0,0,0,1659.366667,90910200.59,15858162.78,0,46041184.42,0,1522.148087,0,56633023.27,1927.160719,0,8333.797698,0,5317168.01,0,0,62704984.41,1916131.636,7154613.769,7916523.206,85603513.97,9396502.34,1390.361106,0
6899,315.1920667,4.287372728,0,0,12038540.05,0,0,0,26508236.58,25583264.2,0,29627839.14,36668837.06,36050708.14,0,0,6485919.928,0,3078.265007,7672956.497,0,7332952.58,0,0,0,0,0,18694033.35,0,27170836.75,0,0,0,0,0,0,40493451.74,12999123.74,0,23761847.96,0,0,0,29888135.73,0,0,3402.918158,0,3111239.482,0,0,35053753.88,905732.6961,3960827.095,4082124.046,44616496.34,5098045.747,0,0
6900,598.1482387,3.80808108,0,0,14949293.86,1609.048041,0,1688.529881,28856974.74,22470707.28,0,34386758.52,45282444.71,50543874.2,0,0,7622088.902,0,2548.602588,7609665.29,0,7364148.77,0,0,0,0,0,27095182.76,0,41442471.72,0,2133.054484,0,2935.234286,0,0,60869547,14601971.04,1528.860763,19358805.14,0,0,0,25049177.79,1857.7111,0,2391.684379,0,2760016.717,0,0,34296505.61,1039445.176,4007537.849,5108038.253,44514289.9,5575123.495,2224.658602,0
6901,244.1550157,4.252367458,0,7460.147597,12611969.25,11043.77902,10750.08242,14274.26367,46293614.88,41701615.07,0,52984800.66,83547782.58,73788754.42,2627.700763,4206.399576,12958481.25,79504.46048,22436.81023,13559967.54,10425.98832,8305266.719,3801.749273,1322.322501,1515.637548,2585.328832,2101.961817,44722988.61,3213.467989,71616665.51,5071.466062,14912.83465,821.0244499,1737.906248,2458.394376,5558.208138,124760255.8,19911338.26,5517.399868,46832509.25,8945.865507,4684.306008,0,73874249.55,21337.35509,13075.72583,64185.4446,23312.0007,5202034.999,28426.4887,5642.449436,94939726.43,2894189.836,8325875.98,9590044.113,127124514.9,13585821.62,7470.633246,22560.27447
6903,160.841906,5.724045142,21835329.09,25035228.77,19056576.39,21867648.68,9826503.178,16064759.5,41314255.59,50447046.61,7472005.751,34732911.75,35257757,22853635.77,15656627.88,22890490.42,16231616.84,23202788.86,13567120.63,15655333,19869361.98,21029366.76,20672361.37,13620090.15,11002731.22,46929745.49,62738922.22,21582047.18,80456794.29,29251388.13,24307712.25,7325533.817,44292669.29,42288457.45,30432962.2,12065244.02,35780118.44,31464924.07,12391396.39,30972088.11,15795281.7,111997917.2,3181.148956,36199355.14,20054044.07,31900734.66,96753768.65,41996767.34,69161006.08,36141053.87,86022222.71,46995012.19,23220271.26,34368866.27,36156648.63,126743536.5,45495312.27,17704384.43,27073731.91
6904,162.8388681,5.720436008,19681262.16,22394211.62,17885939.6,19525882,4973510.853,14190828.63,25122717.13,24861799.29,6684542.727,32576488.57,33219866.69,26057349.38,14225704.54,18156242.48,12074064.83,21084008.65,10749052.3,14110450.09,21851891.33,18909907.17,22607099.47,16417178.46,14865350.47,67438133.74,84816898.6,21906831.86,19090315.72,28914030.4,32461581.56,13746718.7,39836892.1,11642200.19,35390394.08,16644236.85,31219260.62,29783191.08,13669939.92,95753068.96,77045650.6,21233056.21,4222.73671,33534506.66,17717195.34,40427453.07,61937301.42,11626796.49,61319037.68,32287464.16,134790612.5,43661088.92,23752658.42,70102460.94,24024889.68,58417337.53,40766964.46,18948817.5,26059252.91
6905,566.1934249,5.045570576,0,0,8373187.19,0,0,0,26428586.52,20524715.84,0,33007552.64,43670640.38,47615864.09,0,0,3978924.172,0,0,3663207.905,0,3205931.152,0,0,0,0,0,13216547.93,0,21461892.51,0,0,0,0,0,0,31398364.34,7809517.806,0,10655628.17,0,0,0,15920943.09,0,0,0,0,1527497.467,0,0,22092734.72,1180854.269,2480491.128,3403058.442,30573891.22,4642557.637,0,0
6906,174.0557599,3.124182706,10969.37003,15441.65932,8448646.727,5769.070186,10021.14294,10706.03565,19338714.47,16707842.95,22543.50997,21794429.01,33369861.34,27297722.2,39640.71611,52977.06147,3853159.929,8583.006431,72397.79886,3911243.106,58337.19741,4898585.738,92250.86749,0,1880.748541,687.1038354,0,14374327.78,576.613685,20820906.69,979.9403197,6643.474439,19007.12249,56481.68716,25408.23299,48332.46318,37855310.43,11771924.42,53020.75911,16408463.53,603.2611274,0,0,21293610.26,8647.259514,10496.13797,9473.802291,7425.273532,1396349.678,9349.684962,8608.597991,25359902.91,775434.0227,1895377.926,2193403.338,31284993.85,2748385.562,4546.984568,5113.879805
6907,345.0851824,2.541283267,1419.080306,0,8146546.99,0,0,1395.180702,27399551.05,25566659.97,0,23911414.33,36631532.42,40338763.72,4128.798547,1517.145096,4157535.479,1493.070192,4226.881976,5276409.939,3094.191828,4782734.14,5110.29702,0,0,785.7133576,0,17640818.99,0,26734625.12,765.7021146,1759.31123,0,0,0,0,43214673.76,6627035.889,0,22701175.48,0,0,428.5667898,27384529.49,3793.247392,6672.652487,997.3343246,2361.215834,2755776.949,2538.659861,3135.746695,28574760.65,881645.1015,3386799.356,3382740.841,38701732.19,4503707.152,0,1778.569371
6908,514.2043348,4.753779795,0,0,7403095.125,0,0,0,25517109.2,17822090.94,0,32951326.07,51952982.94,46937299.45,0,0,5675754.609,0,0,5102965.639,0,4107269.569,0,0,0,0,0,21057150.31,0,32921215.92,0,0,0,0,0,0,50749480.84,8544648.837,0,13685383.07,0,0,0,22193807.58,0,0,1736.072528,0,1760104.514,0,0,30905047.09,1363387.384,2977809.5,4169282.773,44853058.59,5870349.928,0,0
