Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6,Ps_6
L-PHENYLALANINE,4493834.687,3391205.318,2720281.294,2436829.181,593802.0798,1025855.526,2652181.554,4013084.32,345816.1489,1058402.089,1638017.581,6295853.904,1816395.181,1041516.238,2296529.466,2738028.797,3218757.182,1354763.689,2657481.286,5123766.053,915018.2321,847576.6714,3066831.03,485820.0234,2279044.212,10970819.08,2329770.848,3802289.591,1061215.435,15034527.14,6299253.865,10472964.97,884826.1139,1604617.017,873706.8711,10155956.49,1258116.918,1996113.39,2919344.622,7402468.487,2199864.171,13118414.71,1038724.71,5872359.987,1765360.821,4450100.809,4962985.326,4745068.622,4174901.703,7105112.768,2991214.096,8517443.966,6511256.687,9901992.496,4519938.36,20249812.47,7375491.246,11583959.81,6932750.361,9796209.061,8702215.125,15363818.33,5602044.485,11719225.59,14748267.23,21663496.66,9605672.001,9399846.641,17189389.91,15876812.22,16800373.41
L-Asp-L-Lys,9578.062587,72884.37622,27221.48092,34428.54966,12712.45203,186009.4809,79983.75581,225532.6664,9266.002198,29568.47879,98499.35545,273175.3562,98023.96093,476416.8086,100273.1842,130722.2008,148782.3323,194039.0427,366166.9745,381535.1724,41068.66293,567895.5671,332031.0663,1308.439432,2986.312842,29734.88062,2266.4417,11207.02224,19681.12989,7821.57576,61875.57297,193164.5577,39813.70385,163957.7299,63781.34398,7222.318829,17857.66215,64751.91108,2512.532698,3838.265548,5491.226071,10441.19944,42613.391,2579.054881,87895.14444,9209.158632,4043.414898,4189.695131,20984.67583,16892.57765,2380.160707,19144.77645,23459.61193,38547.53739,43502.98639,79838.91906,29434.65561,122308.8069,29239.28159,44529.72905,19225.90195,264784.9322,27536.27557,82227.58923,14827.22431,84579.93539,101426.7887,77373.71709,30932.36905,118135.2122,32829.20189
methionine,5265.614956,7547.375123,6831.445271,32804.64315,56562.22985,0,88110.57876,102927.8737,59946.22831,0,119823.0162,78108.46927,8711.176109,28744.52603,301336.0123,81288.01444,19625.9571,48814.83969,378814.0522,86475.396,38456.27032,137507.7258,315208.3947,4834.545038,12982.7371,12428.82558,9824.61848,35949.66438,97476.64383,98049.9759,146567.8893,180452.9901,117862.8438,151903.2048,486087.3633,393270.1585,217951.1382,215280.3954,96502.5178,573006.4872,360727.5009,389657.5951,839081.3733,518028.7163,744153.1385,441928.2505,466743.1235,3044.144932,50064.85664,47935.737,10615.43637,85853.94189,140029.8388,126681.029,155739.6958,179729.4285,214947.527,236665.9457,206678.4698,88451.98016,252762.6366,532298.0892,200694.8515,228685.8091,1756671.388,333953.5987,508926.2781,93480.67499,436400.5524,477102.7727,489489.5107
L-Proline ,193761.5862,333464.695,118278.3705,1265616.003,504324.7316,915653.4621,1115813.725,634806.7881,192302.8764,499441.9909,2061772.32,891722.121,92109.35676,1105399.427,1005024.819,356156.0794,399362.8291,1216292.291,253742.0009,1615530.755,311012.085,751723.001,624857.4155,191143.8182,373165.7471,653480.2611,303286.8384,639566.0548,801744.7549,793429.6783,1201483.099,1259898.501,1019537.655,900117.1998,377447.732,1461683.031,1462912.774,1074451.155,584174.6085,534205.8499,2071674.549,855804.6109,127628.7554,489103.9486,672895.6314,1418545.536,1136291.593,126155.9589,36581.11807,123409.6684,222114.0598,774769.7634,561439.8574,748857.5536,109279.4112,1852936.068,795982.1765,948844.2771,2130518.479,1807135.639,1007404.462,1280526.348,2844443.455,2511235.327,1651984.418,2099739.382,2327098.589,116089.5252,2558082.141,2228864.737,3911255.332
RIBOFLAVIN,25231.74045,4740.855091,2881.971585,15241.12115,9190.604856,4622.579545,4601.832257,43434.37386,11442.57704,3725.596295,4912.639294,40983.81965,20001.71608,7310.90844,18990.20342,45679.76405,6362.798548,12360.81295,16137.74668,199309.7124,4359.130314,13020.75761,148576.3284,2353.85473,4049.254636,8565.674384,8328.474823,2429.724915,10284.70667,17353.56709,35124.81059,8932.714601,9377.653462,28100.85134,125659.4726,14990.13273,54957.35136,33319.93934,14459.25548,16637.50805,193618.9227,698146.3804,444868.5364,50119.32285,203632.336,64194.91076,2388537.127,1973.245249,4743.468008,4099.418948,2607.095901,6529.024782,47676.37913,20079.68834,94764.21888,4836.595071,182222.373,7601.942206,3150892.454,8356.426272,12061.1748,20003.86122,215073.1608,33273.23651,41649.05165,15091.98529,229466.0892,67919.33758,38740.94367,214154.2108,291357.481
L-ALLOTHREONINE,296770.3111,940962.4533,734032.7898,531529.9249,173668.5729,5625424.514,2850459.844,281800.3544,2015776.404,608122.1635,4300487.762,236072.383,773404.4192,601301.7393,3947876.443,1140709.643,592136.5841,4546349.644,6105556.277,541543.4547,1723168.86,666426.1488,3175400.686,633736.5575,365797.556,1205052.26,89377.61031,15600236.15,7974629.874,6062430.732,10178860.87,27817091.12,9148411.584,21250540.8,13380176.32,41165125.1,22293398.58,22628969.96,12022510.81,41386915.73,19255425,17935372.96,12944483.34,22384748.44,31324766.63,19897161.56,40046109.14,156969.7026,1707419.574,1500704.436,121730.1791,4847498.716,6290111.579,5176185.348,7522422.058,4736615.581,15270644.43,4310437.067,7527684.953,4680375.531,5786317.08,3329357.16,2954454.293,5068589.088,7593319.585,7854532.491,1944087.213,2761878.448,8286531.748,3857810.793,4495558.554
ADENOSINE,100149.5103,1361509.02,230070.7254,145548.3465,539128.817,777820.1662,420708.6098,1037850.061,434118.6341,2055698.023,598859.8578,1866111.092,610178.6909,2471941.176,1502608.18,1411317.342,1498493.08,3906676.281,632912.6518,2013251.486,1004203.761,1830631.842,3042173.297,895006.0111,4955252.195,3921157.352,2372212.272,7090870.134,29069294.11,28083229.69,16701308.56,16522203.41,46030495.87,54457721.07,44098209.3,12531802.51,45165.05482,54195493.97,8555270.163,8871755.363,48247764.84,168164995.5,35262207.39,6466926.021,71684110.36,45598806.43,18658050.01,741626.569,3070112.686,1938161.627,1429562.038,1005461.353,97200.05976,1145346.001,5316710.353,2877723.514,133285.5333,2609334.9,8904718.877,3465228.475,155998.8148,1743107.437,4208938.847,4491130.322,3519002.343,3685276.363,4422964.196,6614904.341,2243311.319,4247649.763,3637445.568
5-METHYLCYTOSINE HYDROCLORIDE,32076.59757,73897.01258,41445.30665,56404.31758,42384.76614,167148.5,78730.17558,86451.97794,17887.09054,137758.3363,268503.6647,320626.4241,34728.35129,113063.0458,422217.1935,44631.60737,45467.43389,566986.1086,463232.1225,512383.1849,38712.11114,285457.0236,600012.0633,16532.77573,66980.70841,45577.56134,248039.2378,74058.47473,1524306.646,1326773.094,1007810.698,1348241.109,1388589.826,1561313.775,3188757.177,1630091.239,2002612.765,1477491.564,614619.0851,1360627.067,2129227.001,1684877.861,2590541.335,1196036.91,3575582.805,1753087.483,2313419.764,1078221.797,4560069.237,3104943.048,930646.1593,2489543.959,4680782.072,5613696.111,7642479.484,4748496.44,12867195.27,10016321.4,3684487.652,4871190.403,7948973.126,12341123.12,2708188.007,6814556.259,12651600.32,12959048.11,4134709.976,4688721.222,15023048.04,17325609.86,4502772.651
Ectoine,6229588.076,29737590.52,19015251.74,26843420.77,18317153.92,77091754.34,46729013.22,9609945.23,21921489.12,53596774.42,45484455.24,15464288.64,10547069.38,46586291.6,59083511.08,5513864.051,32207683.23,81807446.81,76588287.05,15487529.63,14855510.17,40893947.86,52506795.14,155950.4371,2194437.449,1245465.165,267269.7118,631580.9824,1394254.124,1049960.959,891832.6234,550668.0063,1427430.362,1650996.509,1982034.02,1236112.537,2170517.981,1701269.765,619132.8226,1206833.42,2165245.564,1787290.888,2005883.633,1147387.864,6031001.456,2489583.5,1933915.352,229978.1326,2523891.722,1542735.777,339013.6449,338948.1998,1356631.461,1267462.95,1611876.993,122429.0798,2755518.53,2498446.944,1615650.541,719388.9899,688967.0665,1141385.842,512188.5238,903679.2108,1032275.891,2204286.132,617391.1787,1464192.356,2569855.222,2080540.951,626287.0925
L-HISTIDINOL,2991715.008,814643.0562,896959.5815,813886.1752,3391257.494,985567.7689,1132414.8,3262041.413,3823865.792,959459.9653,1119018.859,2581453.228,756921.4213,4369244.204,1482776.905,862026.5529,5786369.993,25951824.57,7387447.086,1612393.301,2807418.746,1016087.537,3662706.707,4506054.033,57014564.26,2740537.11,3636957.971,16043777.96,224712.1287,18731673.88,184703907.6,78210909.18,359929241,17142036.28,50450606.02,60671941.5,356558168.1,16198247.66,92034876.77,46537884.05,454325378.3,39714492.82,43387894.62,61804970.28,771788391.7,25442199.61,53819309.65,303002.4012,6523282.838,382698.3222,867776.4624,36800764.59,48620322.14,1771617.001,4992463.763,58836832.33,74421195.39,8296293.873,3236461.971,71456646.9,108341134.4,9721398.67,20996995.24,52972093.15,155766265.7,13465094.39,66800655.02,48954849.4,207308158.6,13358056.38,24975432.89
