Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6,Ps_6
OROTATE,2558862.664,2918822.949,1947401.45,13611507.19,3800578.253,3793474.313,10641775.09,13126227.04,4662947.945,2380835.102,9569326.692,1258204.756,607065.0232,238851.404,26653206.01,9390760.355,466067.5971,1961694.862,34069432.55,24756994.93,5798419.424,212968.724,48619107.19,713326.2063,2438239.149,5020877.027,738376.9536,226481.5373,2734855.52,8920729.558,1753677.006,4527689.911,2919316.07,183501.4505,13584096.74,8684285.018,11526003.55,11640809.03,450024.589,5312930.697,9424521.229,13253176.35,444614.389,3283899.196,4642628.765,11711013.33,16643998.11,421396.5871,3142917.612,5391875.407,5953988.214,5937047.361,8778982.05,505050.1311,34088980.79,5148961.579,2283495.923,11731760.28,33223950.8,7822097.952,437198.4542,20724488.1,21940316.9,8738190.298,12791380.32,19696502.69,12861851.96,5518814.743,7289438.997,38578044.49,24704754.04
XANTHOSINE,22226.21426,173510.0179,0,35403.12943,176015.0759,224945.2778,273656.8331,1225790.354,74610.63441,339891.5329,148571.6387,395986.1855,181861.198,390398.5445,912099.6028,23166.29684,83466.8446,1495277.694,398718.0605,1778405.477,211116.5464,141974.465,88639.37874,9848.94924,1028025.355,146030.0874,29255.12024,277369.2535,1344600.861,599749.9013,203518.7161,414823.6141,1696913.13,2280736.468,925398.5398,1183919.954,2937739.991,2185217.886,454178.6186,2965324.783,3115618.247,6465913.19,3803496.256,1898211.505,4572116.829,3317016.904,1542270.568,11261.46326,63335.49521,61523.48852,17211.19502,316510.4118,70548.35258,130290.4125,64017.7935,355741.0015,100604.8867,74113.40062,74707.00981,176860.5739,265661.7703,428781.6305,17640.33275,91530.89515,266946.2028,357830.269,92027.73535,38931.5928,445455.1997,39044.56849,91398.31408
PANTOLACTONE,124816.4513,784266.096,448327.215,5140527.677,428671.9479,13630789.26,6270048.875,4616105.357,304855.0998,6175732.894,5733169.072,13413918.95,893065.3179,15029342.27,42470711.88,160681.1538,12876607.63,9214691.815,56848641.27,28207144.8,1968647.475,23591491.03,67876741.73,277388.3174,1978848.5,1019004.612,1280303.143,87208.82825,442242.0132,1946514.979,853500.0163,857761.3953,646153.7583,1386857.792,12343516.1,1070283.077,1567628.345,2284267.183,577632.8304,589414.4001,1503921.379,1918230.195,16681937.57,1478878.629,1846688.501,1156800.377,2358071.047,353471.6863,690631.4683,226321.0629,303293.4104,416474.339,968450.057,382779.0179,2409263.071,621037.5587,1040248.657,1514105.516,152069.423,159552.562,2192649.604,2663643.461,261359.6679,903418.3964,1950443.421,427173.4373,314558.6242,856512.1769,3638857.292,6674897.346,377286.451
PHENYLPYRUVATE,67671.93768,6753.985604,250381.4307,136598.0579,212433.2209,155559.2297,179552.7675,49432.40797,218259.2619,97525.07905,133648.2089,108920.513,129294.1088,298785.7705,257826.6154,177317.0335,379278.5601,675585.6696,391280.7386,995692.1027,124753.4633,928535.4926,249090.3855,140089.0883,749500.6647,505610.4642,338903.7764,768930.5571,1187005.838,4150223.994,909950.1626,1402823.085,1109469.502,1937512.615,1499051.721,1326842.305,1063226.413,887715.4681,332187.9114,1247945.362,666462.3427,1757736.051,1118422.122,1029067.365,635734.611,821797.816,531552.111,6693.489774,11292.30906,150491.1421,57324.15218,217892.4708,4965.472159,53290.43196,21726.30671,210511.5427,30821.76276,94547.3078,153891.8348,230564.6574,13929.64016,50471.40533,382497.0258,309421.7403,438655.671,201114.1281,2161768.664,238448.7027,554581.88,40665.90437,682382.3444
DEOXYURIDINE,136800.0127,253339.2569,226695.2857,316727.6512,193455.2969,344685.5306,358181.2252,321444.622,239268.9588,346795.7741,361194.5773,351780.278,157266.1446,407722.9153,630112.9675,155069.3511,476577.8876,719449.6544,942369.3996,540201.1519,283133.1579,541720.9605,941043.7318,129001.2492,823317.7305,461851.3873,406278.5828,238960.8967,403593.4948,337177.2343,336867.9974,522985.3285,417924.2506,285891.1377,806959.8607,752043.5063,516410.3476,266179.5473,240281.2203,1370516.689,712735.4225,1033106.428,1399990.184,2013734.111,1249143.071,559082.5656,2343609.944,3170624.101,6214698.874,4018991.409,2496133.727,9444891.392,11466229,10049562.31,20862343.86,21539119.57,26247219.34,18970792.91,12839847.85,15157064.02,24658163.84,20655398.26,12845546.33,22812752.81,25043844.58,24639957.53,11405740.82,16903667.45,27515588.29,41378844.17,20109897.99
NACETYLPHENYLALANINE,20178.63583,304387.096,102320.4942,68604.70384,65136.90185,573286.5463,42316.38761,55882.12012,60371.60254,405753.2555,249226.4035,226253.1326,22587.57158,562358.7824,88453.01912,19466.54683,60366.12332,127728.3859,353009.541,169197.1373,29300.30892,776406.8834,130160.5281,161111.8909,1050261.196,709305.8117,676027.8522,653661.874,3251175.43,4747383.97,3367645.41,2107726.716,6585261.735,6619040.201,20097311.51,2771079.087,9991890.185,7790926.115,2842505.238,2871230.474,18376898.36,19005669.54,28097464.98,2774985.286,24309035.32,21308930.12,11820783.06,185514.6814,55662.7404,307116.1967,223759.2364,258526.7133,1090780.654,763428.0966,3700313.661,734387.5792,2232942.685,2829675.493,1483317.504,501742.9513,3673657.148,1882353.335,1577894.668,695493.2943,1718492.087,1516827.458,2851479.614,2574259.35,1951917.801,3837383.149,2125160.777
ADENINE,10636073.85,42015567.94,21881047.64,13004168.55,20521897.55,97462116.03,47301494.55,40851042.97,24287039.7,104376125.9,59044191.61,53194497.38,15450841.92,136140298,81890604.51,20273158.71,62179685.94,213754899.1,98277810.07,68335655.29,25628588.34,112457850.6,99369645.61,272591.9453,1212281.909,798491.594,874390.5056,2031545.97,8294866.084,7128683.823,5377430.371,10087518.08,17929713.35,11587814.72,19913837.98,21322008.77,32324691.12,24637086.51,12024549.1,18932648.11,49360133.18,214469189.3,43495043.36,17691019.71,84289283.03,54749386.69,126645667.1,3405118.449,20613637.73,10515094.75,6659105.328,6901351.903,17110932.03,13324111.67,12884963.48,13903262.29,39872016.95,23851717.7,22362634.32,10585978.96,34866426.6,23036248.79,18019099.7,15663575.19,56659710.71,22313905.26,14941818.76,11786721.47,31114119.3,22657399.63,20539720.54
4-AMINOBENZOATE/ANTHRANILATE,5404417.287,14216517.53,10776198.65,22656987.65,5303729.523,18766510.39,20661161.18,11113264.58,7782764.552,20755502.52,18976808.11,14720501.94,3853338.343,24212907.14,18354520.27,5928761.466,21209921.5,23012799.2,22374174.69,19026739.47,13097835.75,19591217.85,25323004.77,619374.2,810056.4997,810723.8863,985213.8178,1224623.502,6414221.34,2952146.482,3872772.972,3867379.151,7047572.284,9226696.333,12233340.98,7877333.109,9770862.191,8605355.432,3999788.713,6401464.074,14981073.02,15656917.22,14956557.49,5758774.54,4518847.286,17654970.15,25531674.38,414349.0648,216192.9082,269337.4913,877961.7976,568697.4287,693918.0406,698461.3155,1412770.411,585422.3713,1242695.528,785273.4253,778842.1014,1517960.492,463425.7067,979687.4908,1688803.223,2173055.957,2171607.612,3283798.897,1715107.06,866727.4628,3691050.898,962228.3483,2067721.264
DETHIOBIOTIN,14406.99048,7322.653617,94379.70929,76713.43562,2525.921568,51468.80397,89245.66405,140971.1858,2118.590698,17645.02922,123640.3113,83175.61495,4200.672224,10244.51651,8403.749843,3415.450388,4088.300877,107675.3,20296.40007,9807.30891,8849.688303,79255.69569,122889.0874,276566.4323,932708.498,874740.9373,782049.2762,491695.589,2619431.611,4816728.002,3968066.842,1106939.054,3423935.552,6071157.444,11343803.99,1676359.879,5469807.406,4672771.212,2665016.536,1849230.169,7745918.288,8577816.751,12539373.93,1832688.742,6560408.134,9879778.905,6428509.502,3197807.486,10313907.65,11131602.16,10004927.01,13700910.43,22258142.14,20359615.42,76396044.45,31498466.42,25996075.59,40792927.89,25176922.49,19445694.99,35328259.15,36051058.45,27757276.72,24444905.28,33027776.64,43952082.57,31451515.6,21830711.61,31723505.6,52196097.89,31211946.08
QUINATE,94516.10662,1097250.208,625845.2228,1377865.585,1482956.377,3362937.695,4731163.79,1250717.984,1442232.37,3643592.71,5103126.438,384775.7814,1309740.554,4690340.981,4779448.147,2280513.933,2514512.85,2685953.328,7497831.268,3110113.84,2518675.052,4760433.194,4179092.967,353989.3887,833577.9517,650765.4245,426505.9559,1735626.882,4032579.624,3976430.758,2903438.731,1787917.263,5562152.271,3908795.234,5276388.527,2221676.66,6285372.276,3634391.631,3339524.78,2224600.611,6046487.721,3627005.522,5107456.321,2326056.762,7886227.058,5607067.131,5817390.249,652200.4055,3391162.907,1268651.257,328620.6224,11093500.83,16591177.02,10271903.63,18575777.08,24836862.59,26664648.97,20387671.91,12499094.82,12173506.03,42431768.09,21300682.22,9737584.151,17806753.18,10437637.79,29729506.55,8818335.511,11104873.9,51100690.82,17933329.85,14582127.73
Glycerol2PHOSPHATE/SN-GLYCEROL 3-PHOSPHATE,67769.84666,1583850.328,1259058.233,441662.3088,47738.3498,1560871.521,1324887.405,138911.6045,101740.9437,1677350.58,1558656.682,2525961.604,26073.19803,1479519.901,2274437.568,114035.2124,310724.7788,1718110.064,1854237.945,122563.3121,114978.4864,1286131.327,426957.0954,22148.33588,1603561.383,243102.0959,285403.7577,60169.98435,1351255.533,2035943.362,48943.91953,166237.717,1424254.145,1496956.919,227242.0731,210887.2984,165757.0238,1619722.633,41648.71078,40883.58392,216674.0904,1349405.658,752684.7256,67623.08213,1667147.505,997362.4859,1821508.255,76151.89249,1803031.245,1721645.326,1699382.185,4821354.021,2184165.937,1814349.519,3116082.309,6741744.63,2076733.704,4049690.233,3094680.051,6054485.72,10318816.69,839515.4546,422674.464,15449049.77,9615189.717,3673491.422,1041093.087,8149187.47,13553229.45,7454586.071,2106076.129
Isonicotinic acid/Nicotinic acid (Niacin),1153110.764,2784639.928,850540.2116,1499191.459,2924889.915,9290663.444,4410468.432,6838588.056,4025340.286,7819897.489,5160515.122,10067710.94,2377526.769,11497440.74,15465122.25,4585963.837,12558969.17,18668910.34,12093114.18,18736363.16,4362550.685,11095300.76,13267228.76,184306.1561,1141170.97,838222.2491,1628970.518,1581844.883,2984548.823,2829691.919,2589074.627,3302499.89,2897063.543,2804856.531,3980344.802,5905675.697,2876142.031,2317577.069,2031464.653,3737558.147,4309010.2,16510461.38,5002774.095,3841463.184,12221528.16,3394473.025,13479382.68,581329.8982,1644188.314,1251271.252,1416164.811,13570089.57,10876508.2,13373484.79,26534688.82,34211406.2,46729333.13,34356996.65,39100211.05,30836709.44,36894343.42,46041549.89,26848647.69,54350189.37,47803747.9,30021287.57,28088935.98,37892020.27,66801587.74,51039575.57,55300417.48
URIDINE,241449.5949,730397.2966,375413.2294,559910.2972,352937.3267,935789.0873,764500.1394,625409.1853,475817.8449,803754.1137,758572.7468,662577.0174,264258.453,799634.8887,1220822.857,347742.9079,639846.7938,1513422.462,1772190.289,1155335.677,394193.3171,995489.5461,1373255.068,41656.86512,576969.2037,263490.5438,187846.8924,289346.9557,974588.1323,1046841.843,940924.2683,2152909.438,2148074.454,1560061.055,10439805.55,8421861.11,8013771.824,3268989.795,3566046.101,17675684.32,16638006.83,39547141.25,45669902.09,20820210.65,27527855.21,8358263.873,44474627.41,381208.9644,1835941.783,1151234.211,553101.7252,690022.3766,536394.4621,624355.2966,2030364.096,879524.9699,840430.5665,686803.9968,587644.5424,485232.0958,655255.7475,546177.3891,323342.1208,535062.3392,61018.16517,1312829.406,239166.402,327745.7908,410629.9816,649902.3812,122803.0803
N6-(DELTA2-ISOPENTENYL)-ADENINE,115125.6643,104813.1463,93477.2535,107887.3251,54299.67233,119841.3787,108528.7982,172266.5536,44824.99621,149623.6449,129207.6302,162563.9873,46673.11979,226657.9303,246806.7998,83488.30409,37383.08826,257492.3233,207875.6299,146596.6899,33841.98203,313666.8244,148902.8976,48532.52888,248119.6039,76357.82432,115681.5033,113012.505,822181.5585,770250.2132,400898.1164,250536.6226,1099976.194,856073.0828,1275729.559,395177.7193,1236002.216,1129128.49,325577.8502,298492.3297,1622872.403,1582372.374,1552279.657,307021.8852,1830594.732,1851105.384,1477097.157,33082.3556,271254.987,86562.99957,27139.32643,265718.2319,1121570.974,908048.6667,1081547.868,505316.3271,1947115.935,1049806.243,910480.3134,450775.2649,2410676.8,1624276.133,557220.9405,631744.5242,1275095.961,1471184.714,614778.3861,698794.3345,1047965.152,2024543.027,1019829.268
INOSINE,1836300.861,9026661.675,2526857.953,12682525.24,164116.5796,3802299.996,2053317.147,1611022.888,225178.1552,593694.188,615060.6672,1059565.812,115245.8183,484465.6885,1472367.142,456692.3743,108963.5872,1396647.18,3203733.64,671618.8831,131327.8045,198402.4361,995966.8405,75353.03585,437489.5511,320096.121,179929.243,278352.2754,729453.5408,756404.4583,806083.9739,1210719.114,1556285.242,1351986.238,3720742.453,2199334.224,3349379.07,2598173.024,2195606.301,2000300.99,4922227.933,13297897.17,4916796.896,1269624.115,6452496.787,2547311.235,1498041.737,240394.5011,227797.1875,168588.7037,97369.35291,388967.5034,317546.8196,320006.3884,330267.8594,300688.0689,620548.0965,295645.7931,178035.4957,92875.27412,482232.5685,318963.3996,88149.75601,98919.73341,64233.77467,178042.8162,68911.15327,89808.05873,215023.4204,148736.6892,4495685.525
O-SUCCINYL-L-HOMOSERINE,72625.215,6119.695631,33210.55867,31112.55552,39821.4851,71582.20276,28458.16445,41751.19754,30926.55171,7037.946519,138643.4961,7446.071031,41053.80698,22016.55802,132511.2006,49364.95056,13592.77404,152229.0061,411626.7666,48938.29679,13868.42354,82911.94857,140357.9041,127096.1621,280843.115,162067.1163,57941.17703,4983563.657,4564807.358,3648916.669,3282528.101,8576133.288,4570386.164,4909919.4,9768038.885,7127404.098,8851912.357,2986824.185,3164252.217,12752016.29,9123095.218,7945935.445,8589419.541,12521922.57,14039634.39,15364338.45,7237692.759,66963.2196,16028.37575,64811.81602,43263.84992,34461.69536,17954.45094,77827.95667,85792.34449,84970.42727,22996.68837,31065.33648,24969.54465,6926.644995,44342.44593,16908.86124,33840.49022,26264.89989,197684.7478,112277.6875,35911.46916,47998.22751,574752.9541,101386.6399,135803.5841
NAcetyltyrosine,2228.837928,5631.570336,2650.967531,0,4300.418947,4575.778376,5977.839317,10012.79569,1568.340915,3964.058706,2850.270312,7403.353225,1774.5167,2025.193677,3647.191358,2740.377179,3057.958994,4394.601702,6401.21032,4208.730224,8310.258863,5740.554047,6872.095439,445454.6195,353028.97,338916.3677,1162178.83,648858.1003,1322857.043,1832617.597,3913787.543,920178.6454,2291919.487,2816580.222,3609990.555,1700817.625,2670181.611,2631267.641,4318932.153,1096025.302,4261878.559,3800868.553,5459197.359,1516901.517,7696377.386,4546661.181,11485253.53,32502.82725,5338.386424,4960.642136,26012.28848,8648.208441,46136.8683,59514.8011,225136.5652,38513.08893,146144.5378,224021.4021,328201.0699,55117.41215,205295.0838,224986.5168,311219.556,112390.2483,112730.1189,116356.6737,589539.4207,319255.1479,188305.9704,325927.5128,426059.582
