Sample,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Bt_45hr-pseudoSample,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-pseudoSample,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6
PYROCATECHUIC ACID ,29843.89338,9870.344292,14887.09975,63668.66921,5261.209336,54179.92718,27736.29389,2130.259184,13507.06648,18039.24387,8108.842022,17810.04606,136047.3295,22088.15128,23220.96044,50512.35947,15772.14215,33142.25081,5286756.611,2537922.183,3551274.277,71515086.28,35454896.91,107378501.7,29761847.21,125723210.3,15812856.27,124522175,91579869.46,144802936.9,39969004.93,179588553.7,161405899,30477263.88,225204921.9,234071829.3,26236660.6,250696792.7,9938.941305,18371.42493,14155.18312,32007.32348,4080.054982,13759.57089,17479.46256,1936.254646,11843.06562,26138.1995,16926.73504,11980.73482,4850.815722,5122.464534,5820.585518,7843.972863,5742.675233,3825.282571
3-hydroxy-C6-homoserine lactone ,12766.85133,4027.884144,6310.761273,87270.12666,34745.95268,76248.62566,113576.3584,29782.67283,147771.2252,156447.7273,122693.7934,186736.9021,226226.2974,128996.191,239734.2795,229972.6506,271686.1894,250829.42,2084918.809,1830121.506,1462466.656,10330768.93,5201517.199,10266615.88,14409834.07,14162915.49,1877529.487,14495870.8,20282764.72,12629085.36,3959415.863,15543408.63,12011184,2350158.068,15413770.22,21927884.4,2346772.315,13913737.67,0,1237.263826,618.631913,3829.226743,0,7509.547715,3931.170135,0,20478.89053,9037.186014,10077.78815,6651.132404,1049.727068,544.4600068,25961.19169,16476.0905,3963.855916,7228.72193
2-Isopropylmalic acid ,1878414.483,1395658.785,3698741.022,7071788.862,2295877.483,11922833.39,10479504.5,1525380.251,13069776.62,7481671.536,5430449.922,10645800.36,13628607.38,8762955.511,14983741.52,8862792.315,10130125.57,9496458.943,869057.2187,711991.2427,1553299.445,1150508.714,807974.3002,4283774.406,1320967.966,1639865.089,212799.2597,2410517.665,1129551.716,1557389.124,250331.4045,1235428.912,630755.1901,157630.4351,997665.4269,1250899.41,91490.62441,1135548.579,37732.80041,83279.6857,60506.24306,1279245.887,353896.578,3726517.497,2507419.621,665463.1839,4517468.497,2088205.74,1925754.158,4591027.481,708380.6744,353511.1009,7628415.913,4692162.06,1264384.23,4864488.978
NAcetyltyrosine,8164.898733,1358.094043,2653.690456,101518.7843,4190.116812,56706.55444,98104.70371,2158.064578,75445.67039,73908.01809,31124.73826,53108.60404,140780.7519,36783.63947,72988.42103,115846.6133,98436.54658,107141.5799,587201.7542,338071.8261,533103.0052,2754420.567,1267095.854,2867196.549,4252772.727,3972743.973,497726.6555,4029771.508,6871216.528,4671143.044,1302918.198,5409688.125,5088363.53,970642.945,6163214.957,9502050.111,872553.6065,6366019.475,6592.987187,12200.8119,9396.899544,190458.4714,17470.73178,123221.6776,243143.2954,65434.19867,233101.6396,358009.419,245899.0602,178728.4729,126901.7389,13381.5113,318662.3409,327483.3379,186394.7386,179328.5668
D-PANTOTHENIC ACID,106091.7174,61117.45204,170445.168,339280.2753,93128.97842,716902.8928,369036.7308,83504.65692,1122704.906,202790.4608,168723.9201,1517286.449,534708.854,244448.4012,1784352.314,293776.6438,312459.4272,303118.0355,207308.2951,108780.0107,365830.5198,1056917.629,394691.5085,1805451.339,2768823.459,1370936.465,146015.9807,958336.3749,3125576.129,710013.1957,172260.9331,975015.8829,1043959.586,180334.7328,1062726.345,926415.422,120190.8496,716960.802,1755308.768,2360510.84,2057909.804,5551639.307,2516251.008,9901677.143,6415194.759,4082912.894,14377438.98,11839444.05,13352505.41,11342824.77,8340583.319,2908673.83,21503321,22149643.75,9902438.581,13108866
4-HYDROXYBENZOATE ,206760.6109,75300.26093,262634.8831,397586.4416,92699.63841,497127.0128,413985.2076,83419.31386,544482.2046,468557.3502,286166.0476,705675.4847,563985.0038,329099.6136,1166185.138,497257.0471,531032.5487,514144.7979,79110.59854,27370.71166,122010.8394,79245.12352,9355.112957,359603.3096,171473.6746,88100.51765,4275.913159,200666.7961,207936.6331,79597.62462,16269.69228,153851.7216,74910.21693,2644.04974,184625.3344,112362.03,2215.931785,34605.75986,500313.0589,295537.5741,397925.3165,17614339.04,1759201.623,8943967.533,22354551.46,4665873.574,15568737.67,25252882.42,11454100.77,10004503.88,4554489.129,1276997.368,13824134.25,18773863.46,5319261.282,7733237.518
Gallic acid ,1023.425704,0,1019.604157,1279.529972,755.5968108,1479.245688,1234.370689,0,1375.750312,885.6570311,1040.105885,1365.774773,1468.73835,1150.255045,992.2374404,4107.472869,2738.170647,3422.821758,42101.85928,15511.76683,22406.52735,829576.776,279519.9107,822191.4259,136772.0539,1112378.908,146867.3155,1163610.999,324304.0355,1325250.291,408502.5458,1237658.239,1326428.129,403941.3603,1859367.442,2348831.202,199471.3282,2052679.562,733.6954708,824.0217794,778.8586251,1726.380669,0,0,1394.663774,0,938.3417462,1346.715904,1204.43277,929.4305883,0,0,0,1000.338527,0,0
Folic acid,886462.3665,521278.6601,851549.9988,2200089.612,627916.1584,1720777.118,2633452.998,522391.2221,2178486.564,2979783.783,1850809.909,2507098.362,4272300.69,2975859.317,3999991.676,4495224.509,4100564.495,4297894.502,0,0,0,0,0,0,819.1629893,0,0,0,0,0,1208.937622,0,0,0,0,0,0,0,0,0,0,0,0,229343.6979,0,0,303569.0972,0,0,322295.1007,0,0,449300.8458,0,0,89605.95799
Ile-Ile,517267.0588,67272.20059,121137.6327,2619367.507,346891.5303,157569.4678,2210613.077,547225.834,325747.6248,6693463.678,955362.4518,313407.4593,5927249.74,1481516.801,390671.8649,2499862.39,2251341.631,2375602.011,9485.239003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3952798,0,0,0,0,0,1300.91423,650.457115,0,0,2628.4456,834.8527325,0,3126.17509,0,2976.273471,5410.040332,17485.24943,0,20335.81213,0,978.3314495,0
Phe-Trp,492700.302,349710.6398,404431.1862,1016672.048,341939.3258,817744.4082,1019254.517,276456.069,914147.0396,912675.2293,736055.7894,849003.959,1053862.433,960063.7738,1000771.355,1021402.752,1225826.358,1123614.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185643.6339,0,0,202674.7618,0,0,196713.0428,0,0,228289.5637,0,0,50530.11237
