"","ID","Label","Database","InChI"
"245",9047,"Spectral Match to 2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine from NIST14","nist17","N/A"
"267",2284,"3-Indolepropionic acid ","mona","InChI=1S/C11H11NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6H2,(H,13,14)"
"270",4065,"Acetylcitrulline ","mona","InChI=1S/C8H15N3O4/c1-5(12)11-6(7(13)14)3-2-4-10-8(9)15/h6H,2-4H2,1H3,(H,11,12)(H,13,14)(H3,9,10,15)/t6-/m0/s1"
"274",5123,"2`-O-Methylguanosine ","mona","InChI=1S/C11H15N5O5/c1-20-7-6(18)4(2-17)21-10(7)16-3-13-5-8(16)14-11(12)15-9(5)19/h3-4,6-7,10,17-18H,2H2,1H3,(H3,12,14,15,19)/t4-,6-,7-,10-/m1/s1"
"275",5230,"2'-deoxyadenosine ","mona","InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)"
"277",6580,"5-METHYLCYTOSINE ","mona","InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)"
"278",5581,"L-Ornithine ","mona","InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1 "
"281",953,"nicotinamide ","mona","InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)"
"286",15914,"PE 32:1 ","mona","InChI=1S/C37H72NO8P/c1-3-5-7-9-11-13-15-16-17-18-19-20-22-23-25-27-29-36(39)43-33-35(34-45-47(41,42)44-32-31-38)46-37(40)30-28-26-24-21-14-12-10-8-6-4-2/h8,10,35H,3-7,9,11-34,38H2,1-2H3,(H,41,42)/b10-8- "
"288",319,"L-beta-Homophenylalanine","mono","InChI=1S/C10H13NO2/c11-9(7-10(12)13)6-8-4-2-1-3-5-8/h1-5,9H,6-7,11H2,(H,12,13)/t9-/m0/s1"
"3",9995,"Arg-Ala","nist17","InChI=1S/C9H19N5O3/c1-5(8(16)17)14-7(15)6(10)3-2-4-13-9(11)12/h5-6H,2-4,10H2,1H3,(H,14,15)(H,16,17)(H4,11,12,13)/t5-,6-/m0/s1"
"52",6686,"Tyr-Ile","nist17","InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)/t9-,12-,13-/m0/s1"
"66",9076,"Ile-Trp","nist17","InChI=1S/C17H23N3O3/c1-3-10(2)15(18)16(21)20-14(17(22)23)8-11-9-19-13-7-5-4-6-12(11)13/h4-7,9-10,14-15,19H,3,8,18H2,1-2H3,(H,20,21)(H,22,23)/t10-,14-,15+/m0/s1"
"73",1638,"N.epsilon.-Acetyl-L-lysine","nist17","InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m1/s1"
"82",9739,"D-Desthiobiotin","nist17","InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)/t7-,8+/m0/s1"
"93",8744,"Pro-Trp","nist17","InChI=1S/C16H19N3O3/c20-15(13-6-3-7-17-13)19-14(16(21)22)8-10-9-18-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17-18H,3,6-8H2,(H,19,20)(H,21,22)/t13-,14+/m1/s1"
"98",10101,"Spectral Match to Val-Val from NIST14","nist17","CC(C)C(C(=O)NC(C(C)C)C(=O)O)N"
"101",2101,"trans-Zeatin","nist17","InChI=1S/C10H13N5O/c1-7(4-16)2-3-11-9-8-10(13-5-12-8)15-6-14-9/h2,5-6,16H,3-4H2,1H3,(H2,11,12,13,14,15)/b7-2+"
"117",13270,"Leu-Phe","nist17","InChI=1S/C15H22N2O3/c1-10(2)8-12(16)14(18)17-13(15(19)20)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)/t12-,13-/m0/s1"
"122",11750,"Phe-Ile","nist17","InChI=1S/C15H22N2O3/c1-3-10(2)13(15(19)20)17-14(18)12(16)9-11-7-5-4-6-8-11/h4-8,10,12-13H,3,9,16H2,1-2H3,(H,17,18)(H,19,20)/t10-,12-,13-/m0/s1"
"131",129,"N-.alpha.-Acetyl-L-ornithine","nist17","InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1"
"143",12196,"2'-O-Methyladenosine","nist17","InChI=1S/C11H15N5O4/c1-19-8-7(18)5(2-17)20-11(8)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1"
"166",1637,"N-Acetyl-L-phenylalanine","nist17","InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)"
"167",11675,"O-Succinyl-L-homoserine","nist17","InChI=1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11/h5H,1-4,9H2,(H,10,11)(H,13,14)"
"172",3728,"Ile-Lys","nist17","InChI=1S/C12H25N3O3/c1-3-8(2)10(14)11(16)15-9(12(17)18)6-4-5-7-13/h8-10H,3-7,13-14H2,1-2H3,(H,15,16)(H,17,18)/t8-,9-,10-/m0/s1"
"183",8525,"Spectral Match to Phe-Trp from NIST14","nist17","InChI=1S/C20H21N3O3/c21-16(11-14-12-22-17-9-5-4-8-15(14)17)19(24)23-18(20(25)26)10-13-6-2-1-3-7-13/h1-9,12,16,18,22H,10-11,21H2,(H,23,24)(H,25,26)"
