Query,KO,Score
2727718455,K15371,2770
2727721352,K02230,2091
2727720632,K00265,1937
2727720461,K03046,1893
2727720460,K03043,1878
2727717744,K06894,1875
2727718051,K01952,1609
2727721304,K03578,1605
2727720009,K00548,1554
2727721239,K00525,1551
2727719194,K01955,1445
2727720592,K03583,1418
2727720691,K11891,1396
2727721328,K13821,1394
2727721004,K03723,1384
2727719933,K04090,1356
2727719382,K02337,1355
2727721421,K18138,1295
2727717687,K01681,1288
2727717867,K01873,1266
2727720921,K00164,1263
2727721666,K03701,1251
2727717478,K07788,1244
2727719293,K03529,1225
2727717477,K07789,1209
2727719742,K00163,1187
2727721099,K01687,1178
2727721846,K20455,1171
2727718859,K04561,1161
2727718946,K01870,1155
2727720362,K03070,1155
2727719758,K01869,1146
2727717688,K01682,1144
2727718639,K20087,1124
2727718383,K02400,1104
2727718791,K00281,1103
2727719505,K02335,1102
2727721720,K03695,1099
2727720994,K04072,1095
2727717670,K02469,1094
2727719523,K06200,1094
2727720678,K02298,1087
2727719044,K09181,1086
2727719077,K01007,1079
2727721390,K01872,1077
2727720700,K11896,1073
2727720703,K11907,1049
2727721689,K11016,1048
2727720032,K01690,1047
2727720630,K01584,1040
2727720235,K02470,1026
2727717489,K07516,1025
2727719031,K03555,1023
2727717740,K01338,1020
2727718856,K01178,1018
2727718475,K01531,1015
2727719728,K09800,1015
2727721035,K01256,1014
2727719689,K03549,1013
2727719034,K00031,1011
2727719037,K03694,995
2727720662,K04077,995
2727720593,K03582,986
2727717845,K11904,986
2727719378,K00029,985
2727718288,K00990,983
2727720373,K03168,980
2727717486,K06445,979
2727721890,K00982,975
2727719713,K00602,966
2727720060,K01595,956
2727718488,K02674,949
2727721321,K06959,945
2727720360,K02050,943
2727718842,K01676,940
2727721258,K02519,940
2727719664,K02274,938
2727721380,K07646,936
2727720464,K02355,933
2727718401,K18930,933
2727718966,K01915,930
2727721211,K00656,929
2727719670,K01649,929
2727717596,K03466,925
2727718285,K01255,923
2727720156,K01147,920
2727720788,K00336,916
2727721263,K00962,915
2727718687,K07289,912
2727719159,K01139,910
2727720037,K01810,908
2727719288,K01972,903
2727720171,K02621,900
2727721580,K00666,897
2727719100,K02004,897
2727718521,K03702,894
2727721589,K07180,894
2727721608,K08300,894
2727721548,K01886,893
2727717771,K07277,892
2727719917,K01745,891
2727720952,K12368,888
2727719069,K00951,887
2727721167,K01890,881
2727719459,K05366,881
2727721475,K07303,871
2727721057,K01874,867
2727720560,K03182,866
2727721563,K01969,865
2727720972,K02622,860
2727720007,K03657,860
2727718650,K01895,859
2727720602,K03656,855
2727718718,K00937,852
2727718183,K01703,852
2727719980,K03147,850
2727719189,K03798,848
2727718870,K01322,847
2727718741,K01284,844
2727719395,K20034,843
2727720787,K00335,841
2727719955,K08303,839
2727721277,K12373,839
2727720287,K02433,838
2727721382,K01547,837
2727721441,K01637,836
2727720033,K00036,835
2727721162,K01868,835
2727720793,K00341,833
2727720920,K01647,833
2727720094,K00219,830
2727721443,K04043,829
2727721033,K00404,828
2727718926,K03781,827
2727719409,K01414,823
2727719313,K00135,822
2727720119,K00615,821
2727720785,K00333,820
2727717793,K01533,814
2727721761,K03722,811
2727718245,K01752,808
2727719105,K01876,807
2727721855,K03596,806
2727719604,K03495,805
2727717788,K06207,803
2727721658,K13877,800
2727721088,K17686,795
2727718973,K00549,794
2727717835,K09472,790
2727721315,K13788,789
2727719112,K03980,787
2727721893,K03568,786
2727719676,K01652,781
2727721136,K04079,779
2727717891,K01662,777
2727720773,K03655,776
2727717876,K20541,775
2727718247,K01585,772
2727719854,K00138,770
2727719153,K03086,770
2727720981,K04066,769
2727719740,K00382,767
2727718591,K01129,767
2727720917,K00239,765
2727720995,K03293,764
2727718896,K12573,764
2727719162,K06901,760
2727720800,K00789,758
2727718721,K06020,757
2727721158,K03072,754
2727720487,K03076,753
2727721155,K03572,753
2727721269,K02363,752
2727718375,K02409,750
2727717628,K03230,750
2727720185,K13409,750
2727721290,K01484,749
2727721556,K01907,748
2727720282,K05515,748
2727721383,K01546,746
2727720312,K15580,746
2727718993,K02824,745
2727718166,K06158,744
2727717720,K15738,743
2727719588,K00820,742
2727718169,K01696,741
2727720366,K01919,741
2727718417,K02945,740
2727721590,K09786,738
2727719791,K03654,736
2727719918,K01712,735
2727720688,K11893,734
2727718217,K11004,732
2727721351,K03404,731
2727721459,K01879,730
2727718014,K01387,729
2727718827,K01951,729
2727719075,K11103,727
2727718133,K03310,725
2727717573,K02837,723
2727721289,K06447,723
2727718818,K01937,722
2727719518,K03446,722
2727719345,K01426,721
2727720599,K18893,721
2727718063,K06147,720
2727719265,K20444,720
2727720945,K04044,718
2727721735,K01887,717
2727721880,K00140,711
2727721125,K03703,711
2727719829,K00790,710
2727719355,K06876,710
2727719028,K00425,707
2727719475,K08483,707
2727720254,K07399,706
2727721848,K01659,705
2727718454,K01081,703
2727720842,K01733,703
2727718905,K01939,703
2727717829,K12256,703
2727719688,K01881,701
2727721255,K01897,701
2727721845,K09788,700
2727721148,K01141,699
2727718688,K03455,699
2727721549,K11751,699
2727717446,K15778,697
2727720361,K01113,696
2727721160,K00773,695
2727718419,K00800,695
2727721112,K01299,695
2727717746,K05367,694
2727720419,K04744,693
2727721560,K01968,692
2727719595,K02111,692
2727718425,K02769,690
2727719222,K02652,687
2727719302,K00311,685
2727721209,K03837,684
2727718731,K00244,682
2727718950,K00381,681
2727721045,K01736,679
2727719154,K02316,676
2727720292,K03587,676
2727718189,K03821,672
2727720271,K11734,672
2727718178,K00052,670
2727720669,K03320,670
2727720514,K19640,670
2727718668,K01638,669
2727718811,K03407,669
2727720911,K04567,668
2727717601,K07462,668
2727717786,K21636,667
2727718400,K03303,665
2727718423,K02768,663
2727718199,K01262,660
2727717884,K02031,659
2727720135,K08301,659
2727721348,K06042,656
2727721884,K17675,656
2727717673,K00831,655
2727721525,K03406,655
2727720887,K12960,655
2727721377,K03327,653
2727719210,K20035,653
2727720288,K02434,652
2727719464,K02666,652
2727720435,K00931,651
2727717569,K00832,650
2727717567,K03308,650
2727718713,K15633,650
2727720499,K03820,649
2727718274,K06048,649
2727718476,K01576,648
2727720280,K07263,647
2727718649,K14393,647
2727718335,K03688,645
2727719328,K00278,643
2727719969,K00864,643
2727720694,K11900,640
2727721651,K02011,639
2727717480,K11733,639
2727719593,K02112,638
2727720297,K03588,638
2727718931,K04759,637
2727721403,K01950,636
2727721757,K07386,636
2727721740,K02014,634
2727721043,K03735,634
2727721123,K00088,633
2727720100,K01626,632
2727718467,K01754,632
2727719208,K02453,632
2727717877,K00694,631
2727717714,K00764,631
2727719686,K03322,629
2727719741,K00627,627
2727720241,K03217,627
2727720794,K00342,626
2727717691,K03841,626
2727720819,K02778,623
2727718426,K00316,621
2727720789,K00337,621
2727721497,K01867,621
2727717577,K14652,620
2727719280,K16087,620
2727721713,K01885,619
2727720802,K01251,618
2727717499,K03631,617
2727721435,K01119,616
2727718213,K07175,615
2727717801,K08309,614
2727720237,K02313,607
2727718906,K02502,607
2727720827,K01961,605
2727718503,K02416,605
2727719292,K02575,605
2727720295,K01000,604
2727719227,K01756,603
2727717736,K03770,602
2727717917,K07001,602
2727721551,K21071,601
2727719684,K01487,600
2727718911,K03977,597
2727719171,K00611,596
2727721889,K00826,596
2727720293,K01928,596
2727719820,K14267,596
2727719697,K00616,594
2727718069,K01657,594
2727721515,K01953,593
2727721257,K02600,593
2727721056,K08160,591
2727721718,K15461,591
2727721707,K03215,589
2727719635,K18890,589
2727720126,K01755,588
2727721316,K00925,587
2727719377,K11690,586
2727719634,K18889,585
2727720299,K01924,584
2727717701,K02314,584
2727717758,K07137,582
2727717441,K11616,580
2727720281,K05837,578
2727721552,K01883,577
2727718402,K18929,577
2727718661,K03294,575
2727718807,K03415,574
2727720531,K14058,573
2727721276,K16089,573
2727717483,K13954,572
2727717679,K00957,569
2727719384,K01114,569
2727719705,K01443,569
2727721396,K02343,569
2727720551,K01744,568
2727717607,K04046,568
2727721347,K02188,567
2727720505,K06168,567
2727717874,K20543,567
2727717539,K04084,566
2727721106,K00600,565
2727718529,K02063,565
2727720633,K00266,564
2727721011,K01534,564
2727718231,K05591,564
2727719729,K07278,564
2727721457,K01878,563
2727718343,K04485,563
2727717585,K09989,563
2727719120,K01586,562
2727719496,K00641,561
2727720359,K02049,561
2727721657,K21062,561
2727721469,K02558,560
2727718090,K03546,560
2727720830,K07568,560
2727719967,K00111,559
2727720148,K00325,559
2727717893,K01270,559
2727719226,K03106,559
2727718393,K10441,556
2727719800,K16922,556
2727718820,K01689,555
2727718664,K01226,554
2727721292,K01998,554
2727719796,K02238,554
2727718312,K07182,554
2727718969,K07712,554
2727721764,K01940,552
2727719702,K02803,552
2727720242,K03650,552
2727718553,K08676,552
2727719207,K02454,551
2727721570,K02478,550
2727719473,K11085,550
2727721357,K02232,549
2727720949,K04487,549
2727719844,K03667,548
2727717908,K08225,547
2727721710,K01740,546
2727717595,K01772,546
2727721685,K00285,545
2727719652,K00013,544
2727718956,K07287,543
2727720665,K00412,542
2727719187,K03431,542
2727720515,K09456,542
2727718412,K00012,541
2727720864,K00928,541
2727719920,K01468,541
2727719591,K04042,541
2727719030,K11529,541
2727718822,K13590,541
2727717533,K02056,540
2727720304,K02535,540
2727721190,K07478,540
2727717490,K00632,538
2727721189,K01875,538
2727717680,K00956,537
2727718507,K02412,537
2727719018,K02495,537
2727720116,K00927,536
2727721368,K03628,536
2727718697,K06023,536
2727720774,K16322,536
2727719045,K03517,535
2727721116,K07347,535
2727720795,K00343,534
2727721409,K03665,533
2727718962,K06213,533
2727720049,K01845,532
2727720437,K00833,531
2727717741,K03544,531
2727720451,K02358,530
2727718915,K03526,530
2727719172,K01478,528
2727717743,K03545,528
2727720533,K13015,528
2727721451,K01698,527
2727721196,K07012,527
2727718914,K01892,526
2727721790,K06907,525
2727720302,K03590,524
