inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
JBLZUMBZNWDKHD	InChI=1S/C8H13NO/c1-6-3-4-7(2)9-8(10)5-6/h5,7H,3-4H2,1-2H3,(H,9,10)	C8H13NO	5401	-275.8275600647811	""	CC1=CC(=NC(C)CC1)O	1.29900002	""	PubChem:(55286105)
YOALZDAJSLRBKZ	InChI=1S/C8H17NO3/c1-4-12-7-5-6-8(10)9(2)11-3/h4-7H2,1-3H3	C8H17NO3	5402	-275.83747611037904	""	CCOCCCC(=O)N(C)OC	0.181999996	""	PubChem:(112728022)
DDNOMPVVYITSSN	InChI=1S/C8H15NO2/c10-8-6-11-5-7(8)9-3-1-2-4-9/h7-8,10H,1-6H2	C8H15NO2	5403	-275.8449301173155	""	C1CCN(C1)C2COCC2O	-0.465999991	""	PubChem:(55274153 76221612 91754272 124659430 124659433)
IZIGHVGDLGOVFU	InChI=1S/C8H17NO3/c1-4-6(2)7(9)8(10)12-5-11-3/h6-7H,4-5,9H2,1-3H3	C8H17NO3	5404	-275.8477122017748	methoxymethyl (2S,3S)-2-amino-3-methylpentanoate	CCC(C)C(C(=O)OCOC)N	0.833999991	""	PubChem:(11788576)
GRZRJAKSDZRSLC	InChI=1S/C8H15NO2/c1-5-3-7(5)8(11)9-6(2)4-10/h5-7,10H,3-4H2,1-2H3,(H,9,11)	C8H15NO2	5405	-275.8537345390684	""	CC1CC1C(=NC(C)CO)O	0.658999979	""	PubChem:(43418849 65806819 79031505)
LBWLKXMHUYWHTF	InChI=1S/C8H13NO/c1-2-8(10)6-7-4-3-5-9-7/h3-5,8-10H,2,6H2,1H3	C8H13NO	5406	-275.8646697538442	""	CCC(CC1=CC=CN1)O	1.42299998	""	PubChem:(57250539)
KMLNGKRLSBXNSO	InChI=1S/C8H15NO2/c1-7(10)6-8-9(2)4-3-5-11-8/h8H,3-6H2,1-2H3	C8H15NO2	5407	-275.9147430784511	1-(3-methyl-1,3-oxazinan-2-yl)propan-2-one	CC(=O)CC1N(C)CCCO1	-6.9388939E-17	""	PubChem:(59653041)
UJDOPUHMLNHJBS	InChI=1S/C8H15NO2/c1-6-5-7(3-4-11-6)8(10)9-2/h6-7H,3-5H2,1-2H3,(H,9,10)	C8H15NO2	5408	-275.9207821953271	""	CC1CC(CCO1)C(=NC)O	0.769999981	""	PubChem:(126990959)
RFKYLEFNTKVJKY	InChI=1S/C8H17NO3/c1-4-6(2)5-7(12-9)8(10)11-3/h6-7H,4-5,9H2,1-3H3	C8H17NO3	5409	-275.9308737810587	""	CCC(C)CC(C(=O)OC)ON	1.22399998	""	PubChem:(125458392 125458394 125458395 125458396)
MHRLXNVSHVDIRS	InChI=1S/C8H13NO/c9-6-8(10)7-4-2-1-3-5-7/h2,4-5,8,10H,1,3,6,9H2	C8H13NO	5410	-275.9405828871947	""	C1C=CC(=CC1)C(CN)O	0.291999996	""	KEGG Mine
NWHGWNFVJMFNOK	InChI=1S/C8H17NO3/c1-5(11)2-7-8(12)6(4-10)3-9-7/h5-12H,2-4H2,1H3	C8H17NO3	5411	-275.9624418391681	4-(hydroxymethyl)-2-(2-hydroxypropyl)pyrrolidin-3-ol	CC(CC1C(C(CN1)CO)O)O	0.326999992	""	PubChem:(18426116)
COCLDQCVGKIMTR	InChI=1S/C8H15NO2/c1-7(6-11-4)5-8(10)9(2)3/h5H,6H2,1-4H3	C8H15NO2	5412	-275.9653569897428	""	CC(=CC(=O)N(C)C)COC	-0.209999993	""	PubChem:(89848358)
MVWHJJPQWLEZAF	InChI=1S/C8H13NO/c1-3-7-4-5-9(2)8(10)6-7/h3H,4-6H2,1-2H3	C8H13NO	5413	-275.9718386488144	""	CC=C1CCN(C)C(=O)C1	0.492000014	""	PubChem:(91511154)
TVJAFSFCGBIKNN	InChI=1S/C8H15NO2/c1-7(2)8(10,4-5-9)6-11-3/h7,10H,4,6H2,1-3H3	C8H15NO2	5414	-275.98539370197784	""	CC(C)C(CC#N)(COC)O	0.0710000023	""	PubChem:(80411704)
