inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
GDCQMGYMFGPMCX	InChI=1S/C9H14O2/c1-3-5-6-7-8-9(10)11-4-2/h3-6H2,1-2H3	C9H14O2	1	-109.45846131829653	Ethyl 2-heptynoate	CCCCC#CC(=O)OCC	3.1400001	""	PubChem:(85647)
JGOHRMPVEDUAPS	InChI=1S/C9H14O2/c1-3-5-7-9(10)11-8-6-4-2/h3-4,6,8H2,1-2H3	C9H14O2	2	-112.88816801640873	butyl pent-2-ynoate	CCC#CC(=O)OCCCC	2.9289999	""	PubChem:(303101)
WGABWUKQYDWSNS	InChI=1S/C9H14O2/c1-3-5-6-8-11-9(10)7-4-2/h3,5-6,8H2,1-2H3	C9H14O2	3	-113.3914292482799	2-Butynoic acid, pentyl ester	CCCCCOC(=O)C#CC	3.03399992	""	PubChem:(22481181)
WWFXVBNAJVNPKQ	InChI=1S/C9H14O2/c1-3-5-6-7-9(10)11-8-4-2/h3-5,8H2,1-2H3	C9H14O2	4	-113.69773632455725	propyl hex-2-ynoate	CCCC#CC(=O)OCCC	2.9289999	""	PubChem:(20382034)
WHSATUGGKMYJSN	InChI=1S/C9H14O2/c1-3-5-6-7-8-11-9(10)4-2/h2H,3,5-8H2,1H3	C9H14O2	5	-117.4768820324916	2-Propynoic acid, hexyl ester	CCCCCCOC(=O)C#C	3.00399995	""	PubChem:(21726942 87811787)
LWMGSJYVDCEMDH	InChI=1S/C9H14O2/c1-2-3-4-5-6-7-8-9(10)11/h2-4,7-8H2,1H3,(H,10,11)	C9H14O2	6	-118.99029891464819	ACMC-20lcmm	CCCCC#CCCC(=O)O	2.37700009	""	PubChem:(5312639)
QSSVEHXTOGDMMS	InChI=1S/C9H14O2/c1-3-5-7-9(10)11-8-6-4-2/h4,6-8H2,1-2H3	C9H14O2	7	-121.67470386841461	""	CC#CCC(=O)OCCCC	2.27699995	""	PubChem:(122653861)
VKKFMAWPONTRTO	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-9(10)11-2/h3-5,8H2,1-2H3	C9H14O2	8	-121.71692554508233	""	CCCCC#CCC(=O)OC	2.52900004	""	PubChem:(102118286)
JEGJGOFMSVCWPW	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-11-9(2)10/h3-5,8H2,1-2H3	C9H14O2	9	-121.78183258133252	hept-2-ynyl acetate	CCCCC#CCOC(=O)C	2.71000004	""	PubChem:(14201003)
YFJARGPHTQGNLW	InChI=1S/C9H14O2/c1-3-5-6-8-11-9(10)7-4-2/h3-5,7H2,1-2H3	C9H14O2	10	-121.91236042787654	""	CCCC#COC(=O)CCC	3.05500007	""	PubChem:(88370918)
HMAVUYNBBLFTPM	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-9(10)11-2/h3-4,7-8H2,1-2H3	C9H14O2	11	-121.97229479580275	""	CCCC#CCCC(=O)OC	2.12899995	""	PubChem:(89604421)
FRLZQXRXIKQFNS	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-9(10)11-2/h3-6H2,1-2H3	C9H14O2	12	-122.1775979015034	Folione	CCCCCC#CC(=O)OC	3.28600001	""	training set;biological;HMDB:(31302);PubChem:(8092)
HIDACKOYEPYLFY	InChI=1S/C9H14O2/c1-9(2,3)7-5-6-8(10)11-4/h7H2,1-4H3	C9H14O2	13	-122.3874695328161	""	CC(C)(C)CC#CC(=O)OC	3.26200008	""	PubChem:(64534957)
ONWSHWFYPNZPAA	InChI=1S/C6H12N2O4/c7-5(9)11-3-1-2-4-12-6(8)10/h1-4H2,(H2,7,9)(H2,8,10)	C6H12N2O4	14	-124.39151813262306	Butane-1,4-diyl dicarbamate	C(CCOC(=N)O)COC(=N)O	1.5	""	PubChem:(23504)
JLOUMAWDDDJOOW	InChI=1S/C6H12N2O4/c1-3(9)4(5(7)10)8-6(11)12-2/h3-4,9H,1-2H3,(H2,7,10)(H,8,11)	C6H12N2O4	15	-125.04538784729426	""	CC(C(C(=N)O)N=C(O)OC)O	-0.296999991	""	PubChem:(123345554)
ZNAVBUIWPSAZNF	InChI=1S/C6H12N2O4/c1-4(12-6(8)10)2-3-11-5(7)9/h4H,2-3H2,1H3,(H2,7,9)(H2,8,10)	C6H12N2O4	16	-127.01703810851559	1,3-Bis(carbamoyloxy)butane	CC(CCOC(=N)O)OC(=N)O	1.602	""	PubChem:(22234)
ICNQKMFHGOHUCM	InChI=1S/C9H14O2/c1-4-11-9(10)7-5-6-8(2)3/h8H,4,6H2,1-3H3	C9H14O2	17	-127.11803957548355	2-Hexynoic acid, 5-methyl-, ethyl ester	CCOC(=O)C#CCC(C)C	3.079	""	PubChem:(12383857)
ZGMVHFLYJANFQJ	InChI=1S/C9H14O2/c1-2-3-4-5-6-7-8-9(10)11/h2-5,8H2,1H3,(H,10,11)	C9H14O2	18	-127.4584230588524	3-Nonynoic acid	CCCCCC#CCC(=O)O	2.77699995	""	PubChem:(534236)
ZAWLBSATNLQTON	InChI=1S/C9H14O2/c1-2-3-4-5-6-7-8-9(10)11/h2-6H2,1H3,(H,10,11)	C9H14O2	19	-128.12642261051687	non-2-ynoate	CCCCCCC#CC(=O)O	3.53399992	""	PubChem:(74611 20204016 21677332);biological
PQUOASLUTBFHHV	InChI=1S/C9H14O2/c1-5-9(2,3)7-6-8(10)11-4/h5H2,1-4H3	C9H14O2	20	-128.27130568530472	""	CCC(C)(C)C#CC(=O)OC	3.06399989	""	PubChem:(64534978)
PSBWUHSLZKWEBI	InChI=1S/C9H14O2/c1-3-5-6-7-9(10)11-8-4-2/h4,6-8H2,1-2H3	C9H14O2	21	-128.4637358578976	Propyl Hex-4-ynoate	CC#CCCC(=O)OCCC	1.87699997	""	PubChem:(5035216)
AOIFYMSHUIGTBL	InChI=1S/C9H14O2/c1-3-5-7-9(10)11-8-6-4-2/h1H,4-8H2,2H3	C9H14O2	22	-128.70761671824016	""	C#CCCC(=O)OCCCC	1.847	""	PubChem:(23435506)
JFPWNGPYNKADGO	InChI=1S/C9H14O2/c1-4-8(3)6-7-9(10)11-5-2/h8H,4-5H2,1-3H3	C9H14O2	23	-128.80107805553953	2-Hexynoic acid, 4-methyl-, ethyl ester	CCC(C)C#CC(=O)OCC	3.07500005	""	PubChem:(11768787 12383858)
CZYRGTVHKKGDCK	InChI=1S/C9H14O2/c1-5-11-8(10)6-7-9(2,3)4/h5H2,1-4H3	C9H14O2	24	-129.32081374843207	ethyl 4,4-dimethylpent-2-ynoate	CCOC(=O)C#CC(C)(C)C	2.91799998	""	PubChem:(639960)
PHHAAQPSEAWTQC	InChI=1S/C6H12N2O4/c1-7-5(9)11-3-4-12-6(10)8-2/h3-4H2,1-2H3,(H,7,9)(H,8,10)	C6H12N2O4	25	-130.017693540707	ethane-1,2-diyl bis(methylcarbamate)	CN=C(O)OCCOC(=NC)O	0.720000029	""	PubChem:(245516)
XHYKYZHOJRCSRE	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-11-9(2)10/h3-4,7-8H2,1-2H3	C9H14O2	26	-130.7388447962073	hept-3-ynyl acetate	CCCC#CCCOC(=O)C	2.29900002	""	PubChem:(13981613)
XYZIQHVGLQESEG	InChI=1S/C9H14O2/c1-4-8(2)6-5-7-9(10)11-3/h8H,4,6H2,1-3H3	C9H14O2	27	-130.74447911890942	""	CCC(C)CC#CC(=O)OC	3.2249999	""	PubChem:(114877218)
DRWHUZTZNGNGQT	InChI=1S/C9H14O2/c1-3-5-7-9(10)11-8-6-4-2/h3,5,7-8H2,1-2H3	C9H14O2	28	-131.1997830449098	""	CCCCC(=O)OCC#CC	2.49900007	""	PubChem:(53836771)
PXKZFEJODRPVGE	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-11-9(2)10/h3,6-8H2,1-2H3	C9H14O2	29	-131.2074813853373	""	CCC#CCCCOC(=O)C	2.08800006	""	PubChem:(121287821)
KLVNJGJGSNLJTH	InChI=1S/C9H14O2/c1-3-5-6-7-8-9(10)11-4-2/h3-5,8H2,1-2H3	C9H14O2	30	-131.32107803379384	3-Heptynoic acid, ethyl ester	CCCC#CCC(=O)OCC	2.3829999	""	PubChem:(25185482)
MNRPJNXNKSSOOB	InChI=1S/C9H14O2/c1-4-8(5-2)6-7-9(10)11-3/h8H,4-5H2,1-3H3	C9H14O2	31	-132.54059769754255	""	CCC(CC)C#CC(=O)OC	3.22099996	""	PubChem:(64532583)
GIMQQWKASGCRDK	InChI=1S/C9H14O2/c1-2-3-4-5-6-7-8-9(10)11/h2-3,6-8H2,1H3,(H,10,11)	C9H14O2	32	-133.23917859492897	5-Nonynoic acid	CCCC#CCCCC(=O)O	2.37700009	""	PubChem:(556171)
WNEVIGFIVPEUJY	InChI=1S/C6H12N2O4/c1-11-3(5(7)9)4(12-2)6(8)10/h3-4H,1-2H3,(H2,7,9)(H2,8,10)	C6H12N2O4	33	-134.08331057795962	2,3-dimethoxybutanediamide	COC(C(C(=N)O)OC)C(=N)O	-0.388000011	""	PubChem:(568190 101073283 101073284 101073285)
YTERIPINGWCXKZ	InChI=1S/C9H14O2/c1-5-6-7-11-8(10)9(2,3)4/h7H2,1-4H3	C9H14O2	34	-134.9289363647871	but-2-ynyl 2,2-dimethylpropanoate	CC#CCOC(=O)C(C)(C)C	1.85500002	""	PubChem:(14927860)
BWYIOMOQGUMDBN	InChI=1S/C6H12N2O4/c1-3(5(9)10)7-8-4(2)6(11)12/h3-4,7-8H,1-2H3,(H,9,10)(H,11,12)	C6H12N2O4	35	-135.6119534654402	""	CC(C(=O)O)NNC(C)C(=O)O	0.400000006	""	PubChem:(25136606 74392640)
BJEMWSMDPJQCBQ	InChI=1S/C6H12N2O4/c1-4(2-11-5(7)9)3-12-6(8)10/h4H,2-3H2,1H3,(H2,7,9)(H2,8,10)	C6H12N2O4	36	-135.6368185537261	2-Methyl-1,3-propanediol dicarbamate	CC(COC(=N)O)COC(=N)O	1.43900001	""	PubChem:(213001)
LCXDWJRESOOBLG	InChI=1S/C6H12N2O4/c1-6(2,3)11-5(10)8-12-4(7)9/h1-3H3,(H2,7,9)(H,8,10)	C6H12N2O4	37	-135.8051835611184	""	CC(C)(C)OC(=NOC(=N)O)O	2.35500002	""	PubChem:(87513817)
MZVPOAIWMILPBH	InChI=1S/C9H14O2/c1-3-5-6-7-8-9(10)11-4-2/h3-4,7-8H2,1-2H3	C9H14O2	38	-136.12276571319453	4-Heptynoic acid, ethyl ester	CCC#CCCC(=O)OCC	1.98300004	""	PubChem:(13545898)
RIMDAMGFUQAJNV	InChI=1S/C9H14O2/c1-4-5-6-7-9(10)11-8(2)3/h8H,4-5H2,1-3H3	C9H14O2	39	-136.3664776685941	""	CCCC#CC(=O)OC(C)C	3.0309999	""	PubChem:(87198120)
STYMWFOXHYZXCZ	InChI=1S/C9H14O2/c1-5-7-11-8(10)9(3,4)6-2/h6H2,1-4H3	C9H14O2	40	-136.50073675235998	prop-1-ynyl 2,2-dimethylbutanoate	CC#COC(=O)C(C)(C)CC	2.51600003	""	PubChem:(20783028)
CHDFSSOBPYXWDD	InChI=1S/C6H12N2O4/c1-7-5(11)3(9)4(10)6(12)8-2/h3-4,9-10H,1-2H3,(H,7,11)(H,8,12)	C6H12N2O4	41	-136.54716310154316	2,3-dihydroxy-N,N''-dimethylbutanediamide	CN=C(C(C(C(=NC)O)O)O)O	-1.49000001	""	PubChem:(2054484 2054485 2054486 5168238)
VAGXMPLNZGTBBD	InChI=1S/C9H14O2/c1-4-9(10)11-7-5-6-8(2)3/h1,8H,5-7H2,2-3H3	C9H14O2	42	-136.58208485384574	""	C#CC(=O)OCCCC(C)C	2.94300008	""	PubChem:(101573626)
DNMUUOSJCHWDMF	InChI=1S/C9H14O2/c1-3-5-6-7-8-11-9(10)4-2/h1H,4-8H2,2H3	C9H14O2	43	-136.62127887614653	""	C#CCCCCOC(=O)CC	1.847	""	PubChem:(118487607)
XGQFTTCLSCNPTC	InChI=1S/C9H14O2/c1-5-8(10)11-7-6-9(2,3)4/h1H,6-7H2,2-4H3	C9H14O2	44	-136.85472458842833	""	C#CC(=O)OCCC(C)(C)C	2.98000002	""	PubChem:(101121306)
CUBWROBKEAARJP	InChI=1S/C9H14O2/c1-4-6-7-8(3)11-9(10)5-2/h2,8H,4,6-7H2,1,3H3	C9H14O2	45	-137.12254662545996	""	CCCCC(C)OC(=O)C#C	2.89499998	""	PubChem:(102417774)
HZWNCWJPJSKCTL	InChI=1S/C6H10N2O3/c7-5(9)4-2-1-3-8(4)6(10)11/h4H,1-3H2,(H2,7,9)(H,10,11)	C6H10N2O3	46	-137.51671028210944	2-carbamoylpyrrolidine-1-carboxylic acid	C1CC(C(=N)O)N(C1)C(=O)O	0.0989999995	""	PubChem:(18542457 45084492 68810070);KEGG Mine
PPEVQTNKXIKVRS	InChI=1S/C9H14O2/c1-4-5-8(2)6-7-9(10)11-3/h8H,4-5H2,1-3H3	C9H14O2	47	-137.6916281690587	""	CCCC(C)C#CC(=O)OC	3.22099996	""	PubChem:(64534764)
YVXCLJCBEIAQSO	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-9(10)11-2/h3,6-8H2,1-2H3	C9H14O2	48	-137.85125710548343	""	CCC#CCCCC(=O)OC	2.12899995	""	PubChem:(102118287)
VTZRXJAMWGGCCQ	InChI=1S/C7H10N6O/c8-5-4-6(12-7(9)11-5)13(1-2-14)3-10-4/h3,14H,1-2H2,(H4,8,9,11,12)	C7H10N6O	49	-138.0188348644561	""	C(CO)N1C=NC2=C(N)NC(=N)N=C21	-0.495999992	""	PubChem:(102506273)
YHWZCWTXLINLRY	InChI=1S/C6H12N2O4/c1-8(2)7-6(11)12-4-3-5(9)10/h3-4H2,1-2H3,(H,7,11)(H,9,10)	C6H12N2O4	50	-138.07191713526828	""	CN(C)N=C(O)OCCC(=O)O	0.0930000022	""	KEGG Mine
PUNFICOCZAPAJV	InChI=1S/C9H14O2/c10-8(11)9-4-1-7(2-5-9)3-6-9/h7H,1-6H2,(H,10,11)	C9H14O2	51	-138.57537041607486	bicyclo[2.2.2]octane-4-carboxylate	C1CC2(CCC1CC2)C(=O)O	2.2019999	""	PubChem:(136534 13011975 20316443 91035747);biological
BQQKLHJKJQHKHT	InChI=1S/C9H14O2/c1-8(2)6-4-5-7-9(10)11-3/h8H,4,6H2,1-3H3	C9H14O2	52	-138.71218229797117	""	CC(C)CCC#CC(=O)OC	3.2249999	""	PubChem:(64535169)
AXAMAMVBIAVBKJ	InChI=1S/C9H14O2/c1-4-6-8(3)7-11-9(10)5-2/h2,8H,4,6-7H2,1,3H3	C9H14O2	53	-139.14819103598384	""	CCCC(C)COC(=O)C#C	2.73200011	""	PubChem:(101573625)
IFAOZNFSTNXMST	InChI=1S/C6H12N2O4/c7-5-12-11-4-2-1-3-10-6(8)9/h5,7H,1-4H2,(H2,8,9)	C6H12N2O4	54	-139.28805322392006	4-carbamoyloxybutoxy methanimidate	C(CCOOC=N)COC(=N)O	1.18900001	""	PubChem:(22894364)
YWYBONOBUYAHET	InChI=1S/C6H12N2O4/c1-4(7-5(9)11-2)8-6(10)12-3/h4H,1-3H3,(H,7,9)(H,8,10)	C6H12N2O4	55	-139.5006703888552	""	CC(N=C(O)OC)N=C(O)OC	0.813000023	""	PubChem:(11041238)
OGVYHEDNPFAOPJ	InChI=1S/C9H14O2/c1-3-5-7-8(6-4-2)9(10)11/h2,8H,3,5-7H2,1H3,(H,10,11)	C9H14O2	56	-139.80822619890296	2-Butyl-4-yn-valproic acid	CCCCC(CC#C)C(=O)O	2.17600012	""	PubChem:(134598)
IBRCCEYRPQSDQQ	InChI=1S/C9H14O2/c1-8(2)6-4-3-5-7-9(10)11/h8H,5-7H2,1-2H3,(H,10,11)	C9H14O2	57	-139.95888244093328	""	CC(C)CC#CCCC(=O)O	2.31599998	""	PubChem:(83694572)
NRLZVYYMVOPVBF	InChI=1S/C9H14O2/c1-5-6-8(10)11-7-9(2,3)4/h1H,6-7H2,2-4H3	C9H14O2	58	-140.10418439964883	""	C#CCC(=O)OCC(C)(C)C	1.801	""	PubChem:(87989168)
XSXSOZDCVVGFIZ	InChI=1S/C9H14O2/c1-4-7-9(5-2,6-3)8(10)11/h1H,5-7H2,2-3H3,(H,10,11)	C9H14O2	59	-140.19508518076236	""	C#CCC(CC)(CC)C(=O)O	1.80799997	""	PubChem:(79421862)
GMRAXGOPACJWHK	InChI=1S/C9H14O2/c1-5-7-11-8(10)9(3,4)6-2/h1H,6-7H2,2-4H3	C9H14O2	60	-140.347864230911	""	C#CCOC(=O)C(C)(C)CC	1.82500005	""	PubChem:(58203101)
BYLZPMLQBMFBII	InChI=1S/C6H12N2O4/c1-3(9)5(6(11)12)8-7-4(2)10/h3,5,8-9H,1-2H3,(H,7,10)(H,11,12)	C6H12N2O4	61	-140.35094892617713	""	CC(C(C(=O)O)NN=C(C)O)O	0.213	""	PubChem:(90333078)
POJZFOAECWLURK	InChI=1S/C9H14O2/c1-5-7-9(3,6-2)8(10)11-4/h1H,6-7H2,2-4H3	C9H14O2	62	-141.3431050250224	""	C#CCC(C)(CC)C(=O)OC	1.55999994	""	PubChem:(58505614)
BCJLWLQDTCGSFZ	InChI=1S/C9H14O2/c1-3-5-6-7-9(10)11-8-4-2/h2H,3,5-8H2,1H3	C9H14O2	63	-141.56987893846056	prop-2-ynyl hexanoate	CCCCCC(=O)OCC#C	2.4690001	""	PubChem:(253057)
