inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
ILWGELKFCGTKKV	InChI=1S/C16H26N3O16P3/c1-10(20)17-16(23)33-11-8-14(19-7-6-13(21)18-15(19)22)32-12(11)9-31-37(25,29-4)35-38(26,30-5)34-36(24,27-2)28-3/h6-7,11-12,14H,8-9H2,1-5H3,(H,17,20,23)(H,18,21,22)	C16H26N3O16P3	1	-3010.3766842112336	""	CC(=NC(=O)OC1CC(N2C=CC(=NC2=O)O)OC1COP(=O)(OC)OP(=O)(OC)OP(=O)(OC)OC)O	-2.63599992	""	PubChem:(59414845)
WJTIYGKACPNELM	InChI=1S/C16H28N3O17P3/c1-6-4-19(16(23)18-14(6)34-37(24,25)26)10-3-8(20)9(33-10)5-31-38(27,28)36-39(29,30)35-15-13(22)12(21)11(17)7(2)32-15/h4,7-13,15,20-22H,3,5,17H2,1-2H3,(H,27,28)(H,29,30)(H2,24,25,26)	C16H28N3O17P3	2	-3023.795392962221	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(C(C(C)O3)N)O)O)O2)O)C(=O)N=C1OP(=O)(O)O	-5.78599977	""	EcoCyc Mine
SWWIJOMOQUGACI	InChI=1S/C16H28N3O17P3/c1-6-4-19(16(23)18-14(6)22)10-3-8(20)9(33-10)5-31-38(27,28)36-39(29,30)35-15-12(21)13(34-37(24,25)26)11(17)7(2)32-15/h4,7-13,15,20-21H,3,5,17H2,1-2H3,(H,27,28)(H,29,30)(H,18,22,23)(H2,24,25,26)	C16H28N3O17P3	3	-3023.8451125777965	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(C(C(C)O3)N)OP(=O)(O)O)O)O2)O)C(=O)N=C1O	-6.4460001	""	EcoCyc Mine;KEGG Mine
PRNUVCBQECURKR	InChI=1S/C16H26N3O16P3/c1-7-5-19(16(22)18-14(7)21)12-4-10(20)11(32-12)6-30-37(26,27)35-38(28,29)34-15-13(33-36(23,24)25)9(17)3-8(2)31-15/h3,5,8,10-13,15,20H,4,6,17H2,1-2H3,(H,26,27)(H,28,29)(H,18,21,22)(H2,23,24,25)	C16H26N3O16P3	4	-3025.3652547049287	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(=CC(C)O3)N)OP(=O)(O)O)O2)O)C(=O)N=C1O	-5.12799978	""	KEGG Mine
HDWVEJUITJXUJM	InChI=1S/C16H28N3O17P3/c1-6-4-19(16(23)18-14(6)22)10-3-8(20)9(33-10)5-31-38(27,28)36-39(29,30)35-15-12(21)11(17)13(7(2)32-15)34-37(24,25)26/h4,7-13,15,20-21H,3,5,17H2,1-2H3,(H,27,28)(H,29,30)(H,18,22,23)(H2,24,25,26)	C16H28N3O17P3	5	-3025.5680880272535	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(C(C(C)O3)OP(=O)(O)O)N)O)O2)O)C(=O)N=C1O	-6.0170002	""	KEGG Mine
BFGVDTYSLWFSPJ	InChI=1S/C16H28N3O17P3/c1-6-4-19(16(23)18-14(6)22)10-3-8(34-37(24,25)26)9(33-10)5-31-38(27,28)36-39(29,30)35-15-13(21)12(20)11(17)7(2)32-15/h4,7-13,15,20-21H,3,5,17H2,1-2H3,(H,27,28)(H,29,30)(H,18,22,23)(H2,24,25,26)	C16H28N3O17P3	6	-3025.5887745208197	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(C(C(C)O3)N)O)O)O2)OP(=O)(O)O)C(=O)N=C1O	-5.58799982	""	EcoCyc Mine;KEGG Mine
XRFXKMHDNPFKRJ	InChI=1S/C16H28N3O17P3/c1-6-4-19(16(23)18-14(6)22)10-3-8(20)9(33-10)5-31-38(27,28)36-39(29,30)35-15-13(34-37(24,25)26)12(21)11(17)7(2)32-15/h4,7-13,15,20-21H,3,5,17H2,1-2H3,(H,27,28)(H,29,30)(H,18,22,23)(H2,24,25,26)	C16H28N3O17P3	7	-3026.075175392637	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(C(C(C)O3)N)O)OP(=O)(O)O)O2)O)C(=O)N=C1O	-6.0170002	""	EcoCyc Mine;KEGG Mine
PYZGEQAEGUHIPB	InChI=1S/C16H28N3O17P3/c1-6-4-19(16(23)18-14(6)22)10-3-8(20)9(33-10)5-31-38(27,28)36-39(29,30)35-15-13(34-37(24,25)26)11(17)12(21)7(2)32-15/h4,7-13,15,20-21H,3,5,17H2,1-2H3,(H,27,28)(H,29,30)(H,18,22,23)(H2,24,25,26)	C16H28N3O17P3	8	-3027.544348065637	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(C(C(C)O3)O)N)OP(=O)(O)O)O2)O)C(=O)N=C1O	-6.0170002	""	KEGG Mine
PFESWHIIDLXMBB	InChI=1S/C16H28N3O17P3/c1-6-4-19(16(23)18-14(6)22)10-3-8(34-37(24,25)26)9(33-10)5-31-38(27,28)36-39(29,30)35-15-13(21)11(17)12(20)7(2)32-15/h4,7-13,15,20-21H,3,5,17H2,1-2H3,(H,27,28)(H,29,30)(H,18,22,23)(H2,24,25,26)	C16H28N3O17P3	9	-3027.6960410622996	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(C(C(C)O3)O)N)O)O2)OP(=O)(O)O)C(=O)N=C1O	-5.58799982	""	KEGG Mine
OGXBRBQBOWPREC	InChI=1S/C16H26N3O16P3/c1-7-5-19(16(22)18-14(7)21)12-4-10(33-36(23,24)25)11(32-12)6-30-37(26,27)35-38(28,29)34-15-13(20)9(17)3-8(2)31-15/h3,5,8,10-13,15,20H,4,6,17H2,1-2H3,(H,26,27)(H,28,29)(H,18,21,22)(H2,23,24,25)	C16H26N3O16P3	10	-3028.938021281363	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3C(C(=CC(C)O3)N)O)O2)OP(=O)(O)O)C(=O)N=C1O	-4.69899988	""	KEGG Mine
OAMLFEXRPPDKHM	InChI=1S/C16H26N3O16P3/c1-7-5-19(16(22)18-15(7)21)12-4-10(33-36(23,24)25)11(32-12)6-30-37(26,27)35-38(28,29)34-13-3-9(17)14(20)8(2)31-13/h5,8-13H,3-4,6,17H2,1-2H3,(H,26,27)(H,28,29)(H,18,21,22)(H2,23,24,25)	C16H26N3O16P3	11	-3033.8623887389326	""	CC1=CN(C2CC(C(COP(=O)(O)OP(=O)(O)OC3CC(C(=O)C(C)O3)N)O2)OP(=O)(O)O)C(=O)N=C1O	-4.86399984	""	KEGG Mine
