inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
ZNGBALCIMNXZEM	InChI=1S/C16H24O5/c1-16(2,3)21-15(19)11-9-7-10-12(11)14(18)20-13(10)8(9)5-4-6-17/h8-13,17H,4-7H2,1-3H3	C16H24O5	1	-3014.6852550971157	""	CC(C)(C)OC(=O)C1C2CC3C1C(=O)OC3C2CCCO	1.44000006	""	PubChem:(57824139)
BWKBRJQRWWMJLA	InChI=1S/C16H24O5/c1-3-16(4-2,9-17)8-12(18)21-14-11-6-5-10(7-11)13(14)15(19)20/h5-6,10-11,13-14,17H,3-4,7-9H2,1-2H3,(H,19,20)	C16H24O5	2	-3026.4862608763187	""	CCC(CC)(CC(=O)OC1C2C=CC(C2)C1C(=O)O)CO	1.80200005	""	PubChem:(70017901)
DYEHNNRQBAMYOG	InChI=1S/C16H24O5/c1-2-13(17)11(3-4-14(18)19)9-16-6-5-10(8-16)7-12(16)15(20)21/h5-6,10-13,17H,2-4,7-9H2,1H3,(H,18,19)(H,20,21)	C16H24O5	3	-3028.002676870186	""	CCC(C(CCC(=O)O)CC12C=CC(CC1C(=O)O)C2)O	1.79100001	""	PubChem:(70159440)
MHMTWAMWZSYCAM	InChI=1S/C16H24O5/c1-3-10(11(17)4-2)14(16(20)21)12-8-5-6-9(7-8)13(12)15(18)19/h5-6,8-14,17H,3-4,7H2,1-2H3,(H,18,19)(H,20,21)	C16H24O5	4	-3030.4272131632706	""	CCC(C(CC)O)C(C1C2C=CC(C2)C1C(=O)O)C(=O)O	2.03299999	""	PubChem:(70159438)
FPORMHUGAXCHIX	InChI=1S/C16H24O5/c1-16(2,3)21-15(19)11-8-4-5-10-12(11)14(18)20-13(10)9(8)6-7-17/h8-13,17H,4-7H2,1-3H3	C16H24O5	5	-3032.798506963094	""	CC(C)(C)OC(=O)C1C2CCC3C1C(=O)OC3C2CCO	1.65100002	""	PubChem:(57824134)
NRTWOVRENSRZKM	InChI=1S/C16H24O5/c1-3-12-13(8-6-4-5-7-9-16(19)20)14(18)10-15(12)21-11(2)17/h3,12-13,15H,1,4-10H2,2H3,(H,19,20)	C16H24O5	6	-3033.6630036853376	7-(3-acetyloxy-2-ethenyl-5-oxocyclopentyl)heptanoic acid	C=CC1C(CCCCCCC(=O)O)C(=O)CC1OC(=O)C	2.3900001	""	PubChem:(21503847)
PHYFIQHMXYWTNS	InChI=1S/C16H24O5/c1-8(2)12-10-9-5-6-16(21-9,11(10)13(17)20-12)7-15(3,4)14(18)19/h8-12H,5-7H2,1-4H3,(H,18,19)	C16H24O5	7	-3035.3403839518583	""	CC(C)C1C2C3CCC(CC(C)(C)C(=O)O)(C2C(=O)O1)O3	1.64400005	""	PubChem:(67834390)
MYHRLTPQEPNRMJ	InChI=1S/C16H24O5/c1-11(18)21-14-8-7-12-13(10-17)16(12,14)9-5-3-2-4-6-15(19)20/h10,12-14H,2-9H2,1H3,(H,19,20)	C16H24O5	8	-3035.5592276896678	7-[(1R,2R,5R,6S)-2-acetyloxy-6-formyl-1-bicyclo[3.1.0]hexanyl]heptanoic acid	CC(=O)OC1CCC2C(C=O)C21CCCCCCC(=O)O	2.79699993	""	PubChem:(23262714)
MUVVKSICOZXQGU	InChI=1S/C16H24O5/c1-4-9-11-7-6-8(12(11)10(5-2)21-9)14(16(19)20-3)13(7)15(17)18/h7-14H,4-6H2,1-3H3,(H,17,18)	C16H24O5	9	-3036.69374843381	""	CCC1C2C3CC(C2C(CC)O1)C(C3C(=O)O)C(=O)OC	1.66400003	""	PubChem:(20771731)
ZVBBGMJUCZRFPO	InChI=1S/C16H24O5/c1-9-10(7-13(18)19)15(2)5-4-6-16(3,14(20)21)12(15)8-11(9)17/h10-12,17H,1,4-8H2,2-3H3,(H,18,19)(H,20,21)	C16H24O5	10	-3037.709554403593	""	C=C1C(CC(=O)O)C2(C)CCCC(C)(C2CC1O)C(=O)O	1.63600004	""	PubChem:(46881228 70691548 101558915);KNApSAcK:(23429);Natural Products:(UNPD92749 UNPD140439 UNPD207127)
