inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
YANHICWOLRCBTR	InChI=1S/C14H23O4P/c1-4-17-19(16,18-5-2)8-6-7-13-9-12(3)10-14(15)11-13/h6-7,11-12H,4-5,8-10H2,1-3H3	C14H23O4P	122	-3102.4422098307405	""	CCOP(=O)(CC=CC1=CC(=O)CC(C)C1)OCC	1.59599996	""	PubChem:(10755618)
NMNHIVQEEIXNGS	InChI=1S/C14H23O4P/c1-4-6-12-19(15,17-11-5-2)18-14-9-7-13(16-3)8-10-14/h7-10H,4-6,11-12H2,1-3H3	C14H23O4P	123	-3102.982349922096	""	CCCCP(=O)(OCCC)OC1=CC=C(C=C1)OC	3.68400002	""	PubChem:(91712301)
RMMDIBYQGUFVPP	InChI=1S/C14H25O5P/c1-10-5-7-17-14(10)13-4-3-9-20(15,19-13)18-12-6-8-16-11(12)2/h10-14H,3-9H2,1-2H3	C14H25O5P	124	-3103.1481999955276	""	CC1CCOC1C2CCCP(=O)(OC3CCOC3C)O2	1.36899996	""	PubChem:(126586499 126586502)
RMVVOHMCQAPONI	InChI=1S/C14H23O4P/c1-13(2,3)10-8-7-9-11(18-19(15,16)17)12(10)14(4,5)6/h7-9H,1-6H3,(H2,15,16,17)	C14H23O4P	125	-3103.2365817802215	(2,3-ditert-butylphenyl) dihydrogen phosphate	CC(C)(C)C1=CC=CC(=C1C(C)(C)C)OP(=O)(O)O	3.61199999	""	PubChem:(18353553)
FNENOEAQQGSPEK	InChI=1S/C14H23O4P/c1-4-17-19(16,18-5-2)8-6-7-13-9-12(3)10-14(15)11-13/h6,8,11-12H,4-5,7,9-10H2,1-3H3	C14H23O4P	126	-3103.3973416144945	""	CCOP(=O)(C=CCC1=CC(=O)CC(C)C1)OCC	1.74899995	""	PubChem:(10589266)
TZOHKIXYILEQDW	InChI=1S/C14H23O4P/c1-12(2)10-16-19(15,17-11-13(3)4)18-14-8-6-5-7-9-14/h5-9,12-13H,10-11H2,1-4H3	C14H23O4P	127	-3103.7611386733374	bis(2-methylpropyl) phenyl phosphate	CC(C)COP(=O)(OCC(C)C)OC1=CC=CC=C1	3.3829999	""	PubChem:(3746022)
IRCHURPYJIWHRS	InChI=1S/C14H23O4P/c1-2-18-19(16,17)9-13(15)14-6-10-3-11(7-14)5-12(4-10)8-14/h10-12H,2-9H2,1H3,(H,16,17)	C14H23O4P	128	-3104.25258297795	""	CCOP(=O)(CC(=O)C12CC3CC(CC(C3)C1)C2)O	2.02999997	""	PubChem:(87371636)
XWAHKGFNZXXWBV	InChI=1S/C14H23O4P/c1-13(2,3)11-9-7-8-10-12(11)17-19(15,16)18-14(4,5)6/h7-10H,1-6H3,(H,15,16)/p-1	C14H23O4P	129	-3104.5592237504134	tert-butyl (2-tert-butylphenyl) phosphate	CC(C)(C)C1=C(C=CC=C1)OP(=O)(O)OC(C)(C)C	3.61400008	""	PubChem:(20560940 20560941)
OAXNUHACKRDCIK	InChI=1S/C14H25O5P/c1-5-12(2)10-13(20(15,16-3)17-4)11-19-14-8-6-7-9-18-14/h14H,5-9,11H2,1-4H3	C14H25O5P	130	-3104.6632630946715	""	CCC(=C=C(COC1CCCCO1)P(=O)(OC)OC)C	3.44799995	""	PubChem:(102358448)
UQLLYXSBIVCAEI	InChI=1S/C14H25O5P/c1-3-18-20(17,19-4-2)14-9-6-5-8-13(14,16)11-12(15)7-10-14/h16H,3-11H2,1-2H3	C14H25O5P	131	-3105.287899647465	""	CCOP(=O)(C12CCCCC2(CC(=O)CC1)O)OCC	1.16900003	""	PubChem:(11012150)
NQOLOKRMRGLSJU	InChI=1S/C14H23O4P/c1-3-5-7-12-9-10-14(18-19(15,16)17)13(11-12)8-6-4-2/h9-11H,3-8H2,1-2H3,(H2,15,16,17)	C14H23O4P	132	-3105.957813338028	(2,4-dibutylphenyl) dihydrogen phosphate	CCCCC1=CC=C(C(=C1)CCCC)OP(=O)(O)O	4.05600023	""	PubChem:(20569368)
VAQYJJZZUMBRMP	InChI=1S/C14H23O4P/c1-13(2,3)17-19(16,18-14(4,5)6)12-10-8-7-9-11(12)15/h7-10,15H,1-6H3	C14H23O4P	133	-3106.1626951010635	2-ditert-butoxy-phosphoryl-phenol	CC(C)(C)OP(=O)(C1=C(C=CC=C1)O)OC(C)(C)C	3.86199999	""	PubChem:(13442715)
WMOXQUFYFHUYJO	InChI=1S/C14H23O4P/c1-6-7-8-13-11(4)9(2)10(3)12(5)14(13)18-19(15,16)17/h6-8H2,1-5H3,(H2,15,16,17)	C14H23O4P	134	-3106.589641532852	""	CCCCC1=C(C(=C(C)C(=C1C)C)C)OP(=O)(O)O	3.5539999	""	PubChem:(21408122)
COGFHYYYOUPFTO	InChI=1S/C14H23O4P/c1-3-17-19(16,18-4-2)12-8-7-11-14(13(12)15)9-5-6-10-14/h8H,3-7,9-11H2,1-2H3	C14H23O4P	135	-3106.684600426547	""	CCOP(=O)(C1=CCCC2(CCCC2)C1=O)OCC	1.90499997	""	PubChem:(15348720)
JPZLNAYYYOSFBK	InChI=1S/C14H23O4P/c1-6-16-19(15,17-7-2)18-13-10-8-12(9-11-13)14(3,4)5/h8-11H,6-7H2,1-5H3	C14H23O4P	136	-3108.4322154257725	""	CCOP(=O)(OCC)OC1=CC=C(C=C1)C(C)(C)C	3.8900001	""	PubChem:(12663079)
AJWGPWUZLOCPKY	InChI=1S/C14H23O4P/c1-13(2,3)10-14(4,5)11-6-8-12(9-7-11)18-19(15,16)17/h6-9H,10H2,1-5H3,(H2,15,16,17)	C14H23O4P	137	-3108.6416371546075	[4-(2,4,4-trimethylpentan-2-yl)phenyl] dihydrogen phosphate	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OP(=O)(O)O	4.2579999	""	PubChem:(11471689);KEGG Mine
