inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
IOWNWVYGRSCZAE	InChI=1S/C34H68O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-34(37)38-32-33(36)31-35/h33,35-36H,2-32H2,1H3	C34H68O4	1	-3007.880500603183	""	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(CO)O	15.0450001	""	PubChem:(71770221)
IHCPXQVSOHFPJW	InChI=1S/C34H68O4/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(36)38-32-33(35)31-37-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33,35H,3-32H2,1-2H3	C34H68O4	2	-3012.500992684175	""	CCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCCCCCCCCC)O	14.6379995	""	PubChem:(101352697)
GWBBPJXMTGJSGL	InChI=1S/C34H68O4/c1-3-5-7-9-11-12-13-14-15-16-17-18-23-27-31-38-34(37)30-26-22-19-21-25-29-33(36)32(35)28-24-20-10-8-6-4-2/h32-33,35-36H,3-31H2,1-2H3	C34H68O4	3	-3015.2235688570436	hexadecyl 9,10-dihydroxyoctadecanoate	CCCCCCCCCCCCCCCCOC(=O)CCCCCCCC(C(CCCCCCCC)O)O	13.8809996	""	PubChem:(254771)
ZRCHNRGTKJYNPU	InChI=1S/C34H68O4/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-37-32-33(31-35)38-34(36)29-27-25-23-21-19-16-14-12-10-8-6-4-2/h33,35H,3-32H2,1-2H3	C34H68O4	4	-3019.4652102594787	""	CCCCCCCCCCCCCCCCOCC(CO)OC(=O)CCCCCCCCCCCCCC	14.6379995	""	PubChem:(92033589)
ZXJHSIQWFUCWDW	InChI=1S/C34H70O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-37-29-33(35)31-39-32-34(36)30-38-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33-36H,3-32H2,1-2H3	C34H70O5	5	-3024.5507705726445	""	CCCCCCCCCCCCCCOCC(COCC(COCCCCCCCCCCCCCC)O)O	12.3760004	""	PubChem:(101598619)
GDWPRHPVLIZRQB	InChI=1S/C34H70O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-37-31-33(29-35)39-34(30-36)32-38-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33-36H,3-32H2,1-2H3	C34H70O5	6	-3033.047474452974	""	CCCCCCCCCCCCCCOCC(CO)OC(CO)COCCCCCCCCCCCCCC	12.3760004	""	PubChem:(18185280)
JUZCOQPHQYSVDJ	InChI=1S/C34H68O4/c1-6-11-14-15-18-21-26-33(37-28-30(9-4)23-12-7-2)32(35)25-20-17-16-19-22-27-34(36)38-29-31(10-5)24-13-8-3/h30-33,35H,6-29H2,1-5H3	C34H68O4	7	-3034.2261933919294	""	CCCCCCCCC(C(CCCCCCCC(=O)OCC(CC)CCCC)O)OCC(CC)CCCC	12.9300003	""	PubChem:(102042365)
FTADCPOOLZALGM	InChI=1S/C34H68O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32(35)33(36)31-34(37)38/h32-33,35-36H,2-31H2,1H3,(H,37,38)	C34H68O4	8	-3034.4646668630608	""	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C(CC(=O)O)O)O	15.1190004	""	PubChem:(101964390)
QSDGBDJZYMVQNB	InChI=1S/C34H68O4/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-33(37)38-32-34(4-2,30-35)31-36/h35-36H,3-32H2,1-2H3	C34H68O4	9	-3044.4140821223555	""	CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(CC)(CO)CO	14.4969997	""	PubChem:(91443168)
IGYBOPVLHYBULZ	InChI=1S/C34H68O4/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-32(36)31(30-35)34(38)33(37)29-27-25-23-21-18-16-14-12-10-8-6-4-2/h31-33,35-37H,3-30H2,1-2H3	C34H68O4	10	-3056.003809753746	15,18-dihydroxy-17-(hydroxymethyl)tritriacontan-16-one	CCCCCCCCCCCCCCCC(C(CO)C(=O)C(CCCCCCCCCCCCCC)O)O	13.3570004	""	PubChem:(23113151)
DHZBQPRZRWTBCO	InChI=1S/C34H68O4/c1-3-5-7-9-11-13-14-15-16-17-18-19-20-22-24-26-31-38-34(35)28-27-30-37-33-32-36-29-25-23-21-12-10-8-6-4-2/h3-33H2,1-2H3	C34H68O4	11	-3057.343643492286	""	CCCCCCCCCCCCCCCCCCOC(=O)CCCOCCOCCCCCCCCCC	14.1289997	""	PubChem:(121469701)
IORRPTOGVJVJQI	InChI=1S/C34H68O4/c1-3-5-7-9-11-13-15-16-17-18-20-22-24-26-31-38-34(35)28-27-30-37-33-32-36-29-25-23-21-19-14-12-10-8-6-4-2/h3-33H2,1-2H3	C34H68O4	12	-3057.343643492286	""	CCCCCCCCCCCCCCCCOC(=O)CCCOCCOCCCCCCCCCCCC	14.1289997	""	PubChem:(121469473)
MIQLFUWLSMKXJQ	InChI=1S/C34H68O4/c1-5-9-12-15-18-21-24-27-33(35)38-32-34(8-4,30-36-28-25-22-19-16-13-10-6-2)31-37-29-26-23-20-17-14-11-7-3/h5-32H2,1-4H3	C34H68O4	13	-3059.947283987173	""	CCCCCCCCCC(=O)OCC(CC)(COCCCCCCCCC)COCCCCCCCCC	13.6829996	""	PubChem:(86708419)
DBXWRGZDZDNKQW	InChI=1S/C34H70O5/c1-9-17-19-23-31(35)33(37,29(15-7)27(13-5)21-11-3)25-39-26-34(38,32(36)24-20-18-10-2)30(16-8)28(14-6)22-12-4/h27-32,35-38H,9-26H2,1-8H3	C34H70O5	14	-3060.642241490585	""	CCCCCC(C(COCC(C(CC)C(CC)CCC)(C(CCCCC)O)O)(C(CC)C(CC)CCC)O)O	11.158	""	PubChem:(57148143)
APVCZCUKITWFDP	InChI=1S/C34H70O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-35-27-29-37-31-33-39-34-32-38-30-28-36-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-34H2,1-2H3	C34H70O5	15	-3065.924617959041	14,17,20,23,26-Pentaoxanonatriacontane	CCCCCCCCCCCCCOCCOCCOCCOCCOCCCCCCCCCCCCC	12.2019997	""	PubChem:(53440503)
INHHNPAFBNYFKT	InChI=1S/C34H68O4/c1-4-7-10-13-15-16-17-18-20-23-28-36-30-31-37-29-24-27-34(35)38-32-33(25-21-12-9-6-3)26-22-19-14-11-8-5-2/h33H,4-32H2,1-3H3	C34H68O4	16	-3068.4352283387616	""	CCCCCCCCCCCCOCCOCCCC(=O)OCC(CCCCCC)CCCCCCCC	13.8570004	""	PubChem:(121469870)
KXSDPUAZEAWGAY	InChI=1S/C34H68O4/c1-4-5-6-7-8-17-20-23-28-36-31-32-37-29-25-27-34(35)38-30-24-21-18-15-13-11-9-10-12-14-16-19-22-26-33(2)3/h33H,4-32H2,1-3H3	C34H68O4	17	-3074.078527581037	""	CCCCCCCCCCOCCOCCCC(=O)OCCCCCCCCCCCCCCCC(C)C	14.0679998	""	PubChem:(121469832)
AHIMFDBCXOBHFY	InChI=1S/C34H70O5/c1-7-13-17-19-23-35-27-33(29-37-25-31(11-5)21-15-9-3)39-34(28-36-24-20-18-14-8-2)30-38-26-32(12-6)22-16-10-4/h31-34H,7-30H2,1-6H3	C34H70O5	18	-3080.8477292464822	""	CCCCCCOCC(COCC(CC)CCCC)OC(COCCCCCC)COCC(CC)CCCC	11.0179996	""	PubChem:(21319784)
ZZZCUFFTRIDUIF	InChI=1S/C34H70O5/c1-33(2)21-17-13-9-5-7-11-15-19-23-35-25-27-37-29-31-39-32-30-38-28-26-36-24-20-16-12-8-6-10-14-18-22-34(3)4/h33-34H,5-32H2,1-4H3	C34H70O5	19	-3087.5675568363577	""	CC(C)CCCCCCCCCCOCCOCCOCCOCCOCCCCCCCCCCC(C)C	12.0799999	""	PubChem:(19050242)
JMYJRDNTVPZJNZ	InChI=1S/C34H68O4/c1-9-14-18-19-20-24-31(28(6)21-15-10-2)34(29(7)22-16-11-3,30(8)23-17-12-4)32(37)38-27-33(13-5,25-35)26-36/h28-31,35-36H,9-27H2,1-8H3	C34H68O4	20	-3091.905159818254	""	CCCCCCCC(C(C)CCCC)C(C(C)CCCC)(C(C)CCCC)C(=O)OCC(CC)(CO)CO	13.6090002	""	PubChem:(88843340)
QHKWSZUCMQVAIL	InChI=1S/C34H70O5/c1-16-17(2)31(36)23(8)19(4)25(10)33(38)27(12)21(6)29(14)34(39)28(13)20(5)26(11)32(37)24(9)18(3)22(7)30(15)35/h17-39H,16H2,1-15H3	C34H70O5	21	-3114.3507424779377	""	CCC(C)C(C(C)C(C)C(C)C(C(C)C(C)C(C)C(C(C)C(C)C(C)C(C(C)C(C)C(C)C(C)O)O)O)O)O	7.62400007	""	PubChem:(90392276)
AEWSIDQRZPOXSX	InChI=1S/C30H66N6O3/c1-7-13-19-31(25-37)28-34(22-16-10-4)29(32(26-38)20-14-8-2)36(24-18-12-6)30(35(28)23-17-11-5)33(27-39)21-15-9-3/h28-30,37-39H,7-27H2,1-6H3	C30H66N6O3	22	-3127.710783193156	""	CCCCN(CO)C1N(CCCC)C(N(CCCC)CO)N(CCCC)C(N(CCCC)CO)N1CCCC	6.43499994	""	PubChem:(67764558)
YQCMTFIFBBIURS	InChI=1S/C30H64N6O2/c1-27(2,3)21-29(7,8)23-35-25(37)11-13-31-15-17-33-19-20-34-18-16-32-14-12-26(38)36-24-30(9,10)22-28(4,5)6/h31-34H,11-24H2,1-10H3,(H,35,37)(H,36,38)	C30H64N6O2	23	-3157.0035970252493	""	CC(C)(C)CC(C)(C)CN=C(CCNCCNCCNCCNCCC(=NCC(C)(C)CC(C)(C)C)O)O	5.61199999	""	PubChem:(90726769)
YDWWDWZJQLBWKC	InChI=1S/C30H64N6O2/c1-27(2,3)21-29(7,8)23-33-25(37)11-15-35(17-13-31)19-20-36(18-14-32)16-12-26(38)34-24-30(9,10)22-28(4,5)6/h11-24,31-32H2,1-10H3,(H,33,37)(H,34,38)	C30H64N6O2	24	-3168.521410740924	""	CC(C)(C)CC(C)(C)CN=C(CCN(CCN)CCN(CCC(=NCC(C)(C)CC(C)(C)C)O)CCN)O	5.30999994	""	PubChem:(91016116)
AZOCEACYTPVLNT	InChI=1S/C30H64N6O2/c1-27(2,3)21-29(7,8)23-34-25(37)11-14-32-15-16-33-17-20-36(19-13-31)18-12-26(38)35-24-30(9,10)22-28(4,5)6/h32-33H,11-24,31H2,1-10H3,(H,34,37)(H,35,38)	C30H64N6O2	25	-3171.9597992998	""	CC(C)(C)CC(C)(C)CN=C(CCNCCNCCN(CCC(=NCC(C)(C)CC(C)(C)C)O)CCN)O	5.46099997	""	PubChem:(91104583)
