inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
RGHNJXZEOKUKBD	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)	C6H12O7	1	-2966.9133273815123	gulonate	C(C(C(C(C(C(=O)O)O)O)O)O)O	-3.73900008	""	training set;HMDB:(3290);KNApSAcK:(34850);Natural Products:(UNPD148539 UNPD162221);PubChem:(604 10690 128869 152304 193325 439315 3032299 3085666 3246006 3246058 4134252 5311443 5459956 5459986 5460054 5461127 6419706 6857417 6857680 9794176 9891231 9891369 11479470 12310779 12310780 13767386 13767387 16757726 38988608 40468191 40468192 40768247 44153679 44229140 44457530 51397482 54265261 58969553 87722907 88304923 89382046 90470114 90738010 90910290 117972898 123890911);CHEBI:(16534 13115 37425 53071 46644 17360 17767 87753 12931 17796 16154 21336 18391 33076 86359);HSDB:(526-95-4);KEGG:(C15930 C00880 C00817 C00800 C00770 C00514 C00257);biological;Plantcyc:(CPD0-1083 D-ALTRONATE D-MANNONATE GLUCONATE L-GULONATE L-IDONATE);YMDB:(383);Biocyc:(CPD0-1197 CPD-14805 CPD-14807 CPD-16836)
AYCJDHZTOGGRTP	InChI=1S/C6H12O7/c7-2-4(9)3(8)1-6(12,13)5(10)11/h3-4,7-9,12-13H,1-2H2,(H,10,11)	C6H12O7	2	-3000.8744989061793	""	C(C(C(CO)O)O)C(C(=O)O)(O)O	-3.5940001	""	PubChem:(86596800 87668507)
PKJFMJDLCLNHSD	InChI=1S/C6H12O7/c7-2-1-6(12,13)4(9)3(8)5(10)11/h3-4,7-9,12-13H,1-2H2,(H,10,11)	C6H12O7	3	-3002.6835117733544	""	C(CO)C(C(C(C(=O)O)O)O)(O)O	-3.28699994	""	PubChem:(89297649)
WMBRUZOKIJSOCN	InChI=1S/C6H12O7/c7-1-3(13-2-8)4(9)5(10)6(11)12/h3-5,7-10H,1-2H2,(H,11,12)	C6H12O7	4	-3006.5863644834367	""	C(C(C(C(C(=O)O)O)O)OCO)O	-3.11999989	""	KEGG Mine
UUEVRURMDDCIMI	InChI=1S/C6H12O7/c7-2-4(9)3(8)1-5(13-12)6(10)11/h3-5,7-9,12H,1-2H2,(H,10,11)	C6H12O7	5	-3011.494445645473	""	C(C(C(CO)O)O)C(C(=O)O)OO	-2.65899992	""	PubChem:(87668718)
KESPVIUMXXSGKL	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-4,6-10,12-13H,1H2	C6H12O7	6	-3012.576641439102	""	C(C(C(C(C(=O)C(O)O)O)O)O)O	-4.30800009	""	EcoCyc Mine;YMDB Mine;KEGG Mine
XNCXMMBZUBPQDV	InChI=1S/C6H12O7/c7-1-3(9)4(10)5(11)6(12,13)2-8/h2-5,7,9-13H,1H2	C6H12O7	7	-3012.8129656516835	""	C(C(C(C(C(C=O)(O)O)O)O)O)O	-4.21000004	""	PubChem:(54478248);biological
HYGYQYGVGDSLFA	InChI=1S/C6H12O7/c7-1-3(9)5(11)6(12,13)4(10)2-8/h2-5,7,9-13H,1H2	C6H12O7	8	-3013.3080570063807	""	C(C(C(C(C(C=O)O)(O)O)O)O)O	-3.90300012	""	PubChem:(87568891)
ICZGMEIDLXTFMS	InChI=1S/C6H12O7/c7-1-3(9)5(10)6(11)4(2-8)13-12/h2-7,9-12H,1H2	C6H12O7	9	-3014.08852193165	""	C(C(C(C(C(C=O)OO)O)O)O)O	-3.2750001	""	PubChem:(87336732)
DNEKCGREFKBFIL	InChI=1S/C6H12O7/c1-2(7)3(8)4(9)5(10)6(11)13-12/h2-5,7-10,12H,1H3	C6H12O7	10	-3014.937958987053	""	CC(C(C(C(C(=O)OO)O)O)O)O	-3.10599995	""	PubChem:(88024357)
