inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
YQYUVKWBACBOLJ	InChI=1S/C15H22O3/c1-5-15(17,12-10-8-7-9-11-12)14(3,4)13(16)18-6-2/h7-11,17H,5-6H2,1-4H3	C15H22O3	1723	-3091.7124172068125	ethyl 3-hydroxy-2,2-dimethyl-3-phenylpentanoate	CCC(C1=CC=CC=C1)(C(C)(C)C(=O)OCC)O	2.55999994	""	PubChem:(11807080 13010841 101665506)
FWRZGOGWVBUSLS	InChI=1S/C15H22O3/c1-3-4-5-6-7-9-13-10-8-11-14(12(13)2)18-15(16)17/h8,10-11H,3-7,9H2,1-2H3,(H,16,17)	C15H22O3	1724	-3091.7197834170897	""	CCCCCCCC1=CC=CC(=C1C)OC(=O)O	5.62900019	""	PubChem:(67180800)
CDRXFBALQOAUHH	InChI=1S/C15H22O3/c1-9-6-10(2)12(4)15(11(9)3)13(8-18-5)7-14(16)17/h6,13H,7-8H2,1-5H3,(H,16,17)	C15H22O3	1725	-3091.722974493281	""	CC1=C(C)C(=C(C)C(=C1)C)C(CC(=O)O)COC	3.046	""	PubChem:(84169851)
GRYATKTXPZPERW	InChI=1S/C15H22O3/c1-3-4-5-6-11-18-14-9-7-13(8-10-14)12(2)15(16)17/h7-10,12H,3-6,11H2,1-2H3,(H,16,17)/p-1	C15H22O3	1726	-3091.7836997749887	2-(4-hexoxyphenyl)propanoate	CCCCCCOC1=CC=C(C=C1)C(C)C(=O)O	4.06599998	""	PubChem:(20077786 20077787)
ZIPCFEAFTWOTHE	InChI=1S/C15H22O3/c1-9-5-4-6-15(3)8-13(16)11(7-12(9)15)10(2)14(17)18/h12-13,16H,1,4-8H2,2-3H3,(H,17,18)	C15H22O3	1727	-3091.821536102236	""	C=C1CCCC2(C)CC(C(=C(C)C(=O)O)CC12)O	2.53500009	""	KEGG Mine
KQUWMNOTWUVNRR	InChI=1S/C15H22O3/c1-11(2)9-12(3)18-10-14(15(16)17)13-7-5-4-6-8-13/h4-8,11-12,14H,9-10H2,1-3H3,(H,16,17)	C15H22O3	1728	-3091.8233116791716	""	CC(C)CC(C)OCC(C1=CC=CC=C1)C(=O)O	3.36800003	""	PubChem:(63074122)
UFLSHMKXGZOAQP	InChI=1S/C15H22O3/c1-8-12(16)6-11-9-4-5-10(13(17)18)15(8,11)7-14(9,2)3/h8-11H,4-7H2,1-3H3,(H,17,18)	C15H22O3	1729	-3091.8249223018806	5(6)-dihydro-terrecyclic acid A	CC1C(=O)CC2C3CCC(C(=O)O)C12CC3(C)C	2.97600007	""	PubChem:(11345704 38358861 38358866 44566936 45359392 101274189)
AIRZAVOETQKJIN	InChI=1S/C15H24O4/c1-4-15(5-2,14(17)18)12(13(16)19-6-3)11-9-7-8-10-11/h4-10H2,1-3H3,(H,17,18)	C15H24O4	1730	-3091.8275925737976	""	CCC(CC)(C(=C1CCCC1)C(=O)OCC)C(=O)O	3.57399988	""	PubChem:(70869359)
BIFJKKCXGZTJPC	InChI=1S/C15H22O3/c1-11(2)18-9-8-14(15(16)17)10-13-6-4-12(3)5-7-13/h4-7,11,14H,8-10H2,1-3H3,(H,16,17)	C15H22O3	1731	-3091.837164053342	""	CC(C)OCCC(CC1=CC=C(C)C=C1)C(=O)O	2.97600007	""	PubChem:(54958325)
PHNYWNSZENPOEF	InChI=1S/C15H22O3/c1-9(2)12(8-14(16)17)15-11(4)6-10(3)7-13(15)18-5/h6-7,9,12H,8H2,1-5H3,(H,16,17)	C15H22O3	1732	-3091.873001407969	""	CC(C)C(CC(=O)O)C1=C(C=C(C)C=C1C)OC	3.98799992	""	PubChem:(82499194)
QNHUMZARRIRSDS	InChI=1S/C15H24O4/c1-4-14(2,3)13(17)18-11-10-15(19-12(11)16)8-6-5-7-9-15/h11H,4-10H2,1-3H3	C15H24O4	1733	-3091.885419287757	(2-oxo-1-oxaspiro[4.5]decan-3-yl) 2,2-dimethylbutanoate	CCC(C)(C)C(=O)OC1CC2(CCCCC2)OC1=O	3.33299994	""	PubChem:(58819239)
RRHCNHPECSDSOB	InChI=1S/C15H22O3/c1-10(12(16)17)3-14-5-11-4-13(2,7-14)8-15(18,6-11)9-14/h3,11,18H,4-9H2,1-2H3,(H,16,17)/p-1	C15H22O3	1734	-3091.9021441699847	""	CC(=CC12CC3CC(C)(C1)CC(C3)(C2)O)C(=O)O	2.727	""	PubChem:(57482892 57482893 66772760)
