inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
YOEBAVRJHRCKRE	InChI=1S/C10H11NO3/c1-7-4-2-3-5-8(7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)	C10H11NO3	1	-3026.1110264808713	Oprea1_321487	CC1=C(C=CC=C1)C(=NCC(=O)O)O	1.31799996	""	training set;biological;HMDB:(11723);PubChem:(91637 4745098 46782261 46782262);CHEBI:(68455);KEGG Mine
UAQVHNZEONHPQG	InChI=1S/C10H11NO3/c1-7(10(13)14)11-9(12)8-5-3-2-4-6-8/h2-7H,1H3,(H,11,12)(H,13,14)	C10H11NO3	2	-3038.215425301506	Oprea1_700607	CC(C(=O)O)N=C(C1=CC=CC=C1)O	1.51499999	""	PubChem:(71002 91514 709778 6924962 6924963);biological;CHEBI:(71166 71167)
YKAKNMHEIJUKEX	InChI=1S/C10H11NO3/c1-7-3-2-4-8(5-7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)	C10H11NO3	3	-3038.2989385878186	Oprea1_856142	CC1=CC=CC(=C1)C(=NCC(=O)O)O	1.31799996	""	training set;HMDB:(13245);Natural Products:(UNPD78438);PubChem:(99223 4739847 46782263);CHEBI:(68500);biological;KEGG Mine
NSTPXGARCQOSAU	InChI=1S/C10H11NO3/c12-7-11-9(10(13)14)6-8-4-2-1-3-5-8/h1-5,7,9H,6H2,(H,11,12)(H,13,14)	C10H11NO3	4	-3040.5568828143646	Oprea1_613023	C1=CC=C(C=C1)CC(C(=O)O)N=CO	1.00699997	""	biological;Natural Products:(UNPD2545 UNPD147251);PubChem:(100122 759256 4526893 6938788 7064570 7064571);CHEBI:(133534 133536);KEGG Mine
XQLGSRZTNIMEPS	InChI=1S/C10H11NO3/c1-7-4-2-3-5-8(7)9(10(13)14)11-6-12/h2-6,9H,1H3,(H,11,12)(H,13,14)	C10H11NO3	5	-3042.944889727611	""	CC1=C(C=CC=C1)C(C(=O)O)N=CO	1.45200002	""	PubChem:(63688188)
VKDFZMMOLPIWQQ	InChI=1S/C10H11NO3/c1-7(12)11-9(10(13)14)8-5-3-2-4-6-8/h2-6,9H,1H3,(H,11,12)(H,13,14)	C10H11NO3	6	-3044.129413450806	Oprea1_138853	CC(=NC(C1=CC=CC=C1)C(=O)O)O	1.25100005	""	PubChem:(85935 726854 726856 6928501 6928502);biological
UTYVDVLMYQPLQB	InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)	C10H11NO3	7	-3044.902984232221	bmse000658	C1=CC=C(C=C1)CC(=NCC(=O)O)O	0.693000019	""	training set;HMDB:(821);Natural Products:(UNPD181230);PubChem:(68144 4229702 46782722);CHEBI:(27480 60874);KEGG:(C05598);biological;Plantcyc:(CPD-11715);YMDB:(1568);Biocyc:(CPD-11715)
NPFASVOXDYMQKM	InChI=1S/C10H11NO3/c11-10(14)8-4-2-1-3-7(8)5-6-9(12)13/h1-4H,5-6H2,(H2,11,14)(H,12,13)	C10H11NO3	8	-3045.726624568297	""	C1=CC(=C(C=C1)C(=N)O)CCC(=O)O	1.63900006	""	PubChem:(91607816);biological
RMSVTMNKMROMGJ	InChI=1S/C10H11NO3/c12-7-11-6-9-4-2-1-3-8(9)5-10(13)14/h1-4,7H,5-6H2,(H,11,12)(H,13,14)	C10H11NO3	9	-3047.6894433285875	""	C1=CC(=C(C=C1)CN=CO)CC(=O)O	0.683000028	""	PubChem:(81318406)
CBZIALPRVINKNS	InChI=1S/C10H13NO4/c11-8(10(14)15)5-6-1-3-7(4-2-6)9(12)13/h1-4,8-9,12-13H,5,11H2,(H,14,15)	C10H13NO4	10	-3048.424739587704	""	C1=C(C=CC(=C1)C(O)O)CC(C(=O)O)N	-2.65899992	""	PubChem:(57135551)
