inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
TZWOEMPEEPWNGL	InChI=1S/C5H10O10/c6-1(7)3(10,11)5(14,15)4(12,13)2(8)9/h1,6-7,10-15H,(H,8,9)	C5H10O10	1	-3022.2822852457793	""	C(C(C(C(C(=O)O)(O)O)(O)O)(O)O)(O)O	-5.64300013	""	PubChem:(123270512)
MLAUHSKKXOAIBM	InChI=1S/C4H9N2O6P/c7-3(8)1-5-13(11,12)6-2-4(9)10/h1-2H2,(H,7,8)(H,9,10)(H3,5,6,11,12)	C4H9N2O6P	2	-3039.2193011390555	""	C(C(=O)O)NP(=O)(NCC(=O)O)O	-2.83699989	""	PubChem:(101473663)
MVBLFMVCPOWOOQ	InChI=1S/C4H9N2O6P/c5-4(8)6-2-1-3(7)12-13(9,10)11/h1-2H2,(H3,5,6,8)(H2,9,10,11)	C4H9N2O6P	3	-3055.3633617435785	""	C(CNC(=N)O)C(=O)OP(=O)(O)O	-1.65900004	""	KEGG Mine
BQAAFNTWKBFSDP	InChI=1S/C4H11N2O7P/c5-6-4(9)3(8)2(7)1-13-14(10,11)12/h2-3,7-8H,1,5H2,(H,6,9)(H2,10,11,12)	C4H11N2O7P	4	-3063.027269874006	[(2R,3R)-4-hydrazinyl-2,3-dihydroxy-4-oxobutyl] dihydrogen phosphate	C(C(C(C(=NN)O)O)O)OP(=O)(O)O	-3.94099998	""	PubChem:(11447551);biological
OTFXAXYQCSSASH	InChI=1S/C4H9N2O6P/c1-6(2-3(7)8)4(9)5-13(10,11)12/h2H2,1H3,(H,7,8)(H3,5,9,10,11,12)	C4H9N2O6P	5	-3064.7798575196452	""	CN(CC(=O)O)C(=NP(=O)(O)O)O	-1.60699999	""	EcoCyc Mine;KEGG Mine
DYYJKUCFQJABMU	InChI=1S/C5H10O10/c6-1(7)2(8,9)4(12,13)5(14,15)3(1,10)11/h6-15H	C5H10O10	6	-3067.7246286267778	Cyclopentanedecol	C1(C(C(C(C1(O)O)(O)O)(O)O)(O)O)(O)O	2.32999992	""	PubChem:(12305029)
ICGSSZYKNOZXBC	InChI=1S/C6H6N4O6/c7-1-3(15-5(11)12)10-2(8)4(9-1)16-6(13)14/h(H2,7,9)(H2,8,10)(H,11,12)(H,13,14)	C6H6N4O6	7	-3075.0338166759084	""	C1(=NC(=C(N)N=C1OC(=O)O)OC(=O)O)N	0.0659999996	""	PubChem:(67959070)
CIOCINHGDJSRDZ	InChI=1S/C6H6N4O6/c1-3-5(9(13)14)6(10(15)16)7-8(3)2-4(11)12/h2H2,1H3,(H,11,12)	C6H6N4O6	8	-3076.0255711987274	2-(5-methyl-3,4-dinitropyrazol-1-yl)acetate	CC1=C(C(=NN1CC(=O)O)N(=O)=O)N(=O)=O	0.648999989	""	PubChem:(3104804 7089383)
PWXDBQXMWYMACG	InChI=1S/C4H9N2O6P/c1-6(4(5)8)2-3(7)12-13(9,10)11/h2H2,1H3,(H2,5,8)(H2,9,10,11)	C4H9N2O6P	9	-3077.0210015021626	""	CN(CC(=O)OP(=O)(O)O)C(=N)O	-1.25399995	""	KEGG Mine
QAIYTLSIVZELOS	InChI=1S/C6H6N4O6/c1-15-5-3(9(11)12)7-4(10(13)14)6(8-5)16-2/h1-2H3	C6H6N4O6	10	-3078.0795639005314	2,6-dimethoxy-3,5-dinitropyrazine	COC1=NC(=C(N=C1N(=O)=O)N(=O)=O)OC	2.04399991	""	PubChem:(4913001)
