inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
JEYKHQTWSNNTGC	InChI=1S/C8H6N12/c9-5-3-7(13-1-11-5)19(17-15-3)20-8-4(16-18-20)6(10)12-2-14-8/h1-2H,(H2,9,11,13)(H2,10,12,14)	C8H6N12	1	-129.2867625882188	""	C1=NC2=C(C(=N1)N)N=NN2N3C4=C(C(=NC=N4)N)N=N3	-1.23599994	""	PubChem:(57161497)
AFIKLPMCCAPOAS	InChI=1S/C8H6N12/c9-8-11-2-5-7(13-8)15-17-20(5)18-19-4-1-10-3-12-6(4)14-16-19/h1-3,18H,(H2,9,11,13)	C8H6N12	2	-153.50913843339586	""	C1=C2C(=NC=N1)N=NN2NN3C4=CNC(=N)N=C4N=N3	-0.252000004	""	PubChem:(67109393)
SHMWKUBRZXEJQP	InChI=1S/C10H12N6O2/c1-15-5-3-7(11-9(15)17)13-14-8-4-6-16(2)10(18)12-8/h3-6H,1-2H3,(H,11,13,17)(H,12,14,18)	C10H12N6O2	3	-193.9461930104899	""	CN1C=CC(=NC1=O)NNC2=NC(=O)N(C)C=C2	-0.312000006	""	PubChem:(101143371)
DLSUEWBRBPUNBX	InChI=1S/C10H12N6O2/c1-5-7(3)15(4-12-5)9-8(16(17)18)6(2)13-10(11)14-9/h4H,1-3H3,(H2,11,13,14)	C10H12N6O2	4	-196.84785809230894	""	CC1=C(C)N(C=N1)C2=NC(=N)NC(=C2N(=O)=O)C	2.46700001	""	PubChem:(114045462)
QVRGWJZTKCMSIW	InChI=1S/C10H12N6O2/c11-8-7-9(15-10(12)14-8)16(4-13-7)6-2-1-5(3-17)18-6/h1-2,4-6,17H,3H2,(H4,11,12,14,15)	C10H12N6O2	5	-196.86873470603422	Ddedapr	C1=CC(N2C=NC3=C(N)NC(=N)N=C32)OC1CO	0.0469999984	""	PubChem:(64977 23274798);biological
CJTMQORRXGFYRD	InChI=1S/C10H12N6O2/c1-5-7(11)13-6(2)14-9(5)16-4-12-8(15-16)10(17)18-3/h4H,1-3H3,(H2,11,13,14)	C10H12N6O2	6	-197.7838190809066	""	CC1=C(N=C(C)N=C1N)N2C=NC(=N2)C(=O)OC	0.453000009	""	PubChem:(81683878)
KYXIEIHDWJGUHD	InChI=1S/C9H16N2O6/c1-3(13)11-5-7(15)6(14)4(2-12)17-8(5)9(10)16/h4-8,12,14-15H,2H2,1H3,(H2,10,16)(H,11,13)	C9H16N2O6	7	-198.2813218026544	""	CC(=NC1C(C(C(CO)OC1C(=N)O)O)O)O	-1.43599999	""	PubChem:(57253656)
LLELVQZQDQEULI	InChI=1S/C10H12N6O2/c1-5-4-6(2)13-10(12-5)15-9(11)8(16(17)18)7(3)14-15/h4H,11H2,1-3H3	C10H12N6O2	8	-199.23062271571848	""	CC1=NC(=NC(=C1)C)N2C(=C(C(=N2)C)N(=O)=O)N	2.15899992	""	PubChem:(61735055)
POYWNFAQTFPVTC	InChI=1S/C9H16N2O6/c1-16-2-3-17-6-8(13)10-4-7(12)11-5-9(14)15/h2-6H2,1H3,(H,10,13)(H,11,12)(H,14,15)	C9H16N2O6	9	-200.37711693618257	""	COCCOCC(=NCC(=NCC(=O)O)O)O	-2.29999995	""	PubChem:(43387776)
BSUDIBPHNQWIHB	InChI=1S/C9H16N2O6/c1-16-3-2-10-7(12)4-11-8(13)5-17-6-9(14)15/h2-6H2,1H3,(H,10,12)(H,11,13)(H,14,15)	C9H16N2O6	10	-200.93280359764407	""	COCCN=C(CN=C(COCC(=O)O)O)O	-1.954	""	PubChem:(104375791)
