inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
WOXJBQMUHZACMF	InChI=1S/C8H11N3/c1-2-10-8(9)7-5-3-4-6-11-7/h3-6H,2H2,1H3,(H2,9,10)	C8H11N3	1	-131.4524201026964	""	CCNC(=N)C1=NC=CC=C1	1.35500002	""	PubChem:(44141574)
MTENJKHNRWGUCL	InChI=1S/C8H11N3/c1-7(9)11-6-8-4-2-3-5-10-8/h2-5H,6H2,1H3,(H2,9,11)	C8H11N3	2	-131.89756513460472	N''-(pyridin-2-ylmethyl)ethanimidamide	CC(=N)NCC1=NC=CC=C1	0.925000012	""	PubChem:(2776972 6932207)
RKRXUFRKLPZYBZ	InChI=1S/C8H11N3/c9-8(10)5-4-7-3-1-2-6-11-7/h1-3,6H,4-5H2,(H3,9,10)	C8H11N3	3	-136.62118817999834	2-Pyridinepropanimidamide	C1=CC(=NC=C1)CCC(=N)N	0.449999988	""	PubChem:(17834938)
FCSRVJMPOVZFAB	InChI=1S/C8H11N3/c9-4-6-10-7-8-3-1-2-5-11-8/h1-3,5,7H,4,6,9H2	C8H11N3	4	-136.87205039061186	1,2-Ethanediamine, N-(2-pyridinylmethylene)-	C1=CC(=NC=C1)C=NCCN	-0.0130000003	""	PubChem:(20620956)
VBIHEVVXCJJIMM	InChI=1S/C8H11N3/c1-2-7-3-4-8(10-5-7)11-6-9/h3-6H,2H2,1H3,(H2,9,10,11)	C8H11N3	5	-137.75939950483752	""	CCC1=CC=C(N=C1)NC=N	1.87399995	""	PubChem:(118214110)
XULBMSWURAEKBV	InChI=1S/C8H11N3/c9-5-3-7-11-8-4-1-2-6-10-8/h1-4,6-7H,5,9H2,(H,10,11)	C8H11N3	6	-138.50572084096999	""	C1=CC(=NC=C1)NC=CCN	0.805999994	""	PubChem:(90211298)
RWEYGWNNOHZNHR	InChI=1S/C8H11N3/c9-5-3-7-11-8-4-1-2-6-10-8/h1-6H,7,9H2,(H,10,11)	C8H11N3	7	-140.29432642224424	""	C1=CC(=NC=C1)NCC=CN	1.01100004	""	PubChem:(88377267)
NPGOEEYAHYKERM	InChI=1S/C8H11N3/c9-6-7(10)5-8-3-1-2-4-11-8/h1-4,6H,5,9-10H2	C8H11N3	8	-140.57950197606658	""	C1=CC(=NC=C1)CC(=CN)N	-0.0540000014	""	PubChem:(67231996 67567683)
XBXNXGATOWINOH	InChI=1S/C8H11N3/c9-6-2-4-7-3-1-5-8(10)11-7/h1-3,5-6H,4,9H2,(H2,10,11)	C8H11N3	9	-142.07143199025006	""	C1=CC(=NC(=C1)CC=CN)N	0.681999981	""	PubChem:(87898405)
GGWUEUXAWWCISU	InChI=1S/C8H11N3/c1-2-6-3-4-7(8(9)10)11-5-6/h3-5H,2H2,1H3,(H3,9,10)	C8H11N3	10	-143.97837854464126	""	CCC1=CC=C(C(=N)N)N=C1	1.15900004	""	PubChem:(53484938)
NBPHXPSXBSCYQF	InChI=1S/C8H11N3/c9-6-8(10)11-7-4-2-1-3-5-7/h1-5H,6,9H2,(H2,10,11)	C8H11N3	11	-144.01118359130191	""	C1=CC=C(C=C1)NC(=N)CN	0.839999974	""	PubChem:(55290845)
NWPKSCYWQADWJU	InChI=1S/C8H11N3/c1-2-9-7-11-8-5-3-4-6-10-8/h3-7H,2H2,1H3,(H,9,10,11)	C8H11N3	12	-144.91800745925548	""	CCN=CNC1=NC=CC=C1	1.40900004	""	PubChem:(55287735)
NRHRRZTUONBSQD	InChI=1S/C8H11N3/c9-4-3-8-2-1-6-11(8)7-5-10/h1-2,6H,3-4,7,9H2	C8H11N3	13	-145.14051659473301	""	C1=CN(CC#N)C(=C1)CCN	-0.0939999968	""	PubChem:(66404234)
OXSZTCGEIFHKDK	InChI=1S/C8H11N3/c1-10-8(9)6-7-4-2-3-5-11-7/h2-5H,6H2,1H3,(H2,9,10)	C8H11N3	14	-146.14249722338542	""	CNC(=N)CC1=NC=CC=C1	0.744000018	""	PubChem:(63181693)
LHUTVDWCOUNDDS	InChI=1S/C8H11N3/c1-6-2-3-7(5-11-6)4-8(9)10/h2-3,5H,4H2,1H3,(H3,9,10)	C8H11N3	15	-146.45437458216682	""	CC1=CC=C(CC(=N)N)C=N1	0.507000029	""	PubChem:(83676272)
