inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
MGEUZGKWCMNPRI	InChI=1S/C6H11NO4/c7-3-5-4(11-5)2(1-8)10-6(3)9/h2-6,8-9H,1,7H2	C6H11NO4	1	-84.79463276336412	""	C(C1C2C(C(C(O)O1)N)O2)O	-2.03299999	""	PubChem:(117777158 122542924)
IILXLZBRZGBQKJ	InChI=1S/C6H11NO4/c7-1-2-3(8)4(9)5-6(10-2)11-5/h2-6,8-9H,1,7H2	C6H11NO4	2	-94.0369501303316	""	C(C1C(C(C2C(O1)O2)O)O)N	-1.60399997	""	PubChem:(90304919)
KHTOGRDVBMNILC	InChI=1S/C6H11NO4/c7-3-4(9)5-2(1-8)10-6(3)11-5/h2-6,8-9H,1,7H2	C6H11NO4	3	-95.59969608423734	""	C(C1C2C(C(C(O1)O2)N)O)O	-2.03299999	""	YMDB Mine;KEGG Mine
JRXJMSAYAMCQRO	InChI=1S/C6H11NO4/c7-3-4(9)6-10-2(1-8)5(3)11-6/h2-6,8-9H,1,7H2	C6H11NO4	4	-102.63264808290864	""	C(C1C2C(C(C(O1)O2)O)N)O	-2.03299999	""	KEGG Mine
ZYYVLFIENYGQOT	InChI=1S/C6H11NO4/c7-3-5-4(8)2(1-10-5)11-6(3)9/h2-6,8-9H,1,7H2	C6H11NO4	5	-102.67881897781798	""	C1C2C(C(C(C(O)O2)N)O1)O	-2.03299999	""	YMDB Mine;KEGG Mine
OHGSYWFDRHAACA	InChI=1S/C6H11NO4/c7-3-5(9)4(8)2-1-10-6(3)11-2/h2-6,8-9H,1,7H2/p+1	C6H11NO4	6	-102.99054935497209	4-amino-6,8-dioxabicyclo[3.2.1]octane-2,3-diol	C1C2C(C(C(C(O1)O2)N)O)O	-1.60399997	""	PubChem:(3952072 3952073 7761437 7761438 11019172 11805063 15972362 21139302 21139303 50938335 50938336)
NSVUVCYTBSRSSB	InChI=1S/C6H11NO4/c7-3(1-8)6-5(10)4(9)2-11-6/h1,3-6,9-10H,2,7H2	C6H11NO4	7	-106.80947612730503	""	C(=O)C(C1C(C(CO1)O)O)N	-1.51600003	""	EcoCyc Mine
YKYNZHJWPDGMKT	InChI=1S/C6H11NO4/c7-3-2-1-10-6(11-2)5(9)4(3)8/h2-6,8-9H,1,7H2	C6H11NO4	8	-110.0235013536434	""	C1C2C(C(C(C(O1)O2)O)O)N	-1.60399997	""	PubChem:(11051959)
PWSKXRKZLJHEKE	InChI=1S/C6H11NO4/c7-3-4(8)2-1-10-6(11-2)5(3)9/h2-6,8-9H,1,7H2	C6H11NO4	9	-110.44535622461937	3-amino-6,8-dioxabicyclo[3.2.1]octane-2,4-diol	C1C2C(C(C(C(O1)O2)O)N)O	-1.60399997	""	PubChem:(4867520 5237726 14237070 21596863 21596864 57297948 67699212)
RVPPCUIQDSMHCA	InChI=1S/C6H11NO4/c7-2(4-6(9)11-4)1-3-5(8)10-3/h2-6,8-9H,1,7H2	C6H11NO4	10	-110.80243311060438	""	C(C(C1C(O)O1)N)C2C(O)O2	-1.53799999	""	PubChem:(123717933)
HSAABXKBQNVOKC	InChI=1S/C6H9NO3/c7-3-1-2-4(8)6(10)5(3)9/h3-6,8-10H,7H2	C6H9NO3	11	-123.39610637846255	""	C1#CC(C(C(C1N)O)O)O	-1.00800002	""	KEGG Mine
QXPCCFCIZWXTNT	InChI=1S/C6H11NO4/c8-2-3-5(10)6(11)4(9)1-7-3/h1,3-6,8-11H,2H2	C6H11NO4	12	-130.07107514382125	(2R,3R,4S,5S)-2-(hydroxymethyl)-2,3,4,5-tetrahydropyridine-3,4,5-triol	C1=NC(CO)C(C(C1O)O)O	-1.26499999	""	PubChem:(447651 67042248);biological
HPWMNAJCBYRMCV	InChI=1S/C6H9NO3/c7-2-4-1-5(8)6(9)3-10-4/h4-6,8-9H,1,3H2	C6H9NO3	13	-134.0080357563621	""	C1C(C#N)OCC(C1O)O	-1.15100002	""	PubChem:(89073467 89073468)
HGKAOTIHPFJJOV	InChI=1S/C6H11NO4/c8-2-3-1-4(9)5(10)6(11)7-3/h3-5,8-10H,1-2H2,(H,7,11)	C6H11NO4	14	-138.0350952627131	(3R,4S,6S)-3,4-dihydroxy-6-(hydroxymethyl)piperidin-2-one	C1C(CO)N=C(C(C1O)O)O	-1.07799995	""	PubChem:(16090264)
XAMSFKGGMXPXDZ	InChI=1S/C6H11NO4/c7-5(6(9)10)4-1-3(8)2-11-4/h3-5,8H,1-2,7H2,(H,9,10)	C6H11NO4	15	-140.58082014480868	2-amino-2-(4-hydroxyoxolan-2-yl)acetic acid	C1C(COC1C(C(=O)O)N)O	-3.92400002	""	PubChem:(22907102)
GGONBPKCAZGHJO	InChI=1S/C6H11NO4/c7-2-5-3(8)1-4(11-5)6(9)10/h3-5,8H,1-2,7H2,(H,9,10)	C6H11NO4	16	-141.622600480578	(2R,4S,5R)-5-Aminomethyl-4-hydroxy-tetrahydro-furan-2-carboxylic acid	C1C(C(CN)OC1C(=O)O)O	-1.329	""	PubChem:(42614350 42614351 53433463 129100444)
ZEXAKNSBSHYIGF	InChI=1S/C6H11NO4/c1-2-4(8)5(9)3(7)6(10)11-2/h2-4,6,8,10H,7H2,1H3	C6H11NO4	17	-142.53432853911536	""	CC1C(C(=O)C(C(O)O1)N)O	-0.938000023	""	KEGG Mine
QSAHXUUZCZLEDF	InChI=1S/C6H11NO4/c7-1-2(8)3(9)4(10)6-5(1)11-6/h1-6,8-10H,7H2	C6H11NO4	18	-144.3284852006354	""	C1(C(C(C(C2C1O2)O)O)O)N	-1.79400003	""	PubChem:(24763422 24763423)
ZVSXPBYBQJYODT	InChI=1S/C6H9NO3/c7-3-5-4(10-5)2-1-8-6(3)9-2/h2-6H,1,7H2	C6H9NO3	19	-145.6131538996537	""	C1C2C3C(C(C(O1)O2)N)O3	-1.44400001	""	PubChem:(55288567 88915517)
