ID,Label,Database,InChI
385,2-Isopropylmalic acid ,mona,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)/t7-/m0/s1"
146,3-hydroxy-C6-homoserine lactone ,mona,"InChI=1S/C10H17NO4/c1-2-3-7(12)6-9(13)11-8-4-5-15-10(8)14/h7-8,12H,2-6H2,1H3,(H,11,13)"
265,4-HYDROXYBENZOATE ,mona,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)"
1266,4-HYDROXYBENZOATE ,mona,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)"
2243,Gallic acid ,mona,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)"
10992,KOBUSONE ,mona,"InChI=1S/C14H22O2/c1-13(2)8-9-10(13)6-7-14(3)12(16-14)5-4-11(9)15/h9-10,12H,4-8H2,1-3H3/t9-,10+,12+,14+/m0/s1"
70,PYROCATECHUIC ACID ,mona,"InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)"
13402,N-ACETYL-DL-GLUTAMIC ACID,nist17,N/A
45299,N-ACETYL-DL-GLUTAMIC ACID,nist17,N/A
17,fructose,nist17, 
820,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,nist17,N/A
1041,D-PANTOTHENIC ACID,nist17,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1"
4099,Pro-Trp,nist17,"InChI=1S/C16H19N3O3/c20-15(13-6-3-7-17-13)19-14(16(21)22)8-10-9-18-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17-18H,3,6-8H2,(H,19,20)(H,21,22)/t13-,14+/m1/s1"
5535,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14,nist17,N/A
